task,embedding_0,embedding_1,embedding_2,embedding_3
matbench_jdft2d_emb_fold0_dim8,0.0012,-0.0210,0.0253,0.0038
matbench_jdft2d_emb_fold1_dim8,-0.0085,-0.0002,-0.0168,-0.0003
matbench_jdft2d_emb_fold2_dim8,0.0164,0.0138,0.0185,-0.0041
matbench_jdft2d_emb_fold3_dim8,0.0056,-0.0100,0.0073,0.0070
matbench_jdft2d_emb_fold4_dim8,-0.0128,-0.0020,-0.0002,-0.0133
matbench_phonons_emb_fold0_dim8,0.0043,0.0056,0.0106,0.0014
matbench_phonons_emb_fold1_dim8,0.0190,-0.0229,-0.0152,0.0270
matbench_phonons_emb_fold2_dim8,-0.0067,0.0190,0.0391,0.0488
matbench_phonons_emb_fold3_dim8,-0.0001,0.0090,0.0763,0.0239
matbench_phonons_emb_fold4_dim8,-0.0072,-0.0026,0.0092,0.0124
matbench_dielectric_emb_fold0_dim8,-0.0116,-0.0057,0.0260,0.0231
matbench_dielectric_emb_fold1_dim8,-0.0011,-0.0316,-0.0042,0.0008
matbench_dielectric_emb_fold2_dim8,-0.0045,0.0136,-0.0028,-0.0041
matbench_dielectric_emb_fold3_dim8,0.0129,0.0707,0.0354,0.0330
matbench_dielectric_emb_fold4_dim8,-0.0248,0.0224,0.0352,0.0478
matbench_log_gvrh_emb_fold0_dim8,0.0151,0.0395,0.1561,0.1006
matbench_log_gvrh_emb_fold1_dim8,-0.0107,0.0060,0.0301,0.0890
matbench_log_gvrh_emb_fold2_dim8,0.0360,-0.0088,0.0184,0.0726
matbench_log_gvrh_emb_fold3_dim8,-0.0117,0.0146,0.0318,0.1111
matbench_log_gvrh_emb_fold4_dim8,0.0015,0.0231,0.0960,0.0916
matbench_log_kvrh_emb_fold0_dim8,-0.0051,0.0384,0.1057,0.1771
matbench_log_kvrh_emb_fold1_dim8,0.0197,0.0100,0.0649,0.0973
matbench_log_kvrh_emb_fold2_dim8,0.0315,0.0871,0.1384,0.1002
matbench_log_kvrh_emb_fold3_dim8,0.0053,0.0263,0.0971,0.1582
matbench_log_kvrh_emb_fold4_dim8,0.0188,0.1204,0.1369,0.0776
matbench_perovskites_emb_fold0_dim8,0.0792,0.0424,0.1815,0.0643
matbench_perovskites_emb_fold1_dim8,0.0692,0.1091,0.1241,0.0945
matbench_perovskites_emb_fold2_dim8,0.0445,0.0852,0.1311,0.0874
matbench_perovskites_emb_fold3_dim8,0.1028,0.1463,0.1217,0.1014
matbench_perovskites_emb_fold4_dim8,0.0336,0.0728,0.0662,0.0587
matbench_mp_gap_emb_fold0_dim8,0.0520,0.0910,0.1762,0.1128
matbench_mp_gap_emb_fold1_dim8,0.0466,0.1048,0.1800,0.1185
matbench_mp_gap_emb_fold2_dim8,0.0616,0.1595,0.1899,0.1927
