task,embedding_0,embedding_1,embedding_2,embedding_3
matbench_jdft2d_hm_fold0_dim8,0.1302,0.1981,0.0970,0.0760
matbench_jdft2d_hm_fold1_dim8,0.2132,0.0814,0.0716,0.0837
matbench_jdft2d_hm_fold2_dim8,0.2311,0.1206,0.1107,0.0834
matbench_jdft2d_hm_fold3_dim8,0.3013,0.1448,0.0815,0.1233
matbench_jdft2d_hm_fold4_dim8,0.1633,0.1075,0.0543,0.0897
matbench_phonons_hm_fold0_dim8,0.1189,0.0503,0.1025,0.0499
matbench_phonons_hm_fold1_dim8,0.2226,0.1649,0.1549,0.0849
matbench_phonons_hm_fold2_dim8,0.1425,0.0944,0.1414,0.1168
matbench_phonons_hm_fold3_dim8,0.1508,0.1092,0.0609,0.0709
matbench_phonons_hm_fold4_dim8,0.2650,0.1364,0.1470,0.1192
matbench_dielectric_hm_fold0_dim8,0.3189,0.2354,0.2641,0.2162
matbench_dielectric_hm_fold1_dim8,0.3674,0.2378,0.1740,0.2038
matbench_dielectric_hm_fold2_dim8,0.3026,0.2263,0.1813,0.1787
matbench_dielectric_hm_fold3_dim8,0.2506,0.2309,0.2285,0.1448
matbench_dielectric_hm_fold4_dim8,0.2119,0.2158,0.1592,0.2039
matbench_log_gvrh_hm_fold0_dim8,0.3149,0.2451,0.2015,0.1821
matbench_log_gvrh_hm_fold1_dim8,0.3360,0.4234,0.2578,0.2536
matbench_log_gvrh_hm_fold2_dim8,0.5502,0.3248,0.2372,0.3088
matbench_log_gvrh_hm_fold3_dim8,0.2765,0.3244,0.2808,0.2277
matbench_log_gvrh_hm_fold4_dim8,0.3353,0.3689,0.2698,0.1683
matbench_log_kvrh_hm_fold0_dim8,0.3741,0.2277,0.3192,0.2815
matbench_log_kvrh_hm_fold1_dim8,0.3028,0.2585,0.1572,0.2377
matbench_log_kvrh_hm_fold2_dim8,0.3996,0.2049,0.2132,0.1989
matbench_log_kvrh_hm_fold3_dim8,0.2920,0.1999,0.1938,0.2369
matbench_log_kvrh_hm_fold4_dim8,0.3345,0.2537,0.2063,0.2076
matbench_perovskites_hm_fold0_dim8,0.1510,0.2136,0.1416,0.1606
matbench_perovskites_hm_fold1_dim8,0.2492,0.1342,0.1332,0.1465
matbench_perovskites_hm_fold2_dim8,0.2083,0.1447,0.1746,0.1483
matbench_perovskites_hm_fold3_dim8,0.3266,0.1088,0.0987,0.0831
matbench_perovskites_hm_fold4_dim8,0.3954,0.0585,0.1604,0.1189
matbench_mp_gap_hm_fold0_dim8,0.1933,0.3164,0.2188,0.1485
matbench_mp_gap_hm_fold1_dim8,0.3508,0.1370,0.2549,0.1878
matbench_mp_gap_hm_fold2_dim8,0.2018,0.2858,0.1463,0.1701
matbench_mp_gap_hm_fold3_dim8,0.3079,0.2301,0.1539,0.1424
matbench_mp_gap_hm_fold4_dim8,0.3296,0.2239,0.2330,0.1103
matbench_mp_e_form_hm_fold0_dim8,0.2840,0.2374,0.1940,0.2214
matbench_mp_e_form_hm_fold1_dim8,0.2958,0.2249,0.2413,0.1919
matbench_mp_e_form_hm_fold2_dim8,0.3410,0.3169,0.2581,0.2008
matbench_mp_e_form_hm_fold3_dim8,0.3352,0.3157,0.2099,0.1024
matbench_mp_e_form_hm_fold4_dim8,0.2974,0.2969,0.3110,0.2414
