task,node_embedded,node_encoded,block_1,block_2,block_3
matbench_jdft2d_emb_fold0_dim8,-0.0161,0.0014,0.0163,0.0565,0.0421
matbench_jdft2d_emb_fold1_dim8,-0.0084,-0.0025,0.0193,0.0523,0.0256
matbench_jdft2d_emb_fold2_dim8,0.0051,0.0366,0.0466,0.0795,0.0699
matbench_jdft2d_emb_fold3_dim8,-0.0033,0.0207,-0.0002,0.0030,-0.0024
matbench_jdft2d_emb_fold4_dim8,-0.0015,0.0120,0.0058,0.0042,-0.0250
matbench_phonons_emb_fold0_dim8,-0.0088,0.0217,0.0091,0.0279,0.0274
matbench_phonons_emb_fold1_dim8,0.0447,0.0271,0.0093,-0.0144,0.0367
matbench_phonons_emb_fold2_dim8,-0.0102,0.0077,-0.0078,-0.0044,0.0229
matbench_phonons_emb_fold3_dim8,-0.0169,-0.0107,0.0019,-0.0004,0.0499
matbench_phonons_emb_fold4_dim8,-0.0066,-0.0164,0.0058,0.0270,0.0076
matbench_dielectric_emb_fold0_dim8,-0.0247,0.0488,0.0841,0.0777,0.0691
matbench_dielectric_emb_fold1_dim8,0.0226,0.1071,0.0995,0.0985,0.0781
matbench_dielectric_emb_fold2_dim8,0.0218,0.0277,0.0327,0.0351,0.0433
matbench_dielectric_emb_fold3_dim8,-0.0148,0.0855,0.1081,0.1066,0.1027
matbench_dielectric_emb_fold4_dim8,0.0235,0.1813,0.1547,0.1097,0.1571
matbench_log_gvrh_emb_fold0_dim8,0.0189,0.0846,0.0813,0.0969,0.1025
matbench_log_gvrh_emb_fold1_dim8,0.0155,0.1158,0.1094,0.0601,0.0860
matbench_log_gvrh_emb_fold2_dim8,0.0757,0.0711,0.0657,0.1330,0.0985
matbench_log_gvrh_emb_fold3_dim8,0.0418,0.1126,0.1530,0.1043,0.1460
matbench_log_gvrh_emb_fold4_dim8,0.0053,0.0673,0.1287,0.0850,0.0497
matbench_log_kvrh_emb_fold0_dim8,0.0167,0.2143,0.2799,0.2139,0.1123
matbench_log_kvrh_emb_fold1_dim8,0.0573,0.1316,0.1088,0.1091,0.1303
matbench_log_kvrh_emb_fold2_dim8,0.0804,0.0740,0.1019,0.0710,0.0771
matbench_log_kvrh_emb_fold3_dim8,0.0922,0.2584,0.2000,0.2217,0.2356
matbench_log_kvrh_emb_fold4_dim8,0.0503,0.1470,0.1238,0.1282,0.0958
matbench_perovskites_emb_fold0_dim8,0.0069,0.1248,0.1819,0.1023,0.1251
matbench_perovskites_emb_fold1_dim8,0.0136,0.0735,0.0968,0.0971,0.1079
matbench_perovskites_emb_fold2_dim8,0.0436,0.0689,0.1718,0.2479,0.2378
matbench_perovskites_emb_fold3_dim8,0.0921,0.0941,0.1408,0.1017,0.1100
matbench_perovskites_emb_fold4_dim8,0.0432,0.1262,0.1129,0.2010,0.2664
matbench_mp_gap_emb_fold0_dim8,0.0380,0.1990,0.1821,0.1804,0.1402
matbench_mp_gap_emb_fold1_dim8,0.0527,0.1481,0.1017,0.0907,0.0668
matbench_mp_gap_emb_fold2_dim8,0.1232,0.2150,0.2647,0.1801,0.1634
matbench_mp_gap_emb_fold3_dim8,0.0408,0.1211,0.2864,0.2541,0.2200
matbench_mp_gap_emb_fold4_dim8,0.0799,0.1206,0.0744,0.0647,0.0698
matbench_mp_e_form_emb_fold0_dim8,0.1270,0.2139,0.1983,0.2852,0.3322
matbench_mp_e_form_emb_fold1_dim8,0.1272,0.2017,0.2061,0.2153,0.2800
matbench_mp_e_form_emb_fold2_dim8,0.1047,0.2321,0.2258,0.1485,0.2760
matbench_mp_e_form_emb_fold3_dim8,0.1322,0.1926,0.1332,0.1711,0.2080
matbench_mp_e_form_emb_fold4_dim8,0.1367,0.4008,0.3866,0.2892,0.3683
matbench_jdft2d_emb_fold0_dim16,-0.0013,0.0382,0.0416,0.0119,0.0598
matbench_jdft2d_emb_fold1_dim16,-0.0050,0.0546,0.0273,0.0345,0.0523
matbench_jdft2d_emb_fold2_dim16,-0.0002,0.0838,0.0589,0.0709,0.0518
matbench_jdft2d_emb_fold3_dim16,-0.0088,0.0325,0.0279,0.0525,0.0466
matbench_jdft2d_emb_fold4_dim16,0.0328,0.0304,0.0101,0.0399,0.0175
matbench_phonons_emb_fold0_dim16,0.0683,0.0590,0.0163,0.0342,0.0294
matbench_phonons_emb_fold1_dim16,0.0360,0.0344,0.0230,0.0108,0.0433
matbench_phonons_emb_fold2_dim16,0.0036,-0.0097,-0.0278,-0.0062,0.0224
matbench_phonons_emb_fold3_dim16,0.0369,0.0032,0.0239,0.0433,0.0166
matbench_phonons_emb_fold4_dim16,-0.0190,0.0556,0.0675,0.0447,0.0157
matbench_dielectric_emb_fold0_dim16,0.0267,0.0833,0.1482,0.1283,0.1421
matbench_dielectric_emb_fold1_dim16,0.0679,0.0943,0.1178,0.0864,0.0974
matbench_dielectric_emb_fold2_dim16,0.0136,0.1105,0.1238,0.1222,0.0992
matbench_dielectric_emb_fold3_dim16,0.0051,0.1107,0.1336,0.1610,0.1338
matbench_dielectric_emb_fold4_dim16,0.0214,0.0757,0.0760,0.0547,0.0965
matbench_log_gvrh_emb_fold0_dim16,0.0455,0.1143,0.0709,0.1956,0.1002
matbench_log_gvrh_emb_fold1_dim16,0.0182,0.0947,0.0748,0.1219,0.1090
matbench_log_gvrh_emb_fold2_dim16,0.0256,0.1239,0.1437,0.0859,0.1501
matbench_log_gvrh_emb_fold3_dim16,0.0193,0.0472,0.0863,0.0818,0.0978
matbench_log_gvrh_emb_fold4_dim16,0.0684,0.2103,0.1596,0.1732,0.0965
matbench_log_kvrh_emb_fold0_dim16,0.0598,0.1281,0.2034,0.1602,0.2945
matbench_log_kvrh_emb_fold1_dim16,0.0701,0.1978,0.2450,0.1800,0.2210
matbench_log_kvrh_emb_fold2_dim16,0.0446,0.2665,0.3002,0.2779,0.2366
matbench_log_kvrh_emb_fold3_dim16,0.0298,0.1297,0.2303,0.1805,0.2339
matbench_log_kvrh_emb_fold4_dim16,0.0269,0.3312,0.2088,0.2223,0.2056
matbench_perovskites_emb_fold0_dim16,0.0113,0.1392,0.1735,0.1669,0.1597
matbench_perovskites_emb_fold1_dim16,0.0304,0.1376,0.1804,0.2508,0.1852
matbench_perovskites_emb_fold2_dim16,0.0353,0.1967,0.2289,0.1313,0.0976
matbench_perovskites_emb_fold3_dim16,0.0228,0.2186,0.2135,0.2353,0.2225
matbench_perovskites_emb_fold4_dim16,0.0751,0.2315,0.1819,0.2797,0.2067
matbench_mp_gap_emb_fold0_dim16,0.0287,0.1980,0.2136,0.1577,0.1820
matbench_mp_gap_emb_fold1_dim16,0.0469,0.1341,0.1823,0.1709,0.1760
matbench_mp_gap_emb_fold2_dim16,0.0594,0.1698,0.2253,0.1034,0.1785
matbench_mp_gap_emb_fold3_dim16,0.0553,0.2338,0.2207,0.1950,0.3064
matbench_mp_gap_emb_fold4_dim16,0.0274,0.1604,0.2029,0.2056,0.1911
matbench_mp_e_form_emb_fold0_dim16,0.1333,0.2425,0.2460,0.2984,0.2471
matbench_mp_e_form_emb_fold1_dim16,0.1830,0.1713,0.2390,0.2787,0.3378
matbench_mp_e_form_emb_fold2_dim16,0.1044,0.2579,0.2875,0.2461,0.2462
matbench_mp_e_form_emb_fold3_dim16,0.1317,0.3645,0.2417,0.3476,0.2897
matbench_mp_e_form_emb_fold4_dim16,0.1752,0.2729,0.2631,0.2943,0.2814
matbench_jdft2d_emb_fold0_dim32,-0.0284,0.0210,0.0138,0.0032,0.0009
matbench_jdft2d_emb_fold1_dim32,0.0069,0.0621,0.0892,0.0744,0.0662
matbench_jdft2d_emb_fold2_dim32,0.0236,0.0781,0.0436,0.0449,0.0257
matbench_jdft2d_emb_fold3_dim32,0.0091,0.0126,0.0043,0.0153,-0.0009
matbench_jdft2d_emb_fold4_dim32,-0.0024,0.0455,0.0433,0.0253,0.0217
matbench_phonons_emb_fold0_dim32,-0.0002,0.0207,-0.0190,0.0023,-0.0169
matbench_phonons_emb_fold1_dim32,-0.0149,0.0190,0.0013,0.0151,0.0024
matbench_phonons_emb_fold2_dim32,0.0002,0.0462,0.0445,0.0213,0.0686
matbench_phonons_emb_fold3_dim32,-0.0131,0.0279,0.0013,0.0468,0.0092
matbench_phonons_emb_fold4_dim32,-0.0145,0.0319,0.0230,0.0449,0.0607
matbench_dielectric_emb_fold0_dim32,-0.0093,0.1537,0.1278,0.1249,0.1255
matbench_dielectric_emb_fold1_dim32,-0.0151,0.1155,0.0983,0.0982,0.0963
matbench_dielectric_emb_fold2_dim32,0.0004,0.1293,0.0947,0.0933,0.1273
matbench_dielectric_emb_fold3_dim32,0.0101,0.0864,0.0773,0.1263,0.1336
matbench_dielectric_emb_fold4_dim32,-0.0005,0.1088,0.1225,0.1254,0.1442
matbench_log_gvrh_emb_fold0_dim32,0.0106,0.1094,0.1095,0.1458,0.1513
matbench_log_gvrh_emb_fold1_dim32,-0.0058,0.2094,0.1988,0.2600,0.2462
matbench_log_gvrh_emb_fold2_dim32,0.0667,0.1295,0.2332,0.1430,0.1751
matbench_log_gvrh_emb_fold3_dim32,0.0359,0.2399,0.1856,0.2585,0.1793
