task,node_embedded,node_linear,node_encoded,block_1,block_2,block_3
matbench_jdft2d_hm_fold0_dim8,0.3340,0.0867,0.0087,0.0307,0.0101,0.0279
matbench_jdft2d_hm_fold1_dim8,0.4520,0.1139,0.0411,0.0621,0.0712,0.0750
matbench_jdft2d_hm_fold2_dim8,0.3813,0.1187,0.0621,0.0361,0.0508,0.0426
matbench_jdft2d_hm_fold3_dim8,0.3828,0.0600,0.0089,0.0098,0.0275,0.0314
matbench_jdft2d_hm_fold4_dim8,0.3340,0.0488,0.0120,0.0080,0.0100,0.0271
matbench_phonons_hm_fold0_dim8,0.3811,0.0624,0.0317,0.0130,-0.0024,0.0346
matbench_phonons_hm_fold1_dim8,0.3344,0.0512,0.0887,0.0062,0.0320,0.0770
matbench_phonons_hm_fold2_dim8,0.4514,0.0446,0.1199,0.0025,0.0317,0.0196
matbench_phonons_hm_fold3_dim8,0.3344,0.1919,0.0972,0.0565,0.0925,0.0871
matbench_phonons_hm_fold4_dim8,0.3344,0.1070,0.0683,0.0344,0.0262,-0.0008
matbench_dielectric_hm_fold0_dim8,0.4517,0.3775,0.3814,0.3086,0.3417,0.2324
matbench_dielectric_hm_fold1_dim8,0.5073,0.3104,0.2169,0.2543,0.2740,0.2423
matbench_dielectric_hm_fold2_dim8,0.4517,0.3442,0.2878,0.2851,0.3043,0.3612
matbench_dielectric_hm_fold3_dim8,0.4517,0.5249,0.4265,0.4092,0.3837,0.3668
matbench_dielectric_hm_fold4_dim8,0.3999,0.3207,0.2710,0.2839,0.3340,0.2891
matbench_log_gvrh_hm_fold0_dim8,0.4223,0.3787,0.3164,0.3103,0.2797,0.2796
matbench_log_gvrh_hm_fold1_dim8,0.4223,0.4315,0.3454,0.2344,0.2996,0.3116
matbench_log_gvrh_hm_fold2_dim8,0.4223,0.3962,0.2956,0.3133,0.2588,0.3501
matbench_log_gvrh_hm_fold3_dim8,0.4223,0.2928,0.3411,0.2966,0.3053,0.3353
matbench_log_gvrh_hm_fold4_dim8,0.4223,0.4403,0.4499,0.3235,0.3038,0.3194
matbench_log_kvrh_hm_fold0_dim8,0.4223,0.3450,0.4034,0.3402,0.3625,0.3309
matbench_log_kvrh_hm_fold1_dim8,0.4223,0.4035,0.4096,0.4695,0.3444,0.3195
matbench_log_kvrh_hm_fold2_dim8,0.4223,0.4033,0.4057,0.3854,0.2908,0.2934
matbench_log_kvrh_hm_fold3_dim8,0.4223,0.3910,0.2785,0.2835,0.4003,0.4225
matbench_log_kvrh_hm_fold4_dim8,0.4223,0.2752,0.3269,0.2934,0.3575,0.3110
matbench_perovskites_hm_fold0_dim8,0.3642,0.2135,0.1534,0.1664,0.1593,0.1744
matbench_perovskites_hm_fold1_dim8,0.3642,0.2585,0.2612,0.2379,0.1091,0.2969
matbench_perovskites_hm_fold2_dim8,0.3642,0.1705,0.2037,0.1862,0.2005,0.1915
matbench_perovskites_hm_fold3_dim8,0.3642,0.2543,0.2150,0.1567,0.1378,0.2443
matbench_perovskites_hm_fold4_dim8,0.3642,0.1857,0.1748,0.1664,0.1749,0.2839
matbench_mp_gap_hm_fold0_dim8,0.4223,0.3065,0.2126,0.3027,0.2736,0.2251
matbench_mp_gap_hm_fold1_dim8,0.4223,0.2824,0.3783,0.3626,0.4684,0.3405
matbench_mp_gap_hm_fold2_dim8,0.4223,0.3134,0.2650,0.2483,0.2760,0.2535
matbench_mp_gap_hm_fold3_dim8,0.4223,0.3272,0.3487,0.3104,0.2847,0.3222
