task,embedding_0,embedding_1,embedding_2,embedding_3
matbench_jdft2d_emb_fold0_dim8,-0.3686,-0.3684,-0.3426,-0.3696
matbench_jdft2d_emb_fold1_dim8,-0.3228,-0.3952,-0.3767,-0.3182
matbench_jdft2d_emb_fold2_dim8,-0.3614,-0.3525,-0.3212,-0.3437
matbench_jdft2d_emb_fold3_dim8,-0.3407,-0.3471,-0.3318,-0.3239
matbench_jdft2d_emb_fold4_dim8,-0.3148,-0.3333,-0.3628,-0.3788
matbench_phonons_emb_fold0_dim8,-0.2914,-0.3179,-0.3487,-0.3082
matbench_phonons_emb_fold1_dim8,-0.2472,-0.3335,-0.2710,-0.3057
matbench_phonons_emb_fold2_dim8,-0.2908,-0.3106,-0.2922,-0.2509
matbench_phonons_emb_fold3_dim8,-0.2371,-0.2784,-0.2232,-0.3114
matbench_phonons_emb_fold4_dim8,-0.2881,-0.2918,-0.2971,-0.2888
matbench_dielectric_emb_fold0_dim8,-0.2024,-0.2628,-0.2390,-0.2310
matbench_dielectric_emb_fold1_dim8,-0.2465,-0.2728,-0.2704,-0.2326
matbench_dielectric_emb_fold2_dim8,-0.2275,-0.2667,-0.2395,-0.2238
matbench_dielectric_emb_fold3_dim8,-0.2607,-0.3301,-0.2886,-0.2549
matbench_dielectric_emb_fold4_dim8,-0.2301,-0.2826,-0.3423,-0.2819
matbench_log_gvrh_emb_fold0_dim8,-0.2160,-0.2126,-0.1288,-0.1167
matbench_log_gvrh_emb_fold1_dim8,-0.2182,-0.2590,-0.1859,-0.1354
matbench_log_gvrh_emb_fold2_dim8,-0.2622,-0.2788,-0.2162,-0.1676
matbench_log_gvrh_emb_fold3_dim8,-0.2322,-0.2373,-0.2823,-0.1704
matbench_log_gvrh_emb_fold4_dim8,-0.1987,-0.2670,-0.1890,-0.1834
matbench_log_kvrh_emb_fold0_dim8,-0.2141,-0.2057,-0.1452,-0.0835
matbench_log_kvrh_emb_fold1_dim8,-0.2513,-0.2909,-0.1939,-0.1407
matbench_log_kvrh_emb_fold2_dim8,-0.2344,-0.1914,-0.1083,-0.0979
matbench_log_kvrh_emb_fold3_dim8,-0.2495,-0.2469,-0.1830,-0.1115
matbench_log_kvrh_emb_fold4_dim8,-0.1799,-0.1814,-0.1212,-0.1130
matbench_perovskites_emb_fold0_dim8,-0.2761,-0.3186,-0.2108,-0.2033
matbench_perovskites_emb_fold1_dim8,-0.3194,-0.1991,-0.2402,-0.1938
matbench_perovskites_emb_fold2_dim8,-0.2828,-0.1585,-0.1236,-0.2101
matbench_perovskites_emb_fold3_dim8,-0.2806,-0.3453,-0.2498,-0.2207
matbench_perovskites_emb_fold4_dim8,-0.2503,-0.2886,-0.2149,-0.2289
matbench_mp_gap_emb_fold0_dim8,-0.2550,-0.2509,-0.1300,-0.1861
matbench_mp_gap_emb_fold1_dim8,-0.2816,-0.2041,-0.1477,-0.1336
matbench_mp_gap_emb_fold2_dim8,-0.2183,-0.2403,-0.2180,-0.1607
matbench_mp_gap_emb_fold3_dim8,-0.2453,-0.2297,-0.1826,-0.1582
matbench_mp_gap_emb_fold4_dim8,-0.1785,-0.2352,-0.2760,-0.1465
matbench_mp_e_form_emb_fold0_dim8,-0.2421,-0.2076,-0.1733,-0.2638
matbench_mp_e_form_emb_fold1_dim8,-0.2245,-0.2326,-0.1844,-0.2552
matbench_mp_e_form_emb_fold2_dim8,-0.1849,-0.1941,-0.2086,-0.2508
matbench_mp_e_form_emb_fold3_dim8,-0.2404,-0.2611,-0.2167,-0.2339
matbench_mp_e_form_emb_fold4_dim8,-0.2071,-0.1879,-0.3098,-0.2191
matbench_jdft2d_emb_fold0_dim16,-0.3504,-0.3317,-0.3596,-0.3612
matbench_jdft2d_emb_fold1_dim16,-0.3577,-0.3770,-0.2761,-0.3099
matbench_jdft2d_emb_fold2_dim16,-0.2509,-0.2280,-0.2790,-0.2954
