task,embedding_0,embedding_1,embedding_2,embedding_3
matbench_jdft2d_hm_fold0_dim8,-0.2131,-0.2071,-0.2684,-0.2564
matbench_jdft2d_hm_fold1_dim8,-0.1292,-0.2779,-0.3039,-0.2798
matbench_jdft2d_hm_fold2_dim8,-0.1107,-0.1862,-0.2196,-0.2315
matbench_jdft2d_hm_fold3_dim8,-0.0898,-0.2469,-0.1891,-0.1885
matbench_jdft2d_hm_fold4_dim8,-0.0710,-0.2208,-0.3559,-0.3403
matbench_phonons_hm_fold0_dim8,-0.2016,-0.2969,-0.2942,-0.3366
matbench_phonons_hm_fold1_dim8,0.0570,-0.1701,-0.1929,-0.2418
matbench_phonons_hm_fold2_dim8,-0.1452,-0.2000,-0.2077,-0.2459
matbench_phonons_hm_fold3_dim8,-0.0638,-0.1183,-0.1229,-0.1513
matbench_phonons_hm_fold4_dim8,-0.1049,-0.2401,-0.1676,-0.1492
matbench_dielectric_hm_fold0_dim8,0.0435,-0.0601,-0.0899,-0.0564
matbench_dielectric_hm_fold1_dim8,-0.1033,-0.1778,-0.1910,-0.2061
matbench_dielectric_hm_fold2_dim8,0.1310,0.0059,-0.0845,-0.0597
matbench_dielectric_hm_fold3_dim8,-0.0198,0.0460,0.0188,-0.0497
matbench_dielectric_hm_fold4_dim8,-0.1297,-0.1679,-0.1326,-0.1486
matbench_log_gvrh_hm_fold0_dim8,0.0633,0.0386,0.0369,-0.0639
matbench_log_gvrh_hm_fold1_dim8,0.0724,0.1510,0.0114,-0.0210
matbench_log_gvrh_hm_fold2_dim8,0.1959,0.1264,0.0229,0.0146
matbench_log_gvrh_hm_fold3_dim8,0.0237,-0.0273,-0.0590,-0.0568
matbench_log_gvrh_hm_fold4_dim8,0.0403,0.0626,0.0226,-0.0303
matbench_log_kvrh_hm_fold0_dim8,0.1507,0.0198,0.1039,0.0932
matbench_log_kvrh_hm_fold1_dim8,0.2238,0.0206,0.0535,0.0657
matbench_log_kvrh_hm_fold2_dim8,0.1791,0.0072,-0.0121,-0.0148
matbench_log_kvrh_hm_fold3_dim8,0.1451,0.0848,0.0376,0.0822
matbench_log_kvrh_hm_fold4_dim8,0.1562,0.0561,0.0227,-0.0796
matbench_perovskites_hm_fold0_dim8,-0.0679,-0.2315,-0.1683,-0.1147
matbench_perovskites_hm_fold1_dim8,-0.0210,-0.1191,-0.1363,-0.1834
matbench_perovskites_hm_fold2_dim8,-0.0515,-0.2010,-0.1930,-0.2099
matbench_perovskites_hm_fold3_dim8,0.0290,-0.0752,-0.1374,-0.1111
matbench_perovskites_hm_fold4_dim8,-0.1593,-0.1147,-0.1547,-0.1772
matbench_mp_gap_hm_fold0_dim8,0.0055,0.0490,-0.0384,-0.1117
matbench_mp_gap_hm_fold1_dim8,0.0843,-0.0941,0.0263,-0.0307
matbench_mp_gap_hm_fold2_dim8,-0.0094,0.0294,-0.1486,-0.0947
matbench_mp_gap_hm_fold3_dim8,0.0897,-0.1217,-0.1642,-0.1728
matbench_mp_gap_hm_fold4_dim8,-0.0202,-0.1024,-0.1439,-0.1613
matbench_mp_e_form_hm_fold0_dim8,0.0887,-0.0541,-0.1439,-0.1033
matbench_mp_e_form_hm_fold1_dim8,0.1127,-0.0694,-0.1282,-0.1867
matbench_mp_e_form_hm_fold2_dim8,0.1368,0.0504,-0.0605,-0.0399
matbench_mp_e_form_hm_fold3_dim8,0.2176,0.0179,-0.1274,-0.1912
matbench_mp_e_form_hm_fold4_dim8,0.1651,0.0818,-0.0593,-0.1053
matbench_jdft2d_hm_fold0_dim16,-0.1431,-0.1530,-0.2244,-0.2479
matbench_jdft2d_hm_fold1_dim16,-0.1401,-0.2667,-0.2797,-0.2423
matbench_jdft2d_hm_fold2_dim16,-0.1429,-0.1747,-0.1991,-0.1915
matbench_jdft2d_hm_fold3_dim16,0.0234,-0.1254,-0.2091,-0.2160
matbench_jdft2d_hm_fold4_dim16,-0.0449,-0.1542,-0.2054,-0.2019
matbench_phonons_hm_fold0_dim16,0.0252,-0.1302,-0.1855,-0.3030
matbench_phonons_hm_fold1_dim16,-0.0674,-0.1650,-0.1520,-0.1590
matbench_phonons_hm_fold2_dim16,-0.0297,-0.0795,-0.1983,-0.1432
matbench_phonons_hm_fold3_dim16,0.0019,-0.1758,-0.1903,-0.1992
matbench_phonons_hm_fold4_dim16,0.1396,-0.0648,-0.2437,-0.2084
matbench_dielectric_hm_fold0_dim16,-0.0387,-0.0859,-0.1053,-0.1449
matbench_dielectric_hm_fold1_dim16,-0.0828,-0.2277,-0.2046,-0.2133
matbench_dielectric_hm_fold2_dim16,-0.0187,-0.1458,-0.1450,-0.1909
matbench_dielectric_hm_fold3_dim16,-0.0382,-0.1028,-0.1299,-0.1557
matbench_dielectric_hm_fold4_dim16,-0.0815,-0.1374,-0.1485,-0.1083
matbench_log_gvrh_hm_fold0_dim16,0.1359,0.1268,0.0491,0.0058
matbench_log_gvrh_hm_fold1_dim16,0.1749,0.0882,0.1175,-0.0008
matbench_log_gvrh_hm_fold2_dim16,0.1600,0.0828,0.0076,0.0228
matbench_log_gvrh_hm_fold3_dim16,0.1416,0.0564,0.0191,0.0333
matbench_log_gvrh_hm_fold4_dim16,0.1601,0.0735,-0.0247,-0.0135
matbench_log_kvrh_hm_fold0_dim16,0.2791,0.1132,0.0870,0.0859
matbench_log_kvrh_hm_fold1_dim16,0.2153,0.1437,0.1594,0.1472
matbench_log_kvrh_hm_fold2_dim16,0.1119,0.1205,0.0602,0.1134
matbench_log_kvrh_hm_fold3_dim16,0.1637,0.1288,0.0839,0.0891
matbench_log_kvrh_hm_fold4_dim16,0.2124,-0.0219,0.0459,0.0300
matbench_perovskites_hm_fold0_dim16,0.0946,-0.0527,-0.1328,-0.1308
matbench_perovskites_hm_fold1_dim16,0.0803,-0.1143,-0.1564,-0.1539
matbench_perovskites_hm_fold2_dim16,0.0185,-0.0786,-0.0127,-0.0296
matbench_perovskites_hm_fold3_dim16,0.0166,-0.0057,-0.1280,-0.1444
matbench_perovskites_hm_fold4_dim16,0.0328,-0.0294,-0.1582,-0.1957
matbench_mp_gap_hm_fold0_dim16,0.0734,0.0355,-0.0260,-0.0412
matbench_mp_gap_hm_fold1_dim16,0.1026,-0.0819,-0.0864,-0.0383
matbench_mp_gap_hm_fold2_dim16,0.1636,0.0922,-0.0970,-0.0099
matbench_mp_gap_hm_fold3_dim16,0.1216,-0.0140,-0.0690,-0.0616
matbench_mp_gap_hm_fold4_dim16,0.1517,-0.0820,-0.0779,-0.0567
matbench_mp_e_form_hm_fold0_dim16,0.1182,0.0357,-0.0550,-0.2275
matbench_mp_e_form_hm_fold1_dim16,0.0891,0.0104,-0.0723,-0.0804
matbench_mp_e_form_hm_fold2_dim16,0.2121,0.0900,-0.0758,-0.1496
matbench_mp_e_form_hm_fold3_dim16,0.1614,0.0780,0.0023,-0.1240
matbench_mp_e_form_hm_fold4_dim16,0.1684,0.0741,-0.0381,-0.0852
matbench_jdft2d_hm_fold0_dim32,0.0486,-0.0570,-0.0748,-0.1023
matbench_jdft2d_hm_fold1_dim32,0.0475,-0.1403,-0.1152,-0.1497
matbench_jdft2d_hm_fold2_dim32,0.0492,-0.0572,-0.1586,-0.1579
matbench_jdft2d_hm_fold3_dim32,0.1631,-0.1032,-0.1133,-0.2233
matbench_jdft2d_hm_fold4_dim32,0.0034,-0.1406,-0.2182,-0.2625
matbench_phonons_hm_fold0_dim32,0.1756,0.0108,-0.0703,-0.1539
matbench_phonons_hm_fold1_dim32,0.2278,-0.0812,-0.0422,-0.2189
matbench_phonons_hm_fold2_dim32,0.0714,-0.0916,-0.0628,-0.1608
matbench_phonons_hm_fold3_dim32,-0.0001,-0.0663,-0.0369,-0.1008
matbench_phonons_hm_fold4_dim32,0.1419,-0.1562,-0.0793,-0.1384
matbench_dielectric_hm_fold0_dim32,0.0391,-0.2001,-0.1381,-0.1398
matbench_dielectric_hm_fold1_dim32,0.0261,-0.0232,-0.1083,-0.1557
matbench_dielectric_hm_fold2_dim32,-0.0081,-0.0118,-0.0660,-0.0719
matbench_dielectric_hm_fold3_dim32,-0.0317,-0.0741,-0.0579,-0.0737
matbench_dielectric_hm_fold4_dim32,0.0265,-0.0951,-0.1156,-0.1539
matbench_log_gvrh_hm_fold0_dim32,0.1303,0.0486,0.0643,0.0779
matbench_log_gvrh_hm_fold1_dim32,0.0699,0.0400,-0.0545,-0.0485
matbench_log_gvrh_hm_fold2_dim32,0.1776,0.1361,0.0882,0.0273
matbench_log_gvrh_hm_fold3_dim32,0.1399,0.1368,0.1601,0.1243
matbench_log_gvrh_hm_fold4_dim32,0.1306,0.1157,0.1153,0.0874
matbench_log_kvrh_hm_fold0_dim32,0.2008,0.1375,0.0682,0.0960
matbench_log_kvrh_hm_fold1_dim32,0.2192,0.1218,0.0988,0.0843
matbench_log_kvrh_hm_fold2_dim32,0.1503,0.2119,0.1704,0.1032
matbench_log_kvrh_hm_fold3_dim32,0.2789,0.1744,0.1559,0.1071
matbench_log_kvrh_hm_fold4_dim32,0.2267,0.0481,0.0375,0.1221
matbench_perovskites_hm_fold0_dim32,0.1199,-0.0624,-0.0978,-0.0907
matbench_perovskites_hm_fold1_dim32,0.0307,-0.1352,-0.1321,-0.1054
matbench_perovskites_hm_fold2_dim32,0.0356,0.0311,-0.1196,-0.1298
matbench_perovskites_hm_fold3_dim32,-0.0778,0.0808,-0.1098,-0.0904
