task,node_embedded,node_encoded,block_1,block_2,block_3
matbench_jdft2d_emb_fold0_dim8,-0.3137,-0.3661,-0.4165,-0.4541,-0.4581
matbench_jdft2d_emb_fold1_dim8,-0.3386,-0.2651,-0.3115,-0.3416,-0.3491
matbench_jdft2d_emb_fold2_dim8,-0.2813,-0.2431,-0.3787,-0.3943,-0.3964
matbench_jdft2d_emb_fold3_dim8,-0.2578,-0.3661,-0.4227,-0.4377,-0.4425
matbench_jdft2d_emb_fold4_dim8,-0.2975,-0.3677,-0.4227,-0.4280,-0.4449
matbench_phonons_emb_fold0_dim8,-0.3386,-0.3002,-0.2975,-0.3229,-0.4012
matbench_phonons_emb_fold1_dim8,-0.3232,-0.3185,-0.3622,-0.3644,-0.4395
matbench_phonons_emb_fold2_dim8,-0.2684,-0.3061,-0.3603,-0.3629,-0.3908
matbench_phonons_emb_fold3_dim8,-0.3168,-0.3329,-0.3144,-0.3297,-0.4339
matbench_phonons_emb_fold4_dim8,-0.2607,-0.2545,-0.2854,-0.2923,-0.3788
matbench_dielectric_emb_fold0_dim8,-0.2526,-0.2221,-0.2166,-0.1986,-0.2081
matbench_dielectric_emb_fold1_dim8,-0.2790,-0.2579,-0.2789,-0.3019,-0.3065
matbench_dielectric_emb_fold2_dim8,-0.2683,-0.2004,-0.2267,-0.1898,-0.1732
matbench_dielectric_emb_fold3_dim8,-0.2620,-0.2354,-0.2289,-0.2277,-0.2188
matbench_dielectric_emb_fold4_dim8,-0.2931,-0.1293,-0.1396,-0.1223,-0.1361
matbench_log_gvrh_emb_fold0_dim8,-0.2420,-0.2325,-0.2046,-0.1616,-0.1750
matbench_log_gvrh_emb_fold1_dim8,-0.2294,-0.2174,-0.1596,-0.1888,-0.1926
matbench_log_gvrh_emb_fold2_dim8,-0.2008,-0.1706,-0.2218,-0.1839,-0.1773
matbench_log_gvrh_emb_fold3_dim8,-0.2508,-0.1539,-0.1492,-0.1856,-0.1180
matbench_log_gvrh_emb_fold4_dim8,-0.2311,-0.2037,-0.1888,-0.1785,-0.1789
matbench_log_kvrh_emb_fold0_dim8,-0.2402,-0.0978,-0.0788,-0.0988,-0.1294
matbench_log_kvrh_emb_fold1_dim8,-0.1748,-0.1526,-0.1288,-0.1065,-0.0573
matbench_log_kvrh_emb_fold2_dim8,-0.2323,-0.1062,-0.1428,-0.1146,-0.1193
matbench_log_kvrh_emb_fold3_dim8,-0.2170,-0.0529,-0.0504,-0.1116,-0.0774
matbench_log_kvrh_emb_fold4_dim8,-0.2015,-0.1133,-0.1826,-0.1370,-0.1381
matbench_perovskites_emb_fold0_dim8,-0.1979,-0.0951,-0.0859,-0.0857,-0.0710
matbench_perovskites_emb_fold1_dim8,-0.3802,-0.0856,-0.0903,-0.0802,-0.1312
matbench_perovskites_emb_fold2_dim8,-0.4225,-0.1892,-0.1804,-0.1170,-0.2203
matbench_perovskites_emb_fold3_dim8,-0.3675,-0.1897,-0.1877,-0.1797,-0.1100
matbench_perovskites_emb_fold4_dim8,-0.2836,-0.2758,-0.2246,-0.1838,-0.1880
matbench_mp_gap_emb_fold0_dim8,-0.2383,-0.1565,-0.0909,-0.1206,-0.1082
