task,node_embedded,node_linear,node_encoded,block_1,block_2,block_3
matbench_jdft2d_hm_fold0_dim8,0.2477,-0.3640,-0.4726,-0.4503,-0.4412,-0.4359
matbench_jdft2d_hm_fold1_dim8,0.1643,-0.3330,-0.3705,-0.3726,-0.3642,-0.3657
matbench_jdft2d_hm_fold2_dim8,0.1914,-0.3119,-0.3628,-0.3531,-0.3464,-0.3415
matbench_jdft2d_hm_fold3_dim8,0.2019,-0.3246,-0.4307,-0.4237,-0.4248,-0.4223
matbench_jdft2d_hm_fold4_dim8,0.2477,-0.4166,-0.4987,-0.4625,-0.4553,-0.4596
matbench_phonons_hm_fold0_dim8,0.2607,-0.3405,-0.3430,-0.3442,-0.3589,-0.3837
matbench_phonons_hm_fold1_dim8,0.2010,-0.2274,-0.3424,-0.3451,-0.3262,-0.3797
matbench_phonons_hm_fold2_dim8,0.2208,-0.3311,-0.3706,-0.4010,-0.4155,-0.3787
matbench_phonons_hm_fold3_dim8,0.2010,-0.2628,-0.3123,-0.3810,-0.3306,-0.2860
matbench_phonons_hm_fold4_dim8,0.2010,-0.3008,-0.3373,-0.3927,-0.4169,-0.3888
matbench_dielectric_hm_fold0_dim8,0.1404,0.2003,0.1458,0.0623,0.0852,0.0558
matbench_dielectric_hm_fold1_dim8,0.2447,0.0637,-0.0641,-0.0520,-0.1372,-0.0715
matbench_dielectric_hm_fold2_dim8,0.1404,0.0823,-0.0037,0.0215,0.0316,0.0429
matbench_dielectric_hm_fold3_dim8,0.1404,0.0783,-0.0129,-0.0016,0.0003,0.0394
matbench_dielectric_hm_fold4_dim8,0.2025,0.1050,0.0400,0.0267,0.0880,0.0889
matbench_log_gvrh_hm_fold0_dim8,0.2655,0.1874,0.1631,0.1328,0.0856,0.0975
matbench_log_gvrh_hm_fold1_dim8,0.2655,0.0886,0.0369,-0.0505,0.0255,0.0215
matbench_log_gvrh_hm_fold2_dim8,0.2655,0.1453,0.0906,0.0671,0.0584,0.0713
matbench_log_gvrh_hm_fold3_dim8,0.2655,0.1250,0.1704,0.1873,0.1419,0.1614
matbench_log_gvrh_hm_fold4_dim8,0.2655,0.1229,0.1497,0.1035,0.1112,0.1162
matbench_log_kvrh_hm_fold0_dim8,0.2655,0.1523,0.1567,0.1151,0.1213,0.1386
matbench_log_kvrh_hm_fold1_dim8,0.2655,0.2199,0.2143,0.1714,0.1907,0.1655
matbench_log_kvrh_hm_fold2_dim8,0.2655,0.2624,0.1969,0.1538,0.1646,0.1404
matbench_log_kvrh_hm_fold3_dim8,0.2655,0.1691,0.1608,0.1259,0.1051,0.0722
matbench_log_kvrh_hm_fold4_dim8,0.2655,0.1746,0.1152,0.1384,0.1086,0.1217
