Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.26851606,1.3664681,-0.73443204,-1.4914021,-1.5027356,0.9101032,-1.710658,0.40464747
Li,0.1798233,-0.945664,0.33301517,-0.5132051,0.21234502,0.9320262,0.16844805,-1.4232427
Be,0.09700993,-0.7252681,-1.2045803,0.364205,-2.6304998,-0.122035764,2.2175276,-0.053962972
B,-0.029987574,-0.21891177,2.2992086,0.89138436,0.82900226,-1.2335651,-0.20731324,0.7640771
C,0.8743121,0.86698073,-0.6274472,-0.820768,-0.91668963,0.056925472,-0.07845122,0.057403095
N,-0.17875528,-0.49779493,-0.27132806,-0.75825804,-0.04259906,-1.6073369,0.6275283,0.680546
O,0.47499534,1.4852448,-0.3917121,0.58285314,0.900736,0.04080166,-0.5213241,-0.18255259
F,0.005453033,-0.1185454,-1.2051198,0.9242489,-0.17132357,1.8549627,0.15087955,-0.3721984
Na,0.8977355,-0.069756545,-1.2535144,0.15160868,1.2677945,1.9412583,-0.52419394,0.50179654
Mg,-1.2207937,0.83865136,-0.25021055,-1.2092971,1.7891622,-1.4379964,2.7251155,-1.366929
Al,0.5701046,-0.23470622,0.47409037,-1.0467564,0.62858707,-0.8533504,1.834132,1.5045471
Si,-0.6063764,0.4394669,0.40991518,0.7084112,0.014599576,-1.2280836,1.1487885,0.4742736
P,0.35164052,-0.73682857,-0.89216757,0.7283389,-0.3997061,0.74203277,-1.0073098,0.43241665
S,-0.26805782,-0.665398,-0.03318179,0.592826,-2.569535,-0.33849558,1.5551679,-1.5752876
Cl,2.083832,-1.7649822,0.22090651,-0.9588873,1.1883669,0.9703202,0.7892325,-1.0712181
K,0.03795272,1.2190127,-0.18854454,0.63699746,0.62926775,1.1514469,1.2472813,1.1398193
Ca,-0.6159535,0.034282595,-0.0052845175,0.14759387,0.7437259,0.09177649,0.76609874,-0.9078148
Sc,-0.083901055,-0.77938104,0.53602874,0.065764144,0.8715701,0.54072154,0.46139324,0.3785645
Ti,-2.2237601,0.76055217,1.0312049,0.1302953,0.6310638,-0.19840893,0.88785404,0.06530848
V,-0.5250577,0.17784849,-0.8072631,2.018845,-0.23252362,2.001614,-0.29839692,-0.9610933
Cr,0.39800748,-1.6648052,0.4744533,0.7970377,-0.76482004,-0.83177155,-0.19532761,-1.8143036
Mn,0.07170561,-0.5698152,0.88777286,0.17578898,-0.2075982,-0.49338746,-0.0012444509,0.5302321
Fe,1.0762984,0.85869986,-0.7791566,1.2565318,0.34330136,0.118073404,-1.585331,1.4314723
Co,0.7884364,0.22032495,-0.3398704,0.83644974,-0.46567008,0.049471688,-0.04254939,0.5596417
Ni,-1.4076614,0.045784302,-1.1643512,0.98507243,0.25638017,0.35798153,1.281328,2.2388792
Cu,0.07168643,0.109189436,-0.043412317,-0.8826402,0.28670487,0.8720062,-1.0390984,1.3897192
Zn,-1.574119,-0.48433805,1.363169,0.6596332,0.7744326,-1.8533489,0.3511118,1.529547
Ga,-0.17251067,-1.0233872,0.25137478,-0.7846241,-1.3745058,-0.675144,1.6713978,0.60430384
Ge,-0.7762291,-0.82072,1.9369447,-0.48067072,0.4682914,-0.051172927,-0.75831074,-1.1439351
As,-0.0702137,1.5472608,-0.4423424,-0.28201118,1.6445597,-0.6155816,0.23396751,-2.4031825
Se,0.101037584,0.66685796,1.3879657,0.03046598,0.9788878,-0.12322661,-0.9375588,-1.100734
Br,-0.27515623,0.12549107,-2.0676727,-0.06795861,-0.92601216,0.16544768,-0.021741765,-0.2926446
Rb,1.9491868,-0.54998183,-0.18348026,0.8722072,-1.299642,-0.15709138,-0.39571816,-1.8990922
Sr,-0.4535599,0.2428966,0.34808064,-0.10299497,0.34743166,-0.41713747,0.18056671,-1.5353589
Y,0.22792415,-1.7851714,-1.564129,-1.4172806,-0.6325511,-1.3085127,1.3705475,2.4823692
Zr,-0.9838964,0.48683283,0.18353035,-1.6614987,-0.9311871,0.7059669,0.39617598,-0.23781587
Nb,-0.9340376,0.36560482,1.2676446,1.3132446,0.59469706,-0.10328467,0.09091021,0.6093383
Mo,-2.4554846,-0.7639438,-2.2443264,1.1409656,-0.85149825,1.147864,0.32236454,-0.6671744
Tc,0.32308343,-0.66171694,-0.32744023,0.6173177,-0.39291763,-0.17764544,0.16683692,-1.7002937
Ru,1.1579643,-1.0355191,-0.2834816,-1.2259105,-0.30265364,2.1740956,2.0795457,0.13398777
Rh,-0.29176852,-0.45179632,1.0155649,-1.0965508,1.8664104,2.0584133,1.6706051,-0.4729704
Pd,-0.74528354,-1.7326714,0.05342773,-1.4941024,-1.1929753,1.4335655,-0.53350323,0.24539639
Ag,1.8387167,-0.26806748,-0.08630303,-0.74348587,-0.7831181,0.46478495,0.37488014,0.87816674
