Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.18192579,0.20403947,-0.34669074,0.38066092,-0.4747398,0.2274045,0.63686126,-0.32370508,0.5230436,-0.557674,0.21155155,-0.8630012,1.9231722,0.30508578,-0.48249394,-1.7625159,0.17732422,-0.21502729,-2.3170922,-0.20739453,0.12489244,-0.15872055,-1.089714,-0.52727437,1.2841711,-0.82616305,0.81981665,-1.0182556,-0.918039,0.6694099,-1.4018097,-1.3231683,-0.09400691,-0.10994216,-0.31720248,-0.41544378,-1.3601307,-0.39995706,0.6425968,0.5600551,1.1128552,0.4391367,-0.8492822,-0.5882918,-1.4877644,0.6784066,-0.70008117,-0.15293254,-2.302883,-1.5648819,-0.2770565,-0.33767748,0.13658173,-2.0456614,0.51119107,1.3844934,0.60974455,-0.32360426,-2.0146565,1.4080349,1.0901076,-0.7340533,-0.7765214,-0.794128
Li,-0.07292658,0.6854522,-1.3073483,-0.16777802,0.48031417,-0.098216884,1.176696,-0.28676277,0.76567286,1.0559907,-1.053235,-0.8707391,-0.33759135,1.50968,0.8977723,0.48719448,-1.7684286,-0.6319702,-0.88700736,-0.6620374,0.93481123,0.62982076,1.7237167,0.8946847,0.02339644,0.9378593,-1.1982195,1.940128,1.2065424,-0.28392988,-0.49611288,-1.2696178,0.6919689,-1.597672,-0.12633038,1.1074497,1.7278705,-1.8133687,1.6803534,1.0514427,0.19544792,1.8384256,-0.92464364,-1.1008182,0.48416102,0.10378857,-0.8458369,-0.7419538,2.1849053,0.6323715,0.5286274,1.02795,-0.22636233,0.29189423,0.37361836,-1.2650285,-1.3212949,0.8479264,-0.76538086,-0.8765224,0.50383747,0.5022974,-0.10888235,-0.40347695
Be,-0.5092222,-0.44366112,0.54067236,1.0719166,-1.3460855,-0.4831376,0.02766861,0.6146232,-0.5979638,0.5915697,0.12468965,-0.59871775,0.37604526,0.4616223,-0.4092609,0.6328435,-0.8998824,0.5008519,-0.34887028,-0.73031014,1.4671268,-6.524955e-05,0.28300115,0.37960738,-1.4022567,1.3227743,-0.76999605,0.26293328,0.5771815,0.14951101,-0.026798908,-1.2827427,1.480442,0.033500616,-0.31806746,-0.63366085,-0.5481164,-0.10921221,-1.1532036,-1.2459062,0.9513678,-0.064384244,-0.7681989,0.6813942,-1.1159333,-0.65397996,0.021622714,0.71818125,0.13386503,-1.7482027,0.694773,0.25443643,0.002719284,0.26266018,-0.20002359,1.3247586,0.6403686,-0.6846882,0.67181903,1.1500946,0.36438015,0.08441662,1.1225185,-0.14697453
B,1.063156,2.5306497,-0.8990992,1.2868373,-1.0112541,1.0060601,-1.7595387,0.40511915,0.15260512,0.18520555,2.0289466,0.42172745,-1.2745699,0.5014869,-1.3856239,0.18245408,0.3259821,2.4644406,-1.107798,-0.63763916,-0.27505317,-0.39056724,0.28976685,1.2680221,-0.35646543,-2.2447445,1.1141108,-0.30507326,-0.20712532,0.48295936,1.434323,-1.505487,-1.3223727,0.18931624,0.9189604,2.032081,0.6787854,-1.9380257,0.80685943,-1.0915109,1.7384223,-0.16195889,1.172483,-0.24591495,0.36488187,-0.97539604,-0.002630878,1.1278064,0.48796225,2.4506602,0.40604067,-2.071158,-0.78996056,-0.5350539,-0.3316548,-0.16005343,0.40566766,1.0907453,0.50270396,0.17206678,-0.48543265,3.3172262,-1.1234983,0.52021426
C,0.13907492,-0.09177234,0.5209247,0.019055864,1.5527431,-0.8180475,-0.2708034,0.028593604,-1.4452207,0.19426212,0.02192911,0.097396396,-0.67593807,-1.5674237,-0.18046589,0.101839654,-0.3811981,0.9462047,-0.13778406,0.72712654,1.6452218,-0.95683146,0.93836206,-0.8331562,-0.49681923,-0.25795624,-0.793443,1.0654147,-0.2710009,0.14840385,-1.0867043,-0.024639076,1.7576915,-0.4694221,-0.97180593,1.0478952,-1.066895,-1.6034912,-0.7553331,-0.8546643,0.40861002,0.20867357,0.75086224,-0.7540018,0.57808536,-0.9443456,0.011107714,0.23770447,0.37783286,-0.7609017,0.0122393,-1.4528204,-0.12258438,0.8726097,-0.28629696,-0.39617532,0.43037948,-0.74105436,-0.9923384,0.13083442,-0.19924863,-0.9172083,-0.70754796,1.8954057
N,0.55673933,-1.3588732,-1.8743513,0.45255756,-0.72425085,0.43951938,-1.2241184,0.7038908,-0.20056789,-0.76270646,0.26925185,-0.18345702,0.12569626,-0.15481235,-1.0752159,0.6850733,-1.3057984,0.50027114,-0.47463793,0.35394612,2.5674684,-1.7621373,-0.06134495,-0.15316455,-1.4937956,-0.29112133,0.62597924,-0.33910584,0.28816104,0.9578351,-0.04120946,-0.12438076,-0.34600797,1.074023,0.093981124,1.6734,-0.60707885,0.23567061,-0.62952733,-0.10916657,1.068388,1.8443282,0.5304702,0.6388205,0.10349972,0.7768815,-0.03971922,2.3509934,2.3901026,-0.51407766,-0.7338337,-0.60837114,-1.8098567,-0.19023818,0.31813988,-0.11139776,0.84119165,-1.9930611,-0.31121576,-0.9018142,-1.6086247,-1.2304481,-0.47248763,-0.48403808
O,0.012269398,-1.4315716,0.2545439,-0.9333307,-0.8784108,-0.223105,-1.20545,0.15389742,-1.2816142,-0.34728217,0.43622035,0.11263783,1.0215994,0.18840797,0.4920608,-0.2543342,-0.14676012,-2.0798583,-0.4441436,0.24323456,1.2630546,0.40563446,0.9249984,1.5601609,0.47178483,-0.01474248,1.7253474,-0.1329457,-1.0704926,2.915126,-0.51403195,-0.3969178,-1.2575561,-1.3467467,-0.08794782,0.4356134,-0.5188569,-0.20835428,-0.5080125,-0.5748124,-0.3388855,2.474439,-0.5795102,1.9644709,1.0029905,0.6702889,0.13094535,-1.1061015,-0.093894504,-0.91298753,-0.12750913,-0.97781163,-1.1123201,0.7002618,-0.29018047,2.0685961,-0.7277069,-0.12069641,-2.1848404,1.2296774,-1.7109996,0.028706342,-1.0527549,-0.9314182
F,0.37331167,-0.20380707,-0.6694315,1.1720796,-1.5309414,-0.37970755,-0.4474605,-0.081273586,0.5790131,0.52323014,-0.48515812,1.022113,0.6064588,0.91957873,0.750042,0.7390227,0.8422852,1.5098224,-0.5773109,0.48293957,-1.7250264,-1.2923185,0.6710856,-0.49386895,-0.85875803,-0.70372796,-0.72662896,-0.47498316,1.6026969,0.40707177,-0.66366345,0.21256377,0.17083849,-1.6758108,1.790094,-0.67659384,-0.9240381,0.9349006,0.28174672,-0.94282407,-0.28659984,0.7760592,1.8258843,-0.15955777,-0.8669611,0.8535228,-1.3340279,0.69099146,1.4387064,-0.92064613,0.019505404,0.070544004,0.042408727,-1.1908977,-0.34516016,0.04945128,2.1925166,0.13128087,0.20508957,-0.6837619,0.5669436,-0.6937525,-0.37850428,0.66162133
Na,2.0993938,-0.65215224,-0.65472037,-0.4927459,-0.887572,1.786874,-1.6115413,-1.2700479,-0.4511497,0.6436484,1.537141,-1.2471098,0.31637862,0.35530612,-1.1870954,1.1439241,-0.33696294,-1.4186226,0.2866323,0.8935007,0.4435118,0.38989624,-1.8004595,-0.65400594,-0.1774296,0.15177332,-2.0069697,0.22374877,-2.3004255,0.23865919,0.81182164,0.71264046,-1.9517605,0.3453223,-0.32932824,-1.7492129,2.0342999,-1.2831138,-2.1987321,-1.5699834,-0.5861819,0.15702067,0.03217467,0.65863824,0.62931305,0.8000417,-0.635618,-1.4850699,2.8946512,-0.65698993,0.24392135,-1.2974019,-1.1845212,0.18692704,1.4579976,-0.2950115,0.070697375,1.5531486,0.5743814,-0.44270203,0.08141109,0.9497934,1.260511,-0.87578875
Mg,-0.0034317737,-0.27653712,-1.1874659,-1.220269,0.13815498,0.97755414,0.48860177,1.6298032,-0.106977455,0.42509177,0.042453643,-0.27521542,-1.0158889,-1.2341983,0.1580185,0.26081946,0.24838677,-0.082249805,-0.547053,1.588783,1.6671486,-0.07506978,-1.4612211,1.6229037,0.787416,-0.91306794,-1.2907194,-0.10386886,-1.1517173,-0.20822676,1.0724431,-0.30269313,0.058247592,1.6692026,-1.5787581,-0.85690963,0.1072763,-0.25687394,-0.101256825,-1.0674348,1.0091068,-0.8388389,0.9646385,-0.84938973,0.601086,0.17236629,-0.60174984,-0.6926179,2.3127608,-1.5215284,1.0844628,-1.2830924,0.6640052,-0.9859467,-0.91012055,1.5655432,-0.9218982,0.13220729,0.2878887,0.083590984,3.980903,1.0861523,-1.4135559,1.2988616
