Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.7988946,-2.2579272,-0.7522781,-0.90070736,-0.64309007,1.4094372,1.5987897,-0.546662,0.26902893,0.005819865,-0.2463956,-1.1864152,0.70726025,-2.7268627,-0.86504364,-1.6091678
Li,0.56715184,-0.6874454,0.35630956,-0.34833744,0.64214486,1.1988456,-1.2110636,0.77966744,-0.120586574,0.036310915,1.4119527,0.44108433,0.1898239,-0.555834,0.09470993,-2.1111739
Be,-0.9519761,-0.10744196,0.8913688,1.526558,-1.9155916,0.9958367,1.4063369,-2.0641396,-0.034794435,-1.233756,0.80691963,-0.99749607,-1.0259827,-0.5755341,-0.52765375,-0.29444617
B,1.5160298,-0.8025499,-0.12129711,1.748566,-0.2557074,0.16358256,0.17866288,-2.209619,-0.92316294,0.7322657,-1.0415375,0.21373709,-0.5496466,0.16879755,0.82430303,0.16052876
C,-0.87221867,1.5352374,-0.43672287,0.14298561,-0.71873015,-0.116055205,0.5610642,-0.20414767,0.6676812,0.7738155,0.53773946,1.4453613,0.5292101,0.42347485,0.44061387,-0.19728418
N,0.26977918,0.29709503,0.12805682,-0.12977478,-0.91329134,1.0282061,-0.09388322,-0.9262272,0.4565533,1.7656618,0.9557874,-0.45256826,-1.7358001,-0.574365,-0.7632431,-0.48213303
O,0.6352891,-0.14168027,0.47050053,0.05325931,-1.9823436,-0.6547366,0.1605088,-0.50769454,2.388224,1.4734952,0.4734582,0.08110817,0.93913436,-0.80966336,-0.39018965,-0.043742504
F,0.29253265,-0.0988421,0.23066363,-1.6787002,1.0282526,1.5747304,-0.93095654,-0.47833726,-0.058479335,0.19178352,0.7781324,-0.023967626,-0.7053004,-0.47270328,0.115055956,1.9865059
Na,-0.21710977,0.7575422,0.5237893,-1.5475962,0.5640604,0.22365138,0.96423906,0.99080116,-0.18874736,-0.68966097,-1.0361502,-0.76447874,1.7418369,-0.044543777,-0.20488659,0.14770724
Mg,0.32649568,1.3525118,2.0615735,-0.22451982,-0.31990588,0.05392426,-1.1520457,0.06785642,1.4512018,-1.3974599,1.0520651,-0.7129784,-0.54435885,1.2652303,1.0780082,-0.7827187
