Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.6235651,2.1630452,-1.8780928,0.807866,-0.14704996,-0.3791208,-1.7969246,0.09255164,-0.6002828,1.1215898,0.7279725,-1.66389,-1.5154197,0.53728116,-2.2655003,1.7190329,-1.5216502,0.028183442,0.30083585,0.15425359,0.49092093,-1.3669853,-1.5118234,0.31352103,-1.0233122,-0.874264,-1.5834043,-0.2867942,-0.53360593,-1.1494957,0.33754593,1.3208058
Li,1.873712,-0.477178,-1.759742,-0.95926327,0.09398446,0.59002465,-1.2601774,-0.50899655,1.5431356,0.6559992,-0.12783895,-0.20604019,1.6444707,-1.1061271,-1.4106405,-0.860425,0.5405164,-0.29022506,-0.9008099,-0.33131802,0.60839194,0.89294165,0.5301991,1.7892619,1.9885744,0.38693148,-1.4905057,0.3248755,0.43340394,0.4168751,1.2368112,0.038438655
Be,0.059101623,-0.2939487,-2.1298873,-0.5813436,-0.74126506,0.15797615,-0.8770686,-1.10489,-1.0611699,0.7681325,-1.8234134,-1.2096121,-0.18415745,0.10258671,-0.9545606,0.42250395,0.37238234,-0.29431903,-2.4854107,2.2223194,-0.82885975,-0.7554826,0.77107024,-0.945861,-0.20570907,-0.2080204,1.621623,0.59956014,0.45953506,-0.045705445,-1.7851257,1.8339077
B,-0.8104451,-1.0777242,0.68831974,0.85918367,-0.9591828,0.592304,0.54896605,-1.5108912,1.8027031,-0.41951758,-1.0928577,-0.80874395,0.19172573,0.20633763,-0.041565932,-1.3806618,-0.6709825,1.4124135,-0.139243,-0.4480096,-0.0727098,-0.2817432,-1.5742031,1.7076448,-1.4371272,-0.15655018,-0.94678557,-1.4476287,0.50461704,1.1442281,-0.14059785,0.75118726
C,-0.26306528,-0.83342946,1.0009112,-0.7816338,-1.1866549,0.26327008,0.5258046,0.21758117,-0.38192916,1.2327219,-1.1591624,-1.5270107,-0.49317116,-0.7161052,-0.08247973,-1.3331078,0.91263247,-1.5485702,1.3037589,1.0767739,-0.3489715,-1.26816,0.5787124,0.9401977,-0.71856004,-1.2776498,0.50676703,-1.8009888,-1.1870291,-0.101214826,1.289439,-1.3715411
N,1.8229781,0.37136975,0.14388113,-0.8652137,-0.76614964,-0.2335074,-0.014241673,-0.17708072,1.3013562,0.86601174,1.3182762,0.1906766,-0.4255976,0.35201162,0.47833863,0.38126653,0.98070925,-0.01153413,-0.08904042,-0.61123353,1.9786565,0.19338846,-0.31426567,-0.36389193,-0.3589882,-1.0022445,1.3083318,0.700828,0.6554567,-3.1557333,-0.7468316,-0.5140506
O,-0.19248775,0.16031142,0.6766879,0.54473513,-1.8218669,1.2006603,1.6147969,1.5122234,0.21436179,-0.26071718,0.93039125,-0.3803883,0.19840236,-0.2790034,-0.64507383,-1.2236766,-0.18211566,0.64687485,1.5513968,0.53381205,-0.5758386,-0.08138796,-1.5950673,0.9879002,0.6554906,-1.0482556,-0.8905915,1.9384614,1.089927,1.4123893,-0.17921835,-0.35303304
F,0.45260268,-0.070787504,2.4816947,0.8466294,-0.2837958,-0.21826221,1.0356011,-0.8271598,-0.63139224,0.015252462,1.3226974,0.43504873,0.35693756,-0.34555668,-0.48776808,0.13042562,0.42373565,2.4099586,-0.34246823,1.7901751,0.5833081,0.16718556,1.2778358,-0.08883486,-0.65975845,-1.7018062,-0.29600728,-1.101818,-0.34196982,0.44810396,1.0359697,-0.61282974
Na,-0.35403135,0.71331185,-1.6383884,-0.069891036,0.08654278,1.9762585,-0.84473324,-0.3169066,0.48308545,-1.242463,-0.7371177,0.5106607,-0.09896722,-0.19968309,-0.6047411,-0.15013038,-0.15822159,0.02241616,-1.3511208,0.3220712,0.23976499,1.2497193,0.83462083,-0.013821527,-0.049979325,1.2742312,1.5512546,1.5864718,-0.14106564,-1.2073828,1.8107021,-0.26243594
Mg,0.19713886,0.348521,0.785014,1.2551955,-0.46140105,0.39508027,0.8412161,0.48437732,0.20801483,-0.6189821,-0.26581216,-2.0801315,0.5232162,0.40961424,1.157855,-0.5098765,-0.8829107,-0.15351792,0.40139437,1.109607,-0.67160386,-0.7649574,-1.2627773,-0.89793783,-1.537112,-0.054249972,-0.5354685,0.62874323,-2.7348428,-1.0717603,1.297035,-1.284748
