Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-1.3833328,-0.875852,-0.22309208,1.7226527,0.3177468,-0.4203935,0.3072496,-0.7766284,-1.5567523,0.9978328,-0.879949,-0.59958637,-1.2773128,2.1232502,-1.2346907,-0.49035317,-0.91939825,-0.65821505,0.08142616,0.5257553,-0.4928716,1.1902202,-0.81519186,-0.73439115,-1.4044498,0.034747064,-0.059251897,0.67547363,-0.098191686,1.8421443,-1.1826365,1.3870558
Li,-2.511817,0.49202296,0.7848837,0.028309425,0.6420351,0.58158255,1.0661587,-0.45052055,-0.18467158,0.7523983,0.40555897,0.17649402,0.26480132,1.2731923,0.0011548763,-0.30372867,-1.4555719,-0.103062175,-0.59810185,0.47722712,0.7304392,0.09178913,-0.38791168,0.52711225,-0.011748084,0.24077803,0.13025244,0.763794,1.0964146,0.33870357,0.7198504,0.40706912
B,-1.9056195,0.23382364,0.024814818,-0.3450817,0.29388142,-0.7349686,0.1730376,-1.0959564,-1.607042,1.3528355,1.2944899,0.044936202,-1.5511551,0.7536126,0.77934057,2.024423,0.036002345,0.123117745,-0.80459577,-0.20644248,-0.9339537,-1.5898584,-1.1359938,-0.5214979,-0.5213374,-1.5025334,-1.9314367,0.12509117,1.0273018,-0.55503404,0.7043961,0.7069982
C,1.7714161,-0.9236951,0.95988995,-0.3355648,-1.175958,0.36017925,0.47847426,1.3498774,0.5249307,2.1091907,-0.52138263,-0.93009204,0.18358842,1.0700394,1.3036681,0.45952845,-0.8163067,-1.0246632,-0.49598327,-0.59232366,0.15136413,0.43963608,-0.1490676,-2.3169928,-0.39700174,1.0794164,-1.7788194,1.5035363,0.30898595,-0.50080574,1.030974,1.694063
N,-0.0058289813,1.6729258,0.15333691,-1.064234,-0.5688097,0.07928764,0.4018594,1.9971774,-0.08131724,-0.8967669,-2.0553927,-1.0806811,0.018184371,0.07414501,0.1959121,0.41026086,-0.9318953,0.2772919,-0.5368427,0.46287677,-0.8682023,-0.030078419,-0.34993753,1.4637877,1.2636952,-0.7189344,0.8545842,0.5195725,0.53984714,0.5739601,0.5119093,0.22833231
O,-0.67794967,0.5515926,-1.5141695,-1.6071728,-1.4916574,0.42296046,-0.13609691,0.7775563,-1.5988506,-0.12100573,0.713094,0.044295456,1.3012993,0.24722831,-1.9763974,0.00881187,-1.3696312,0.63305426,-2.5935295,-0.031565007,-0.15293129,-0.75385106,1.7136124,0.059938602,1.181923,1.9325179,0.72232795,0.97993773,0.415811,1.1555295,0.2602112,-0.029730896
F,0.9731065,-1.0220958,-0.546396,-0.44329822,-0.32179892,-0.12394992,-0.7163801,-0.04695157,2.0165524,0.2548164,0.9272307,0.7161456,-0.03191033,0.09774089,1.3291786,0.7175402,0.4020908,-0.712166,0.82944304,-0.95643616,0.44298342,1.2419626,-2.308779,-1.2873579,0.18160515,-2.1230931,-0.1258368,-1.0474496,-0.77036643,-0.04838754,1.2050775,-0.9696125
Na,-0.79462594,0.3751629,0.08790812,-1.2421257,-0.32058257,-0.844255,-0.55124515,1.9884274,1.8995855,1.6953472,0.028718319,-0.17532018,-1.7727805,-0.7033033,-0.39250046,1.8855946,-0.21817514,0.16557378,2.1425517,1.702821,0.3462203,0.6421029,-0.20614387,0.68413466,-0.14083281,-1.1800197,-1.2828662,0.4474306,-0.5902721,0.85408604,-0.4915315,-0.36052576
Mg,0.66268456,-0.06145849,-0.20164412,0.17783196,1.4843718,-0.9515556,-0.60086006,-0.10598769,-0.99564224,-2.4940486,-0.33431086,0.8451083,0.99502295,-0.33477134,-0.80949235,0.8164449,0.041833736,-1.069531,-0.7677608,-0.41684255,0.9834752,-0.13797645,0.14753789,-0.03338194,0.94487035,-1.5847554,0.97861373,1.1639047,-0.13916259,-0.28208774,-0.18929733,0.76867056
Al,0.6857252,-1.325602,-0.51666987,0.598138,-0.4704764,-0.5985218,-0.052345287,-1.6507423,-0.48394054,-0.7318483,0.32097298,0.13882363,1.0382895,-0.623549,-0.5003202,0.68339264,-0.5037096,1.1344568,-0.4517384,1.4223868,0.8543066,-0.047508024,0.6668054,1.0463113,0.69106936,-1.3247772,0.030756162,-1.1779613,-0.10713941,1.1955822,0.76611966,-0.74729455
Si,-1.3885611,0.4869573,-1.0021263,0.028153297,-0.431964,-0.97968197,-0.6460879,0.8258667,1.589825,-0.12241213,-0.48362145,0.110058084,0.07984958,-0.91942924,-1.2601942,1.0824014,1.1030147,-0.68336546,0.0681471,0.0024824536,0.16128655,1.1927532,-1.3097669,-1.4018699,-1.0606043,0.30548525,0.4117831,-0.7187819,2.8368208,1.9506463,2.051539,-1.0884224
P,1.6208675,0.85521406,-0.392932,-0.60143363,-0.502328,-0.62156075,-1.6447697,-1.0379505,-0.45273444,-0.08157742,-0.54279464,-1.1405554,-0.45534718,-0.030790986,0.3852248,-0.0443296,1.1858776,-0.32763538,0.6487541,0.094040416,-0.7571985,-0.64524865,-1.2776896,1.9636933,-0.96671593,-2.5641332,0.7041715,0.81597567,0.62713146,0.42379248,-0.34331906,0.5124467
S,-1.3672005,0.19443105,-0.61350405,0.16279697,1.5029093,0.21091324,-0.7177818,-0.94260824,0.5222295,-0.46380064,0.1792533,-0.38601705,-1.7873824,0.09229831,-1.9216125,-0.64319485,1.336272,-1.2940838,0.76563305,0.64519143,0.35151374,-2.6438687,-1.4577844,-0.9755211,0.24947162,-0.17883839,1.1989906,-0.42918763,1.0085233,0.6142526,1.2174581,-0.6091198
