Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.29023224,1.4511358,0.67783856,-0.53071666,0.087738626,0.48302326,0.41732213,1.2575321,-0.59753585,-0.50791115,0.62814355,-0.059716605,-1.1209034,0.8249185,-0.26973823,-3.8026118,1.6771632,-0.31106916,-0.29568955,0.6544392,1.17267,1.4010193,-0.4018289,0.022985926,-0.11047847,-1.958838,2.0930047,0.5332701,-1.179498,0.6060691,-0.784784,1.4868083,0.70974576,-1.4934363,0.7793024,0.58543795,-1.8112981,1.434409,-0.1529806,0.04726952,-1.2448887,-2.2382667,-2.052708,2.2715247,2.5906644,0.75575787,0.934753,-0.12054945,0.6045751,-0.0020125594,1.0228975,-0.10584818,-0.72133803,0.9824065,1.6196107,-0.11829353,0.6695968,0.0711868,-0.14013068,0.75570387,-0.26580602,-1.7677473,-1.5780277,0.35901806
Li,-0.44240057,2.5353742,1.4899138,0.121678986,0.38721,0.43650815,-0.21915749,-0.85668933,-0.1294551,-0.2933729,-1.0285463,0.36100948,-0.28487155,-0.6739274,0.7778428,1.4640998,-0.14465512,-0.5352639,-0.5763491,-0.31787136,0.35596707,-0.5199206,0.44597873,-0.3105097,-1.3063153,-0.032462865,-0.05696269,-0.49962696,0.94841135,0.77399784,-0.14421816,-0.22148189,0.1196884,1.601404,-1.0140302,-0.05315519,0.3902882,-0.124173075,0.0035666483,1.0101973,1.1751602,-1.0446066,0.15548675,0.82864684,-0.023186803,0.31269166,0.12695138,-0.49804235,0.59305644,-0.860438,1.8401431,1.0713304,1.3050538,1.3282666,0.953676,1.0660912,0.8508989,0.121666215,0.6123143,0.04777603,-0.0131190065,-2.1648223,0.9387674,-0.32106853
B,1.3048854,-1.5423284,-0.5427984,-0.3120128,-0.5825212,-0.49223885,1.3191622,0.8382396,1.5699675,-0.14572962,-0.18968388,-0.38821405,-0.33236432,-0.5554537,1.0569925,1.4142458,1.7522684,-1.5260674,0.91088766,1.2122971,-1.9597061,-0.3863645,0.84864634,0.44519305,-1.3639169,0.20452568,0.57275003,-0.32578892,-0.2756429,-0.27799484,0.25579774,1.3200705,0.78038496,-1.1794878,-0.28397262,1.9741613,-0.72154766,0.5349022,-0.907329,-0.5545963,0.37088922,0.95023894,0.30879372,0.14341839,-0.48807186,1.323255,-1.6190823,2.1851125,-0.6556355,0.82432866,-1.4307421,-0.6761088,-0.49851987,-0.12357142,0.12803592,-0.47771007,1.8660365,0.29179895,0.37915137,-2.6823826,0.42316365,-2.2861674,0.9444474,-0.8005788
C,-0.25913,-0.17870013,2.3567278,-1.3648716,-1.2764597,-1.2588466,0.66995615,1.0963999,0.30778462,1.4067109,0.1255394,1.3371893,-1.5215182,0.99067616,-1.8300124,1.1166396,2.7422552,1.2195586,0.5235047,-0.28238457,1.804428,0.9658035,1.688152,-0.5507615,-1.3842764,2.1662383,0.2480145,0.587216,2.2270854,1.1278132,1.5983591,1.5694664,-1.2580513,0.07312344,0.798503,1.3367009,0.49700832,-0.6153692,-0.72664106,0.29872018,1.2021599,0.8475238,-2.0769405,0.67513037,-1.1319885,0.12912379,0.9438858,-0.68585664,-0.120226726,-0.4893514,-0.71995103,-0.7292522,2.0995355,-1.1799293,-0.19896708,0.6735523,2.411983,-0.5000131,0.001792615,-1.8166351,2.010627,-0.1319814,-0.32135117,1.0069171
N,-0.04853084,-0.72120136,-0.8571033,-0.4518908,2.3989038,-0.7515185,-1.6630067,0.27471825,-0.3155613,-0.811296,-0.46904173,0.50903285,-0.46999693,0.62607336,-0.03323636,-1.2313709,0.43495268,1.2386626,1.4928097,-0.3758623,-1.1399506,0.08160624,-0.9506684,-0.077330865,-2.0309439,-1.6040397,-0.75928515,0.22269318,1.3945783,-1.1537058,-0.615016,0.064916946,0.20121866,0.6524715,0.20363729,-0.80490786,2.1266985,-0.021936012,1.5958431,0.5123079,1.8761864,1.412095,-0.026033856,-1.1161588,0.33561945,-0.9063078,-0.19004491,0.5493534,-0.52358794,-0.8687528,0.28806132,2.7202559,-1.4008875,0.13467777,-3.0804532,1.3006846,0.7043992,0.005452702,-0.3461614,-0.9489321,0.9452875,-1.7535795,1.2056714,-0.4618621
O,0.318886,-2.3327475,0.9085905,-0.73408383,-1.4602013,-1.4695424,0.36133376,1.4588215,-2.711205,-0.8806875,-0.36577204,-0.7038692,0.7914114,0.046536826,0.20989719,0.95291746,-0.10708452,0.47723147,0.29608387,-0.84835404,-0.5789668,-0.3598699,0.84996325,0.757767,-1.1980431,0.7146535,0.4218284,0.90541965,0.17831565,-0.98995936,1.4815445,1.4646416,0.94186795,1.4513625,0.15351936,-0.5672085,0.2148215,-0.8954877,-0.5417561,-0.07299556,0.7221338,0.64408857,0.13676514,-1.2662385,0.037895683,0.07482025,1.2943102,0.90107244,-0.7928791,-1.3814436,-0.20928888,-0.3601263,0.3239148,1.5767419,-0.23932737,0.38321316,0.2722444,-0.58604187,0.78799576,0.3864413,0.19838849,0.1460571,-0.09554524,-0.41814575
F,-1.2120686,-0.35771132,-0.39448282,-2.1018858,0.21988009,-0.23530117,-1.5112214,-0.8281179,-0.62332666,0.6513672,0.96517766,0.9894473,-1.7180488,-0.5811331,1.3751981,1.1480192,-1.1611776,0.17437351,0.66352814,-0.09884201,-0.6249586,-1.8846577,0.01759614,-0.25265646,1.9906061,1.5441103,-2.3721695,0.19553708,-0.6109498,0.15821402,0.08128893,-1.2208698,0.32138705,-1.4643747,0.6072138,0.6927385,-1.1281831,1.2899315,0.13358748,-0.3027455,0.9191914,-0.17392422,0.39746037,-0.7625377,-0.086045764,1.1139323,-0.47859558,-1.1128113,0.8475332,-2.3855994,0.36529583,0.83555704,-2.0361967,0.6770837,0.8741282,-1.6766359,1.472025,1.8951011,0.6900722,0.1321622,1.380687,0.29377925,-0.7735935,0.275869
Na,1.232457,0.12861387,1.1941785,0.08651972,-0.6697626,-0.3658512,-0.13622096,0.942638,1.1232411,0.9862883,-0.633611,-0.54708517,0.26720616,1.0051974,0.07632037,-0.2236659,-2.7445056,-1.0593313,-0.72058773,-2.6278536,-0.8697398,-1.1778866,0.6104569,-1.0810561,-1.1946396,-0.21452987,-0.2720962,0.47889444,0.8386902,-0.9516395,0.36795262,-0.3939389,-1.454769,-0.18146484,-0.48290932,1.3144256,0.2945711,1.9286538,0.29415256,1.5225142,-0.092832334,-0.17897443,0.24095011,-0.9581485,0.9242664,-0.40533605,1.2724371,2.2451568,0.47093552,-2.2810757,-0.38647404,-1.9158742,0.27600306,0.3024515,-1.4965723,-0.6608662,-1.6662829,-0.5145278,0.496344,0.9726517,-0.15654235,0.5891212,-1.1280688,-0.14165273
Mg,0.5226231,-0.3068528,-0.4024432,0.34384963,-0.17306577,0.80785275,1.6044154,-1.6447304,-0.5126931,-0.89517874,-0.27133632,0.058219157,-2.1977959,-0.7213424,0.4251375,-0.8641304,-0.9521438,-0.4009186,-0.75516,0.25812095,-0.1743703,-0.0068308585,-0.6378412,-1.4369857,1.0669398,2.7373784,-1.121661,0.18053421,-1.8162218,-1.2711545,-0.29696453,0.8288066,1.0403383,-1.1669086,-1.12856,-1.4110568,0.11236191,0.2511573,-0.5395914,-0.2913314,-0.11851381,-0.69545346,0.039099168,-1.8810139,-0.29946998,0.7136613,-0.21035558,-0.1890049,0.2605134,0.030754656,-1.2419386,0.5225936,-3.4440103,0.23033144,0.9558193,-0.39264956,-0.9236827,-0.50945705,-0.41280705,1.3943003,-0.22055171,-0.22796142,-0.03165506,-0.59295756
Al,-0.5075717,-0.7448966,0.45978254,0.12945153,0.6854776,0.13512251,0.2262976,-0.36740094,-0.4176602,-1.9688622,0.5603002,-1.6541289,0.69915396,0.5673513,0.47224635,-0.04765014,-0.73562455,0.4824138,-0.8762,1.0107565,1.2516524,0.25627363,1.4749781,1.086848,0.45730627,-0.08361868,0.33242998,2.2771668,-0.46342432,1.105217,-1.3867921,-0.016269695,-1.8704542,0.32696107,-0.52453536,-0.36781883,0.39090592,0.7548614,-1.0513407,-0.05624128,-0.76320875,0.031106278,-1.2426679,-1.0339762,0.43301734,-0.325304,-1.575167,-0.91342497,0.8874538,-1.4770417,0.04590656,0.8993528,-1.292105,-1.0548759,-0.5466477,0.14655107,0.39291644,0.8705724,-0.13841388,-0.44153348,0.97048354,-1.767229,1.2676542,0.6783611
Si,-0.19543742,-1.7032399,-0.17526454,1.3406078,-2.029646,3.5091658,-0.3873487,0.53895825,-0.2456718,0.23844545,0.55770963,-0.76288605,-1.344006,0.91274565,0.01958802,0.7822598,-1.6390018,0.93905187,0.3513785,1.328341,-1.7613007,-1.1379943,-0.32718745,0.95625246,-0.4477565,0.42054632,0.13796094,-0.49203807,0.55503315,0.48621628,1.678072,0.6314733,-1.0006335,1.3554099,-0.3036778,1.4382781,-0.28108883,-0.737822,-0.37405154,0.6060692,-0.22428848,-1.4298846,-0.10754759,0.59063053,0.010909433,-0.30114657,0.28327045,-1.1482685,-0.3943734,0.34160885,-1.6173503,-0.5879095,-0.6050791,-0.13478364,0.68056977,1.0847663,0.06407159,-0.20361347,-0.11287699,1.3470625,0.16863273,-1.9711645,1.7853111,0.23283757
P,-0.28234532,0.07227525,0.4184397,0.42896035,-0.9293169,1.2771065,1.2708571,1.2271825,1.482325,0.5668804,1.336879,-0.9148902,-0.6381944,0.43817323,0.49046212,-0.28643563,0.23175515,0.030094413,0.7383646,0.97297555,-0.0021338987,0.3769242,1.2029554,1.4276756,-0.41932768,0.6692686,0.11561134,-0.79820275,-0.41444987,0.00040557783,0.70918924,-1.3176957,0.46349186,1.4658089,-0.19152632,0.4241359,1.3537202,-0.28868797,0.52228636,-0.015895847,1.039276,0.50953615,2.0736122,0.84707624,1.0380315,-0.50888187,0.71446615,1.23728,0.88293076,-0.20097701,-0.8486058,0.43934813,0.94761586,0.29142725,0.5685712,0.9008288,-0.6679107,-0.3879446,1.3903592,0.3470924,-1.9377458,-2.5338135,1.203032,-1.4525194
