Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.03333735,0.0113782305,-0.7022414,0.061820664,1.2120821,-0.75331336,-0.50634676,0.024043294,-0.5068006,-0.15086654,0.51167667,-0.0889305,-1.9891473,2.5669856,1.3792984,3.5408776
Li,0.81456167,1.4639739,-0.35831642,-0.9798535,0.43807563,2.1853495,-0.39475682,0.046742477,0.22554998,1.3132341,-0.6358397,-1.2820218,0.037653588,-0.26440307,1.2497007,1.8615376
B,-0.3941648,-0.32645285,-2.2451675,-1.5272464,-0.16028048,1.433178,1.11134,0.96606195,1.1096847,1.6988851,1.408278,1.7054459,-0.35245478,0.013729723,-0.2518458,-0.41315535
C,0.63538015,-0.001812878,1.4922053,0.048429627,-0.05207073,-1.8541502,-0.34820217,-0.36985028,-0.5685108,-0.85284585,-0.056148455,0.55568427,-0.556866,0.6891644,-0.8767242,-1.302988
N,-0.07639602,0.79184115,-0.4358659,-0.9048827,0.8681535,-1.3175023,-1.2205495,0.37193424,2.6723685,1.9364719,-0.79959226,0.95310813,0.04752923,-1.029164,-1.060316,1.4638445
O,1.2393707,0.026638726,0.73419285,-1.9859421,1.0149819,-1.3664465,-0.078133576,-1.453249,-1.3553541,-0.0751256,-0.69242036,-0.62972754,-0.63774496,0.2964,1.7891077,1.6214907
F,-0.8160064,0.34588206,1.1662016,-0.28779516,-0.7581114,-0.57157236,1.0738506,0.4934537,-0.4633556,-0.35460657,0.66246885,-0.5463168,-0.76404274,0.40040866,-1.0661128,-0.7398217
Na,0.9511485,0.33305296,-1.3367509,0.36253607,0.6732114,3.2778997,0.08916513,1.6962318,-0.92193246,-0.6656166,-0.14245202,1.7577019,-0.6668479,3.173345,1.2537545,0.66735226
Mg,-0.5825136,1.543397,-0.6012213,-2.3320208,0.7305149,-0.12540813,1.8061066,1.2371633,0.5590401,-0.78815854,0.09045976,-0.8474327,-2.1765857,-0.63482153,2.0414433,1.5299288
Al,-0.31392068,0.9198283,-1.2211077,0.6802703,-0.90882546,-1.3030685,1.4533197,-2.6712153,-1.6746848,-0.418411,1.08735,1.680988,-0.9355616,0.7323422,2.2441566,1.024483
Si,-1.255932,-0.3656974,2.4120636,-1.3512098,-0.18830095,-1.5571274,-1.019157,0.5857602,-0.89411944,1.187219,-0.10741359,-1.1604584,-1.9857653,0.89354694,0.9389083,0.082863405
P,-0.23118244,0.0074986517,1.7907385,-1.4633365,-0.24178948,0.96887857,-0.20907214,1.7046943,-0.24261251,0.5656967,-1.1045115,1.3415223,0.72700834,-1.187985,-0.8661298,-0.637188
S,1.4581884,0.638895,1.256117,0.71819705,0.41461098,0.09616977,-0.065610066,-0.6824801,0.6222236,-1.1276437,-0.113185644,-0.2774884,-1.4497651,0.6474133,-1.4707067,2.2468457
Cl,-0.079943955,3.0926206,-0.35761625,-0.14477971,1.3425357,-1.0676141,-0.42319077,0.79318017,-2.559544,-0.8507971,-0.2957446,0.74485034,1.2309176,-0.86972535,-0.598752,-0.67401624
K,-1.9504086,-0.64846075,-0.19782463,-0.39940086,-0.03402078,-1.5612304,0.2554379,-0.7368774,1.4416033,-0.07377222,0.23074606,0.4473769,-1.1688247,-0.121971406,-0.40985954,-1.1322272
Ca,0.9783157,-0.8054592,0.4061595,-0.20867462,-1.292191,0.53720677,0.5927755,-1.3200102,-0.68582726,0.5732173,-1.0469275,0.90675956,1.5387105,-1.5799947,0.7946721,-1.7314683
Sc,-0.2859368,0.12445266,-0.6787665,-0.90242296,-0.16322738,-0.5100237,-1.6718643,0.30463815,0.16989759,-0.4970989,1.0545505,-0.31093422,-0.19672008,0.5858615,-0.16246966,1.277237
Ti,-0.36724657,-0.6907454,-0.075174935,-0.24794687,0.08847614,0.77705634,0.092363074,-0.68246675,0.40210706,-0.6801195,0.122256085,1.3519949,-0.74797493,0.758635,0.39798644,0.9544608
V,0.39703688,-1.242398,0.51121956,1.2507824,-0.39210662,-0.17744102,0.04826982,1.8750616,0.9797155,1.0783379,-0.80003417,-0.3409936,1.1052978,0.90080076,0.7522096,-0.119923554
Cr,1.8082826,-0.28635442,-0.67680615,0.43616223,-0.6934518,2.223164,-0.7905231,0.037326906,-0.64358056,0.20481983,-1.0592395,0.020922462,1.4529904,0.7087538,0.114052854,0.057208896
Mn,-1.3886633,1.4193312,0.58063716,1.073081,0.17624216,-1.8543608,0.8178539,-1.1327504,0.1551443,-2.674224,0.4682419,-1.5080636,-1.1420478,0.41071424,-1.8927594,-0.8143646
Fe,0.32852975,0.19382854,-1.5448093,1.7370512,1.0839121,0.67769504,0.13937466,-0.0005889296,-1.6702998,1.1633689,-0.2813178,1.6574392,1.0551234,-0.035135113,-1.0290686,-0.4473968
Co,-0.0786472,0.6856296,-1.2567621,0.43286198,0.4339432,-0.20083237,1.5473282,1.1176094,0.2980076,0.607822,-0.54589504,-0.5215633,-2.967739,2.2228804,0.37408474,0.39871496
Ni,2.5464947,1.233651,0.7306909,0.26446906,0.67686695,-0.8572514,0.30879927,-1.1612613,-0.3509876,1.7330289,-0.9674635,0.33786008,0.75077003,0.48571005,-0.005767551,-1.1568189
Cu,0.18256742,-0.051691502,1.666594,-1.0006657,-0.3945415,0.6184856,0.62208295,0.67942405,0.8833672,0.46952912,-1.4212273,1.2106316,0.4926747,0.44364333,-0.73658955,-0.7260582
