Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,1.1298953,2.7348173,0.01336996,-0.43346518,0.48033044,0.20192951,-0.48944563,-0.13759513
Li,0.16602136,-0.93567777,1.5464559,0.3734031,-1.5922946,1.3734388,-1.3162373,1.5687077
B,0.37723687,-0.10793451,-1.0193505,-1.3133326,0.14048956,-1.3184693,-0.294517,-1.1031027
C,-0.48877338,-0.79025656,-1.4013135,0.76617074,-0.72047865,-0.053928625,1.461228,0.13732953
N,-1.182755,-0.10834701,1.094229,-0.98423994,-0.2684035,1.1973225,0.27258065,0.30125162
O,0.4064124,-2.0261967,-1.0603656,0.027409628,0.0015545696,1.1667283,0.7096632,1.333995
F,-1.5697362,1.3047674,0.77906376,0.7921268,1.7415065,0.87842846,0.4435165,0.034100592
Na,2.0122104,-2.4620605,-0.5804369,-0.57229084,-1.9819708,0.2784443,-0.7687305,-2.32038
Mg,-0.07908246,-0.23452337,-1.5812718,2.3829272,-0.19024889,0.9181833,1.9922981,-0.12008599
Al,-0.007807005,-0.84779716,-1.5361904,-2.0943234,-0.5216208,1.2301619,1.5816102,-0.8263167
Si,-1.1571193,-0.14673387,-0.94957817,1.9133401,0.0811489,0.59270555,0.15531847,1.105828
P,1.2039751,0.5328998,-1.1557508,-0.43608347,-2.2631073,-2.7425642,-0.240165,2.0383346
S,0.5863131,-1.1347083,-0.7454386,2.0680351,0.0124781905,2.1100695,1.5322988,-0.24903347
Cl,0.08685227,0.59937215,0.2610711,0.34559134,-1.713442,-0.9497872,0.77493215,-0.03188452
K,-0.71300435,0.84467024,0.69064695,0.7454011,-0.2693353,-1.4153979,-1.5803591,0.05267036
Ca,1.3936199,0.339834,1.0536406,2.2596877,-1.934817,0.8254667,0.100025505,1.0824516
Sc,-0.87249666,0.8101277,-1.961626,-1.0659118,-0.16971481,-0.20394236,-0.09411686,-1.3189396
Ti,0.32482556,-1.4926704,1.1616056,-1.0508717,0.42724478,1.101347,1.271522,-3.2991998
V,-0.38321936,-1.1181138,1.0371275,-0.35699305,1.4257189,1.2430159,0.7582037,-1.7510784
Cr,-0.34722272,-0.2454053,-2.8288121,0.111537345,0.5183087,-0.11095503,-0.20123485,0.3850837
Mn,0.8850155,-0.82040435,-0.33441308,0.79928577,1.2368335,-0.8347123,2.6665382,1.4136279
Fe,-0.5357084,0.85733867,0.100877225,1.5389928,1.6003164,0.5958483,0.9368416,0.039064117
Co,0.35455924,-2.205196,-0.17882589,0.79872596,0.30080163,-0.84213907,0.18055886,-0.5734013
Ni,-1.0504562,0.48844758,-1.1325599,-0.12442665,-0.26047924,0.9281055,-1.0373914,1.915963
Cu,-1.4629471,-0.66330314,-0.05441769,1.1078252,0.96197134,0.4809949,-2.0422325,-1.1973368
Zn,0.032420345,0.47932237,-0.37427545,0.47296134,0.49913973,-2.1818004,0.96897864,0.69651794
Ga,-0.60827124,-0.16964063,-0.765938,1.2157298,0.03509159,-0.7039645,-0.7428906,-1.05604
Ge,0.22941026,0.8355337,0.8280447,-0.09646206,0.17972113,0.07140071,-1.2112455,1.7477068
As,-1.1561991,-0.56981343,-0.8254884,1.2202452,1.4570727,0.9737683,-1.002143,-0.8571135
