Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.1056029,-0.93862516,0.44669697,-0.1654543,-1.3673897,-1.9466437,-0.057386313,-0.4268387,0.32293627,0.26226488,-0.5764627,0.9108368,1.0155909,-0.6443263,-0.13996923,-1.1054271
Li,-0.050672434,-0.8614333,-0.242764,-0.6354309,0.4673539,-0.31936592,1.2231069,1.4257795,-1.2496953,-0.46316102,-1.0862563,-0.96510994,-0.332588,-1.819775,-0.05705659,0.96484995
Be,-0.7813077,0.23164941,1.54969,0.39031738,-0.49333143,0.16320804,1.3994303,-0.92999804,-1.798264,1.3960519,-2.1253765,0.26633164,0.571181,-0.011265401,0.3680642,-0.4250083
B,-3.2879152,0.47800246,-0.84490496,-0.009273669,2.5875514,-0.30320975,-1.1782266,0.6783804,1.6133531,-0.34503606,-0.15966015,0.4309865,0.42259383,0.12591024,-0.49881056,-0.51357406
C,0.049968652,-0.17351057,0.18687524,-0.6164665,-0.09479329,0.13436282,0.64501023,-0.21358104,-0.68412846,0.7326944,0.983235,-0.6804068,-0.8229911,0.7902817,1.5319325,1.3989537
N,-1.3690486,0.7237829,0.5887265,-0.6282515,-0.12575234,1.2301373,-0.37034407,-0.2620536,0.93281084,0.7703983,-0.256214,-0.21870431,-0.34562454,-1.7992375,0.5762668,0.2796961
O,-0.803674,0.094016895,-0.11362376,-1.7287296,-1.0400233,0.06801811,0.67998135,-0.18693511,-0.8241067,0.9671582,0.1326876,-0.26473352,0.757097,-1.1388022,1.1937199,-0.12501802
F,1.03665,-0.17806868,0.017717145,-0.36192763,-0.28001866,0.4550097,0.07644978,-1.1690795,0.22781427,-1.0158492,1.3073851,-0.61393434,-1.8651367,-1.4026735,-1.005872,-0.89148307
Na,-0.9729638,-0.43719995,-0.6605163,-0.48828417,-0.46754196,-0.05008231,0.9221874,0.19207095,0.17609331,-0.2819925,-1.1038802,-0.38139367,0.7121404,-0.23705152,0.8803306,1.1896169
Mg,1.032366,0.36746296,-1.7154151,-0.5936534,1.0214719,-0.4480476,1.2943331,0.98623043,0.18695414,-0.8720873,0.88843143,-0.64956635,0.9672049,0.6139164,-0.26692468,-2.303637
Al,-0.5624678,-0.03483398,1.2830303,-0.7919305,0.5514903,0.62337774,-0.246551,-0.19738245,-1.3043696,-0.36830387,0.6331051,-2.094148,1.9198886,-0.70767474,1.0611869,0.9700852
Si,-1.0775738,-0.21393442,0.8764683,-1.4387304,-1.3938593,-0.6653928,1.2403933,-1.0196704,-0.85177,-0.80343086,1.0015666,0.74787027,-1.8646247,-0.12918994,-0.38864425,-0.64930785
P,-0.92356586,0.744795,1.05333,0.84163916,0.7077395,1.3071799,1.7804059,-0.5184846,-0.069154754,0.21814239,0.7663198,-0.4893056,0.18783621,0.54452854,-1.9794266,-1.159045
S,0.60418123,-1.0800558,0.5215468,-0.42640662,0.939607,1.3294519,0.8265168,0.6977756,-0.6968725,-0.94164515,1.2754675,0.4095024,-0.22381817,0.6259645,-0.60125405,0.11286238
Cl,-0.45637733,0.052430212,-1.0865041,-1.4757243,0.16981119,0.66593856,-1.2647969,0.39533788,-0.42296574,-0.10848875,-1.8087924,-2.7977977,-0.21062435,0.23454167,0.41401204,-0.4589152
K,-1.8548791,-0.4210272,-0.65262324,2.1991773,-0.24660403,0.8136754,-1.937152,0.6079978,-0.33256847,0.15636353,0.9378304,0.42032126,2.120913,-1.9639677,-0.3586991,0.76742214
Ca,-0.58082616,-0.6781783,-1.3748796,-0.7734592,0.43822736,1.3901414,1.7722634,0.09433513,-1.1580008,0.11372056,-0.34024942,0.6085987,-0.22242898,-0.34953815,1.509855,-0.26865932
Sc,0.48808527,0.28060642,-0.030664288,0.2874083,1.0092537,-0.6715919,-0.27939576,-0.027377438,0.7123206,-0.67345107,-1.5515811,0.054623295,0.30317035,1.3594072,0.21482928,1.2799973
Ti,-1.3757826,0.21832803,-0.6575741,1.206911,-0.07155441,-0.26063696,1.4842602,1.3460366,-0.1546356,0.34567416,0.8441249,-0.10312178,-1.2243786,0.7568912,1.41852,-0.69256127
