Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.9644521,-0.744567,-0.7985138,0.3867327,-1.8633072,-0.3409711,-1.3206028,0.7317525,0.39828515,0.44330838,-0.4196512,0.663443,0.24282947,-1.1018515,-0.6529923,-0.61127096,-0.6857854,-1.7589781,-0.25476402,1.361922,2.4235501,-0.6669547,-0.905587,1.2663438,-0.23807895,1.5479238,0.6546747,0.60717875,-0.79347384,1.0702261,0.71659476,-0.1871423
Li,1.409393,-0.15193911,0.26154897,0.24545279,-0.5370031,0.036958423,0.5853345,0.53925866,-1.51233,0.25868943,-0.32733604,0.36890054,-0.48931772,1.4000449,-0.5614321,-0.70337355,-0.4409089,-1.3049393,-0.15978397,-0.4977876,1.0063641,0.436726,-1.3580499,0.85094845,0.8834672,-1.5080771,-0.6128222,-0.28066903,0.55203974,0.029652212,-0.2802895,0.099685736
Be,-1.2582816,0.09801162,0.62128764,-0.9023501,-0.066932276,-0.27984318,-1.1301792,-1.1874938,2.1081114,-0.83908844,-1.2654709,-0.29859844,-0.6473792,-0.07900073,-1.8601804,-0.7324276,0.9172412,1.4585398,-0.65339327,-1.0128274,0.41135722,-2.1227565,0.6460075,0.64874905,0.2571887,-1.0316129,0.030692538,-0.045749348,-0.67250395,0.5874981,-1.150187,0.263596
B,0.8281645,0.25921315,-1.0447373,0.10984251,1.5689998,-0.08279198,-0.3581043,-2.1198857,-0.24225423,-0.57265246,2.261155,-0.33555347,1.4614228,-1.2805631,2.7537808,1.4820598,-0.12781768,-0.5265987,1.9969318,-1.8557092,-2.3318877,-1.2523088,0.44344133,0.36318573,0.80364007,-1.3339111,-0.36343384,-0.41039795,0.05976964,0.6774428,0.8915364,0.60626924
C,-0.98682874,2.5562904,0.66281235,1.1245996,0.5802159,1.2685134,-0.073251866,0.011657843,0.24916571,-0.30629238,0.0067652245,0.39523962,0.8170086,-0.49937728,1.3034366,-0.29560933,-0.209946,0.20406204,-1.2044606,-0.5597247,0.2874184,0.8473572,0.4317759,-1.6128476,-2.1364107,-0.15108569,0.008545939,-0.43884227,1.5620378,-1.2789023,-0.24359986,0.30484572
N,0.09564851,-1.1958262,-1.7673062,0.7655624,-0.8100234,-2.1705327,-0.49516296,-0.2611291,-0.46710917,0.85372365,-0.6152987,-0.11984402,-0.54051536,-1.1683564,0.6371949,-1.3121785,1.815575,-1.0127314,-0.14207979,-0.49685732,-0.6942744,-0.5274978,-1.9294622,-1.0594732,0.57473916,-1.8834853,0.0022558677,-0.18772691,-0.041820202,0.80048215,0.40962645,1.0067651
O,-0.8446678,-1.742098,0.7809216,0.68998826,0.42338783,-0.20408538,-0.95250976,-1.0450441,0.40725285,-0.5593942,1.2505485,-0.36774784,0.046503697,-1.005686,1.3597554,-0.8753912,-0.84929407,-0.778273,1.4195951,2.3201847,-0.4074825,-1.6174333,0.24362575,2.3960927,-0.8785871,-0.6300133,-0.65637034,-0.20472348,1.4240599,1.2796172,-1.5714825,0.7379298
F,1.9638736,-1.2500725,-0.45086238,-1.4070966,-0.8970319,-0.32096934,0.6814823,-0.53243315,-0.2870187,0.26655683,0.58715034,-1.5314898,-0.67855304,0.3325675,-2.0380313,1.6715153,1.171572,-1.0407706,0.59801877,0.8243351,-0.63157314,-0.16969106,-0.17939918,1.1641585,-1.6666429,1.0086665,0.8432173,0.28607324,-1.733978,-1.1706618,0.3495281,0.6385609
Na,0.031473063,-0.5141184,0.39787498,0.3069394,0.5178053,0.14266889,0.47871745,-0.8817363,1.2729036,-0.798294,-2.019803,-0.5605596,0.71480787,-0.9138664,-0.9743153,1.4499924,-1.3615628,0.14811027,-0.6801013,0.15016878,0.3317027,-2.6678834,-0.6022436,0.5868091,-0.09454658,-0.24414313,0.6712345,1.1343268,1.0865403,0.58025694,0.79331714,-1.1037757
Mg,-0.7523415,0.7643945,1.1010401,-1.5988369,-2.5379748,-0.5764921,-0.39861763,0.48842436,-0.60136133,-1.0340004,-1.12659,-0.66746557,-0.27309266,1.212438,-0.13697796,-0.8559079,0.8721901,-1.0078586,-0.1996055,0.06803508,-0.8712697,0.7592088,-0.22694953,0.44383878,-0.11802675,-0.55642503,1.410621,0.59033835,-0.31445456,-1.9789066,0.058449294,-1.2473085
Al,-0.1911807,-1.3066792,0.26307997,-2.08168,-0.7342749,1.432647,0.9566289,1.555437,-1.7927197,1.5274394,0.04228247,0.028304795,0.3039394,-0.062335372,0.79147166,0.8460694,0.13321906,0.86991763,-0.5383587,-1.0433376,1.1579994,0.855157,0.4379373,-1.2872328,-0.60130197,0.21090098,0.96780276,-2.5883434,-0.012536602,-1.3223296,-0.16084482,1.3936499
Si,0.298869,-0.91908664,-2.2849507,1.0317068,-0.37775767,0.67438763,-0.3839354,-0.3955232,0.045754857,-0.0920547,1.1384115,-0.6960983,1.2767787,1.6698092,-1.3695343,0.93827355,1.4219639,0.4095329,-0.2866305,1.0327698,-0.08823705,0.03173041,2.0114548,-1.5688363,1.5553001,-0.20895621,0.8017709,1.5959532,0.06651098,1.7455524,-0.12748745,-1.3280907
P,0.84623814,-1.1330497,-0.18213795,0.11860029,1.1205018,0.038402855,-0.49591243,-1.4904579,-0.22292057,-0.3587007,0.6772815,0.7825779,-0.04894598,-0.10941606,0.26533,1.4485344,0.6733303,-0.18263897,-0.483508,0.32973132,0.18232967,2.5244944,-0.40358382,-1.135429,-0.41436902,-0.61364937,0.8981536,-1.4035608,-0.9172711,-1.2793548,0.5815863,1.0770848
S,-0.46309078,-0.08886713,1.2071062,0.25791413,-0.63359874,0.26144618,-1.4447322,-0.37748834,0.31692502,0.8402134,1.2533405,-0.26985684,2.5061936,-1.3485386,0.32649285,-1.4103966,0.23748608,-0.25704485,-0.7820325,-0.53963435,1.4023024,-0.5700254,-1.0999137,-0.7217149,0.986704,-0.019609284,-0.4922739,-0.17911175,-1.4313368,1.8756618,2.2919064,1.9952471
Cl,2.1885746,0.93088335,1.9270773,-1.3064411,0.3997935,-0.09734303,-0.38252604,3.3093507,-0.30891272,0.7683598,-0.46074456,-0.26419637,1.3101562,-0.8314942,-0.31149423,0.111574866,0.8719612,-0.7150618,-0.011492129,-0.5158339,0.5967141,-1.4207428,0.38204914,-0.2578673,0.0046649575,1.0527234,0.7595099,-0.10321694,0.026206676,-0.5736055,-0.17968455,-0.42475316
K,-1.5124848,-1.8355677,1.5682164,-0.3958097,-2.6745775,1.2216079,0.74955165,0.52688086,0.38186294,-0.9940577,-0.87537766,-0.8276445,0.732513,1.5775535,1.8290112,-1.8145667,-0.15983374,-0.009494019,0.9393618,-0.04959919,0.17262667,-0.10623708,0.35179406,-1.3780495,1.3275131,0.84304094,-1.3476721,0.6496013,-0.062774174,-0.3805477,0.67707187,0.8926408
