Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-2.3818908,1.1949817,0.71854264,-0.06986099,-0.5936238,0.19371447,-0.6242423,-0.37154216,-0.49466255,0.59072953,-0.08966537,-0.36333445,0.94748914,-1.1041096,-0.9684087,-0.3401823,-0.43428692,-1.0189407,-0.62985605,0.3210781,0.048921634,-1.0035228,-1.4436278,-0.66695434,-1.2386829,-0.30975676,-0.5943554,0.14077576,-1.6841173,-0.4628032,-0.51333696,-0.36092797,0.42746586,-0.9414582,0.5842926,-0.8197045,-0.22837761,-0.07515479,-0.63589305,0.25569564,0.21243948,-1.1346,-2.395198,1.4047161,-0.38280672,0.6540138,2.339782,-0.88252115,-0.9072416,1.5795411,-0.79959065,0.7031772,2.5376709,0.9831394,-1.7741411,-0.45469683,-0.6681186,0.5026603,1.7585493,-1.2182889,-0.56014276,-1.302674,-0.7427683,0.22406372
Li,1.2059162,-1.2586492,-1.8563098,0.49952412,-0.17837301,-0.36345285,-0.5086457,1.1104311,-0.9034992,0.22277841,-0.692942,-0.551577,0.5162147,1.2458992,-0.08729677,-2.3786306,0.51602733,-0.60505474,-2.2541106,1.5131891,-1.2634777,-0.73058844,-0.93144,-0.4317973,0.9961477,0.37108335,-0.1529273,-0.50646275,-0.527355,1.1443074,-0.27397895,1.8504275,-1.4500397,-0.76294273,0.3437736,-1.0328313,-0.111621305,-0.7407964,0.71104413,0.8563858,-2.1629446,0.04838863,-1.1105185,-0.43644682,-0.13064924,-0.71690077,-1.4253796,-0.3690529,0.26113516,-0.43844196,-0.14395428,-1.897295,0.71596366,0.44205958,-2.0927153,-0.6741218,-0.48731697,1.1595693,-0.27054808,-1.4539187,0.09796647,-0.27279735,0.014012658,-0.26338938
Be,1.9776036,-0.11376135,-1.1204304,-0.65256065,0.15093419,-1.3375797,2.1629179,-0.4809561,1.0124563,-1.3231193,-0.42664906,0.50552756,1.0155871,-0.13254015,-0.24012235,0.55111927,0.8700538,-0.20866203,-0.59096587,-0.45689806,0.73470324,-0.37018314,-0.10469219,-0.73220277,-0.09692212,-0.56543726,-1.4073541,0.41509777,-1.7234219,0.0031050565,-0.49508536,-0.258694,-0.69486815,1.3643028,-0.81402385,-1.1313676,-0.045553528,-0.5779532,0.8776816,0.5102739,1.2088857,-0.15208592,-0.35620874,-0.3351221,0.12975407,0.24502993,-1.4450511,0.08642158,-0.5993775,-0.051476993,-0.15571551,0.056730326,0.27212402,-0.2324795,0.23245668,0.17432897,1.2862949,-0.0669135,-0.69009614,-0.38116637,2.0041587,-0.78368866,1.2853944,0.7879051
B,-0.33238888,0.029967451,-0.059650306,-0.2942936,-0.60017073,0.4794034,1.0375364,-1.0961088,0.69754106,-0.5423688,0.42450038,0.8970581,-0.79341596,-0.09806836,0.4579908,1.2521559,1.0889349,-1.2178466,0.034738436,0.43842626,0.39579785,-0.1540284,0.84857225,-0.7196219,-0.24378082,0.38256904,-0.043096572,0.67931783,-0.7525812,1.556369,0.6467742,0.8449234,1.1221641,0.7285957,-0.40524498,1.7244765,-0.12539728,-1.7898761,-0.0812566,-0.022778796,-1.0633279,-1.0253901,-1.7115955,0.83713573,-0.15100907,0.16148056,0.57241946,0.3833273,0.83191305,0.6462799,-0.924533,1.2132711,0.5609492,1.2093236,0.06939967,-0.3372149,-1.4056128,-0.51058924,0.9963044,-0.029160982,-0.8897809,-0.2992874,-0.9438381,0.09625814
C,0.09028237,-1.1220738,-0.5787359,0.35247055,1.0831987,1.2859539,0.23453337,-0.6015595,2.0396655,-0.33605352,-1.5816305,0.7444913,0.22086817,0.5523614,-0.028242035,-0.2423125,1.2484113,-0.1086542,0.97649264,-1.079825,-0.6269716,-0.23303497,-0.53997993,-0.4365124,1.0562433,-0.13813959,1.3964481,1.9177318,1.0684736,1.3653253,-0.77068,-1.174358,0.22944637,-0.9447726,-0.8807687,2.1033354,-0.15388873,-0.18818107,-0.47215012,-2.1827579,-1.061881,-1.6127915,-0.5773935,1.2538548,0.7974886,1.4615127,1.0793748,0.91991955,-1.6072919,-1.0211756,0.8584432,1.4605235,0.72220314,-0.13212483,0.46813524,1.8112911,-0.6342394,-0.044407558,0.46530312,0.43549642,-0.5842543,1.2360519,-1.1302117,-0.26017997
N,0.8217527,0.76015323,-0.051367246,-0.17020145,1.3006425,-1.6114643,-0.5647962,-2.0095437,-0.7363201,1.8401103,-0.9499349,-0.8369027,0.29643932,-0.13165163,0.35542613,0.9387298,0.06210494,-1.0360494,0.18762079,0.38592568,-0.12314002,0.24659805,0.83239686,0.14262906,2.0915468,-1.2002816,0.16805562,0.94053644,1.383361,-1.1709822,0.3126048,-0.66624653,-0.491156,0.15816697,0.97823685,-0.63328594,-0.9545836,1.6375881,-0.7473276,0.46047416,-0.8190218,-1.3888747,-0.18244375,1.497672,-0.23700535,0.33242655,-0.07286353,-0.37981924,1.9925911,-0.94969755,0.6416329,-0.057389956,0.66433686,-1.3585755,0.5475113,0.266651,0.6557452,-0.62609977,0.650961,1.7840372,-0.41680035,-0.39418787,0.70171744,2.602759
O,0.622624,0.0322914,-0.33705485,-0.03209511,0.36566105,-0.90913695,-2.3206275,0.15161626,1.1902081,0.030599635,0.17016353,1.2927283,2.8479233,0.9674843,-0.25556007,-0.85583377,1.2520955,-0.9094471,0.22369778,-0.14112365,1.3518343,1.1638896,1.27374,0.7051775,-2.081339,0.86315733,-0.15493613,-0.5373402,0.44008118,1.201433,2.3530295,0.6014491,-1.1955823,-1.7510006,-0.18437174,0.87458247,0.7348523,0.26294652,-1.3176947,0.6068977,0.68926275,0.69537973,-0.52289516,-0.15003444,-1.0841796,0.7434675,-0.21951795,-1.0310022,0.3059239,-1.629237,0.4636045,1.2059727,0.78557575,-1.8554285,0.71068776,-2.290556,0.14034109,0.5364567,0.87107503,-0.6581207,0.26369625,-1.3516276,1.9921329,-0.42218304
F,-2.0659482,-0.25091875,-0.0032599554,-0.48174575,-1.17348,-0.26798424,-0.4185916,1.534698,0.9332734,0.8572249,0.7309247,1.1848112,0.16945434,-0.94405437,0.010103616,-0.25170964,-0.74757737,0.2133712,-1.7328064,1.514435,1.115333,-0.47107112,-0.8992722,0.59055674,0.45959666,-0.29492804,-2.2545562,0.008192174,0.031945147,1.8195965,-0.68991405,-1.1471373,-1.1651018,0.29830644,0.9507576,-1.4304887,-0.33919108,-0.7118945,-1.1620592,1.0356503,-0.15103193,-0.37162414,0.5154183,-1.5330929,-1.7837307,0.20583606,0.7269222,0.074444756,0.66486734,0.81157446,-1.3817636,-0.3672214,0.6683733,-1.8820412,-0.33988452,0.78001225,0.16066055,-0.18508844,0.22965646,0.9973577,0.3413655,1.257974,1.2989032,0.34440118
Na,0.40551502,1.2223216,-0.56534916,-0.53505945,0.75069475,-1.1746839,-0.45585203,-0.19641052,-0.50214446,-0.26174164,0.04446821,1.9283327,0.05009296,-0.6078233,-2.0525405,0.58878213,-0.5238608,0.94353646,-0.24395317,-0.48326853,-0.8929814,1.4007126,1.2256387,0.95062244,-1.0543612,-0.13756417,-0.39374334,0.24877058,-1.4272,0.06824108,0.7765823,0.44943243,-0.044030882,-0.97124624,0.85286826,-0.7957687,0.33714125,-1.2331553,0.25847462,1.4340936,0.44481054,-0.36883363,0.3924744,0.071668185,0.6699304,1.5321934,0.69871783,-0.20803887,0.17069477,-0.38041607,1.041949,0.31208843,-0.7051062,0.6438401,-0.6386524,-1.1404663,-0.3758391,1.0284597,-0.40684354,-0.62943953,0.42191434,-1.3570708,-0.15198065,-1.163373
Mg,-0.032824162,0.8533871,0.84222645,0.8758864,-1.6905986,0.26875913,1.3344141,-0.6644759,-0.07590412,-0.43494728,-1.376581,0.24371044,1.5568128,0.6161489,-1.7522999,0.30625322,-0.35003582,-1.2268993,1.0465119,-0.3183275,0.2236584,0.8001433,-0.26264584,-0.30451298,0.8561152,0.4161659,-0.36483818,0.27975208,-1.1886408,-1.090866,-2.218938,-0.5418879,-0.4086089,-0.4644811,-0.3451186,-1.3625597,-0.3062653,0.6620333,0.65621614,0.80785596,0.3719101,-2.2868006,-0.5776848,0.9884701,0.26731595,-0.18362261,0.054376226,-0.74147767,0.23700775,0.6871319,0.4959112,-0.023977578,-0.0754697,1.8189299,-0.17158604,-0.76771,0.8859789,0.0016870932,-2.9132233,0.30968964,0.38296998,-0.106249474,1.255089,-0.762559
