Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,1.7147783,-0.60783505,0.35602823,1.6967684,0.3551324,-1.0559627,0.15631545,0.010132956
Li,-0.32688847,-0.3594665,-0.6424104,-0.68970245,0.9034858,1.0072141,-0.94332933,0.07697279
Be,0.78885245,-0.828305,-0.2740951,1.4817281,0.79399604,-0.21934655,-1.6984259,0.56990254
B,-0.54775214,0.8660042,0.28257754,0.57640916,0.26951927,-2.357211,-1.1103624,0.20838623
C,-1.5199951,1.7676152,-0.12629856,0.58665663,-0.19334741,-0.9700581,-0.28241056,0.7157574
N,0.73442894,-0.11559597,0.18035184,-0.62805474,0.0879986,-0.9222761,-1.4454434,-1.9790646
O,1.1177238,0.094907135,-1.5415134,-0.35814005,-0.47688562,-0.2027203,-0.7470875,-0.115318835
F,1.3480806,0.113380626,-1.175061,1.0831262,-0.78345764,0.49203607,-0.2719305,-0.32035702
Na,0.29062524,-0.8866592,0.73873997,-1.9604678,1.4832704,0.5763924,-0.36087143,0.7725616
Mg,-0.088919066,-0.40646756,0.35671178,-1.4577562,-2.0809484,-0.24512815,-0.17551798,0.16305909
Al,-0.04239326,-0.81543225,-0.027836246,-0.12754402,0.9284935,-0.024308058,-0.22840945,-1.2897606
Si,-0.07107566,1.826481,0.35381183,-2.088527,0.29494452,-2.0073833,0.3717912,0.5498766
P,-1.5173103,-0.8443793,1.7434827,0.20896703,0.92848116,-2.740989,1.6919664,1.1962388
S,-0.10550916,0.21612678,-2.2556896,-0.20091534,-0.87608707,-0.20858516,0.06035648,0.2788995
Cl,-0.14726582,0.36774674,-0.56061864,1.7334913,-1.8438503,0.2790157,0.41839853,-0.52171403
K,-1.4208446,-0.5972123,-1.2957916,0.40393838,1.3771725,0.5339226,0.9665693,0.48234597
Ca,-1.1521517,-1.9448173,0.55216616,1.2967292,0.35727516,-0.2089496,0.08230831,-0.79497504
Sc,-0.924612,-2.7971928,0.2592709,0.604823,-1.0563985,0.10669296,0.30696848,0.17162651
Ti,1.5225294,1.3840636,-0.48777243,-0.32713467,-0.48513985,-0.51001257,0.3374545,1.9110622
V,-0.8876874,-0.47295204,-0.774858,-1.1205224,-0.012089278,0.5438746,-0.017022097,-1.0637012
Cr,0.8298692,-0.49994174,-0.6349763,-0.57993,0.39772338,0.29318717,1.7441413,0.5102932
Mn,0.6019263,-1.3980851,-2.21645,-0.005928315,1.3167017,-0.5972708,0.6306124,-1.0533502
Fe,-1.1078448,0.07368947,-0.45533565,1.6037792,1.1006074,-1.3511415,-1.0316086,-0.47701937
Co,0.6773674,1.0503939,0.32587907,1.7453263,-0.5595611,-1.0623178,0.46590632,1.2949744
Ni,-1.6594274,1.2333578,-0.9037161,-0.16919619,0.19406722,1.3750358,-0.1469469,-0.5798406
Cu,-0.4463053,-1.2402432,-0.39203134,0.43787658,-2.4228227,-0.1043081,0.042268254,0.096698955
Zn,0.4249494,-0.07723663,-0.11957689,0.50227034,1.4872426,1.8490689,-0.024245791,-1.8165658
Ga,0.8348074,0.3743831,1.3125284,1.4887263,-1.3310543,0.4608071,0.79401666,-2.0237215
Ge,1.0638057,-0.9407107,-2.1862328,0.8562091,0.53252536,0.8273148,-0.29034162,1.5140233
As,0.01250283,0.03609812,-0.48376343,0.15097554,-0.22697593,-0.37899837,1.7199744,0.13865344
Se,-0.12661861,-1.0097944,1.5567288,0.26767302,0.9605385,-0.19138849,-0.63384885,0.87701285
Br,-1.4313285,-0.28426582,-0.7119026,1.6427705,-0.32128465,1.4650233,1.138174,-1.5673808
Rb,-1.1735417,0.8182601,-0.92131007,1.2818173,0.25957584,0.9190531,-1.0084381,-0.5884108
Sr,-2.0765493,-1.8165891,-0.49003777,1.4963135,-0.9145321,-0.112250954,0.087344214,1.1186326
Y,-1.780042,-0.6456342,1.3817745,-0.43184224,0.10622974,0.48252434,1.012144,-0.36002213
Zr,0.75178736,1.591544,-0.31915206,0.6891736,-0.16929103,0.41606784,1.0868723,-0.116005756
Nb,1.1940858,2.2055085,-1.0412042,-1.1720436,-0.65924996,0.096600145,-0.8499454,0.4851289
Mo,0.124749966,0.9916815,1.4001611,1.0002137,-1.0698545,0.9482957,1.0527899,-1.2880639
Tc,-0.7450956,-0.7482266,-0.6113098,0.092434466,0.1501859,1.1942779,-1.2930126,0.9672246
Ru,-0.38136885,-0.0014502308,-0.5256113,0.277623,1.3058578,0.094603516,0.71783364,-0.9287729
Rh,-0.76987463,0.80553484,0.10720882,-0.66069466,-1.5980232,0.7342823,-0.7402924,-0.6843425
Pd,0.2811463,0.28838798,-1.1979612,2.0192704,-0.1797706,0.8340105,0.629292,0.3957789
