Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.20872673,0.80807805,0.12062556,0.71898675,-0.6605131,-1.6180614,0.61479664,-1.6263821,-0.3759201,0.30996293,-0.8252262,0.7816788,2.1735568,0.49845216,-0.8281727,-0.9931992
Li,-2.2768548,-0.9471378,-0.046930294,-1.2713374,0.6004717,-0.49971384,-0.6206539,-1.3738426,-1.5521464,-0.5173961,0.6654707,1.4268909,-0.7762309,-0.16292636,-1.9632759,0.019613074
Be,-0.0710752,-1.0025126,0.3261632,-1.3729094,1.2445874,-0.5355119,0.8090992,0.19491473,-0.53876746,0.81873924,-0.36986944,-0.1036175,-0.0036722773,-0.5593109,3.3118496,-0.9166532
B,-0.7225421,-0.8370513,0.7949727,-0.5847681,0.5277405,-0.08270113,-0.88346386,1.9441596,0.5527574,1.8571284,1.1089667,-1.5699785,0.18037356,0.28592575,0.020780336,-2.0717607
C,0.39213797,-0.051969506,0.5851155,-1.1207879,-1.3592199,0.27206725,-0.67770284,-0.19982709,-0.012814993,1.021469,-0.72359484,0.9113858,0.013105132,-0.7706539,2.3932009,-1.9184244
N,1.1733944,0.017555201,1.1946019,0.05072231,1.1691028,-0.43553987,0.43746865,-0.18010834,-0.13917083,1.5004202,0.68508565,-1.2878453,-1.387668,-0.021873455,0.428428,-1.0168059
O,-0.93211687,0.49750176,-0.5723506,-2.1816673,-0.7658638,-0.7685989,0.6337585,0.53913224,-0.7310625,0.9075231,-0.043074142,-0.11498657,-0.12568197,-0.9562871,0.010384059,-0.60091084
F,-0.40267375,0.13821669,0.46687132,0.6416527,1.3473446,-0.55505574,1.7239606,2.340075,-0.0627329,0.13714951,-1.7130988,-0.2671751,-0.26905414,0.7692363,-0.56784475,-0.3692256
Na,-0.8914122,0.8372117,-0.05563962,-0.89004606,0.9220787,-0.9094229,-0.03773711,0.6803521,-0.19290364,-1.5562814,-0.69447446,-0.07350137,1.0154506,0.09385137,-1.1439464,0.99443614
Mg,0.12496692,1.200456,-0.5037877,0.643056,1.0424011,0.48611182,0.6462246,0.68087167,-1.8523072,0.7052426,-0.21318516,0.33931416,0.71154445,-0.6833069,1.3042896,-1.2747947
Al,1.0538363,-0.12636626,0.16396147,1.311963,0.6074841,0.56801546,1.4971895,-0.902399,0.4941698,-0.8032868,-0.497516,-0.055832524,0.042101745,-0.43197727,0.061071537,-0.1557379
Si,0.29815114,0.2795537,1.8932052,-0.88367087,-0.13654697,0.41058615,-0.7694971,-1.7122108,0.882662,0.018375318,-0.93348134,1.262959,-0.5839274,-1.4418272,-0.17828657,-1.0908148
P,-2.3505158,-2.590189,-0.9771331,0.7440472,-0.55711156,0.76992565,-0.4462901,-0.94928634,0.58522284,0.87552917,-0.17851275,0.852682,-1.6392128,-0.7911449,1.0419574,0.6041903
S,0.39134017,0.43250486,-0.8785862,0.048469607,0.8343799,-1.8762718,-1.8375834,0.50153476,-0.45316395,-0.00097341446,2.3018088,1.4789534,-0.76465094,-0.42396584,-0.17372382,0.6234541
Cl,-0.53520656,-0.4184141,-0.7297043,-1.0078747,0.75235116,-0.13744664,0.5945042,2.1855934,0.03535078,-1.1054175,1.6097972,0.4580182,0.46115375,0.98496014,0.36352444,0.27439472
K,-0.24155736,-0.9386584,-0.6297769,-0.042379726,0.82392454,-0.91974777,0.07089285,-0.34101817,0.061806,-0.18163466,0.5512519,-0.34211743,0.18801568,0.37757725,-0.74649256,-0.89721376
Ca,-0.45809796,2.4369526,1.039635,0.47502688,-0.16096394,-0.16202125,-0.3740784,1.0217583,-0.34984884,0.33389887,-1.4629306,-0.4678166,0.3255923,-0.7620843,0.36958274,-1.0729034
Sc,-0.3072842,0.2148239,0.9087067,-1.2776893,0.9598921,-0.1418995,1.0610976,1.8030901,-0.057285286,0.074925944,0.74660814,0.083263196,-0.6945807,-0.5312875,0.76524806,0.89151186
Ti,0.15714543,-0.91978836,-1.1092997,-0.77543575,1.5573275,0.15720525,-0.31262207,-0.12854007,0.14297698,0.5647268,-1.0153337,0.91386765,-0.5458178,-0.59501094,-0.45873454,1.0058461
V,1.0548556,1.4962294,0.23238055,0.35301933,-0.9780021,-0.4133722,-0.51262367,0.7300776,-0.19115,-0.020276627,-1.0295587,1.2895286,0.22630118,0.5260096,-0.6045162,-0.6449426
Cr,-0.16271801,0.13087648,-0.036784805,0.9060578,0.978001,-0.20521611,0.10885551,0.42914912,-1.5030304,0.41362286,-0.7971466,0.54953647,0.35718322,0.7514038,1.2428336,1.4995002
Mn,1.4575388,1.2932338,-0.57440305,-0.100745626,0.7727666,-1.346112,0.5376419,-1.1706848,-0.37080187,-0.08402746,1.5527134,-0.13845441,-0.003887055,-1.0847825,0.16485944,1.1036527
Fe,-0.77288264,1.2661109,-0.14577614,-0.38065317,-0.024184998,-1.1529707,-1.961339,1.0335356,1.7283187,0.33122364,-1.05779,-0.194806,0.13933408,0.70247304,0.9453899,-0.47116333
Co,1.4393846,-0.93278116,0.38441062,-0.97072107,0.7100395,2.8815947,0.34242943,-0.6733658,0.7415794,1.8069485,-1.6092523,-1.1702911,-0.94122994,0.3214755,0.43424928,0.43785933
