Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.97120106,0.9189217,-0.57278144,-0.7730023,-0.9221511,1.1221198,0.31628308,0.27017605,0.76798356,-0.8490421,-1.3716416,-0.99868554,-0.71283746,-1.1389437,0.57736963,-0.10971408,-1.242894,0.97078717,-2.0673316,0.3114127,1.453682,1.118166,-0.022440095,0.771944,1.1954007,1.4833442,1.7789712,-0.15308134,-0.3603799,1.0583832,0.20453505,0.35510147,-0.9927137,1.0893949,-1.6672786,0.7359364,0.044619866,-0.11850709,1.6994623,0.05724646,-1.0812595,1.2244307,-1.0710168,1.6637666,0.5396049,-0.645126,0.7836144,-0.15352693,-0.3515361,0.60913485,-0.84345526,1.6841602,-0.2782495,-0.17178805,0.02764703,-0.70327216,0.38904426,-0.7254781,-0.7388803,0.62343633,-0.06258596,-0.1686357,0.15922621,1.7002647
Li,-1.0605934,-1.3918734,0.476816,1.4384011,-1.2585964,2.156498,-0.50180256,0.037101217,0.8112426,-0.43694744,-2.45688,-2.482642,0.17715558,0.5170717,-0.45659128,-0.15113463,-1.8547022,-1.60775,0.84067976,0.36710513,-0.009845062,0.5713775,-0.96540284,0.19322623,-0.9035748,-0.62435716,-0.88929474,0.90640736,2.081811,-0.909992,-0.4646297,1.3810203,-1.2710475,0.43667597,0.9409222,1.2987874,-0.67585,-1.0581542,0.10385425,-0.67990285,-0.28219882,1.0434687,0.21865149,-0.23621202,-0.15332434,-0.8306167,-0.48775494,-0.17555757,-0.45842448,0.8669375,0.053715408,1.1366966,-0.12903966,0.25160736,-0.22128569,-1.6276077,-1.3350923,-0.5644536,-0.77266306,-0.74595594,-0.23285453,1.2504283,-0.44310167,-0.5832699
Be,0.7749875,-0.6418366,0.5693857,-0.79986995,0.18162464,2.0304513,-1.2365716,0.1408442,-1.505401,-0.1599987,0.37525567,0.82584405,0.59634787,1.0868132,-0.6760793,-0.59572643,0.66167825,-0.51498187,-0.46957326,-0.01641594,-1.5972667,-0.4885592,1.6076015,-1.0095854,-0.22423553,1.058764,1.1313677,0.068346515,-0.24759239,-0.21495864,-0.73925006,1.4037153,-0.4008451,-0.59816647,-0.18063554,0.775089,-0.1445166,-0.33471698,0.20633146,1.3145036,-0.9154406,-0.6133976,1.3738947,1.3744758,1.198057,0.01992591,-0.3165663,-0.7035672,0.16600531,-0.9686276,-0.47412848,1.2312094,0.80142856,-0.7026245,-0.669499,0.17564501,-0.79734087,-1.178073,2.100496,0.6785068,0.20361525,-0.021507388,1.4057951,1.0446695
B,-0.24636966,1.1913295,-0.5318381,-0.7503735,-0.8940453,-0.7361659,-0.54426575,0.86167043,-0.44438472,-0.89550066,-0.82033825,1.5167707,-0.16650812,-1.1644884,0.69068027,0.71418184,1.61043,1.0304,0.37295857,-0.67609704,-0.9738752,1.9788312,0.1720024,0.124503,1.2919123,0.9186878,-0.47629517,-0.3941453,0.91070503,0.31311935,-0.49066338,1.5846158,-0.21547636,-1.0523869,-1.6655768,0.38639024,0.026536753,1.9127346,0.1667496,1.224627,-0.5189594,-0.16396067,0.24407591,-0.80523497,-0.8049769,1.9946446,0.43901393,1.10443,2.4326737,-0.5455964,-0.5501821,-3.3109698,0.22789857,0.31334788,0.13936462,-0.153715,-0.35753512,-0.10657254,-0.17653944,-0.8119578,-0.48179772,-0.36805737,-0.17651813,2.493833
C,0.23819597,0.6074228,-0.034648784,-0.025469467,-0.15828815,0.36742765,1.215345,1.8047544,-1.5817065,-1.1991762,-0.54022557,0.66572285,-0.33896914,0.9677988,-0.6170999,-0.3015657,-0.51868534,0.07316473,-1.2339933,0.61821836,-0.81270915,0.42035294,-2.6244688,0.51591593,-1.053622,0.852312,1.4478894,2.1813598,-0.29743612,0.7384301,-1.5601392,1.5624002,-0.29615477,1.4868991,0.88601637,1.3963547,-0.32075956,0.74560416,0.9223445,-1.6868998,-0.015954584,0.89105487,1.092638,-0.38570842,-1.4672546,-1.7176104,0.6982868,-0.8797512,0.26238465,-0.050023768,0.6663161,-1.0931711,0.92784953,0.66796124,-1.0847521,-0.23628063,1.0436372,1.9176531,-0.297457,0.7395663,-1.3719238,0.90370256,-0.7286921,0.35747057
N,0.82572,0.19507197,-1.0823916,0.51096576,-1.4423571,0.56732535,1.0425358,-0.7956772,-0.37566644,-0.35307607,0.2562521,-0.32863662,0.30022553,-0.57351005,0.88334036,-0.658429,-0.6665117,0.4624568,1.9299583,-0.55862653,-1.2295736,-0.034223415,0.5832342,-0.28495884,-2.007095,-1.5242157,-0.20037843,0.40262428,0.16662237,-1.8581817,-1.0792078,-0.24027856,0.78828335,-1.4223614,-0.83693665,-0.48744732,1.0304296,1.370604,-1.6352649,-0.8676822,0.9587785,-0.9881346,0.4608821,0.027334442,0.82198983,-0.6741224,-2.2111342,0.6570881,1.0536224,-1.8122911,-3.3988936,-1.751506,-1.064033,0.30089256,0.9148827,-1.1410239,0.7003195,0.07723881,1.1925395,0.32864222,0.036409926,0.97744155,0.21078487,-0.5341891
O,-1.404652,0.13681929,-1.7657163,0.6004703,-0.7180192,1.2013289,0.4647726,0.14713462,0.46192107,-0.73010176,-1.5731735,0.30945244,0.74193656,-0.08276935,-2.2835054,0.73905456,0.36645085,0.7922294,0.21533492,-0.4832044,-0.25001532,-0.31078592,0.87273365,-0.41700158,-0.6753376,-1.0083311,1.7703935,1.2862283,-0.89442164,-0.9098033,-1.1159726,0.7287732,1.3747221,1.4857978,-1.0054506,-0.1305589,1.1170855,1.0965161,0.7034802,0.60800165,0.43890548,0.3534901,-1.1859123,0.5628807,-0.4589935,1.1071378,-0.4295603,-0.3297107,-1.068281,0.56806856,0.20386249,-2.318006,-0.37717697,-1.6280198,1.7552277,0.26063725,-0.49496627,-1.964344,0.6351355,-1.6435572,-1.0985768,0.7531298,-0.12785175,0.08175542
F,-1.1320117,0.92137504,-0.36237597,1.3714885,-0.8468185,-0.7215104,-0.9698309,-3.0496564,-0.36850116,-0.7033741,-1.4289441,-0.6142348,2.158474,-0.10204494,-0.41025278,0.48911306,0.72861856,-1.8996367,0.8481421,0.22325394,-0.29929614,-0.2879946,-0.23929717,-0.76511526,0.9378084,0.2573206,0.7683559,1.0203212,-0.0015734668,0.014307945,0.13079686,-0.7760713,0.9122809,-0.18266217,-0.8705266,0.5245142,-0.5326675,-0.2646298,1.4163166,0.52423394,1.814359,2.4741263,0.30520484,-0.0048137424,0.2819593,0.16772853,-0.1554331,-0.77582586,0.09422891,1.2429005,-1.112901,-0.20535336,-0.4390454,-0.2418441,-0.7747187,-0.20834701,0.9138359,0.1506587,-0.48634633,1.03273,0.66324353,-1.5539374,-0.7165854,-0.63336116
Na,0.3035536,-0.5733323,-0.46233693,0.37168443,-0.022194805,-0.020404128,-0.09569142,1.6980015,1.178437,-2.7016294,0.36503088,0.6857487,-0.16171397,1.1888558,-0.405942,-0.57387716,-0.21233411,-3.0083983,-0.6842971,0.0893946,-1.3155777,-0.61214143,-0.20908459,-1.2121856,-0.8762936,0.22097938,-1.5599157,1.2454286,0.29673812,-1.1752833,0.2593678,-0.6043108,-1.2410245,0.704646,-0.46796316,0.011643683,1.051602,0.643644,-0.4308932,-1.2785267,1.0138217,-0.70341414,2.039894,-0.52141446,-1.2247844,-2.167426,0.8283551,0.5577492,0.45938382,0.21329299,-1.6213887,-1.0831367,0.04364996,0.7772375,0.9213859,1.367863,1.118585,-0.5471879,0.8279161,2.0645561,1.1819756,-1.1979102,0.31099176,-1.0691577
Mg,0.8312038,-2.2350738,-1.0051975,0.0673123,0.2912967,-0.5270213,0.855609,-0.028813962,-0.12820828,0.61201715,0.13103607,0.13258924,-0.11093485,-0.4376382,0.19680005,1.9730803,0.1753009,-1.0537877,-0.2768589,0.26936767,1.6913439,-0.75729394,0.514404,0.8017478,-0.10866525,1.0818216,1.7466638,-1.379348,-0.030913154,-1.5574267,-1.6821287,-1.1898568,-1.3855127,2.480871,0.5625079,0.776514,-0.30968252,1.1472433,0.1605338,-0.79985064,-1.7474648,1.1644015,-0.16748713,0.07902627,0.87640446,1.9772264,0.48592317,0.1681261,-1.9536567,2.6154327,-0.4009713,-0.35510543,0.54398036,1.3941336,0.4213663,1.3941826,-0.2056804,-1.3150423,-0.627948,0.7575632,-0.09882799,-1.636114,0.11217177,0.85256594
