Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.6336988,-0.26641837,-0.65706646,-0.10126829,1.4084368,-0.15774296,-1.2004416,1.55822
Li,1.1120322,-0.7088524,0.24232465,-1.6845899,0.44682088,0.18955301,0.062086374,-2.11557
Be,-0.05122487,-0.51010674,0.8402371,-0.77174664,0.6414684,0.0077432175,-2.0146086,0.7229045
B,-1.0222492,1.7084177,0.18420136,1.6470301,2.2245831,-1.8145305,0.5077298,-1.4319589
C,-0.5001874,1.1503172,-0.9730806,0.4207066,1.6076454,-1.3277395,1.012287,-0.13352649
N,1.2546717,1.2379131,0.61891323,-0.83945614,-0.34074882,0.13896814,-0.55720687,-1.1536165
O,0.3754567,0.72347164,0.03976033,0.57862806,0.947826,-2.5807347,0.55309254,0.217482
F,0.9556257,-0.650135,0.85364455,1.0671679,-1.3170882,0.07660816,-1.31725,-0.751095
Na,-0.5802029,-0.540294,-1.9172493,0.3941272,-1.6102751,-2.084748,0.22117491,1.7112377
Mg,1.464753,1.5007018,1.473742,-0.5118318,0.60726357,-0.2035384,-0.49934992,0.9316206
Al,-0.8441999,-0.14611115,0.29141828,0.36946732,1.1144954,-1.2555987,-2.0977907,-0.8276637
Si,0.55713344,0.9326321,0.85304457,0.1283787,-0.31727034,-1.6292014,1.1410102,0.82617736
P,1.7328733,-0.914898,-0.49333313,0.74807554,-0.61542976,0.07467654,1.4156649,-0.110363156
S,1.3609594,-1.1370361,0.4675648,-0.4260226,0.10816481,-1.3500539,0.46554536,-0.41329563
Cl,0.090528905,-0.6691148,0.93962765,0.43811655,0.5188325,0.6364212,-0.9195774,-0.609917
K,0.4327826,-0.9499411,0.30900562,1.3063614,0.043802634,-0.8785424,0.55629265,-1.273374
Ca,-0.108338214,0.8958304,1.8580952,0.4954171,-0.040668797,0.09076773,-0.4895148,1.5717385
Sc,-0.631455,0.29447508,0.8887393,-1.0695823,-1.5240736,0.025717625,1.3788215,-0.5699216
Ti,-1.7141407,-0.60971224,-0.3793506,-0.7414915,-0.5882336,-0.52277976,-0.8342943,1.1391928
V,1.3002455,1.077288,0.81343246,0.0862838,1.4051032,0.010856213,-0.45212233,-0.0984943
Cr,0.59740937,0.21488135,0.4176297,-1.4739193,2.4386473,-0.5618754,-0.66923916,1.2551346
Mn,0.6111584,0.9471884,-0.73494756,1.7221948,0.13946493,0.5316866,-2.217962,1.5888007
Fe,-1.2899607,-1.6358917,-0.92561424,0.31382337,-0.5747931,1.8903912,-0.9895048,-1.7669833
Co,-0.59634113,-0.7541588,-0.88027775,1.1249382,-0.7491033,-1.7457824,0.453761,-0.21451485
Ni,1.7415528,0.39313415,1.242789,-0.291776,-0.009494833,-0.12906355,0.70712847,-0.09331632
Cu,0.41347882,0.5568323,1.2930982,0.39456624,0.37200156,-0.7991912,1.1909325,1.6471139
Zn,-0.09434203,-0.62732196,1.2463739,-0.00066995,-0.32096928,-0.726585,0.9627866,1.401204
Ga,1.9437959,-0.0064179054,-0.36540157,-1.2898852,0.119471215,0.21495579,0.6070032,-0.067085914
Ge,-0.94921196,1.0765694,-0.43568036,-1.4050885,-0.012941544,-1.9589882,1.2500552,-0.5298449
As,0.9139994,-0.37080824,0.8628002,1.1251162,-0.13282207,0.36981896,0.6482283,0.14277598
Se,0.7125233,-0.3900688,-1.5947222,-1.4769517,-1.6673677,-0.6554512,1.299692,0.5449297
Br,-1.2177048,-0.062317748,1.9463369,0.14992602,0.14926162,1.22538,-1.0594342,-0.82218254
Rb,0.5402147,-1.1155024,0.042644147,-0.058653597,-0.14050974,-1.0105568,0.8652972,1.6852988
Sr,1.5803944,0.5359362,-0.17035237,1.7822605,1.8673183,-0.58309466,-1.469617,-0.8344709
Y,0.25948077,1.6851032,0.93609166,0.955421,-0.31517753,-0.17636359,0.357174,1.5291055
Zr,-1.236323,-2.0821514,-0.22671993,-0.15893805,-0.26079485,-1.0089123,0.117053606,2.496345
Nb,-0.23451158,-0.197711,-1.6167481,0.7061492,1.1714418,1.5981922,0.41909656,0.47321135
Mo,-0.21313593,-2.8839483,-0.5955794,-0.12874098,0.36554766,-0.16222464,-0.93312883,-0.82416815
Tc,1.6748191,2.0205858,-0.6546416,0.30812827,0.7164636,2.0412488,-0.74588233,-0.9799284
Ru,-1.3009611,0.6939142,-0.8938772,-0.214564,-0.005315873,-0.5248168,-0.6211465,-0.5620793
Rh,1.1403289,0.8236384,-0.6525527,0.734317,-0.3632571,-0.076453894,1.036906,-0.3269359
Pd,-0.8309422,0.3921164,-0.77317524,-1.6413792,-0.9120927,-0.59142244,-1.1759007,1.0471907
Ag,-0.81343144,-0.3862619,1.1475332,0.94850874,-1.5020418,0.67022026,-0.13316344,1.1402533
Cd,0.4739105,0.16138823,0.032769214,-1.9912168,1.4335948,0.11689267,-0.76830745,-0.017070195
In,-0.90143114,-0.68371457,0.96216846,-1.6562302,0.53710186,-0.33505768,-0.20475872,-1.1235951
Sn,0.8197161,0.948661,-0.6238636,0.8989684,-0.11784953,-0.41141236,0.6350544,0.5427991
Sb,1.2879843,0.6591257,-1.5973104,0.8648317,-0.30409533,-0.5063412,0.59376085,-1.9755987
Te,-0.7093461,-0.21964121,2.085873,-0.36865157,-0.21205547,-0.17905195,-0.4073111,-0.5673223
I,-0.18416716,-1.0133051,0.8198354,0.08886951,0.8864533,1.383397,-1.1926703,0.16185275
Cs,1.4856441,1.2547594,1.2952285,-0.41237327,-1.9627295,-1.4059008,1.6762948,-1.3729677
Ba,-1.6030062,-0.5516795,-0.12924476,-0.016966188,2.3880715,-0.53762287,0.5627114,-0.5634978
La,0.4133843,-0.6343479,0.9754802,-1.7328867,1.5777164,0.5956634,-0.6055701,1.0693794
Ce,-0.090879664,-0.13839985,-0.59142286,0.020486271,-0.821022,-0.73699194,2.517928,1.7758183
Pr,-0.750394,0.3201138,-0.43130752,0.0898016,0.41290748,0.6494884,0.22844082,0.006407023
Nd,-0.3512646,-0.44103345,-0.052464228,0.9701612,2.549081,0.6845281,-0.57215184,-1.587488
Pm,0.88164246,0.622844,-0.28576162,0.560949,-0.35257798,0.7150897,1.006005,1.2629062
Sm,-0.74333763,-1.7730113,-1.1623874,1.2314863,0.4532853,1.3559198,0.9408322,-1.2110765
Eu,0.53464055,0.0056830575,1.1982065,-0.8351836,0.5854861,-0.12710276,-1.6386592,0.6880323
