Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.48080564,1.1064361,-1.5038424,1.497467,0.9307304,-0.13720126,-0.6515044,-1.2147712,-1.6885375,-1.1500084,-0.92028457,-1.61549,1.9227939,-0.54620355,-1.6441559,-0.3396586,0.4844145,-1.637104,-0.18282855,-0.07221658,0.58085704,-1.3097647,0.90166444,-0.93291533,0.38107535,-1.1543087,0.1093412,1.9422019,-0.14666441,-0.73244816,1.1016139,0.38230333
Li,-0.45613354,0.4442076,-0.18469855,0.8977124,0.56203455,-1.0862437,-0.545895,-1.0086206,-0.113114715,1.2200301,1.162758,-0.1064768,-0.7417427,1.3726907,-1.5078126,0.05174167,0.096031405,0.62880534,0.15689427,-0.9438874,-0.0050329,1.4991608,0.34470794,-0.74679756,-1.1891763,0.23826467,-0.9558227,-2.1629186,-1.8049625,-0.07900298,1.0351639,-1.2717539
Be,-0.30249164,0.9851481,-0.3385669,-1.0447057,-1.364923,-0.61468977,-0.75481766,0.02984842,0.25939536,-2.6766696,-0.5872742,0.25255898,-2.442122,0.81337327,0.41961217,1.2569796,-0.98159754,0.13214202,-0.056421343,2.349341,-0.8001593,0.48214546,-0.02995482,-0.67810166,1.0666803,-0.9788561,-0.14378035,0.08583312,-0.041583173,-0.077548474,0.7219702,-0.661658
B,-0.08277906,0.47510782,-1.1719046,1.0273156,-0.3067413,-1.409109,0.30852833,-1.5114424,-0.7456729,-0.6975201,1.0969566,-0.9967524,0.052712888,-2.1497781,1.9715182,-0.4011047,-0.41033122,0.9317856,-0.395666,-1.134981,-0.11902596,2.0004895,-0.62879795,-0.5202358,-1.9238197,-0.14440055,0.6655134,-1.3720765,-0.8187919,1.5134646,-0.33625957,-0.8516996
C,1.1122285,0.6671127,-0.34833226,-0.9629716,-1.5612022,-1.4619955,1.9322647,-0.42265034,0.48835996,-1.2275796,0.29279855,1.3438948,-0.36166713,0.19854522,-1.4134219,-0.6785668,1.5262036,-0.53102374,0.22468829,-0.9358749,0.5451817,-0.3635202,1.1977223,-1.050754,-0.7794881,1.2032776,0.0620536,-0.85318065,0.5485004,-0.6012112,0.6818076,-1.0679178
N,-0.5359791,0.0871368,1.6020612,0.55389994,0.42629018,-1.5820913,1.3067193,-0.48740974,0.3872543,-1.0806516,-0.45981017,-1.1568139,0.44413805,0.63539875,0.26705608,1.533974,2.0862467,-0.17917016,0.33569402,1.807466,0.011243581,0.22752179,0.9855264,-0.8395682,-0.530954,-0.77695245,-1.9972286,-1.1473242,1.9394544,0.134923,1.6324801,-0.10455702
O,-1.063239,0.64006424,1.5783504,-0.60955465,1.31317,0.44512329,-0.6514704,0.03053126,1.4965758,1.6417454,-0.82208484,-0.5918192,0.010704864,-0.13635112,0.5272752,0.035144534,0.32421643,-0.14271222,0.3045376,0.77201265,-0.9123666,-0.75236887,1.5513935,0.88224554,0.44908255,-1.3971831,-1.0069709,1.2317156,0.42507508,-1.1099724,-2.6276531,-0.07010005
F,0.5199322,0.3415647,0.20480362,0.021819402,-0.69632757,-0.4025271,-1.8980376,-0.28333005,2.531244,1.3869689,-1.1350776,0.19350474,0.98125714,0.42618585,1.0407609,0.87149876,2.4419026,-1.9540478,1.4589108,-1.3943093,-0.49184352,-0.035388645,0.32535383,-0.12519352,-0.5836913,0.5865599,-0.46724948,0.85868657,1.340214,1.1395274,0.33201468,0.8421681
Na,-0.36916822,0.6498943,0.9864399,-0.60160637,-1.1019583,-0.7273206,-0.6012434,1.5214632,-2.0195746,0.024739144,-0.4229119,2.5522647,1.1480411,0.67135864,-1.5592169,-0.3192641,1.4438776,-0.93233794,-0.4395419,-0.42619085,0.7462358,-0.22945328,1.2060343,-0.48610842,-0.8959819,0.28970742,1.2286539,0.50657165,-2.112782,-1.031532,0.8223656,0.74448186
Mg,1.951704,-1.4357952,0.2838482,-0.02764266,-0.8839505,0.65805084,-1.4061135,-0.94118726,2.3358493,-0.93329126,2.116393,-1.1733559,0.28720745,-0.003688169,-0.9853543,0.76574117,-0.13696371,0.17116864,-1.9365779,-1.6906711,0.15408206,0.7739376,-0.10167362,-0.87938976,-0.7680944,-0.86018836,-0.37512532,-0.109967664,-0.94868886,-0.9870729,-0.73429555,-0.38204312
