Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.14002964,-0.019548064,0.8659027,-1.2340701,0.11641601,-0.63175035,-0.33790088,-1.3667756,-0.51315856,-0.019689046,-1.0893608,0.33456227,-0.17714277,0.68883485,-0.37012556,0.07730757,0.40286398,-0.5709039,-0.62882483,-0.71016467,1.9424516,-0.37835613,1.022488,0.8982424,-0.59433836,0.9535053,1.01856,0.69823635,-1.5164162,0.9074691,-0.23917156,-0.33106163
Li,0.0125219375,-0.4946492,1.7495276,-0.31848243,0.08438066,-0.8150322,-0.40708524,0.94613117,0.6939137,-1.6562914,-2.1633265,1.1005844,0.30959138,0.6857165,-0.078189425,1.0663215,1.0796672,0.44596565,-0.21277308,-1.0151907,0.18552883,1.6970022,0.3248712,-0.9491262,1.6928393,0.5456767,-0.45890224,-0.0043216785,-0.9432021,1.7879746,0.50122887,-0.22132996
Be,-0.102591805,-2.384277,-1.5181587,0.78992116,-1.4779999,-1.5493519,-1.0035694,0.022532146,0.36264032,1.1022222,0.8000754,-1.3821245,0.6989446,-0.7411693,2.1234937,-1.274188,0.70389783,-1.9227884,-0.6430868,1.1997195,1.0123569,0.10597903,-0.66480833,1.5076389,1.3814784,-0.723152,0.5123058,0.8723608,0.4357778,0.9791836,0.91953236,1.8745399
B,-0.24190322,-1.3666992,-0.90210414,0.8538629,-0.016925104,1.6117166,0.92317045,-0.6046784,-0.5945626,0.7973464,-0.3739899,-0.43735966,-1.4672785,1.1227815,0.709841,-0.66714805,0.3095768,0.17151354,0.49572027,1.0026306,1.5376366,-0.14500545,0.22911857,0.76310587,1.1434405,-0.9980314,-0.9535246,-1.3630812,0.7636696,2.21038,-0.9738685,1.7904345
C,-0.37061882,0.24065794,2.235458,-0.48792565,-0.91676384,1.6422981,-0.3205637,0.6146867,-1.2939111,0.020011403,0.67376167,-0.7372653,-0.6691089,-0.30035484,-1.0763432,1.0786461,-0.68102586,0.6095942,-1.2178565,0.49493653,-2.853061,-1.454908,-0.23492019,0.5777534,1.5894514,-0.711798,1.3567508,-0.17589413,1.3679242,1.4579315,1.0064292,-0.061189838
N,-0.37872022,-3.340219,-0.41592965,-0.44263318,0.5208734,0.6589497,1.6434194,0.91149056,-1.1932746,0.96853197,-0.17684753,-2.5118413,0.4434333,-0.6080901,1.0503157,0.6192454,-0.836365,1.1230006,0.304566,-1.2392079,-0.012183785,-0.16655062,-0.13582385,0.17186548,-1.9290582,-1.2632154,0.3874222,1.7387207,0.7574129,0.26339123,-0.0021791395,-0.34508678
O,0.52488285,-0.67249155,-0.29657832,0.52645165,-0.008179428,0.19318686,0.93582034,-0.2135668,-1.2543806,-1.2550728,-0.96669215,-0.38610792,-0.17450058,1.6151127,0.5220387,2.4009752,-1.6654862,-1.276255,-3.1919055,-1.1507652,0.0044830753,-0.23326282,-0.8856141,0.02124981,0.3737812,-0.9523763,0.24901113,0.21994025,0.43760446,-0.5168423,-0.14098534,0.50024253
F,1.1886741,-0.63784754,0.81387776,0.7850077,-1.874591,-1.264308,-0.9855095,-0.6934249,0.53707016,0.32876816,-1.5716231,-1.1106985,-0.9778522,0.24840489,0.7575798,-2.3610814,-0.2320285,0.9287229,0.038930018,2.060469,3.004939,1.7035769,-0.34412122,1.6213831,-0.117631935,0.94897383,-0.16679816,0.7140924,-0.36493778,-0.110266894,0.3412756,0.7337339
Na,1.1671791,1.5407689,-0.90846395,1.1190752,-1.7869161,1.0947441,0.47686538,-1.1331695,0.69593966,-0.011181291,2.079486,0.59975904,0.28675365,1.8154626,0.7624076,-1.4039778,-0.26422286,-1.3945472,1.8299793,-0.5018482,-0.9322468,1.0818756,0.50455457,0.79578954,0.6648314,-0.5859892,-0.88615686,-0.030255066,-1.1895934,0.06829134,-0.3347017,0.16114816
Mg,1.9064019,-0.56581086,1.5051266,0.16938235,0.7797092,0.004287642,-1.0707393,-0.32814562,-0.11292125,-0.285599,1.6185287,0.6481417,-0.77375114,0.040887635,0.30229262,0.32986107,0.6567997,0.5726377,-0.7411266,0.42751616,0.7305338,1.1561445,2.3511958,1.0631928,0.6468724,0.007546485,1.8155255,-0.7309157,0.37831154,0.32668027,-0.6817741,-0.10518088
