Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.16221339,-0.85641485,-0.7882324,0.31470042,-1.5957717,0.21646295,-0.098704144,-1.0502821,-0.53813136,2.184607,-1.4060421,2.2876651,-1.2165946,0.737863,-0.67484295,1.6035824,-1.0823568,1.6148475,-1.3604358,-0.36769897,-0.4020101,-0.2681212,0.9578517,1.4844366,-0.056047276,0.27819237,0.704106,-0.924382,0.45914754,0.070510045,1.0930746,-2.2865002,-1.6435176,-0.7391661,-0.43143052,1.4171103,-0.69542956,-0.09273622,2.0843143,0.07507006,-0.94087887,0.21895652,-1.3471161,0.32666117,-0.645857,1.5667293,-1.0204939,-0.99778193,-0.20522062,-0.65300167,-1.5645416,-2.020162,-0.73107034,1.0174928,-0.5921936,0.6591979,-1.2832667,0.04542562,1.280018,0.22535115,-0.060700376,-0.48178372,-0.049427453,0.5375
Li,-0.1069123,0.0431319,0.36136708,0.54393,-0.27459142,-0.11086827,1.1678542,0.021962412,0.22945039,-0.28292474,-0.36973858,0.7786923,-1.1500393,1.0874228,-0.048763644,0.2991716,-0.25081146,0.5674217,-0.0054713963,1.304507,-1.7381454,0.39840227,0.33436295,0.6422524,0.2947088,0.9672062,-1.7336421,0.8927443,0.964652,-0.30411705,-2.3277092,-0.4722242,0.038750406,1.1406571,0.16700605,0.31804124,-0.27535293,0.7124667,0.6147216,0.27078512,-0.6098612,-1.2550304,0.0051902127,-1.6318561,-1.1759852,-0.78590894,-0.3199492,0.9569405,-0.23847614,0.6009837,-0.32426432,-1.1313789,-0.17835034,-0.79193264,-0.5624579,-0.64993715,1.4596424,-0.32693133,0.46785676,-0.9764674,-0.17164889,2.2341626,-0.19178423,0.31878847
Be,0.2617545,-0.37382445,1.189462,-1.1155301,-0.26512983,0.62040305,-1.8626648,-0.914925,0.6354171,-0.54423594,-0.13805804,0.27804837,-1.1788307,-0.9211481,0.43939373,0.32612827,-0.03608453,0.1934653,-1.3297174,0.14458807,0.14487685,-1.3781936,-1.9523394,-0.82467824,-0.05255198,-0.24033704,0.13103461,-1.2066547,0.5878096,-1.5636805,1.4656401,1.8994267,-0.32375666,-0.4504031,0.57691556,-0.11122065,1.5003426,0.22921842,1.3122362,-0.19436586,1.5397893,0.042702522,-0.23667963,0.20790578,1.5768466,0.393046,-0.60417783,1.5474058,-1.3037689,1.6213797,0.7526797,-0.19252683,0.15051363,2.4202375,0.6018254,0.06541385,0.3891548,-0.2591048,1.0358316,0.6185821,-0.911365,-1.4016558,1.5924524,1.2436892
B,-0.8861523,-0.3726192,0.35969898,0.63371426,0.85901,-0.61752313,0.15943277,0.3045072,-0.7145896,-1.2128482,1.6961843,-1.5903095,0.57199264,-1.2549406,-0.52288014,1.2356246,-0.14642759,-0.5276226,2.0744348,-1.0230056,-1.3447338,-1.0630561,-1.3903122,0.08825292,0.22818476,0.093919754,-0.7025283,-0.24138351,1.1162145,0.016714927,0.5362867,0.07333631,-0.8650365,0.5721438,-1.6622567,-1.2408245,2.1501977,-0.66089374,-0.034822013,-0.8346028,0.42781368,0.35345444,-1.5148696,-1.7442933,-1.1080519,-1.2568247,1.361374,0.4184305,-0.5716735,-0.45221537,-0.23520793,-0.90520453,-0.74299645,-0.9927333,0.50751626,0.5080844,0.73203325,-1.4359872,0.32100362,-0.11499271,0.4581322,0.92604375,-0.071231775,-1.0926546
C,0.47142622,-0.55124056,1.4593108,-0.50730723,0.10295075,-0.073802695,-0.3194479,0.28407583,-1.8245564,-0.204499,-0.36747566,-1.0072613,0.62898654,-1.6624932,-0.8897338,0.40956628,-0.7630904,1.9855297,-1.3725908,2.0992079,-2.1257563,1.5334954,0.020704502,2.213533,-0.36003423,1.547947,0.7649431,0.24492396,0.6243466,-0.82582456,-0.5634076,-0.17612822,0.8967024,0.13626418,-0.44980016,0.7426011,0.49235156,0.70000845,0.104685776,0.2731453,-0.14653237,-0.64675313,-1.6112442,0.2742767,-0.14620377,0.7668766,-0.26070687,2.1824946,-0.7171617,-0.2990132,-0.29694453,-0.73865986,1.5988959,1.8650138,0.17856462,-0.405031,-1.4099143,-0.42119542,1.0870478,-1.2220266,-1.9101561,-1.7785069,0.6837837,-0.68536353
N,1.189119,-0.6030897,-1.2792284,-0.20166929,1.2937032,-0.18052772,-1.4219298,0.28101218,-1.5801281,0.5793938,-0.3871247,-0.8808263,0.8761827,-0.7934543,-1.2133865,0.7981474,-0.2220785,0.2674345,0.57488436,-0.4919077,0.5476299,0.58502823,2.2742813,-0.7455052,0.34095052,1.2448168,-0.77591,-0.92633325,0.7863373,-1.5306741,-0.94511396,-0.5856191,0.14268564,0.18177027,0.24235629,2.0528045,1.0122925,-0.08140796,1.1230394,2.3983,1.2852792,-0.29869214,0.1806668,-0.12485174,0.59145576,0.9348957,0.40748408,-0.6044994,-0.65360296,0.7593514,-1.1465731,0.2872535,-0.92375886,-1.8526784,0.33205804,1.028199,-0.20851916,0.15243623,0.49296257,-0.13404518,0.17470904,-0.4175225,0.7789902,-0.10820019
O,-0.50614446,-1.8530717,-1.1403401,-1.3179191,-0.76715964,0.90929943,-0.0721245,-0.019187529,-0.37888741,0.5695184,0.19865856,-0.5979095,-0.6076,0.42447707,-0.099585876,-1.074171,1.027658,-1.1465709,0.2593928,-0.6719567,0.6751013,-0.840717,-0.25508916,0.9236336,-0.97841936,0.3731516,-0.09165442,-0.057426754,0.8281634,0.6322853,-0.17672835,-1.414047,0.29021534,-0.92497057,0.5674179,-0.27574658,-1.0739108,0.74503404,0.8532758,0.8393757,0.4751294,-0.88401556,-1.3504405,0.71598566,0.89023876,-1.389506,-0.7029877,-1.3086734,0.6199928,-0.16731606,-1.883721,-0.75151896,0.5167288,1.9157256,0.5732197,0.57206434,-1.2620305,1.9607759,-1.101227,0.03083022,-2.3332973,1.7523597,-0.10760569,0.07366846
F,-1.1024338,0.7310832,-0.26896474,-1.077695,0.56677526,-0.3157285,2.3231585,1.2396702,0.6250277,1.5196826,1.2723596,-0.8905751,0.8444662,0.35604423,0.70691425,1.0862927,-1.0881548,-1.0919194,0.27827913,0.6122698,0.3106583,-1.4615043,-1.9344445,-2.7333872,-1.0119226,0.7538791,-1.5867937,-1.3170751,-0.9395892,0.7322392,-0.058296684,0.020716483,-0.41117293,0.5089559,0.838473,-1.0273497,0.81209916,0.37603617,0.39517647,0.65908575,-0.665633,-0.99101824,0.050240174,-0.6003808,0.016680222,-0.9089702,-1.73107,-0.64040637,0.3359808,0.16305397,1.9311107,-1.044935,1.6857866,1.3413439,-1.0262316,-1.8525827,-1.1876493,0.18240379,1.458335,0.7583496,0.45497572,1.5697198,0.25618246,1.9927361
Na,1.6304675,-0.5687685,1.0171996,1.2955897,-1.0264406,0.97112095,0.6105876,2.364962,0.08369192,-1.9087816,0.70742744,-0.19257213,1.4181621,-2.3802621,-0.66600835,-1.3144513,-0.20590796,1.4311072,0.3758608,-1.4574687,-1.5058234,-1.0506635,0.4859566,-1.3373611,-2.3105671,-0.80689347,0.53896487,0.08198214,0.487378,-0.8544966,-0.38637546,1.7236997,-1.5643698,-0.3777413,0.16359869,0.09978425,-0.5466737,-0.296205,0.49977946,0.6466745,1.4233662,1.5295018,1.0414509,-0.5819213,1.8099804,1.1325175,-1.4118164,-2.245476,-1.3612586,0.20806083,0.95644593,-0.98237246,-1.3396631,-0.2275897,0.5115457,0.6691379,1.4500089,1.1727678,-0.2318663,-0.24678566,-1.0230585,-0.76235247,0.5124378,1.534619
Mg,-0.049720213,0.04649429,-1.8691357,-0.7622947,-1.2632095,0.3301385,-0.013580269,-0.60433435,1.4501041,-0.7478996,0.13805746,-0.6659851,-1.3360556,-0.47543043,-0.66950667,-1.1964363,-3.1431694,-1.7613164,1.136719,-0.21067216,-2.272054,-0.90016294,-0.8809168,-0.46762058,0.47779578,-0.28539622,1.7050347,-1.1249952,-3.0497298,-0.19508491,1.0484903,-0.46439698,-0.015148402,-0.9126565,-0.1740249,-1.0389673,0.09016048,-0.313508,1.6342896,0.91341424,0.6212483,-1.1068497,1.6766471,0.24926034,0.050510496,-0.14094812,-0.58377975,0.5379494,0.6189037,1.204591,-0.79447746,-0.33898824,-0.016051413,2.0489452,-1.1236962,2.970021,0.53787714,-2.1493032,0.030489212,0.4983405,0.063167185,-0.048704274,-0.9127661,-0.2460582
