Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,1.8196731,-0.2432598,0.46846637,0.08738922,-0.11125435,-0.21849854,0.9574115,1.5829222
Li,-0.95713705,-0.21848996,-0.303529,0.24470167,0.76898426,-0.1159769,0.75618964,1.5378516
Be,-0.97362006,1.4356422,-0.14630827,-1.3593128,-0.5325673,0.05338421,2.0935972,1.7133511
B,-0.33175385,-0.5704952,0.6156143,1.7788202,0.031126076,-0.5110917,0.36002323,0.025059676
C,-1.1818501,-2.7574291,-1.191993,-1.259001,1.4942238,1.9904252,1.1901053,-1.484579
N,1.1666234,-0.6771919,-2.372355,1.2169989,0.59646153,-0.5160863,-0.512485,-1.1150863
O,2.4208474,-1.0064399,0.5658049,-1.0644882,-0.25590193,0.25695068,-0.96486396,-1.4491776
F,0.804238,-0.3549046,1.0549668,-0.094787695,1.2436596,0.14932767,-1.935619,-0.8235031
Na,0.3182474,1.1433216,0.65391004,-0.9344936,-0.6472183,0.09020453,1.1892256,0.9669409
Mg,-0.22252554,1.9127922,-0.3154005,1.1833566,-0.36864954,-0.9210298,-1.5273522,-0.14882739
Al,-1.0667592,-0.47516915,-1.2481135,1.3136822,-0.7684929,-0.20348641,0.034703657,0.6597289
Si,-0.7575491,-0.9637312,-1.206974,0.22103012,0.25051767,-1.1423728,-1.6123567,-0.19706148
P,0.18424323,-1.1022757,-0.40611905,0.08178986,0.5761196,-0.17608023,-2.3353453,0.13542823
S,0.84194404,0.18774492,-0.34049523,-0.2771956,0.9301435,0.61444163,-0.9357648,-1.4578319
Cl,0.5638675,-1.1304044,-0.03100233,-0.5110212,-2.363804,1.2860414,-2.5609455,-0.017238032
K,0.6387813,0.54881614,1.3470833,0.44824582,-0.5572346,-1.6794267,-1.6841092,1.5784589
Ca,-0.30425304,-0.12269817,0.76204425,1.2440318,-0.9503595,0.9473109,-0.48562115,0.36071357
