Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.83526343,-0.114989236,-0.6587336,-1.1066419,-0.2944086,0.66948086,-0.17781313,-0.9055197,-0.13970514,1.4649874,-2.0885894,0.6159367,1.0631645,0.9855845,-1.2421348,0.78331465
Li,-1.4148434,1.0488635,-0.52597135,0.16629538,0.25879017,1.0965899,0.47447786,-0.21141805,1.0243331,-1.0777739,0.7918036,1.1101987,-1.0218359,-0.5318187,0.5414375,0.36641434
Be,-0.4028601,-0.96686065,-1.311113,0.6509834,-1.0336349,-0.24944337,1.389046,-1.2512499,0.24864171,-0.88767236,1.4658508,1.8009051,-1.2213002,3.6038487,-0.3615876,-0.50184107
B,-0.04649805,0.25443566,0.34995496,-0.09205097,1.1206179,-1.0246673,-0.6451364,0.40110782,0.019150283,-1.8456615,0.5382349,2.251033,-0.5475452,0.06735278,-0.6865358,-0.09317825
C,1.1184617,0.48591292,0.05855442,2.4663985,-1.328384,-1.0531979,-1.988408,0.96121097,-1.2750162,-0.47374225,0.08490385,0.09008975,-1.2943865,-1.4352913,1.4243219,-0.9219165
N,-1.2989286,-0.5762152,-2.98549,-1.0389222,-0.27097955,-0.5967132,0.29340687,0.06493274,-2.3688183,-0.15668617,-0.56573766,-0.04826523,0.07730117,0.9114136,0.7919935,-0.52381104
O,-0.88200426,-1.280553,-0.12606932,-1.3534912,0.36978,0.7694917,-1.0689307,0.747445,0.8981243,-1.0778972,-0.8078943,-0.56837106,0.16677323,0.59028816,-0.2627493,-0.9394317
F,0.16428708,0.50047934,-0.20195425,-0.4011938,-1.5515673,0.7764992,-1.2238692,0.62645644,-0.6448221,-0.3110591,-0.42988136,0.17160867,-0.712383,0.63310874,1.257385,-2.0930681
Na,0.67184514,0.34734845,-0.8772678,0.46951973,-1.267829,0.95233685,0.101222515,-0.058602676,-1.0201174,-1.4101753,2.1975114,0.48172066,-0.9673646,0.58157814,1.7159324,-0.37485796
Mg,0.08933221,-0.43187007,0.02102007,-0.6326933,1.7106855,2.345604,0.22561763,0.8695535,-0.46765456,-0.32182744,-0.24921146,-0.2934081,0.49854642,-0.0041486993,-0.6926113,-0.08698376
Al,-0.13589446,0.23525885,0.64551145,-0.7994511,1.5332105,0.578004,1.5507067,-1.4525428,1.0910108,0.07373415,1.3537241,1.2738149,-0.5635644,-0.16612332,1.3803154,0.5044267
Si,-0.86967236,0.67424184,-0.3881054,0.93732387,1.3918754,-0.70144916,0.88670623,0.92131203,0.17846988,-1.261937,-0.124432676,-1.4213433,0.13012166,-1.144478,0.2831304,-0.4481765
P,1.389975,0.5049664,-1.5353789,0.9789791,-0.4051239,0.096638314,0.5615214,0.50283337,-0.8731563,0.4392647,-0.043011513,-2.262041,-1.9220719,-2.0457883,0.022186296,-0.22790937
S,-0.8548605,1.4282801,-0.12467382,-0.4228957,0.23118816,-0.02976729,1.0356773,1.270367,-1.415446,-0.4982814,-1.3980503,0.28414008,-0.035143062,-0.87290704,0.6322493,-1.4276123
