Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-1.1629068,1.9854835,0.6810917,-1.3574792,-0.66653866,0.5623436,-0.9720538,0.5280479
Li,0.39661437,0.87829757,1.0130177,1.1036174,-1.7152319,-0.41187093,0.27462453,0.42119867
Be,-1.8336238,0.15233073,0.9258031,0.6204236,-0.25001168,0.13191155,-0.37504682,0.005066481
B,-0.7299017,1.3560213,-0.34405926,-0.5122789,-0.98326504,0.6194006,-1.0012299,-0.8972993
C,-1.0346009,0.36846688,-0.18079026,0.016741803,-0.26370886,1.5968977,-1.2040982,-1.1215483
N,-0.0011817347,0.22060971,0.65854084,0.61659616,0.015311951,1.4021001,-1.2079909,0.87975
O,0.7749017,1.2738297,1.1468143,-0.196774,0.011719184,0.21654472,-1.648358,1.1291493
F,-0.15471323,0.9982878,0.9781408,0.73968345,0.05573156,-0.089342326,-2.6616976,0.37434012
Na,1.2114584,1.0533196,0.30625087,-0.15434997,-1.5076123,-1.4564635,0.39591277,0.094576895
Mg,-2.371897,0.5636078,1.2276683,-0.035196412,0.03995341,0.5648654,0.034741845,0.18916665
Al,-0.67522204,0.54278004,0.46286374,-0.47863564,-0.27272344,1.1045067,-0.11112016,0.47193444
Si,-1.1196874,-0.1340595,-0.67827195,1.0582042,-0.03612259,0.60626644,-0.3855678,0.56317616
P,0.04868588,0.35382217,-0.22048649,0.45467633,0.2164002,0.8605486,-0.25340983,0.5337904
S,0.79994524,1.0952382,-1.7192825,0.15149114,0.021835651,1.3864971,-0.03042834,0.8199546
Cl,1.0446177,0.70228726,-1.2771069,0.5161354,-0.46057862,1.1035092,-1.261059,0.922419
K,0.18387397,0.1443927,-0.33755746,1.2543727,-1.6134206,-0.24730103,-0.28592134,1.0138178
Ca,-1.4357371,-0.1396026,0.40918308,0.059871875,0.4646794,-0.25629717,0.62427866,-0.9113689
Sc,-1.317679,0.4395052,0.9488654,0.18767822,-0.7549319,0.4712156,0.6838298,1.1892638
Ti,0.29675823,0.36103934,-1.1465186,-0.71287966,-0.40901408,-0.66577554,-0.81878823,-0.7392504
V,0.2786369,-1.2930646,-0.8573075,-0.049773544,0.6059713,-0.68112737,0.5163435,0.76770353
Cr,1.3026907,-0.76508623,-0.21011472,0.4255034,-0.13787119,-0.60152525,0.55414885,1.3880578
Mn,0.16644563,1.590561,-0.1287013,-1.1427917,0.7982443,-0.67586434,-0.0725454,-0.3164058
Fe,-1.4594986,-0.2630807,-1.3502204,0.12080289,1.1641357,-0.105647765,0.55374646,-1.4802916
Co,-0.46150973,0.25878623,-1.9114596,1.5726852,0.16927046,-0.6426309,1.1818875,1.3197821
Ni,-0.6165305,1.6238354,0.05618134,-0.87261003,-0.58294266,-0.4046549,0.30713436,0.20690455
Cu,-0.13850361,-0.12612967,-2.3255165,-1.4455075,0.511478,-0.2079879,0.27142715,1.3857331
Zn,-0.76451886,0.675927,-0.5798445,0.24931064,-1.2325802,-0.3118748,-0.5034673,1.1464247
Ga,0.13065809,0.21748255,0.66285884,0.36839107,0.07141175,0.8630393,0.5951967,0.4510809
Ge,-0.1391311,0.5979039,-0.63945204,-1.1274234,-0.7585683,0.6757347,0.023801832,-0.056291796
As,-1.5109502,-1.3794342,0.16575539,0.34600216,2.1489422,0.47768658,-0.27302688,-0.14772235
Se,0.35560358,0.8553434,-2.0776567,0.18628897,0.1655315,0.9752855,-0.10931227,0.7579153
Br,1.416675,1.0087931,-0.6442279,1.1766434,0.020985398,1.3329514,-0.1973743,0.83762723
Rb,0.8379259,-0.11165717,0.35818172,0.29616886,-0.6803194,-0.10016637,0.45510617,0.28141806
Sr,0.11727529,-1.2177372,0.7418786,-0.44721332,-1.0786229,0.34937066,-1.3412752,-1.0141075
Y,0.68387866,-1.1913241,0.82159865,-0.38803753,-0.5893522,0.18075407,0.6946511,-0.6018821
Zr,0.7163876,-0.687533,0.5200754,-0.97966725,-0.32215887,0.8298787,-0.15741661,-0.17011358
Nb,0.19531474,-0.34732345,-0.69493747,-1.230284,0.12822323,-0.11372752,-0.7859427,-0.24137679
Mo,0.9766659,-0.24894938,0.044864226,-0.6049869,1.3812155,-0.0044052084,0.19649206,-0.5283807
Tc,1.2478054,1.2692795,-0.28177392,1.0771228,1.2473295,-1.1848953,-0.21131378,-1.1064043
Ru,-0.48565087,0.07778055,-0.6827175,-1.3857045,0.35697174,-0.5033648,-0.5038937,1.428106
Rh,1.4634992,0.87159866,-0.7809606,-0.7802716,-1.1341522,-0.62168574,-0.2275949,0.8962604
Pd,-0.18046293,-0.4278913,1.6640357,1.6091065,0.88118064,0.8777581,-0.004111816,1.0796381
Ag,-0.23852059,-0.9630472,-1.3285356,0.3396772,-1.3117685,0.65534335,-0.454593,-0.21702556
Cd,0.640124,0.1856291,-0.54239327,0.16536318,0.23154482,-0.84358144,-0.09692197,0.27353293
In,-0.9491568,-1.2362303,0.009948701,1.0400782,0.52075875,-0.40392438,-0.6785806,0.76243997
Sn,-0.028530085,-1.0051957,-0.04895349,0.2518783,-0.50428885,0.8784584,-0.5438402,-0.46336156
Sb,0.20551455,-1.144727,0.5126264,0.91002977,0.9552939,0.020177407,-0.30049053,0.56931525
Te,1.329302,-0.542187,-0.16285472,1.0097486,0.04750014,-0.7255583,0.08196994,-1.6890886
I,0.37781423,0.044881914,-0.83539975,0.5776949,1.6341617,0.41947898,-0.2002424,0.79742616
Cs,0.74987614,-0.28236687,0.18586846,-0.4027147,-0.30216184,0.17557713,0.8658555,-0.09236358
Ba,-1.5984741,0.043559514,0.13782941,0.24772438,-0.6381732,-0.8900637,0.09540025,1.08651
La,1.3305626,-0.44470417,0.27076343,-0.23627062,-1.1171774,-0.16166665,-0.53953165,0.65877134
Ce,1.4858569,-0.27717197,-0.24232869,-0.104145296,0.82184255,0.21089967,-1.0847392,-2.4420278
Pr,-1.0519825,-0.14583248,0.24808696,-1.2062144,2.3155632,1.1923729,2.1866004,-1.2003068
Nd,1.2313802,-0.46263456,0.0973293,-0.8993916,-0.86150813,-0.65557694,-0.93439525,0.5287213
