Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.5830545,-0.13261016,-0.40541697,0.7386269,-0.022030951,0.24155183,-0.03393552,0.8985425,-0.33135197,0.8315932,-0.4813832,1.900205,-1.5757027,0.5591836,0.46955436,-0.9188389
Li,0.761046,-0.059310284,1.5086977,1.1474283,-0.7053644,0.9648426,1.5352142,1.0499434,1.2497902,1.4057573,-1.0299194,0.15651836,0.11202271,0.12620191,-0.12730533,-1.9537258
Be,-0.063029855,0.30176467,1.6335506,-0.8208713,0.7440274,-2.1157897,-0.29737914,0.88793933,0.17813887,-0.71490073,0.35646737,0.8241024,0.42414644,0.013957009,0.42472023,0.8092772
B,2.084266,1.7949185,0.81364745,-0.16879712,-0.05083927,0.6630192,-0.89911747,-0.20811693,-0.115974054,1.0236286,-1.375751,-0.683468,-1.2554237,-0.22404353,-0.07001449,-1.4471065
C,0.9404533,-1.1025059,-0.349373,0.12322119,0.46666744,0.16533521,-1.3129058,-0.25317475,-0.3695772,1.0650837,-2.330754,1.8503402,0.6270227,-0.3593136,-0.59411174,0.40405464
N,0.25979716,-0.11339947,-1.1820054,1.2889376,-0.61563385,-1.0456471,-1.1901206,0.3750533,0.10518272,0.19660442,0.2360486,0.19456576,-0.32038406,-1.2853843,-1.683159,-0.7281661
O,0.15388316,-0.5148079,0.39557654,-0.14509894,-1.158293,-0.10614448,-0.60509866,0.62241524,0.39951,-0.5965165,0.06478877,0.64423144,-2.2336645,-0.5358885,-0.95632565,-0.34910604
F,0.5910804,-0.7730363,1.4713496,-0.042415023,-0.77423257,-0.7228329,-1.067727,0.44194168,-0.8199539,0.33294582,0.76640975,0.52751416,-1.6974932,-0.6828474,-0.54369,-0.87800807
Na,-1.7935315,0.4398733,0.80084825,-0.4967188,-0.6455555,-0.015551042,-0.75483084,0.88988274,0.57253385,-0.2155719,1.6088164,-0.18718372,-0.12342711,0.7464737,-0.21618599,0.33425975
Mg,-0.5791695,1.2309871,-0.086588256,0.72805345,1.3567138,-0.60432404,-1.7806399,1.1368654,-0.82442564,-0.8189199,-1.4125375,-0.0083640395,-0.0857145,0.17260513,-0.96816415,2.3578897
Al,-0.3145652,-0.99532866,0.7243783,-0.1668878,-1.2236434,0.94717115,0.16489871,0.2260324,-0.57127947,-0.6041142,0.44223446,0.83670163,0.27599674,0.24827844,1.7796347,-1.0967289
Si,0.80718964,1.0479599,-1.37744,-0.29064035,1.5998353,0.20124573,1.1633974,-0.026613517,0.034566022,1.9334806,0.026439654,1.8887274,0.29718575,0.2770719,-0.009989449,-2.3483362
P,0.23015748,-0.71626943,0.23702997,-1.308241,0.39628178,-0.35897273,-0.76282644,0.11494932,-0.46506226,0.7782748,-1.0340258,-1.554226,-0.62341535,-0.9511614,1.3493282,-0.1138428
S,0.5387135,-0.1222385,-0.74644667,-1.4555959,-0.93101346,0.42110088,0.2354981,-0.39479494,-0.11224215,1.0499723,1.0389903,0.33323368,-0.76132697,1.2578291,0.87208533,1.0760491
Cl,0.13170843,-0.93242985,0.6499173,0.9148457,-1.1004417,-0.8596062,0.44564876,-0.293217,1.5125623,2.626609,-0.32876423,-2.7815201,-1.2441379,0.30812043,0.49850976,0.6562376
K,-1.895497,-0.5649683,1.2450769,0.015417986,0.7046828,-0.10390288,-0.5266527,0.9523987,-0.7905747,0.24023797,0.3115703,-1.088288,0.27588436,0.40504962,-0.10708238,-0.3592899
Ca,0.99228144,-0.65193427,1.1786097,0.3321149,1.5111642,1.6065544,-0.21771371,0.7091853,1.4458983,-0.679073,1.9049431,-0.080373175,0.95655215,0.054599635,-0.7889861,0.28312328
