Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-1.151097,-0.326082,0.052019905,2.2714949,-0.29002407,1.0488898,1.0923456,-0.32797235,-0.78340304,0.4193373,0.6717976,-1.0031567,-0.25224432,0.44596472,-1.1559838,-0.6967962,-0.15200719,-0.5528026,-0.44466078,-1.4983019,-0.12439045,0.14985149,-0.41787076,-0.19703008,-0.62675583,1.1917012,0.96670645,-0.44784734,0.58897114,0.5351367,-0.46479946,-1.1228304
Li,0.7258877,-0.6732701,-0.2985948,-0.035119604,1.353168,0.9234101,-1.5906705,2.6368606,0.036160383,1.5770884,1.1556413,-0.4005317,-0.54695195,-1.4258428,-0.33747292,-0.04120278,0.4631826,-0.055926204,-0.39857677,-1.2430663,-1.7095326,-0.60389715,0.49933895,-0.3121612,-0.9970018,0.9861953,0.16130708,-0.25966516,-0.31663716,-0.6257555,0.7336318,-0.641631
Be,-0.9174971,-1.084316,-0.09056148,1.170816,-0.5424199,2.0040648,-0.08992029,1.1619183,-0.014759125,0.8717236,0.65309954,0.50747716,-0.6255625,0.004388651,-0.6685303,-0.29664344,-0.21455775,-2.058229,-0.5553527,-0.14127985,-0.49959663,1.6666993,-0.4028661,-0.07649809,-0.1099839,-0.41063768,0.6204125,0.94579065,-0.44676268,0.0076953564,-0.23785,-1.2445452
B,-0.30708057,-0.38650897,0.11076904,0.4932997,-0.16036992,1.0593433,-1.373567,0.5086315,0.60198283,-0.22177991,0.32093576,-0.9931262,1.2962601,-0.49779707,0.81227434,-0.25516883,-0.95143276,0.965632,1.2097802,0.66363966,0.94399923,1.2789756,1.167629,0.053289644,1.5868067,0.6523812,2.4496846,-0.58765006,-0.85424215,0.8485587,-0.49022514,1.3129661
C,-0.1406129,-0.20308743,-2.6352081,1.2255465,0.3883291,-0.12355894,0.34381434,-0.17240475,-0.33804128,1.175577,-0.2345161,0.07464787,1.501364,-0.89518625,-0.67587,0.44715983,-0.6868847,-0.70589554,0.30369714,0.66010725,0.35532388,0.7066818,-0.9164346,0.42497647,-0.43305025,0.47568175,1.923628,0.66264105,-0.5647607,-0.76411843,1.7256501,-2.5490346
N,1.2258785,-1.6691743,0.95109725,0.51775753,-0.89366645,-0.35312673,0.8509549,0.664924,-0.35370198,-1.0112567,-0.6372689,0.88806534,-0.22994837,-1.3424708,1.5746888,0.3850204,-0.11924733,-0.12745455,-0.08070436,-1.298179,-1.3074762,1.6391958,0.33805513,0.24573524,0.49626186,-0.47753096,-1.2423004,-0.5453199,-0.080809504,0.17932138,0.5854691,-1.0821195
O,0.6462416,-0.3142187,-0.5508033,0.2912422,-1.2815882,-1.1078868,0.09358745,0.090408646,-0.8536895,0.051994197,-0.25607046,0.09034923,-0.6705808,-0.043711863,-0.9489098,-0.72164434,-0.7212288,-0.9246136,-0.001197054,-1.4219667,0.5969708,0.3111312,0.04772335,0.6459283,0.15724921,-0.45690507,0.28868333,-1.3448702,-0.9079829,0.008226006,0.5733226,-0.4526932
F,0.17762592,0.26693177,-0.13084747,0.47900993,0.10923216,-0.7227365,1.4644475,0.091923125,-1.0543156,0.4406499,-0.6665979,0.5087428,1.177192,-0.5726202,-0.5339505,-0.8674636,-0.80388224,-0.96477336,-0.39885017,-1.8555818,0.9728396,-0.2745808,1.4829619,0.1459202,0.2380856,-0.9275611,0.2283465,-1.3767171,-0.2421254,0.35655013,0.23094708,-1.2460312
Na,-0.02248821,-0.6028142,-1.3934689,0.9705457,0.22232829,-0.27536604,0.77540517,2.2043,-0.28388,0.11574452,-0.16955346,0.2833017,-0.2141048,-0.032752,-0.5730104,-1.4003452,0.12069829,0.032075357,1.7489645,-2.223806,-1.1709964,-0.544253,-1.3606405,-1.7713447,-0.69001603,-1.0659188,1.0397882,-0.33029163,0.4528897,-1.165488,-0.5388207,-0.7748002
Mg,0.31985632,1.1572326,-0.71150714,0.871035,-1.3616078,1.3499467,0.6192817,-0.81595916,-1.0133833,-0.013594889,0.9423946,-1.4911494,0.0855253,-0.51637524,-0.259277,-0.5985023,0.5157618,-1.9941081,1.732428,-0.7524383,0.07829622,0.094408244,-0.71229416,-1.4153161,0.44056955,1.1050936,1.0196178,0.7222723,0.90533,-0.37633884,-0.4360087,-0.16160807
