Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.71086437,-0.3242205,-0.8177221,-0.70664895,-0.7077749,1.5349123,2.2866454,1.3950336,0.7755738,-1.2210364,2.197145,0.8090718,0.23996617,0.76072663,1.1273456,0.02247936,-0.67861086,1.6053154,-1.6012571,0.34354717,-0.22532116,-0.8160077,-0.19195999,-0.18492007,0.37001884,0.481404,0.34155348,0.24913031,0.38089308,0.45760015,-0.25058952,-0.8392116,-0.64269453,-0.6821527,0.5374942,-0.9206441,0.22012481,-1.7716343,0.52745265,0.3245743,-2.9741251,-2.4662445,-0.3488043,-0.30562147,1.3217793,-0.1448255,-0.8953152,0.20595478,-1.2796513,-0.15998167,-0.5138422,0.8432874,0.40170857,0.08402552,-0.45064023,-0.8432513,0.081113964,-0.67182183,-1.1189489,0.2673327,-1.4507433,-0.53145206,-0.10247407,-0.84468687
Li,0.536588,0.26398644,-1.0400361,-0.47369745,-0.4847787,-0.84979254,-0.051141094,0.8273167,-0.7856041,-2.1901546,-0.76760864,-0.9085598,0.67343444,-1.0250568,-1.4522547,2.1063612,-0.25628722,0.104824826,-0.2988384,0.7246282,-1.5829442,-0.30331424,-0.29872584,0.88979197,0.32487684,2.3345568,-0.42379376,1.1620884,-0.23952737,0.4621324,1.5594076,0.079372264,1.5104481,-1.7064337,-0.001620039,0.38439083,0.71283376,-1.964958,-1.0382963,-0.3174432,0.8266455,0.82593244,-0.05371718,-0.2295784,-1.6092992,1.336107,0.32485002,0.098015726,-0.45392612,-0.59320205,1.6042998,0.4050488,0.39477992,1.433264,-0.8124908,-0.35733193,-1.5557019,0.050158538,-0.26386547,-1.663735,-0.21184012,0.6432412,-2.1506414,0.3694457
Be,0.23202282,-1.45391,0.21872106,-1.3389906,-0.7844873,1.1635079,0.37944046,-0.9454583,-2.4556339,0.74808884,-1.0867832,1.7349123,0.5784549,-0.5373618,-1.9389473,0.23363407,-1.333204,0.17207174,-0.54401046,-0.8430344,-0.2894527,-0.061967593,0.62832516,-0.10043915,-0.8309452,0.4263575,1.218779,0.5684317,1.4597483,-1.4870359,0.061051752,-0.4012345,-1.2495713,0.6079894,2.5538201,0.92128706,1.3365004,1.2077132,-2.1465867,1.4232484,-0.30038366,-1.110076,1.68092,-0.85458463,0.029763466,-0.80225205,1.3740513,1.2161644,-0.0073374095,0.3638157,-0.715786,0.8848465,-1.5569818,-1.530947,0.37567517,-0.85957867,-0.8169645,-0.7138705,2.1473718,-1.1493397,0.856667,1.3203132,-0.1629789,0.2094109
B,0.039435055,0.24407233,-1.9924018,-0.27339816,1.2987871,-0.3910326,0.18872899,-0.49038547,2.9770775,-1.1771444,-0.8972949,0.62841415,0.23030986,-0.49489343,-1.9362812,1.0300001,-0.38944122,0.24817155,-0.20072386,-0.71075636,-2.3053255,0.03531244,-0.77095556,1.8414775,0.48006243,-0.24010962,1.7113646,1.1621858,-0.45164174,-0.14822792,-0.45486397,0.38062984,1.1301594,-0.1209718,-0.6962673,0.53896666,0.24056712,-0.8745695,-0.114610516,-1.8359417,0.44938135,-1.0054599,-0.47170433,0.98837894,-1.3802661,-1.3400645,0.55747956,-0.79676145,1.2242413,-0.13444863,0.621741,0.0774349,-1.3838211,-0.8361187,-0.16231705,0.7406838,-0.20728125,0.835986,-0.33809367,0.14256448,-1.5194173,0.41991043,0.3728228,-0.65071476
C,-0.17893112,0.6940777,0.6168404,-1.0782112,-0.11977329,-0.7492375,-1.3426086,-0.8973987,0.62456864,-0.33629242,-0.662117,-0.15292165,-0.35694936,-0.16478118,1.0710303,0.7827213,0.012263553,1.3071134,0.15926884,0.4715452,-0.7884326,0.008172149,-0.30619857,0.56632245,-0.564795,-0.5269267,0.46529683,-0.0054301633,-0.83024955,1.6887394,-0.21697377,-0.104293175,1.1459222,-1.9240308,0.483314,0.5346304,1.4107667,-1.1523076,-0.06655996,1.4289279,-0.55071837,-1.0574218,0.89778304,-0.49878374,0.3019627,0.3198026,0.35788468,0.72396743,2.0291388,0.6630315,0.16708192,0.7840263,2.199078,-0.038215157,-1.1110944,0.3699675,0.14239,0.54456335,-1.4591545,2.7478588,-1.1480292,0.263315,-1.4700314,-1.074051
N,-0.40216506,0.17485261,-0.19501628,-0.068260975,-0.67764056,-0.60098046,1.204262,-0.83000106,0.8698841,-1.1776099,0.64377326,-0.52058077,-0.04976748,0.79554135,-0.97091305,1.6396259,0.8832447,-0.9261503,0.21656743,-0.043478154,-0.25252014,-0.8548253,-0.1778187,0.6887374,-1.2945123,0.040909104,-0.4568192,0.98789394,-0.945246,1.0067132,0.013306768,-0.016682515,0.9046382,-1.4771876,0.45046037,-0.6532834,-1.431149,0.22412975,-0.047639266,-0.4031688,-1.6592482,1.278419,-0.1697631,0.6911806,2.2147038,-0.2985868,-0.55879456,-0.32253066,-0.07795899,1.2319341,-1.028345,-1.3590027,0.9018501,-0.108345464,1.0674479,-1.2366693,-1.3235449,0.29776832,0.5811344,0.6279065,0.020176595,-1.2883807,0.9759761,0.709514
O,0.6157629,1.2808114,-0.5234473,0.46644592,-0.13689256,1.0442096,0.9864654,0.77614963,0.16471075,1.3311405,0.21305552,-0.34335697,-0.16278176,-1.0024158,-0.6631876,0.8188749,0.13021216,0.5804438,-0.9789761,-0.5126872,0.7741758,-0.15413721,-0.9484813,-0.531913,0.073358804,0.16996855,-0.091213375,0.09558675,-0.55544406,-0.6750027,-0.43019435,-0.19251734,0.88224804,0.08432454,0.7099378,-0.26813987,0.0021575468,-0.8593464,0.17465906,0.51351357,-1.6357933,0.41720048,-1.8147305,0.45177367,-0.018860048,-0.873019,0.37536556,-0.550795,-0.46735907,-0.42842877,-1.0705361,-0.35677552,0.33800942,0.029503608,-1.0073423,0.21840116,-0.9516549,0.65910536,0.33557552,0.4331846,-0.338137,0.6006751,0.3349511,1.1127869
F,-0.7215135,-0.09083088,-0.3451892,0.7562053,1.0101523,-1.0368851,0.8453352,-0.42785904,-0.94853276,1.3911374,1.484647,-0.20666784,-1.4847058,-1.1097586,-0.6678427,1.8144255,0.084409915,2.0650158,0.33031553,-0.5258912,-0.46100733,-0.4728162,-0.667701,-0.44715118,0.024666142,-0.22577588,0.08676905,0.08661793,0.4621179,-1.1898999,0.60793686,0.7803143,1.6859679,-0.80646646,-0.5517899,0.08725416,-0.51677406,-0.79762775,0.9725951,1.1406641,-0.496134,0.9012574,0.0787569,-0.55636936,-0.4889799,1.4839007,0.5620002,0.16282023,-1.6669377,-0.21643265,-1.5879084,1.0429711,1.6014766,-0.14316599,-0.22173546,0.6857708,1.1437175,-0.6750176,1.308905,0.3339762,-1.2089916,-0.1282888,-0.3660869,0.4017468
Na,-0.53416556,-0.60215926,-0.17305899,-0.6014434,0.27240896,-0.26147392,-0.36711723,-0.5833018,0.73529196,0.89079064,-0.032390375,0.16376401,1.1731507,0.26207104,-1.5033581,0.6455372,0.803178,-0.5920309,0.23398142,-0.1613898,0.6004528,-1.1436251,0.044535737,0.53706694,-0.65641636,-0.8977817,1.8043864,0.9516251,-0.09254028,-0.7317658,-0.0393355,0.11055944,0.039470233,0.11035754,0.9583801,1.9156092,1.7603741,-0.37945718,-1.3200104,0.91543907,-1.0142381,0.75773674,-0.8704806,-2.3524473,2.1999776,0.16156402,-0.33434656,0.9763256,0.19148086,-0.3736609,-1.3170822,0.64696574,0.7337434,1.4258533,-0.85902965,0.50214696,-0.7460608,0.65959615,-0.3050809,0.26998827,-1.2270545,0.061760157,-0.8681259,0.24322066
Mg,-0.73135734,1.2633286,-0.8619543,1.5720736,-0.08762318,0.9923525,0.013388001,0.46763292,0.2838889,0.40210077,1.324567,1.1871706,-0.42501602,0.7222739,1.6678357,-0.3227613,0.6327332,1.3426627,-0.59266496,0.8133994,-1.4491428,-0.9756332,-0.4235198,2.466079,0.3468288,1.505025,-0.1103587,-0.098118156,-0.024187712,1.3659499,-0.2791024,-0.76910067,0.26303342,-0.50890684,1.316469,0.7147817,0.6583536,-0.82368416,-0.22132972,-0.30715328,-0.04671443,0.6462018,0.8889545,-0.7173621,1.5594778,-0.97658944,-0.5789473,0.309333,0.5053133,0.75116515,0.9353547,-0.48429927,-1.4557189,1.2882744,1.051791,-0.0121398065,1.3247603,0.70286494,0.12524813,1.109188,0.7551991,-1.6153114,-1.6077695,-1.2690333
