Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
Li,-1.0371805,-0.6779293,-1.7518555,-0.036293603,-0.60737026,-0.59792846,1.8161054,-1.8509247,-0.84511703,0.13712074,-0.09236746,-1.4081951,-0.14928134,1.134775,-0.39829934,0.89904594,-0.2755036,0.7904869,0.22903205,-0.6575008,-0.5775135,-0.24948686,-1.3918312,1.7434517,0.61320657,0.22877577,0.3366152,0.22330026,-0.08668367,-1.0092692,-0.6689505,-0.3287558,0.2448527,-1.503532,-0.5106942,1.3515401,0.917051,0.02088592,0.18098389,-1.0823536,-0.16316688,-0.40404227,0.5156962,0.08682226,-0.40272778,0.98685867,-0.7049561,1.3215755,-0.358174,0.8825901,-2.0572917,-0.3531133,-1.1617758,0.13655509,-1.8760917,0.91717124,0.015737904,0.49217838,1.5458213,0.45841384,-0.59690744,0.23032624,0.42633468,1.2794298
Be,-0.73972195,1.2045956,-0.7967081,-1.0039662,-0.04030035,0.16172983,1.0197521,-0.010277229,-0.44476998,-0.64930797,0.44035792,2.0204926,-0.10425261,-0.170135,-0.7353788,-0.4812373,1.3300095,-1.0474057,2.3587263,-0.34733105,0.13016617,0.5599222,-1.0919085,1.6556605,-0.2201549,-0.37628642,-1.4482595,-0.19377986,0.9185049,0.97572535,-0.42164072,0.19928011,-0.7354595,-0.30013683,0.23107168,-0.30001754,0.26008183,-0.3662023,0.19403788,0.7626701,1.5196022,-1.1553053,0.30329546,-0.13521275,-0.20834558,-0.9551571,-0.02614543,0.36747912,-0.6702425,-1.3041009,0.1519808,-2.2177818,-0.017989267,0.27111092,0.17184599,0.53490144,1.3254755,0.13281505,-0.8429784,1.8798083,1.3764131,0.7363941,-0.021363882,-0.28790382
B,2.2095268,-1.1263776,-0.1638452,0.3797784,-0.28353235,-0.6764105,-0.9387765,-1.8817799,-0.6937205,1.2538426,1.2972505,-2.1578913,0.19915417,0.95776117,0.39847898,0.47122443,-1.6402549,0.13857292,-0.08266347,-0.9721302,-1.1356486,-0.38811275,0.5264833,0.81037235,-0.8470815,-0.91231304,-0.5313569,-1.5569752,1.3133574,-0.25848117,0.49316123,-0.4305312,-0.5561193,0.29348055,-0.15113351,-1.3356333,-0.8661615,-1.6405782,1.7371136,0.14652762,-0.28409135,0.27669886,-1.1058326,-1.9079283,-1.7653741,-0.28838307,0.23222479,-0.7639745,0.21309397,-0.12514228,-0.8397177,1.9232277,-0.9765001,0.20920217,-0.97312534,2.2225022,0.2086437,0.7471857,0.55917084,-0.033671595,0.27004012,1.1418061,0.038706236,-1.7404302
N,-0.1887489,-0.020422934,-1.4476606,0.8546537,-0.644156,-1.4539064,1.8323941,-0.16985765,0.10502357,0.10815494,-2.006383,-0.4878382,0.45089594,-0.8153599,0.8870637,0.13970952,0.6802607,-0.14836302,0.032023225,1.2036587,1.1329471,1.0836973,-0.6002142,0.75611323,0.052259583,0.25987804,1.2436068,-0.38378194,0.03441919,0.5090896,0.07284571,-0.23347646,0.50439304,-1.4264057,-0.0710502,-0.66744125,0.58466846,-0.35675594,-0.56793076,0.20242015,-0.02552218,1.0420827,0.35654432,1.0647326,0.635701,0.6704911,0.5451399,0.22023155,-0.38742974,-0.93664956,0.5866237,0.30707222,-1.6588186,-0.42403075,0.6795717,-0.10507686,0.4374317,-0.1837033,-0.18356521,-0.16103233,-1.1851524,0.7566643,0.3678292,0.7490148
O,-0.6274615,-1.7229214,-0.12940721,0.46379825,-0.7980373,0.50346255,1.5352193,0.34153098,-1.2504077,1.9458926,0.89120054,-0.058892768,-0.03637438,0.86434567,0.18307753,0.533023,-1.0035548,1.0795242,0.64436036,1.1146306,-0.162726,1.3038663,0.49854794,-0.32343405,2.0521696,-2.21552,-0.10758301,0.05175139,-0.8575319,-0.904922,0.61930454,1.8560271,0.596453,-0.45269722,-0.15064003,0.258831,-1.7243428,-0.9640989,-0.07230152,-1.669105,-0.7797303,3.3724759,0.89362115,-0.3405061,1.0747113,1.6849904,0.92643905,1.2430004,1.4505677,0.414792,-0.2511018,0.020096967,-1.0613785,-0.18585654,-0.9519455,-1.1026018,0.383131,0.93864435,-1.4637779,1.0319529,0.55199474,0.19990565,0.27004227,-0.3817797
F,-1.3798406,0.8234515,-2.185177,-1.5388415,-1.5012512,-0.65883654,-0.5339824,0.38197228,0.47994387,-0.49459395,0.9923479,0.47160682,1.1443878,-0.5892865,-0.06949549,1.6957449,0.36126605,-0.82821286,0.6765989,-0.4020387,-1.6160707,-0.24795768,-1.5857874,0.4305255,-0.7827885,0.5493942,-0.76510036,0.38406822,2.2683342,-1.1385832,1.0819662,2.0385685,-0.15640497,0.96319705,-2.0045998,1.2284255,-1.6009421,-0.17644215,-0.25668848,-0.42498863,-0.0017517387,1.047876,-0.5759736,1.6676826,0.2646017,-0.33871606,-0.573861,0.2960583,1.5193975,2.0196002,0.56200624,0.54989237,-0.5229967,0.044560738,-1.1456959,0.60719055,-0.96341044,-1.3024973,0.9864369,0.22675794,-1.025598,0.64057934,-0.5385191,-0.042741533
Na,0.8841424,-1.5830952,-0.42862743,0.35474086,-0.25968996,-0.39192975,1.1643378,-0.84959686,-1.5341024,-0.42970237,-0.6422081,-0.95679796,-0.95031244,-1.3111202,-1.4749906,0.7674072,-0.68547225,-0.7334408,0.387254,2.8152604,-2.143521,1.234732,-1.9711396,0.04066411,1.4962858,0.026876971,0.22452806,-1.6819609,0.4716589,-1.1518843,0.07839055,2.2356832,-0.014578783,-0.5371351,0.41658926,-1.2366459,-0.7501733,-1.2385237,-0.65515256,1.4231709,-0.02335877,-0.62128496,-0.013076847,0.32192913,-1.8097574,0.060338505,0.23916294,1.1825657,1.5498518,-2.7705715,0.87934595,0.10786152,-0.8288403,0.8421501,-0.70749724,-0.27130997,-1.6046675,-0.5334839,-1.0963606,-0.3609422,-1.411965,1.2295648,-0.06658485,0.29930207
Mg,1.3464613,-0.5037569,0.26373473,-2.2230062,0.85255384,-0.15651885,0.7608908,0.22421871,-0.48717374,-1.3376391,2.74531,0.61640865,-0.80932957,1.9228388,0.58289653,-1.220651,0.6494214,-2.173496,-0.6616143,1.0353174,-0.17017226,-2.1433554,0.8710748,-1.2612153,0.46991596,0.078653455,-0.16104196,-1.0955833,-1.3341234,0.2480554,0.84873056,-3.0133326,1.8735774,-0.3877167,-0.35678044,-0.8015123,-0.56819385,-0.8286879,0.09935607,0.33419243,1.0569866,-1.0080911,-1.0288769,-0.31591067,-0.67228365,-0.058251526,1.3716686,0.1612298,2.3186023,1.303657,-0.0298464,-0.2730539,1.3082311,0.1740701,0.7735098,-0.97204906,1.4831593,-0.5921349,-0.041505326,1.0223793,0.14666855,-0.21444266,0.2537506,0.22127296
Al,0.56113803,-0.8229417,-0.15565564,-0.50474304,2.0418649,0.1396292,0.86155117,-0.22743829,-0.851142,0.9311645,-0.9902855,-0.8889761,1.3262298,2.8736494,0.046170354,0.5904376,-0.1525824,0.5700314,1.8830682,1.038585,-1.7783567,-0.2865809,-0.015630718,1.4025182,2.7157865,1.2825971,2.6279004,-1.0043448,0.46051544,1.1095626,1.9956943,-0.40445778,0.2224379,0.021260919,0.5090196,-0.0908094,0.20280366,-0.0649987,-0.88692176,0.51880777,0.013348593,-0.82125187,-0.6068791,-0.4985394,-0.8975861,-1.2575592,1.8394159,0.03508069,-0.724866,2.060213,0.59723586,0.5544351,0.45092058,0.39363816,0.5767388,-0.14175148,-1.4666642,0.21327113,-0.3228126,-0.2706235,-1.0541421,0.93129045,-0.26145637,0.58847886
Si,0.48192573,-1.0294907,0.3474883,0.49210244,-0.25772983,0.41079926,1.3318313,-0.28962517,0.933779,-0.8643056,-0.7527235,-1.3385212,0.32223698,0.9485033,1.0262097,-0.12118193,1.0142225,-0.67879397,-0.6306426,-2.8735666,-0.78839207,-0.66753256,-0.8125702,0.33276227,-0.30076295,-1.6787498,-0.8955586,-0.1598814,-0.32112628,1.388703,-1.7391193,0.64724064,-1.492493,0.46505746,0.38574657,0.48405123,-0.38270202,-0.57561684,-1.5641887,-0.57923436,-1.9969207,0.01514476,-0.18505943,0.37736034,-0.37121847,0.61033404,1.4784513,-1.4967536,-0.38808122,-0.6362754,-0.71720064,0.7358952,-0.41060412,0.38408247,-0.42575246,0.8526765,0.78737926,-2.7677553,2.2714458,-0.5119037,0.70575434,0.10638793,-1.1329256,-0.12191259
