Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
Li,-0.34388095,-2.7990038,0.57540387,0.85415745,-0.78206736,-0.26989907,-0.84862834,0.31931022
Be,0.35398313,-1.3607444,-0.4328361,0.5158665,-1.2801481,-0.12152164,0.9498082,-0.51008934
B,-1.286077,0.40471837,-0.59201646,0.9993897,-0.023282435,-0.5476954,0.38837132,-0.41940853
N,-0.06263118,1.4530952,0.10712572,1.9707708,-1.839579,0.39596167,3.0403402,0.43783686
O,1.497392,0.1428618,-0.9934392,1.0764644,1.7373395,-2.3516288,1.4615662,0.47882444
F,-1.2653563,1.3729303,-0.3934119,0.10874056,-0.85702103,-1.0508552,-0.60960793,0.547634
Na,-1.777521,-0.5350022,0.9701796,0.42047462,-0.288847,-0.9896116,0.06789168,1.7983031
Mg,1.2434356,0.49348593,1.6074246,-1.3744068,0.104523405,0.3543476,1.4564515,1.3451794
Al,-0.5297113,-0.15317705,1.3487452,0.4702446,0.6434682,-0.01927302,-0.14590965,-0.77585876
Si,0.9980089,-0.1066864,2.1021636,0.46621582,1.7385604,1.2996126,0.083229445,0.25107577
S,-0.15416242,0.49985883,-0.36097464,0.46503624,0.25774586,1.3060579,2.246063,-0.6037449
K,0.39620712,-1.2619836,-1.4210737,0.58275235,1.6540071,-0.9368199,0.17369725,-0.3073341
Ca,0.3163915,1.2683175,0.3271993,-0.7037175,-1.3840587,-0.3356204,1.0122982,1.5087581
Sc,0.43654555,0.8082843,-0.015467691,0.31462866,1.2540482,-1.9390407,0.4676958,0.2585334
Ti,0.3959899,0.35293958,-0.14246279,-1.3632926,1.3992754,-2.4690948,-0.9395369,0.5287098
V,0.5832951,-2.8935196,1.1985486,1.1777232,1.6178625,1.2358415,-1.6970972,0.7399107
Cr,1.1256627,0.34302315,-1.7653967,-0.2471872,0.12683308,0.9385849,-0.527978,-1.1044317
Mn,0.058552552,-1.1486828,0.8595617,0.6658748,-0.041455254,-2.4182913,-0.9128795,-1.4747784
Fe,0.15001349,1.3668593,0.7812759,1.6522317,-0.4194422,-0.1490319,0.38904566,2.1937475
Co,-0.23512113,1.0782299,0.27497777,0.0042047566,1.2038807,0.5559412,-0.7522366,-0.4800686
Ni,0.14375854,1.048598,1.8820186,0.69412136,-0.68609095,1.8000908,0.34478542,0.206988
Cu,0.22544095,0.4803217,0.4529945,1.022745,0.5814388,0.099662006,-1.8118943,0.35538754
Zn,2.0091834,-1.0912943,0.5008996,-0.19201845,0.87377447,0.15423612,-1.0360919,-1.5625747
Ga,0.40571502,-0.7129391,1.9817663,0.39663208,0.118403494,-0.19289021,0.22427456,-0.10056321
Ge,1.0022215,0.5820818,0.14722954,-0.03469353,-1.4219428,-2.5866635,0.93649966,0.23953055
As,-2.4207442,0.4423549,2.3615942,0.1718801,0.98573226,-1.2520101,-1.56944,0.71091753
Rb,-0.4679749,-1.4238135,-1.0328029,1.1390896,1.1703833,-0.35149533,-0.6892396,0.23231937
Sr,-1.2876967,0.23520032,1.1409405,-0.5830356,1.0014263,0.38194498,1.6087343,1.0889084
Y,0.65909564,-2.2517931,0.015543199,-0.39077836,1.7249097,-0.2693876,0.13442034,1.233431
Zr,0.6460448,0.47613874,-0.5066167,-0.08011665,1.4068292,-0.665249,0.82807153,-1.1750354
Nb,0.48709884,0.5211885,-1.5332055,-0.3827385,0.951492,0.18377347,0.2413539,-1.4192076
Mo,-0.6311011,0.047853597,-0.34135318,-0.53298056,-0.39211097,1.9520793,-0.7700612,1.2880753
Ru,2.2447324,-0.22481711,0.569316,0.115290634,-0.9844485,1.2430702,-0.058755208,0.21133469
Rh,0.02510996,-0.14143482,0.044536777,0.57777876,-1.803739,0.20297135,0.42965978,0.54854804
Pd,-0.29158255,0.091698945,-1.7612575,0.049495347,0.3142126,-1.3024538,-0.7651924,0.49873936
Ag,-0.88531727,-0.6893781,-0.3200022,-0.30349988,0.28576812,-0.6084415,-1.03176,0.25187203
Cd,-0.5528523,-0.10408619,-2.1340566,-1.249477,0.03383274,-0.4095369,-1.0142461,0.29743582
