Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
Li,0.8242903,-1.3656361,-0.27323443,-0.4832122,1.7111269,0.39898214,2.5953605,1.0426791,-0.9924664,0.59927726,-0.438224,0.37991846,-0.04444551,1.002808,-0.7387174,0.40594962
Be,-0.68180394,-1.8145432,1.5065619,-1.4154328,-0.6393498,1.6636127,1.1554651,0.52009636,-0.46140942,0.07298717,0.3786577,0.78565675,-0.28123736,-0.6832059,0.4860587,1.4590944
B,0.5367205,2.096134,-0.3560972,-0.8939564,0.41115355,0.23711726,0.51731145,-0.012859566,1.0153323,-0.43977767,-0.038225256,1.4842021,-0.03221265,-0.6070219,-1.0084782,-0.9325002
N,-0.44161946,-0.66271263,-0.2036174,0.59514856,-0.4045574,-0.13063525,2.2077918,1.2959487,-1.1781703,-0.4445604,1.4386371,-0.12519209,-0.96280307,0.82603043,-1.4296099,-1.46095
O,-0.20339082,1.762727,0.53271997,3.256444,0.32805064,0.15792537,-0.26389572,-1.0448908,-0.37251472,0.71803313,-1.6309205,1.6746916,-0.37665054,-0.83891666,0.5537236,-0.30028176
F,0.603161,0.7567112,0.39154527,0.74891186,-0.07148601,0.046442546,-0.7503457,0.49270654,-2.7289982,-0.15629998,1.1813397,0.2194575,-1.8647252,1.2712585,0.47065616,1.0436525
Na,-0.34074897,0.41133186,-0.27115554,-0.8293646,0.15314744,-0.8643021,0.89682347,-1.459008,-1.9907855,-1.745552,0.48082957,1.7225351,-0.90970045,0.35249388,-1.3148222,1.5025499
Mg,-1.7052405,-0.31936216,-0.33396843,0.82629085,-0.68279046,0.5585486,-0.9959891,-0.20622937,0.57182294,0.734849,-1.4392289,-0.973928,-0.36032334,0.46021995,-0.03812421,0.42040318
Al,-0.19360565,-0.58027613,-2.8836765,0.8250923,1.1805388,2.4348063,0.009988071,1.1699626,-0.1232873,0.08231436,1.0500399,0.014059643,-0.44256657,-0.37002683,-0.3381451,0.5447371
Si,1.1678784,0.2938154,1.6466945,-0.6305482,1.9034995,-0.9208965,0.44631368,1.2997619,1.147073,-2.2717893,-1.9263047,-0.51578707,0.87973404,0.2527148,0.3771539,-0.65888
S,0.34444672,1.1215376,-2.1780043,-0.089424394,-1.9107882,-0.6040021,-0.7524068,0.03788135,-0.4318589,2.6389642,1.1877131,-1.3287586,-1.6156447,-1.8787038,0.044613488,-0.30230302
K,-0.33782232,0.51437014,0.18027046,0.3426593,0.6151706,0.37366456,0.45598945,-0.9101204,-0.6511712,-0.3104738,-1.4673611,-0.58970904,-1.3935878,-0.24647063,-0.5056491,0.65698314
Ca,0.44531387,1.708312,0.4035846,0.48409247,-0.8862913,1.5596954,-0.9182009,-0.31808704,0.87053514,0.67712265,-2.3557212,-0.7022587,-0.8518121,0.4204072,-0.15681331,0.80202055
Sc,-0.771775,0.63459504,0.02104379,-1.2392347,0.49449667,1.1709414,0.8880074,-0.43913132,-1.1994728,1.2401825,0.3122785,-1.3453537,-1.3276447,-0.5280509,-0.59350824,-1.8275627
Ti,0.33870786,-0.34407634,0.36983046,0.23536004,0.46060205,0.7935367,-0.2691604,0.51479214,2.020802,0.01609813,0.704245,0.0997883,-0.69461185,0.74444,0.44042262,2.1595623
V,-1.1296569,-1.8847842,0.83520913,0.38150373,-1.1449147,-0.11088035,-0.058014225,-0.12984835,-0.43068644,0.18176937,0.25646278,0.33740348,-0.5365481,-0.28227568,1.0054768,0.1520835
Cr,-0.25053945,0.7851449,-0.18601637,-1.3004884,-0.63253736,-0.40219796,-0.3730991,0.7502138,0.55421007,-0.17980723,0.5885853,-0.7651335,-0.5314136,-0.9356086,-0.54823273,-0.39144108
Mn,-0.99849945,0.44395733,0.39857873,0.7814376,-0.3863997,-0.33895063,-0.17747544,1.0201046,1.118195,0.31472093,-0.4731345,0.44636053,2.5497813,0.5578927,-0.99959034,0.4579815
Fe,1.3846511,-2.4686158,-0.2930167,-1.4026453,-0.3428562,-0.4496639,-0.44947836,1.3135617,-1.653531,-1.430587,-0.038465295,1.2601581,-0.37847197,-1.327646,-0.18546112,-1.1411767
Co,-2.502658,1.0684649,-0.82437366,-0.8401382,-0.38427225,-0.15529108,-1.051541,1.3418647,-1.8881186,0.8586361,-0.63104296,-0.9470448,1.0033019,-0.7156583,1.6839148,1.0545359
Ni,0.8151109,0.08722699,-0.24210402,-1.2805933,0.051454615,-1.1096264,-0.83396983,-0.3425193,0.5116275,0.87075883,-0.3852257,-1.849709,-0.4221443,-0.3326668,1.7184265,-0.6309899
Cu,1.28629,-0.49164236,-0.1493052,-0.8792389,-1.7813233,-0.61168575,-0.3214339,-0.7454492,-0.01189918,-0.8086348,0.16473374,1.7661105,-1.6306949,-1.4952416,1.1288642,-2.2418187
Zn,-0.18187808,-1.0618666,0.5746051,-0.43880466,0.18740879,0.7665621,0.5420148,0.78178245,1.4217768,0.401083,-1.1947964,-0.16495672,0.43002945,-0.40760857,0.2311295,0.18932776
Ga,1.6787702,-0.7974276,-0.9504438,0.69646674,-1.1869004,1.0349697,-1.2655268,0.7771437,-1.2641258,0.104604244,0.4300168,0.26809293,-0.05710306,-0.37532607,0.14369524,0.023261582
