Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
Li,0.33746582,-0.5516365,-0.19683944,1.2164896,-0.33774883,0.39386472,-2.5206923,0.74575067,-0.6603076,-0.4925697,-0.4746475,0.5814032,0.3217418,-0.0026787634,-0.6687501,-0.45194492,0.74569666,-1.6714413,-1.478217,2.6270628,-0.048690412,0.90199035,0.7788823,-2.6106894,1.58398,0.8086115,-0.6354078,1.8015109,-0.62843186,-0.67833793,0.22293212,-0.73917943
Be,-1.1166803,-0.34105325,-0.05150716,-0.76843876,-0.10518617,-1.1752033,1.9659815,-0.5188556,-1.6376212,-1.3730143,1.4604406,1.0509675,-0.7431635,0.7306903,-1.3393127,0.5753808,-0.35743812,0.32762337,0.49881944,-0.4234794,0.53916514,-0.23957676,0.34186187,-0.14084242,-0.74527216,-0.6051398,-1.228703,-0.36912784,-1.715499,-1.1753787,0.122384526,0.27322987
B,-1.747986,-1.8164603,-0.7797932,1.2998813,0.1758788,-2.096549,-0.4859939,-0.85353297,1.654607,-0.21905273,-1.9920639,-0.21572386,-0.17263395,0.5587166,1.8141437,0.944889,0.4902308,-0.23521805,1.2410936,0.18409237,0.88565004,0.02697778,1.0079491,-0.4941405,2.2993119,-0.74621516,-0.8926435,-1.5877068,0.5728503,1.146619,0.18304923,1.2481519
N,-0.4687608,-0.5736628,-1.3900754,0.59256154,-0.998439,-1.7505641,-1.3658254,-0.9048114,0.16708343,0.4563664,0.9863027,-1.9966888,1.7270021,-0.20691296,0.68229616,-0.4206967,0.3664728,-0.45610914,0.70146024,0.09602601,-1.1036533,0.30789953,-1.1009037,1.0856799,0.9256664,-0.3610604,-0.54140925,1.002862,0.4349189,-0.7392412,-0.56396073,0.80181175
O,0.8701003,0.4457813,0.88535756,-0.17887464,-1.8979733,-0.40546456,1.2127103,-0.44889012,0.3769387,0.32487845,1.0009052,1.2596042,-1.331536,0.106071845,-0.044926133,-1.1374203,0.58870447,-0.44586086,-0.9540879,1.4934869,-0.629864,-1.0156176,0.6799856,0.84638983,-0.746763,-0.32487163,-0.6148137,-0.6512985,-0.1530295,-0.57690126,0.34472516,0.80879724
F,-0.18732138,-1.3037158,0.32453007,-0.34962642,0.4123789,1.2715651,-1.0772147,1.2522864,0.3642975,1.0058848,-0.97304136,1.974933,-0.5413153,-0.85003525,1.0312726,1.846677,0.4787348,0.3578957,-2.9080007,1.8025306,-1.330684,0.5910532,-1.0871464,1.600307,-0.34332436,-1.3795415,0.21582446,0.6158749,1.2034972,-1.7185146,-1.0582157,0.005760326
Na,0.26288164,0.62207097,-0.9100442,1.1489199,0.8221436,-1.3650182,0.91500217,-0.70265734,0.038559955,-0.48981437,1.0021896,0.67293185,-0.81534183,0.60841805,-1.442554,1.3394563,1.5325902,0.04749119,-0.41063893,-0.3714372,0.027496284,0.5438528,-0.35962915,-0.104774594,0.62145525,1.7492054,0.16945788,1.1110864,-1.0337452,-0.7792518,0.22573802,-0.4479729
Mg,0.6906814,1.761223,0.7328729,0.8902652,0.677666,0.38878667,1.3311588,-0.99113184,0.6680904,-0.393123,-0.23771724,-0.50639397,-1.1631674,0.84878963,0.23552248,-1.4482021,-0.92452586,-1.1690595,-0.6169597,0.0007345583,0.9765975,-1.0300094,0.4320689,-1.6278292,-0.25220913,-0.73019254,0.11757747,-1.6078123,-1.384842,0.09777156,-1.3453019,-2.4620283
Al,1.782302,-0.5932399,1.8216796,0.74717873,0.9802158,0.95561373,-0.75839704,1.229262,0.21518762,0.7461329,1.0826192,-0.10388231,-0.33314964,0.6487637,0.062299386,-1.4161752,0.4700108,0.6277433,-0.5551254,-1.5321314,-0.37711042,1.2607394,0.89350575,0.3742526,0.7810468,1.160176,-0.24524982,2.3018985,0.37697378,0.81999123,-1.2341366,-0.15063131
Si,-0.459301,-1.0310668,-1.9091469,0.52513963,-0.6509107,-1.3991338,2.8670394,0.46020508,-1.4037033,-1.8798169,-0.46378055,-0.30577588,0.06448714,-0.22983886,0.47532362,0.98020965,0.4615252,-0.22254702,-0.4838506,-0.11425361,1.6143669,-0.64935124,0.15194894,1.31912,0.6003639,-0.14594471,-1.5269802,0.596915,0.25425848,-0.38146618,-1.2251757,-0.09081913
