Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.17600995,1.097147,0.81593245,1.19618,-0.110599734,-0.51456404,0.82333964,-1.2330917,-0.5439006,0.36443397,-1.691146,-1.9129432,-0.7210666,0.20602925,-0.344978,1.2752877
Li,0.08292768,0.5543616,1.1755531,1.0887707,0.105835505,0.10524146,-0.04347216,-0.030813465,-0.7264866,1.5651804,-1.4112867,0.19472739,-0.68549347,1.0487239,-0.17628647,0.8679914
Be,-0.674364,-0.60463274,0.30900088,-0.10156058,0.06767707,0.53884923,-0.58091176,-0.3457315,0.18517499,-0.6299443,0.13843837,0.9924092,-2.0468106,-1.6525435,0.6843093,1.8137747
B,-1.0881009,0.29272825,-1.2546321,-0.8609845,1.4822615,-0.62904304,-2.216462,0.65833175,0.052942555,-0.1871452,1.5342357,-1.1848083,1.0953405,-0.19329827,-0.23530103,0.057842713
C,-1.1839722,0.7195463,-0.3559208,-1.4945657,0.02866059,1.4349811,-0.09571071,0.39513382,0.09548819,0.64494014,-0.60261,0.85248846,-1.0128908,0.10260021,0.14919639,1.1248659
N,0.7308607,0.2773969,-2.0970204,1.67241,-0.014986334,-0.062168133,1.0176528,0.28547752,2.1009161,-1.0466039,0.56974363,0.7096627,0.27802303,-0.5190469,-1.2305648,-2.4031014
O,-1.3205599,0.9937306,0.80921924,-1.5825969,0.034433488,1.6592848,1.4399214,0.40859637,0.30331212,0.3800043,0.6924346,-1.084255,-1.5768238,-1.2274526,-0.44185287,-0.7015292
F,0.7353126,0.687844,0.74040824,0.9844894,2.048464,-0.60869294,0.10769554,1.5587059,1.0152565,-0.2520991,1.9136007,-0.048965037,0.95570844,-0.008868901,0.64237887,0.1331478
Na,0.091625,-0.17063794,-0.29111862,1.2332016,1.3117701,0.0025170427,0.42814857,0.75156885,-0.7716199,-0.48106572,-0.8826535,0.124512956,0.3687623,-0.85082823,1.725513,-1.9278235
Mg,-0.90513766,-1.7970718,0.2223628,0.9657245,0.21965915,-0.84174323,0.17579395,-0.23732372,0.9976804,0.7220731,-0.44369748,0.033064287,-0.018125847,1.6423403,2.3960211,0.35408887
Al,0.59640115,-0.12522694,1.1047021,0.94753826,0.08466476,0.9650183,-1.0792507,-0.14978035,2.0317414,-0.4177919,-0.6770781,1.1494682,1.1023862,-0.9475531,-0.55163914,1.8606234
Si,-1.5277299,0.6217541,1.2511555,-0.4233949,0.84381217,-1.429007,-2.7057617,0.7283868,0.18385217,0.31675065,-0.092389144,0.3785591,1.749959,-0.7729979,-0.21991228,-0.76845527
P,0.7716284,-2.5483582,-1.162067,0.019619467,-0.45806253,-1.198782,0.8113241,0.64759976,-0.40600115,0.6791548,0.332594,0.055919956,-1.5112292,0.16748443,0.39562455,-0.72022855
S,-1.2022767,-0.8159964,-2.166334,0.487161,0.039163217,3.234666,-0.6772727,0.23021404,-0.86600965,-1.0755403,1.8766252,0.16755563,-1.857108,1.7285188,2.7293613,-0.23273501
Cl,-1.2528036,-1.9184206,-0.7616618,-0.3180414,-1.2255139,1.7994303,-1.2788348,-0.16533843,-0.13617754,0.54424953,1.3616383,-1.3138779,0.2941753,1.506404,0.9712702,2.3519506
K,1.0897835,-0.9381767,-1.8533323,-0.15967245,-1.1061784,-0.22191319,-0.74513334,0.35940292,-1.1620933,-0.49764034,0.3799938,-0.19988278,-2.788417,-2.039267,-0.25275016,0.5753798
