Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,1.2242754,0.57655764,-1.2577429,1.0969768,-0.11203604,-1.169289,0.14368232,0.127651,1.6916202,0.0619719,0.06534932,-0.61539197,-1.3722055,-0.4556426,0.05683744,-0.25230965,0.84511024,-0.6576578,-0.8366956,-1.2323519,-0.6993363,-1.4478211,-0.0076388116,-0.2778255,0.077616274,0.58658427,0.11481713,1.204001,0.14346303,-1.2916323,-1.5762215,0.05465489
Li,1.2905889,-1.2635638,-0.42378873,2.3387296,-0.4191379,0.58521086,0.6549408,0.5593488,0.70030975,1.002234,-2.3668468,0.5424143,1.3326492,-2.0196176,-1.4740123,0.51375586,0.59414786,-0.8382913,-0.079897866,-0.01961659,0.44740194,-0.6240325,-0.06371613,2.4840138,0.008124516,0.5352947,0.062390856,0.10807244,0.3475315,-0.7169603,0.856315,1.7954528
Be,0.1685825,0.6931932,-0.7983256,-0.48945037,1.3716261,1.190412,1.6472409,-1.6629375,0.5986337,-1.0861816,1.4378278,0.49696139,0.52577215,1.1083237,1.7653124,1.008078,0.36418545,0.55461174,-0.8543166,1.3999236,-0.018321736,-0.87483215,0.46942377,0.73759425,-1.3724908,0.74726343,-0.36488748,0.50391483,-1.6201005,0.8971543,0.3101212,-0.12074587
B,1.4854146,0.95363903,-1.2905732,0.7655415,-0.8116348,-0.44808277,-0.9722769,1.5865701,-0.7244216,-2.5573378,-0.15659994,0.25232646,0.19512871,0.16012466,-0.9940644,0.5288399,-0.9585673,0.05630166,-0.782828,1.7904754,1.2531105,1.3539411,3.4105506,0.85778445,-1.0925817,-1.0610961,-0.71521556,0.08120896,0.008379014,-1.0276836,0.31081226,-0.0044169454
C,-0.6829722,-0.6096556,-1.575552,-0.9187799,-0.92319596,-1.4762241,-1.2812625,1.7839919,-0.5851552,-0.5161066,0.71989435,0.5800584,-0.11892494,0.992771,0.5591432,2.003408,1.8708372,-0.78025603,-1.2839181,-0.6976821,0.5177369,-0.12926307,-0.9679834,-1.3478147,-0.52114093,0.023175552,0.91995007,-0.4201476,-0.22568505,-2.0126448,-0.77018315,0.30248335
N,-1.1370628,0.40312865,-0.68694454,1.389885,-0.1467996,1.137118,-0.33357134,0.72579885,1.4056009,1.2021846,1.3825481,0.25470135,0.03731582,0.5648609,1.1191826,1.3807989,-0.14546713,1.143368,-0.32348838,0.4015756,-1.0001992,-0.9374118,-1.8146363,0.27553478,-0.41947195,0.16744536,-1.1891989,0.10416131,-1.0707388,0.59232557,-0.7560379,1.5913068
O,0.036250804,-0.94869953,-2.285693,1.0688082,-1.0785081,-1.4125787,0.33391607,-1.064602,-0.70605135,-0.32793942,-0.6784902,-0.7435141,1.6164376,0.30183282,-0.45824572,2.4451606,-0.60651815,-0.06986213,-0.044912886,-0.2824851,0.4224353,-1.2555356,0.29140896,1.7646391,0.15418811,-1.1027162,1.3580798,-0.8491545,0.342663,0.53995764,1.7340902,-0.09270463
F,0.7587105,0.44250253,1.4155481,-1.224233,-0.8943277,-1.4288931,-1.2305534,1.0253886,-0.76317996,-0.9882516,0.010121979,-0.20170367,-0.96648073,1.6844951,0.9449119,0.7262864,0.35409543,0.098146714,-1.7619114,0.72224176,1.3289729,1.4931456,-1.0974066,-1.9634465,2.0751078,-0.105634436,2.081507,1.2036246,-0.18592829,-0.4710906,0.8485677,0.08822663
Na,0.8588616,-0.17588997,1.9315214,-0.3282363,-0.3723746,0.69140625,0.15597814,-0.92767173,0.7820423,0.6604871,-0.7228518,-0.78466123,0.33253452,0.45155466,0.81137174,1.1811332,0.6406609,-0.36180216,-0.86809224,0.8136757,0.015103351,1.3427327,-1.7912092,-0.58617973,0.47666615,0.040916376,-0.34132165,1.0185485,-0.44018513,0.82885146,-1.314754,-1.4977092
Mg,-0.41358772,-2.1177268,-1.6312006,0.8159753,-0.1165261,-0.082749516,-1.408286,-1.2202494,-0.8364864,-0.49545792,-1.461538,-0.28416345,-0.46127415,-0.29954883,1.1884347,1.9118592,2.0866172,-1.5457565,-0.11815691,-1.131563,0.3179021,-0.25094453,-0.06473248,0.6203433,0.017574979,1.8020576,0.52513,-0.37930015,0.29418314,0.04462232,0.05566579,-2.537246
