Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.7987162,0.11241234,-0.48837855,-1.8650676,0.5088309,-0.002889867,0.76243407,-0.20438856,-0.97162133,-0.7735077,-0.36201435,0.052899174,-0.2827699,-0.039690543,-0.3730031,-0.9071819,-0.52766407,0.5818482,-0.23428392,-0.44537762,1.6035665,-0.70464563,-0.7471167,-0.7149488,0.70960695,-0.8246718,-0.81503814,0.022340473,2.0332541,-0.2603896,0.66029507,-1.2799098,-0.0011549173,0.49814513,-0.5160596,0.16864948,-0.8115051,0.023655958,1.1418886,1.2133586,1.4573287,-0.84585524,-0.06312718,-0.65925467,-0.5535248,0.24153616,0.5473352,-0.12582454,-0.13232325,0.42724845,1.6991152,0.76989394,1.4644425,-0.7117359,-0.22076522,0.5922931,1.6288536,0.16976573,0.6688407,-0.38396272,-0.6703461,1.4539028,-0.49285907,-1.8226024
Li,-0.34556803,-0.8808178,0.8100569,-0.9330635,0.64653075,-1.0032673,0.36639962,-1.355113,1.165808,0.09822575,1.0315766,-1.5193077,-0.67651224,1.4183832,0.29272678,0.7126992,-1.5062374,-0.78350776,-0.7490207,0.10004859,-0.15836343,1.2435951,0.6204094,0.72389066,-0.53553045,1.326314,-1.9133986,0.9867638,-0.866896,-0.17943402,0.56524897,1.1771404,1.230457,0.7738902,-0.5905278,0.8518698,0.3391927,0.65394247,0.9425322,-0.32802287,2.107803,-0.59014153,0.2256689,1.2948817,0.2757562,1.2294018,1.580033,-0.98380667,1.1494321,0.259602,-0.32509398,1.5574166,-1.1229013,2.1407702,-2.4935083,-0.1259039,0.15671319,0.33236703,-0.9569579,0.17054874,1.2311926,0.4367637,-0.504903,0.21146469
Be,1.9289578,1.7274253,-0.28016114,-0.023814684,0.7867541,-0.9062007,-0.8994705,1.2989026,-2.0594635,-1.6336517,0.8805828,-0.6443824,-1.4548054,0.50129735,1.1427658,0.36716008,0.4445648,0.057263553,1.2919894,0.009754018,1.3457748,-0.17772655,-0.9487436,1.7332089,0.20410469,-0.41500598,0.81343,0.36839232,0.08472906,-0.29053614,0.63858676,1.0198214,0.13528262,0.8055525,-2.1624956,-0.9726872,0.17905785,0.7612438,0.35074475,1.38427,1.4287505,-1.0993099,0.40630984,0.5049866,-0.93703735,-1.5513084,-1.4615576,-0.6647529,0.8263776,0.26598805,1.1821609,-1.0868174,0.2201744,0.7197224,0.45608038,0.107677974,0.211327,0.53493583,-0.8175505,0.8402088,-0.2893795,0.58133334,0.5196957,-1.1710856
B,0.14614269,-0.73167974,1.1199157,0.12676221,0.921625,-0.26724136,1.2238396,0.67687285,-0.82377523,-0.8054438,0.2195606,-0.9711004,-1.6984482,-1.1732796,0.21702199,0.45009473,-0.1821602,-1.0656627,1.3994333,0.22253963,-0.19565535,1.4038762,2.033156,0.4768618,-0.6174969,1.1740375,0.11469611,0.40607184,-1.2137295,-0.11280071,-2.4496593,0.23334484,-2.3934796,1.5373524,-2.0635126,1.1679307,-0.30798957,-0.5907111,0.4235646,1.0376563,-0.40728092,2.3463817,-0.6375293,1.0753158,0.18788622,0.058868576,0.43371215,-0.91160077,0.33511636,-0.42500874,-0.5823986,0.33577737,-0.7303777,-1.019613,-0.12238666,-1.0712413,0.34787723,-1.0046388,0.72322,-1.6948035,-0.90150964,-0.340203,1.2271008,1.0850166
C,-0.6809689,0.5521621,0.8243439,-0.8785978,1.2753594,-0.5092338,-0.5845337,0.19362043,-1.1978052,0.62528217,1.6242582,1.0284173,-0.52832526,-0.36195156,-0.6776004,0.89036924,-1.6916581,1.4792554,1.6737163,-0.6965951,0.028039709,-1.0380944,1.2320312,1.6727418,1.0984229,-0.46764675,0.9934959,0.19253112,-0.65977514,0.2565787,-1.0931951,-0.45671177,0.2958226,0.43078506,0.82710546,0.9384223,-0.046372857,0.4583274,-0.85534805,1.6204284,-0.38523403,1.1598988,1.1704491,0.32503316,0.01934861,2.6453464,-0.11933392,-1.225801,0.28869605,0.07073385,2.3718283,1.2880539,0.6216295,1.197678,0.06947006,-0.58085084,0.49483567,0.66739804,-1.0970216,-0.6477926,0.21646924,-1.1221097,-0.028063025,-1.1565859
N,0.806545,-0.07181545,1.0145453,-0.08350062,3.428107,0.36469695,0.024340605,-0.4190982,0.80856985,-1.2174002,0.8886,0.27377936,0.16532315,1.3196138,-0.05349844,-2.7623553,-0.92399013,1.9094949,-0.093597405,-0.83744466,-1.2836988,1.5942446,-0.36028814,1.6267276,0.12138186,0.2159657,-2.1151977,-0.4163001,0.31425214,-0.2019357,-1.1979792,-0.27229086,-1.3599669,-0.470699,-1.3093512,-1.2028166,1.6087894,-1.0374322,-0.9590234,0.1872286,0.5168947,-1.3266916,-0.35035518,0.123160906,-1.0610151,-1.0779016,-0.19277239,0.65702516,-0.7549849,-0.033470508,1.2640243,0.45156518,-0.33874556,0.64078736,-1.4895424,-0.5729572,1.6775641,-0.42902976,0.52900237,1.7661425,0.08331747,0.5643917,0.9067243,0.2225577
O,-0.58824986,-1.0803778,-2.0809145,-0.14979118,0.23610023,-0.86353654,-0.6188945,-0.9381255,0.8430705,0.7092847,0.7261245,0.5698122,0.78707725,-0.6478335,-1.19846,-0.99464744,-0.9779108,0.257817,1.4899179,0.014841933,-1.406163,-0.21478857,1.9204974,0.6003963,-2.193447,0.1271351,1.6764112,-1.3422767,2.0871232,1.9640957,1.4968694,-0.80268615,-2.1140044,1.9148619,0.9574906,0.43656012,-0.09833866,-2.4548461,2.1915047,-1.4831343,-0.84565985,0.13658115,-0.38773134,-0.41049927,-0.6419312,0.6512935,1.3277597,-0.9848064,-1.06591,0.6887939,-2.019398,-0.2623841,0.48702726,-1.135601,-0.9263841,-0.13871735,-0.21086402,1.4502777,-0.20454843,0.60284925,-0.6712436,-0.28276718,0.5633515,-1.2886204
F,1.7970979,-2.5271177,-0.74805313,0.40330645,-0.16236642,-0.0213701,-0.12693779,-0.008999646,2.253019,1.2319055,-1.3447961,0.22974028,-0.1382559,-2.1974788,-0.08257454,-0.6385821,-1.1667925,-0.88497335,1.3272815,0.19308934,-0.023528503,1.2029381,-0.21695295,0.09047292,0.9016195,0.05629212,-0.1439268,1.3730191,-0.4617493,-0.059512585,-1.1618688,0.15594718,-2.826079,-1.030507,-0.35528603,-0.17548628,1.0199974,0.24185994,-0.24761854,-2.0555787,-0.74192923,-1.0960641,-1.6416832,1.0409408,-0.7552132,0.25006688,-0.09159137,-1.3394154,0.26888105,-0.0888323,-1.2522739,-1.5242739,-0.017092012,-0.48994765,-0.437297,1.0345595,2.5516322,-0.53413665,-1.4787573,-0.3700064,0.03574515,-1.5670561,0.12703611,-0.89333373
Na,-1.0122671,0.5917798,-0.9427655,0.27091905,-1.3089862,0.064690344,0.026423015,0.057644844,-0.70002425,-0.89251,-0.18739685,1.5073661,0.37454742,1.254433,-0.1203301,0.1795091,-0.79732573,-1.4015435,0.8457809,-0.58377594,0.79202193,-0.23087065,0.58614224,0.629832,-0.78615034,-0.09978049,0.36866787,-1.1011837,0.0064067636,-0.48310456,1.1954973,-0.5287314,0.5205731,-0.56742406,-2.4612894,0.29687616,-0.20095177,0.5444419,1.3577695,0.036907863,-0.8220128,-0.6543538,1.573878,-0.4551949,-0.86383545,-0.43118206,-1.0936283,0.18270107,1.4521241,-1.0849651,0.19634391,0.8703832,-0.2658623,0.65630776,-0.110724896,-0.7034756,0.66987264,-0.042830333,-0.0749541,0.26475182,0.15439668,0.721731,0.051329732,1.9353477
Mg,-0.7670588,-1.0537107,-1.733062,-1.2551918,-0.38220635,0.33689725,-1.1937851,0.25702325,-1.5251575,0.9594349,-0.41527134,1.3400407,-0.19190374,0.25468257,-1.1115732,1.1927722,2.2755523,1.5673306,0.17887549,-1.2927642,-1.9286913,-0.40772873,0.7457493,-1.0848314,2.4015074,1.1001348,1.6981909,0.19742425,0.9885436,2.036926,-0.75962543,0.11700849,-0.30509692,0.11350798,1.3963457,0.5190813,0.5106065,1.2395976,0.54812557,-0.8356482,0.5136864,0.11808237,-1.4192573,-0.5631106,1.4665464,-1.5472301,-1.0394106,0.45253006,-1.572461,0.9716205,1.3324624,-0.73129964,0.38098222,0.70404255,-0.2011487,0.16427243,2.2673862,0.2300933,1.049443,3.3173242,1.3851365,-1.1655557,-0.84195477,-0.1379279
