Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-3.1648362,0.1778234,-0.20523998,0.12821995,-0.58815765,0.37054297,-1.0709982,2.1244843
Li,-0.9579059,2.375702,0.19801337,1.216219,-0.20655972,0.13093264,0.36569032,-0.7106839
Be,0.44087136,-0.34976658,1.15773,0.90001416,-0.56951225,1.6065376,0.4267149,-0.5911532
B,-0.23735859,0.04621331,-0.010709656,1.6507858,0.32956296,0.17615166,0.28450194,-0.56485623
C,0.102031276,0.46921664,0.26738063,1.0424979,0.49382356,0.9562597,-0.1420501,-1.1594211
N,-0.15608646,1.9249988,0.45149562,0.64365697,-0.65183604,0.63955796,-1.2250682,-0.7389022
O,-0.76896256,-1.6504856,1.1724592,0.0028974644,-0.2172737,1.1272483,-0.28373146,0.86127657
F,-3.3860111,0.17244598,-0.07433184,-0.8012052,-1.3725538,-0.5395179,-0.18749617,-0.79028386
Na,-0.21054395,-0.32781574,0.85190696,1.5825213,0.66518676,0.30507606,0.84688735,1.0044899
Mg,-1.0519173,-0.18638198,2.1237504,-1.023224,-0.17466998,0.50117147,1.3582141,-0.48578963
Al,0.7777355,0.3568676,0.34843713,-0.2976843,0.075668626,-0.34183484,0.4960181,-1.3310313
Si,-0.875735,-0.90093875,-3.0994406,-1.5340195,-3.0701158,0.67416877,0.9278397,1.155058
P,-0.018082125,0.4412707,-1.4830731,-0.18808703,-1.5626092,1.1144484,0.10650513,0.12510759
S,1.7479434,-0.17524885,-1.5478861,0.81690085,-0.8202588,-0.8615068,0.7489145,0.35971433
Cl,1.0967079,0.025338871,0.14985792,1.2469802,0.14465217,0.13734159,0.3560684,0.65725136
K,0.8909659,-0.88575053,0.43766358,-1.8052955,-0.40000942,-2.0034702,1.3107746,-0.57069135
Ca,-0.3887402,-0.85808605,0.632453,0.59840226,0.9476713,0.10185005,-0.90333426,0.6195474
Sc,1.2104492,-1.0383968,2.1301916,-0.5103836,-0.016938156,-1.1847733,0.24305116,-3.2966473
Ti,0.8779288,-0.6168409,-0.7421596,0.3138341,1.7569358,-0.2810616,0.741143,0.16767259
V,1.1963441,-1.2148818,-0.54985887,-1.9824622,-0.31477416,0.642263,-1.8267516,-0.73895246
Cr,0.81974095,-0.64973414,1.0663927,1.7161137,1.1283575,-0.25305262,-0.19015037,0.34931797
Mn,-0.69066125,-0.10096143,0.6874186,0.6512246,-0.05291465,-0.12058748,0.27102104,1.708659
Fe,-0.99200106,-2.1824882,1.171605,-0.78194475,-1.2891796,0.2389601,-0.92281353,-1.521121
Co,1.079627,0.2997988,-0.09752971,0.41984504,1.2478873,1.1279508,0.5529958,-0.8131055
Ni,0.5203646,0.17270221,-0.60123605,0.60908246,0.89571166,-0.8268412,-0.49844489,0.75299907
Cu,-0.96112937,-0.42757106,-0.4818272,-1.1347728,0.7413475,-0.30672196,-0.58735394,0.11132993
Zn,0.1724884,-0.26528025,1.3946482,-0.02161626,0.5371907,0.42518297,0.28087935,-0.28034222
Ga,-0.31469855,0.96808296,-0.2202749,-0.53533316,-1.8381972,-0.6311916,0.096508056,0.5166155
Ge,0.79798186,-1.2477455,-0.23773888,0.03261588,-1.2984262,-1.5757338,1.2852737,-1.3384416
As,-2.3402796,0.5492924,-0.9122012,-0.844759,0.21439321,1.3919171,1.1389875,1.0867317
Se,0.39060968,-0.17380106,-0.015375557,-0.22521526,0.49504322,-0.06089617,1.0963999,0.6296998
Br,-1.5477921,0.6746058,-1.1711543,-1.8882419,0.2588143,0.39927158,-1.4562154,-0.48391187
Rb,0.06624043,-0.5268037,-1.4155436,-0.6527278,-1.574624,-1.2290285,-0.7101571,2.0760913
Sr,0.20660016,0.40378228,0.2912988,-1.1265764,1.1090617,-0.12604718,0.99082166,0.29535392
Y,-1.0244439,0.73643327,0.13648391,0.76623964,-0.04167073,-0.31857982,0.26261604,0.4518777
Zr,0.39097607,-0.8047143,-0.12349784,0.117864,1.4853901,0.4929365,-1.1015702,0.53197086
Nb,0.17614956,-0.6780651,1.6236848,-0.81722593,0.25444773,-0.460507,0.69879895,1.0110756
Mo,-0.016299658,-0.8218099,0.19042559,-0.020466832,-1.5066793,-0.9669109,0.14660983,0.66711205
Tc,-0.16441233,0.3410506,-0.6652077,0.45752743,-0.7262409,-1.1384511,-0.018594628,0.27312207
Ru,-0.674459,-0.80963,0.7680514,0.6062516,-1.2404711,-0.0029718243,-0.7148294,0.14111488
Rh,0.07266672,1.5442429,-0.2895774,0.39988303,1.1380072,0.50040084,-1.3972386,3.1357856
Pd,0.24741386,0.6215043,0.7110635,-0.30891865,1.257652,-1.2689224,0.6467211,2.8739254
Ag,-1.4935585,-0.7799685,1.0563205,-0.14473678,-1.4719771,-0.3404572,-1.1685342,-0.26480353
Cd,-0.5728457,-0.5717955,1.5284674,-0.66174847,-0.81033456,-0.043585222,0.05734552,0.3871155
In,-0.4112093,0.9009829,0.14115943,0.6219095,0.14216241,1.5207992,0.84375006,0.041071724
Sn,-1.0045965,0.5901504,-1.2499752,-0.050229408,0.55937415,1.0717343,0.66968,0.37131625
Sb,0.9916023,0.6700685,0.73025256,0.20869802,0.10691884,0.7416541,2.253833,0.21114632
Te,0.58734137,0.4447926,-0.090475515,-0.47019705,0.98071384,-2.0827017,-1.4158875,-0.7410036
I,1.5324589,-0.37192175,-1.0435523,-0.53047043,0.1340575,-1.8059758,0.21507478,-0.11077395
Cs,1.5132817,-0.6423065,0.090205185,-0.98935413,0.29944387,-0.04213997,-2.0508845,1.4399607
Ba,-0.021314908,-0.23589112,-0.5896962,-1.4075236,0.99409074,-0.9576125,-1.0130663,0.9550939
La,0.6919563,-0.2481197,0.60087013,-2.8675864,-1.3080752,0.32551104,1.4469917,0.41974148
Hf,-0.5939023,0.2916342,-0.19014183,-0.028510192,0.22444396,-0.9401531,-1.0170119,-0.4031519
Ta,-1.1150771,-1.1853676,0.8949788,-0.8737362,0.43405306,-0.051786486,1.4169705,1.5413326
W,-1.1970755,1.0038937,1.1492707,0.9811028,-1.4186736,0.1203925,-1.8881005,-1.041011
Re,0.6002786,0.050252385,-0.18896787,1.1043317,-0.69063437,-0.27016336,1.6988883,-0.17570285
Os,0.6968746,-0.42469507,-0.6317356,-0.28005993,1.0125552,-1.3815325,0.29766813,-0.5649477
Ir,0.37433344,0.008248553,0.3393073,-0.047403634,0.052061297,1.027726,-1.4519833,-0.28754064
Pt,0.62853277,-1.3528475,-0.66554826,0.40558276,-0.4627965,-0.694458,-0.8092777,-0.3056309
Au,0.5630245,-0.1132769,-3.5151632,-0.79578733,0.20740956,-0.34873235,0.10118333,-1.1615247
Hg,-0.110750996,-2.573829,0.16508336,-0.85593486,0.51453847,0.25861734,-0.15916575,-2.1657228
Tl,-0.97047055,0.93427736,-0.43751976,0.45103636,0.46281677,-1.2570801,-1.0671556,-1.5001767
Pb,-0.28149635,0.049954735,-0.67959636,0.37294933,-1.1439979,-0.2652467,-1.9904332,0.9276033
Bi,0.39152384,2.5643113,-0.8782505,0.5229303,1.9887115,-1.1681814,0.646678,-0.8280039
