Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.3551399,0.62557006,0.15935843,0.041351534,-0.004149152,0.2926791,0.2662902,-0.43238077,0.27391097,0.059566084,0.6329106,-0.048145927,0.23449573,-0.045547046,0.25133425,0.5771259,0.068726555,-0.36044735,-0.050366282,-0.038016774,0.1624257,0.083329715,-0.1693998,0.2266852,0.045759257,-0.36407351,0.19705512,-0.25066522,-0.051049244,-0.14863817,0.252222,-0.023704976
Li,0.039881036,0.06630719,0.032487214,0.20955826,0.2446997,-0.06396352,-0.13555041,-0.029701777,0.37230185,0.1802068,0.3890516,0.033639275,-0.056744084,-0.27114964,-0.041089777,0.15683252,-0.04341011,-0.22197655,-0.4318751,0.00074817054,0.11837446,0.243352,-0.26796985,0.22178927,-0.062141534,0.08167174,0.39792654,-0.11068043,-0.21754985,-0.27014807,0.31822526,0.07840906
Be,0.23543769,-0.4373107,-0.32086682,-0.034816485,0.09784081,-0.08853339,-0.18905956,-0.18096891,0.50852454,0.2744581,0.2164112,0.06854356,-0.016840817,-0.14081378,-0.14042553,-0.032398332,-0.29203698,0.0330202,-0.14070597,0.06095629,-0.10707111,0.32688105,-0.39473945,-0.25468183,-0.1362997,0.03185788,0.33462232,0.029495617,-0.17848572,0.020309545,0.40861952,0.13133574
B,0.1302273,0.20656006,-0.026036084,0.022114962,0.06581137,0.17980425,0.26933667,-0.06331837,0.23893034,-0.0014618114,0.06849346,-0.16364789,0.060188003,-0.36249614,0.022742748,0.12913454,-0.15810671,-0.006001726,-0.41243398,0.20066585,-0.008981042,-0.25413218,-0.18606654,0.18959385,-0.075561136,-0.08577193,-0.22969423,0.07013066,0.23193383,0.09172951,0.44213367,-0.04271359
C,-0.04660531,-0.27274382,0.15820903,-0.18731785,-0.0033020955,0.18029013,-0.046652876,-0.10913877,0.35729888,-0.11886075,0.1730825,-0.40318823,0.06611588,0.08078175,-0.01962839,-0.076391585,-0.4877723,-0.03927988,-0.2878819,0.1234453,-0.46283633,0.07858085,-0.021462478,0.092300475,-0.03805648,0.14836387,-0.098774314,-0.0018820297,0.14419872,-0.014970936,0.34433514,0.19067693
N,-0.06908984,-0.033149913,-0.44912928,-0.30734375,-0.055592634,0.06844825,0.13114738,-0.17695186,0.07071008,0.37879866,0.23323642,-0.17361593,-0.0014269147,-0.2590083,0.0024751425,0.29083887,-0.07046135,-0.04957035,-0.113837674,0.005568156,-0.3690999,-0.19617945,-0.11315913,0.010772098,-0.24069759,-0.2314972,0.11935948,-0.29720098,0.23319319,-0.022573344,0.5321322,0.05131537
O,-0.17167109,-0.008703515,0.025158837,-0.08664463,-0.2099557,0.21092534,-0.04992517,-0.15753865,0.17079312,0.09680326,0.1822013,-0.10105152,-0.04386908,-0.027317747,0.15707308,0.14564136,-0.23003705,-0.2537576,0.008461788,0.03149437,-0.4765127,-0.0036668628,0.09707368,0.065001115,0.11706039,-0.4225483,0.06359944,-0.18619165,-0.016171068,0.13985924,0.47457373,0.23763117
F,0.29994708,-0.09178317,-0.08238754,-0.044731684,-0.006999066,0.083691455,-0.2569097,-0.37462628,-0.06046106,0.13367547,0.104053654,-0.021722697,0.043443277,-0.15198834,-0.41559806,-0.15251061,0.216429,-0.10701974,0.07462251,0.07835772,-0.3751199,0.07486631,0.117441945,0.17580971,0.061258044,-0.038752567,-0.23078941,-0.4812425,0.18119523,-0.09202544,0.16424024,0.2412847
Na,0.064524055,0.29116607,0.1575136,0.13408065,0.2948303,0.010642315,-0.30847007,-0.0046779783,0.44267642,0.20734915,0.3967195,-0.05390758,-0.25095794,-0.10001461,-0.15883237,0.3402286,-0.23920585,-0.120629735,0.037622333,-0.010482686,0.16077065,0.026498526,-0.2582657,0.3479348,-0.005730789,0.12735207,0.39562437,-0.22491623,-0.33701164,-0.15552059,0.023626521,0.39715397
Mg,-0.09994271,0.09082244,0.15994884,-0.11686403,-0.2865355,0.079784505,-0.11047956,-0.14815275,0.13800895,0.124470815,0.24654685,-0.4251064,0.09812553,0.13826826,-0.012392361,-0.11825491,-0.28068897,-0.052039105,0.33778435,-0.042335838,-0.016848013,0.0055070035,-0.31796142,-0.042203814,0.1815601,0.07596036,0.044516023,-0.35710216,-0.25670964,0.04288034,-0.08928247,0.14061838
Al,-0.27214715,0.025914744,0.0895147,-0.13401169,0.13460004,-0.351153,-0.12685832,0.03509143,0.03654974,0.124561414,0.18768016,-0.3360654,0.06943098,-0.15655576,-0.11106981,0.37277302,-0.18619494,0.03653308,-0.019938737,0.047996104,0.24740615,-0.47082186,-0.112226106,0.26336086,0.055397514,-0.22882517,0.013951827,-0.15273023,0.07397351,-0.22378112,0.64918613,-0.0010248795
Si,-0.24288893,0.055833638,0.3389966,-0.055187136,-0.17742099,-0.121127896,-0.28068706,0.10129791,0.4423121,-0.28100958,0.14778754,-0.3246562,0.20236874,0.11627898,0.15887183,-0.067317165,-0.4866156,-0.0914264,-0.2249193,0.17926228,-0.25866687,-0.33140928,-0.092214696,0.24806447,0.16614674,-0.20742215,-0.24574363,0.20117916,0.33680794,-0.28133398,0.40236264,0.02434098
P,-0.15362307,0.03658463,-0.62986404,-0.44486988,-0.017403686,-0.47822818,0.21123108,-0.13365234,-0.0033091977,0.23379704,0.5155165,-0.025318325,-0.2839397,-0.18761955,-0.19940507,0.5823672,0.13908948,-0.15325332,0.21614312,-0.203917,-0.18490714,-0.33592778,-0.22347257,-0.05283814,0.09921157,-0.71314144,0.2238886,-0.73867697,0.46520427,0.34506696,0.7465353,0.05073023
S,-0.122343,-0.14759803,-0.22172473,-0.17822896,-0.12247914,0.011040713,-0.34776577,-0.09836032,0.062433135,0.07601431,0.06441331,-0.42573658,-0.09946096,0.041343633,0.052957587,-0.12255781,-0.07643515,-0.077095576,0.1797462,-0.19415405,-0.15653673,-0.025854237,0.078189336,0.07310377,0.20323235,-0.22016637,0.20035443,-0.20395267,-0.1308361,0.048255652,0.33480597,0.16824567
Cl,0.36077788,-0.21541315,-0.18323237,-0.015822448,0.1332225,0.25133497,-0.3554198,-0.03711496,0.1050656,0.20180827,-0.07971537,0.13979489,0.07510134,-0.24278279,0.02027893,0.18212244,0.10041432,0.030709356,-0.047841728,0.01064322,-0.34519643,-0.031250663,0.15080506,0.1283735,-0.21381742,0.24130896,-0.188495,0.06823429,-0.17200127,-0.30149543,0.084899925,0.2619889
