Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.37667736,0.044508837,-0.26101658,0.4534178,0.0804979,-0.26611787,-0.047993414,0.306295
Li,-0.24331835,-0.1707567,-0.33151448,0.3640929,0.045631297,-0.20603724,-0.07528836,0.20486888
Be,0.09033375,-0.13218483,-0.028180808,0.06429286,-0.0065229014,0.14568616,0.028901905,-0.07925164
B,0.5031115,-0.04523792,0.057616014,-0.23303759,0.16206284,-0.16043541,0.19927785,-0.06168077
C,0.28176254,-0.15408331,-0.21489114,-0.09455481,-0.23251596,-0.21465795,-0.05178982,-0.054783218
N,-0.1639638,-5.606562e-05,-0.29732147,-0.011025704,-0.3266759,-0.22010414,-0.056590132,-0.2174435
O,0.013900749,0.1713494,-0.49735993,0.22310546,-0.26465613,-0.5468187,0.13856815,-0.2633626
F,0.11992178,-0.07427628,-0.29676116,0.11979534,0.15268429,-0.56310624,-0.07385661,-0.108402066
Na,-0.10318916,0.14193952,-0.13893388,-0.021539897,0.18669276,-0.19879806,0.019386396,0.23106855
Mg,-0.08070282,-0.0018508509,0.20771101,-0.11224215,-0.0249395,0.03566706,0.005383432,-0.053708576
Al,0.095755205,-0.08967819,-0.32138398,-0.15316394,-0.09189524,0.050487727,0.10288873,0.20249164
Si,0.0849115,-0.19396156,-0.110915065,-0.08840507,-0.4611749,0.11604887,0.27645397,0.2304452
P,0.00085975975,-0.14297542,-0.11450502,0.00979571,-0.44801438,0.011525497,0.036074914,0.035341974
S,0.08730004,-0.094986536,-0.27139854,0.15775783,-0.17958249,-0.1713736,-0.10524458,-0.34510267
Cl,0.100811645,-0.089761436,-0.19279256,0.08212677,-0.079571724,-0.54633427,0.035536543,-0.12748045
K,-0.23776844,-0.30632797,-0.21965529,0.21932873,0.24898763,-0.18096,-0.15066296,0.31650814
Ca,-0.022256672,-0.23059672,0.06896895,0.09103978,0.14465435,0.2436754,0.07895912,-0.0848101
Sc,-0.008790463,-0.23416805,-0.20910291,-0.5205258,-0.047209635,0.06644486,0.3031109,0.16912055
Ti,-2.424419e-05,-0.2873097,-0.019010168,-0.43455043,-0.19188578,0.18134098,0.22995153,0.23467612
V,0.054903403,-0.24570426,-0.11316803,-0.42980462,-0.40720463,0.25469583,0.09641676,0.32631078
Cr,0.33788335,-0.15840794,-0.26580787,-0.23893738,-0.18343723,0.32220417,0.25919458,0.2237981
