Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,1.3222461,-0.35864758,1.5703844,1.645408,-0.12260507,-0.97750086,-0.7485567,-1.1406162,0.25019854,0.8721822,-2.2057767,-0.09525135,-0.037059307,0.09902074,0.40692055,0.034868166
Li,0.15370935,-0.44608468,0.37586826,-0.04161283,0.9990101,-0.095115125,-0.4913857,-0.64358515,0.27968103,0.7172388,-0.6117659,0.7064584,0.36918285,-0.3420732,0.46560812,-0.18485978
Be,-0.13684522,0.026323259,0.01825064,-0.29726708,0.41249263,-0.19787095,-0.45700425,-0.5065699,0.08888935,-0.019886287,-0.121790014,0.21339965,0.6344434,-0.45441025,0.104521364,0.12326221
B,-1.3574675,-0.090279326,0.11202878,-0.6321134,0.44469905,0.0029036403,0.15869734,0.67378575,0.48428038,0.21215332,-0.6301587,-0.093265355,-0.35913897,0.6338214,-0.6716827,-0.66038835
C,0.10066418,-0.5453618,-0.60790396,-0.48174986,0.6504307,0.05868797,0.2191172,0.1398181,-0.574265,-0.5969336,-0.08975338,0.24949372,0.5225016,-0.25984216,-0.25673074,-0.09132536
N,-0.21656923,-0.38994843,-0.5739577,0.3682001,0.14351185,-0.07432826,0.52261245,0.3549956,-0.30813548,-0.4869528,-0.60514086,0.42663026,-0.004868537,-0.22411153,0.18593194,-0.451852
O,0.64047503,-1.3708171,-0.37194648,-0.25163093,1.1913809,-0.15842408,0.054645427,0.35282713,-0.19419663,-0.9655516,-0.52543885,0.8661975,0.6920907,-0.813141,-0.043149702,0.17570348
F,0.22647366,-0.7777764,-0.9061746,-0.26257285,1.246413,0.5579323,-0.14652312,0.50866437,-0.72782075,-0.860973,-0.53594893,0.6187313,0.655467,-0.45542476,0.1492638,-0.24666177
Na,0.3896823,-0.821314,0.17486903,-0.27721873,0.83751553,-0.061777826,-0.5513828,-0.8057682,0.12016282,0.59024715,0.05652138,0.707822,0.6087379,-0.66834277,0.31406605,0.15447856
Mg,0.45329398,-0.5753258,-0.38871574,-0.49468434,0.091420114,-0.42800307,0.1235005,-0.42440638,0.006127963,-0.49134502,0.6383274,0.16623217,0.9827436,-1.1654772,-0.22997504,0.2812793
Al,0.53424823,-0.43075216,-0.9296785,-0.6502863,0.27021283,-0.23359415,-0.15216273,-0.60734105,-0.19318296,-0.38263184,1.1270976,0.48445272,1.1618538,-0.5745106,-0.39946103,0.6811184
Si,1.4413708,-0.20556311,-0.89941156,-0.21909879,-0.0042524785,-0.60195476,0.24776867,-0.3707699,-0.16054581,-1.2612389,0.6551053,0.07274614,1.3892572,-0.035352997,-0.5991587,0.5648556
P,0.1633853,0.7035517,-2.2587395,-1.476164,-1.307852,-0.5033272,1.2640069,0.5026681,0.97319174,-1.1505041,1.1695123,-1.6223812,0.9622946,0.15405566,-1.0609511,-0.56242275
S,0.37720978,-1.3538817,-0.97169363,-0.803191,-0.10232712,0.14496426,0.064939,0.66362554,0.16771545,-0.65068483,0.32389784,-0.054276377,0.27456576,-0.9379944,-0.06987316,-0.39287916
Cl,-0.08474623,-0.9207636,-0.026909295,0.4827992,1.0297225,0.28914237,-0.2959612,0.5493234,-0.4678445,-0.05923953,-0.5720006,0.67585343,0.17593388,-0.3366477,0.32661247,-0.5472556
K,0.13160546,-0.7425754,0.49803713,-0.06328735,1.2966725,0.33807844,-0.54396534,-0.84898335,-0.5367847,0.8685136,-0.35834387,0.28971702,0.70797795,-1.1245545,0.34890014,0.1201967
Ca,0.099498115,0.08408159,-0.16462696,0.11719522,-0.05486138,-0.9557022,-0.15533999,-1.2485721,-0.19048327,0.3147659,0.32252425,-0.09345794,0.96752656,-0.22587761,0.05078412,0.2589568
Sc,0.7127187,-0.10068078,-0.5828569,-0.25505167,-0.23706143,-0.8506582,0.1499469,-0.8610422,0.25200388,-0.69789344,0.31583378,0.17529719,1.0168135,-0.12503673,-0.7222209,0.6264337
Ti,0.9106517,0.15326662,0.06086942,-0.1061587,0.23760062,-1.1062388,0.21614277,-0.5434991,0.28639436,-0.654014,0.2781135,0.06517246,1.0649366,0.38485503,-0.91251683,0.37394828
V,1.1089069,1.0970458,-0.8332732,-0.53373927,0.22022252,-1.0216268,0.5797629,-1.0366789,-0.0712441,-0.70867336,1.1347754,0.15565272,1.5729821,0.3036575,-1.0165175,0.63793635
Cr,0.7212206,0.39246565,-0.32784206,-0.2227286,0.7056824,-0.5995657,-0.044877715,-0.94324964,0.1651949,-0.28353012,0.42597792,0.5036684,1.1364688,-0.05879256,-0.8301885,0.51304185
Mn,1.0799907,0.9151426,-0.4296706,0.12810697,0.60886264,-1.1266083,0.1345827,-1.2283136,-0.25762215,-0.5586889,0.4040036,0.37866604,1.4846978,0.3158689,-0.64592254,0.6283098
Fe,0.34645557,1.5112711,-0.2140564,-0.21867566,0.53409845,-1.1284615,0.0534778,-0.49888375,0.3739665,-0.1641357,-0.081121884,0.08672921,1.1234838,0.83165133,-0.9952692,0.33575597
Co,0.81877816,1.1742915,-0.73967016,-0.49260676,0.20640127,-0.976386,0.16618145,-0.7970924,0.35491198,-0.9114459,0.667287,-0.09235743,1.7577782,0.24624717,-1.019909,0.3063115
Ni,0.15243272,1.3291006,-0.24835378,-0.8831948,0.33833718,-1.0927434,1.0352579,-0.1149104,0.5595021,-0.39576957,0.38351136,-1.0190797,1.166909,0.45059448,-1.0885416,-0.4533041
Cu,1.3494885,0.34439707,-0.47431535,-0.27584428,0.5393639,-0.8332169,0.13536459,-1.2749768,-0.3220712,-0.9233906,0.6081061,0.23053287,1.8523902,-0.46708152,-0.571188,0.7171768
Zn,0.946023,0.35215187,0.30076906,0.17737876,0.17178014,-0.9465599,-0.024350189,-0.5019459,-0.09523236,-0.33698222,-0.028077297,0.57466936,0.63019466,0.49476588,-0.46404076,0.7349404
Ga,0.41817564,-0.18156616,-0.87983644,-0.34015092,0.2086438,-0.34281492,-0.16721302,-1.0268074,0.017209524,-0.28456908,0.9884301,0.512585,1.211352,-0.3071593,-0.63760567,0.6661387
Ge,0.73544925,0.28227526,-0.6088703,-0.46309873,0.09150477,-0.9434174,0.8657523,-0.31971946,0.29025292,-0.7540656,0.49509886,-0.3784709,1.106853,0.3971871,-1.0550694,0.16599655
As,-0.18910965,0.7877984,-1.044704,-0.9764926,-0.42730916,-0.6275949,1.1623462,0.04519867,0.9761936,-0.49379113,0.75270295,-0.8509025,0.704254,0.738694,-1.1697367,-0.3633179
Se,0.724656,-1.3833598,-0.16527244,-0.35418338,0.47954404,-0.21468855,-0.046312265,-0.158238,0.019075343,-0.3837122,0.07215952,0.750056,0.32495224,-0.5905868,-0.19551103,0.30187458
Br,-0.4653402,-0.40363663,-0.634312,0.016759869,0.9174811,0.19957893,0.0018524602,0.3144345,-0.45720094,-0.022579217,-0.013011195,0.42630368,0.39762276,-0.22864372,-0.16560297,-0.5810046
Rb,-0.32700348,-0.7681185,0.35698473,0.092564404,1.0430294,0.35217553,-0.66895336,-0.6306189,-0.25779608,0.8198925,-0.63030595,0.3678824,0.22816305,-0.8868247,0.5334771,0.15595037
Sr,-0.5780976,-0.08588977,-0.20757353,-0.6124737,0.45846933,-0.026102632,0.086038284,-1.0685118,-0.046406157,0.6509121,0.5550025,-0.11073488,0.84506357,-0.75513214,-0.1359925,0.16075328
Y,0.093284704,0.28162926,0.08866775,0.3140654,-0.24585597,-0.9194412,-0.11550205,-0.46644476,0.28813994,-0.16923968,-0.31238034,0.22398664,0.291322,0.39741904,-0.4672826,0.23374651
Zr,1.3197104,-0.4203415,-0.8709055,-0.62155676,-0.13339542,-0.716385,0.045723684,-1.4652419,0.23606263,-0.9882643,1.2008336,0.6130498,1.3704091,-0.55093217,-0.7175619,1.3856859
Nb,0.43377697,1.0576559,-1.0135127,-0.60196793,-0.11414789,-0.51490414,0.5728304,-0.76141906,0.5249466,-0.80121815,1.0676652,0.039605066,1.0890279,0.41453564,-1.1411417,0.35081476
Mo,-0.6394324,0.31996626,-0.16257866,-0.92302716,0.6015904,-0.26368588,0.6257072,-0.0009484291,0.92583895,0.16365713,0.45650002,0.072300255,0.19932497,0.1911223,-0.9911914,-0.15045793
Tc,-0.0073942244,1.0903326,-0.39927974,-0.6187555,0.436441,-1.0091995,0.7193127,-0.5348622,0.6076974,-0.10842053,0.5899992,0.002056867,0.83445776,0.59699404,-0.89856774,0.14974946
Ru,-0.44884133,1.5052811,-0.05787042,-0.8667468,0.76364845,-1.0552505,0.8929905,0.09322371,0.76648134,0.1517898,0.10734587,-0.072658956,0.58298814,0.6471264,-0.91586185,0.014346456
Rh,0.4011227,0.7937785,0.011701148,-0.5196269,0.96391666,-0.8290652,0.66623336,-0.16431701,0.16147393,-0.53264856,0.3212823,0.13477631,1.0116539,0.03093841,-0.58661485,0.06137076
Pd,-0.12395327,0.9070421,0.28138337,-0.7461496,0.026246786,-0.77273023,0.7427814,0.043298803,0.9620887,0.14343035,0.2582828,-0.10908228,0.09772615,0.9025955,-0.90430164,0.07059394
Ag,0.3993159,0.46259254,0.11367214,-0.50174063,0.68001336,-0.91609806,0.743254,-0.57522357,0.26455057,-0.3350467,0.41969326,0.16847794,0.8351451,-0.06935188,-0.58249044,0.37146905
