Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.49099454,-0.14703503,-0.19980578,0.44415724,0.04274737,0.06574509,-0.06442229,-0.28827474,-0.25115943,-0.024881817,-0.489933,0.25464654,-0.55536085,-0.4490571,-0.5412981,-0.36266997,0.47541928,-0.15350157,0.22881727,0.20936607,-0.01807455,-0.40635526,-0.17831297,0.13270631,0.31897658,-0.5450487,-0.118463196,-0.23267718,-0.14426942,-0.25009945,0.54387,0.15375772,0.038465053,-0.4035828,0.36663133,-0.19910032,-0.055163518,0.17343499,-0.06244156,0.35842332,-0.012883872,0.6660427,0.26672885,-0.50032234,-0.32929432,0.12808399,-0.13216181,0.22466847,0.09229465,0.036028855,0.41023415,0.033285875,-0.34358168,-0.49436137,-0.20279466,-0.06332006,-0.12657765,0.0809862,0.5529772,0.1564601,0.21087557,0.007183645,0.1956042,-0.104532085
Li,-0.029840969,-0.0013211779,-0.11865732,-0.13022849,0.13888913,-0.542189,-0.056641094,0.18548083,-0.08644275,-0.054383874,-0.12755539,-0.058332182,-0.15635793,-0.24238725,-0.32427317,-0.08852979,-0.2714977,-0.12637146,-0.051698465,-0.17653453,-0.22708687,0.0069667697,0.110099375,0.44908607,0.32888824,-0.06583182,-0.15412688,-0.18371662,0.14320976,-0.060507227,-0.11782338,-0.13244352,-0.065905906,0.12123256,0.07978577,0.17958964,0.26753253,-0.3067601,0.032755747,0.16419224,0.07937666,0.30491507,0.45153928,-0.05790537,0.21194594,-0.24066727,-0.287731,-0.049607843,-0.16004539,-0.1949789,-0.048497338,0.035666358,-0.3322829,-0.5132829,-0.20303635,-0.030665249,0.2386326,0.07225652,0.117388315,0.2816015,0.20584245,0.10749659,-0.047825254,0.12830693
Be,-0.13570689,-0.13012303,-0.19970138,-0.15766439,0.34466183,-0.5208558,-0.21919727,-0.20882276,-0.054576535,-0.10864953,-0.27102172,0.11417227,-0.090010576,-0.46861503,0.1274158,0.17711842,-0.3325913,0.00808046,-0.036331046,0.118799835,-0.4714823,0.5816429,-0.1475541,0.26109332,-0.026601013,-0.21641959,-0.11912393,-0.35783622,-0.11909884,0.047200065,0.123016804,-0.42598495,-0.100662984,-0.20649415,0.34673283,0.43025774,0.27306774,-0.112329856,-0.21092574,0.2852413,-0.15147042,0.004849702,-0.068258315,-0.23609647,0.13162288,-0.149582,-0.22577234,0.30588806,-0.060282283,-0.3935268,0.008375563,0.009016868,0.44260764,-0.43772432,0.06507673,0.109971166,-0.3597713,-0.31705585,0.2300799,0.21799716,-0.091224305,0.24459945,-0.379108,0.1617476
B,0.28196242,-0.24688625,-0.050841305,0.19667983,0.2979649,-0.36006835,-0.0429862,0.0857067,0.011677753,-0.12037461,-0.1661615,0.26832187,-0.052796222,-0.35557532,-0.27244276,0.51212275,-0.581003,-0.20176357,-0.3288866,-0.2033138,-0.09197115,0.9458075,-0.14769807,0.5367546,0.2977755,-0.18123633,-0.3026064,-0.17864129,0.41043264,0.24312867,-0.46299276,-0.32606864,0.241487,-0.65546036,0.32095376,0.532522,0.11750854,0.021470023,-0.28365523,0.21397986,-0.21708599,-0.2844597,0.14860402,-0.21207388,0.29091966,-0.27834,0.0044977963,0.25430292,-0.37911248,-0.30004615,0.11826515,0.24360308,0.12044047,-0.17918336,-0.3503539,0.15555725,-0.12906373,-0.082130596,-0.14852498,-0.18268603,-3.9685925e-05,-0.046097297,-0.6092308,0.128607
C,-0.029190581,-0.06323406,-0.09290095,0.5153601,-0.072332576,-0.41140467,0.0023675784,0.41444835,-0.0475698,0.33248264,-0.30247527,-0.31974608,0.21213108,-0.183958,0.004997935,0.21920556,-0.65139806,0.13721085,0.035559162,-0.10398339,0.27089277,0.48121667,-0.04197689,0.41939098,0.1829797,-0.18335216,-0.18976021,-0.09135441,0.6315472,0.11640992,-1.0908341,-0.15426925,-0.27580035,-0.4152702,-0.340403,0.4853412,-0.33052194,0.0714642,-0.09219001,-0.2000569,-0.29290897,-0.14623185,0.041480895,0.16231972,-0.15650518,-0.09642393,-0.24047479,0.010015108,-0.34779808,-0.25815797,0.09959684,-0.15127212,-0.016649257,-0.1810475,-0.12506339,0.27543068,-0.1640248,-0.28463238,-0.26581025,-0.3148001,0.3739975,-0.15327463,-0.15194458,-0.14935301
N,0.055850837,0.018058032,-0.089677185,0.35982248,-0.23382708,0.005819924,0.045785658,-0.22398227,-0.044658724,0.21344784,-0.47437704,-0.38232,0.21927795,0.045344234,-0.07964911,-0.46679115,-0.30849007,-0.380341,0.006440129,0.03564419,0.17738691,0.3558532,-0.2653195,-0.037347913,-0.015263509,-0.6418228,-0.0038250685,0.059684545,0.14970432,0.4556307,-0.65459275,-0.017791554,-0.16868809,-0.5135263,-0.079513215,0.19053826,-0.34243706,0.17232199,-0.68650126,0.060210183,0.11617928,0.053510085,-0.17733249,-0.25460538,-0.08142538,0.018084148,0.033409283,0.12754019,-0.08002729,-0.23680842,0.030220639,0.050572034,-0.055502184,0.049288496,-0.43491632,0.043420233,-0.13223672,0.12496649,-0.3550025,0.12195969,0.5170579,0.41209012,0.12289033,-0.21525356
O,0.18760379,0.015673984,-0.21429755,0.9377373,-0.14574617,0.078235395,-0.0704616,-0.045195065,-0.055230055,0.6592434,-0.6811734,-0.040690824,0.43297017,-0.28139877,-0.05730565,-0.3937536,-0.11887354,-0.06482336,0.12603983,-0.0072100013,0.24889436,0.34753716,-0.10746571,-0.40941116,0.35256058,-0.48416805,-0.21136715,0.11660272,-0.022284597,0.33681038,-0.45385733,0.32604927,-0.4411204,-0.4619044,0.017338298,-0.08951362,-0.126742,0.17775537,-0.3989579,0.13972661,-0.03963664,0.16987604,-0.122186854,-0.41563922,-0.044410106,0.19606002,0.26411834,0.14076596,0.1437239,-0.14900866,-0.05231342,-0.07843161,-0.025649555,0.014509954,-0.32454592,-0.38650286,-0.16621113,-0.17918755,0.09720961,0.2551636,0.36884362,0.22030881,0.40457714,-0.092926756
F,0.16954271,-0.1342434,-0.26592273,0.38833606,-0.102180205,0.12502253,-0.08480985,-0.0064998865,-0.18838899,0.15966484,-0.65049314,-0.37422478,0.47034073,-0.15696411,0.2072766,-0.21809037,-0.37062627,0.019732475,0.080606565,-0.61122614,0.04463429,0.04133992,-0.10893234,0.043926284,0.22676624,-0.5833076,-0.009995818,0.37868625,0.25310695,0.48578298,-0.53108704,0.31495395,-0.31428862,-0.32741073,-0.007703297,0.45144403,-0.11304699,-0.10243734,-0.4434232,0.03581249,0.22054684,0.20318934,0.10832214,-0.14075953,0.14156167,0.096832015,-0.06711787,-0.0040365905,-0.122152366,-0.30759746,-0.081736,0.004757572,-0.14850329,-0.16175812,-0.45955753,-0.21009327,-0.14687008,0.083976656,-0.14122187,0.14162743,0.43381923,0.13560715,0.41202623,-0.2874071
Na,-0.19988325,-0.20855649,0.1775946,-0.2183167,0.20824656,-0.07816767,-0.07410857,-0.033551857,-0.053877342,-0.19853356,-0.38232547,-0.59805894,0.24343494,0.03223619,-0.31111187,-0.24000534,-0.06862198,-0.14141844,0.32491416,-0.2108848,0.107776634,0.0874767,0.21513541,0.12167813,-0.12549062,-0.0024647862,-0.0821092,0.06378622,0.2788821,-0.019819852,0.06580277,-0.12344315,-0.43350923,0.08997113,0.11149179,0.16881779,0.41486597,-0.09537415,0.085465595,0.053076625,-0.214971,0.27812782,0.30912825,0.23287705,0.2572322,-0.1325183,-0.4366952,0.038737968,-0.11104595,0.06726299,0.105022386,0.2595903,-0.36638927,-0.4971647,0.074755214,0.26294214,0.0065114573,0.22169678,-0.05592045,0.31762582,-0.0824784,0.078439415,-0.011505254,-0.11037611
Mg,0.18901561,-0.3535778,0.022756077,-0.051994137,0.2649319,0.13848546,-0.14926618,0.17868116,0.1270293,0.25655696,-0.10162002,-0.6101144,0.030569434,-0.41204727,-0.05835728,-0.07862747,0.07840039,0.17363547,0.28609407,0.24755217,0.48603198,0.09542712,-0.09579132,-0.13533604,-0.047662247,-0.24012938,-0.35785973,0.22768241,0.13064095,-0.060608465,-0.58433604,-0.21916595,-0.5420726,-0.099037,0.10016558,-0.07421135,-0.15217897,-0.014403181,0.03827426,-0.35649586,-0.31123984,0.22606897,-0.041771613,0.39594224,-0.15602699,0.15434957,-0.42842683,0.36055228,-0.42277804,-0.09435063,0.2673492,0.02588069,0.22490937,-0.21024454,-0.3645153,0.29449546,0.06576191,-0.012573559,-0.2508468,0.067226484,0.13012488,-0.20727319,0.30537552,-0.14124991
