Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.4455245,0.21420905,-0.31736848,-0.27883816,-0.43286958,0.4831798,-0.90154296,0.53851926
Li,-0.11703578,-0.021118708,-0.31773165,0.18889882,-0.48845565,-0.103607826,-0.6583445,0.2118954
B,-0.5199845,0.5614513,-0.6896306,-0.102196485,0.39093652,0.0052234875,1.3102398,-0.5732257
C,-0.5888265,-0.26294667,0.012378514,-0.0022539757,-0.16437313,0.28950813,0.4786671,0.2401487
N,-0.8067125,0.5806987,-0.51608706,-0.33110434,0.5883149,-0.022937806,0.8916033,-0.17882404
O,0.052341416,0.07417441,0.32960528,-0.41816637,-0.2759842,0.59395754,-1.0865563,0.35022113
F,-0.093356684,0.43948555,-0.020073712,-0.46821493,-0.07959642,-0.0076193986,0.07715574,0.2657656
Na,0.0136671215,-0.23583475,-0.07554933,0.09888604,-0.6555737,0.065706916,-0.7807545,0.38438582
Mg,-0.63369375,-0.4070157,0.6429347,-0.041497197,-0.24487108,0.56204456,-0.93778855,0.28024355
Al,-0.036972724,-0.048581995,-0.659649,-0.32888418,0.1000647,0.30210254,-0.8994322,-0.04719708
Si,-0.29068208,-0.60985,0.008562461,-0.013188075,-0.07041763,0.6037224,-1.160007,0.3271116
P,-0.3054331,0.09874909,-0.07722765,-0.31802222,-0.071535684,0.22129753,-0.61066765,0.26894173
S,-0.081865974,-0.24477947,-0.099313855,-0.81039405,-0.62004614,0.31828898,-0.90197355,0.45495552
Cl,-0.04341364,0.0044280514,-0.41847613,-0.6838473,-0.1302813,-0.08512039,0.48182812,0.34158507
K,-0.12746611,-0.19815359,-0.23824906,0.58432055,-0.28596047,0.075107664,-0.28190842,0.42877677
Ca,-0.30281007,-0.3205588,0.46599612,0.0349057,-0.26907405,-0.12224368,-0.43829137,0.27815604
Sc,0.15072387,0.21190792,0.07209397,-0.18256097,0.20067373,-0.026556041,-0.42973486,0.38805157
Ti,-0.10122521,-0.28703815,-0.260842,0.39535457,-0.23432964,-0.0039489223,0.09616695,0.5277301
V,-0.42034042,-0.3768869,-0.20522386,0.028274883,-0.056795955,-0.016629245,-0.6940848,0.058659814
Cr,-0.28138253,-0.33975476,-0.24197346,-0.10511869,-0.13779277,0.08347372,-0.7401887,0.46218294
Mn,-0.23321047,-0.34002808,-0.15136531,-0.062476646,-0.035338823,0.015494798,-0.2059046,0.16123879
Fe,0.021136433,-0.2773524,-0.24888825,0.091622844,-0.006092526,0.019219827,-0.14410996,0.3587626
Co,-0.15083475,0.0621162,-0.23384339,0.025448207,-0.1043769,-0.047923546,-0.14404076,0.17946848
