Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.0058173463,0.24282676,0.009695344,-0.22748688,-0.15267383,-0.16117275,-0.2402792,-0.16134998,-0.036459625,0.005705934,-0.116368115,0.20961855,-0.039060347,-0.14926878,-0.28716937,-0.0650038,0.23830506,-0.22996515,0.4516755,0.38028884,-0.05900047,-0.15464085,0.26224017,-0.48496258,0.16314153,-0.14106333,-0.29522455,0.078291014,0.07775118,0.15708561,-0.058444653,0.26485208
Li,0.008102506,0.29296023,-0.106048636,0.029784478,0.07463015,0.15058845,-0.05598099,-0.056550026,0.25338987,0.18074885,-0.0950239,0.18851528,0.047732145,0.02235905,-0.27125984,0.17150939,0.35933623,-0.3297699,0.16422525,0.43309337,-0.35046178,-0.040222533,0.17970021,-0.11632271,0.5259025,0.10734914,-0.3334477,0.1544723,0.06919035,0.049112663,0.1376138,0.44637415
B,-0.026317894,0.096513845,0.1986326,-0.15732911,-0.22195008,-0.1864343,-0.13051564,-0.33000627,-0.28517303,-0.06184326,0.2314668,0.13910155,0.34500217,0.4843037,0.019751273,-0.39322624,-0.037031505,0.098221146,0.036227994,0.21296047,-0.025698435,0.076929085,0.16645712,0.022186667,-0.12561396,-0.043205347,0.17081627,0.063027024,0.262842,-0.04843993,-0.016101953,0.03093889
C,-0.6109891,0.11953171,0.18886936,-0.28028643,-0.73004603,-0.021199323,0.038393524,-0.08450659,0.052256167,-0.003584519,0.2593098,0.35636222,0.082096726,0.21682674,-0.08704203,-0.37170556,0.025057677,-0.24458349,-0.22512051,0.017874047,0.10923299,-0.06868808,0.05326049,0.0715793,0.004439736,-0.23518883,0.009453498,0.020420447,0.077168845,-0.35902035,0.17344446,-0.35502174
N,-0.09973684,0.031141222,0.1055727,-0.5577283,-0.4727003,-0.31040707,0.063999064,-0.44599512,-0.28282788,-0.3543104,0.12852283,0.3728901,-0.25903714,-0.06275773,-0.23668012,-0.5855915,-0.09318544,-0.14002183,-0.19550508,-0.11406037,-0.16661058,-0.119439535,-0.12550047,-0.04289303,0.107514694,-0.10364111,0.07884862,0.16373235,0.279227,-0.642559,-0.28836107,-0.23785779
O,-0.6052202,0.056143634,-0.31205747,-0.4827685,-0.40886864,-0.16217247,-0.26395655,-0.3543334,-0.008589961,0.28628814,0.40435156,0.3453181,-0.22068757,0.17723078,-0.112434104,-0.28912687,0.12705125,-0.09549323,0.19395435,0.16586614,0.003943406,-0.08635445,0.16268274,0.040445365,-0.1733659,-0.11302656,-0.10253644,0.0022367984,0.2549701,-0.16825512,0.24247772,-0.5843179
F,-0.42729512,-0.25289235,-0.26613277,-0.43606222,-0.3546525,-0.007184282,0.031604294,-0.42351356,-0.3853639,0.1640312,-0.00043983757,-0.062911704,-0.0050561577,0.18651724,0.028717838,-0.13358468,-0.19135194,-0.114170305,-0.02093111,-0.04058376,-0.13913596,-0.011435229,0.39771283,-0.15219566,0.055634856,0.10460372,0.11812971,-0.06997478,-0.1127371,-0.069575086,-0.27832606,0.06933493
Na,-0.14747357,0.15974855,0.09618819,-0.0019875169,0.091270745,0.3110394,0.019509163,-0.11095174,0.17224309,0.009535171,-0.0832054,0.28653267,-0.1321369,0.05220288,-0.39139047,0.34045494,0.47899786,-0.15235429,0.15117714,0.17686357,-0.23696052,-0.24864161,0.12644275,-0.32471496,0.4974243,0.29244402,-0.35344407,0.2755428,0.07892481,0.11143811,-0.15820208,0.52929246
Mg,-0.26361346,0.35977498,-0.27526835,0.14283717,0.13996384,0.19157842,-0.015380081,0.3137285,-0.048887037,0.04129503,-0.19647767,0.071221344,0.07445495,-0.064753234,-0.2317566,0.25968602,0.55245453,0.33621696,0.21307671,-0.13782214,0.09865249,-0.1969763,-0.062219918,-0.39348394,0.28606898,0.29630038,-0.020152666,0.012618005,0.03562469,-0.05003278,-0.22776595,0.16072944
Al,-0.31022108,0.16718131,0.21491286,0.092870094,0.17082772,0.05488833,-0.21741113,-0.13511747,0.0019187629,0.10799008,-0.17989928,-0.1765367,-0.06295147,0.13195747,-0.38710794,0.1024216,0.008391637,0.2537254,-0.021865793,0.123245545,-0.47523546,0.03793008,0.07606694,0.030337691,0.39454338,0.24866767,-0.20227727,0.23160987,0.08281244,-0.054361798,-0.10841322,0.0045361416
