Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.2075508,-0.08809888,-0.13083467,-0.2538563,0.035465784,-0.13399348,-0.114931695,-0.08023454,0.057250332,0.05280643,-0.14651656,0.28606513,-0.14557566,0.024367753,-0.045651708,0.08269629
Li,-0.3577214,-0.48551553,-0.41503042,-0.060533136,0.16137145,-0.06565381,-0.022074144,0.014843211,0.17580685,0.15270069,0.1552639,-0.114169225,0.13971104,0.2046703,-0.08764976,-0.15792431
B,0.22385201,-0.18849576,-0.23415008,-0.10292657,-0.21716364,0.38000023,-0.30125237,-0.26486254,0.20147662,0.10737129,0.33355153,-0.1258711,0.16149122,0.06754304,-0.56873506,0.17850137
C,-0.06308415,-0.30864963,-0.2557296,-0.4403957,-0.13862005,0.1080915,-0.13232315,-0.12387176,0.11003999,0.20355442,0.39263994,-0.089049295,0.109206215,0.25824443,-0.2650776,0.00605342
N,0.15987545,-0.23222336,-0.11649734,-0.18711194,0.30531907,0.45192528,0.055927537,-0.24413012,0.21834669,0.15012416,0.03763628,-0.015468072,0.19780155,0.37042564,-0.3012284,-0.22922505
O,-0.13843513,-0.02469258,0.13512702,-0.3894714,0.22649284,0.25203362,0.03971143,0.080096066,0.24653761,0.13261151,0.109356344,0.1701427,0.067698,-0.02418496,-0.1797287,0.00034142844
F,0.20552945,0.06881476,-0.054651037,-0.39754397,0.011657923,0.086895645,0.122897185,-0.405006,0.36818308,-0.05454681,-0.0015381426,0.010278849,-0.0077616377,0.2582889,-0.27801117,0.027459858
Na,-0.3594275,-0.31291634,-0.29027504,0.28120565,0.045417354,-0.27157235,-0.14237891,-0.06766748,0.19409482,0.026860341,-0.16305447,0.033181224,0.09047755,0.16213274,0.15181842,-0.17725058
Mg,0.004982548,-0.106783934,-0.087311506,0.07111032,-0.05905194,0.21447095,-0.14387172,0.10704188,0.31307226,-0.21300662,-0.053059086,0.12859969,-0.2909628,-0.059995446,0.29650903,-0.012489246
Al,0.03567519,-0.5779281,-0.2616006,-0.21302159,-0.44172436,0.54235816,-0.032439426,-0.119918,-0.023892552,0.018690482,0.5018847,-0.21523507,0.5018556,0.24720143,-0.024791945,0.08267108
Si,-0.055774167,-0.5559986,0.0155404955,-0.46569693,-0.23173462,0.3868805,-0.3429205,0.14881024,-0.014698207,0.15438253,0.5515116,-0.06915222,0.044263404,-0.08557771,-0.16339865,-0.15765579
P,-0.14753203,0.031023733,-0.073304504,-0.099729516,0.066474885,0.12205075,-0.035560973,0.11923425,0.10759664,-0.008595087,0.14624068,0.07844621,-0.11011478,0.26128224,0.04089652,0.0008095
S,-0.08844527,0.14636153,0.027842402,-0.46319896,0.14420243,0.1462266,-0.038354684,-0.24680172,0.046626415,-0.1992903,0.07153224,0.07027809,0.12304681,0.2874279,-0.039398186,0.054901868
Cl,0.22650822,-0.053274438,0.20212579,-0.29118,-0.08647042,-0.13068631,0.0568934,-0.45753205,0.17296743,-0.38787177,0.19497699,0.049143236,0.2170545,0.29589266,-0.346717,-0.39159223
K,-0.46733406,-0.12610705,-0.054075476,-0.11059014,-0.2545551,-0.18149027,0.054575004,0.4309368,0.14412901,0.35147563,-0.07094552,0.085245326,-0.18516058,0.17298886,-0.19051993,0.021020679
Ca,0.04259055,-0.46197695,-0.3177956,0.4168105,-0.4498527,0.18286338,0.014325403,0.07816745,0.40614504,-0.15247458,-0.064748526,-0.120747864,-0.18016429,0.20657691,0.18365397,-0.028124003
Sc,0.2056056,-0.077867046,-0.23127091,-0.006741196,-0.30187637,0.07908458,0.007875711,0.15358134,0.22893758,-0.034169175,0.009369597,-0.14126462,-0.18244606,-0.089369714,0.085674,0.15157765
Ti,0.20802075,-0.30557993,-0.21113783,-0.24290158,-0.06495009,0.0940462,0.17906588,0.461519,0.18639192,0.067059696,0.5114954,-0.25090185,-0.22501165,-0.1079068,-0.065350935,-0.36855352
V,-0.09238423,-0.18113291,-0.2717515,-0.23915303,0.034761272,0.18066242,0.33790135,0.0981354,0.23317288,0.40763462,0.5790593,0.17809512,-0.2346763,0.0026173405,0.17817946,-0.23236983
Cr,0.026086533,-0.15887044,-0.28462455,-0.33026388,-0.012627557,0.10506306,-0.009345792,-0.15253067,0.34226066,0.38746995,0.50694793,0.06834221,-0.1950692,-0.3146058,0.08105837,-0.06482997
Mn,0.15694796,0.056155406,-0.26609302,-0.30501997,-0.20675218,0.26263502,0.2873441,-0.3806854,0.27879816,0.14245325,0.40761507,-0.101130605,-0.4615455,-0.07774025,0.0056055486,0.01245516
Fe,0.18620856,-0.20783965,-0.019555539,-0.22437222,-0.10822919,0.23432958,0.10124049,-0.12630962,0.1432989,0.46101004,0.39712012,-0.20649837,-0.16021869,-0.048201043,0.05645305,-0.14968793
Co,0.078145616,-0.089300655,0.020555958,-0.29194176,0.058139175,-0.07235015,0.04883357,0.062535286,0.114748195,0.47495878,0.46690288,0.057781465,-0.42337188,-0.025187489,0.02419635,0.052352495
Ni,0.038193583,0.12760556,0.15913744,-0.114281714,-0.16974467,0.10535213,-0.1762321,-0.085295394,-0.025174879,0.21122172,0.4840746,0.0470477,-0.57325715,-0.22999111,-0.06428212,-0.019441565
Cu,0.03762099,-0.23918334,-0.008707687,-0.08006255,-0.15219757,-0.0030265227,-0.20607206,-0.32401317,-0.024377793,0.4273914,0.30531943,0.0012717508,-0.453389,0.048160333,0.0748653,0.20496438
Zn,0.20614105,-0.30400723,-0.24162102,-0.21591777,-0.33141607,0.113458715,-0.060923915,0.09373419,-0.017650716,0.17587876,0.49322522,-0.054795112,-0.071867675,-0.05646104,0.10265283,-0.10933727
Ga,0.18144768,-0.42702338,-0.2025185,-0.22417438,-0.35326916,0.46676338,-0.0016552657,-0.040343415,0.062564366,-0.0991083,0.46885642,-0.15567125,0.31158406,0.18030858,-0.034505382,-0.097253814
Ge,0.0585043,-0.20294413,0.15528473,-0.42818177,-0.17129847,0.17641392,-0.27183515,0.19179665,0.020614699,0.1367454,0.6159734,-0.017708313,-0.15823734,-0.091370985,-0.10187967,-0.20569146
