Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.05583697,0.0500507,0.2702073,-0.2714687,-0.19453044,-0.23991904,-0.2933723,-0.48147804,0.21170513,0.19062692,-0.13216338,0.16831516,-0.10493101,0.12027435,0.26715574,-0.14763667,0.23227562,-0.31636184,-0.020853622,-0.12579276,0.091029435,0.21985199,-0.029034153,0.08715528,-0.31707934,-0.17030093,-0.23588817,-0.13995387,-0.017165434,0.021545624,-0.1228102,-0.17067273,0.016139269,0.1308064,0.041948576,0.17627084,0.09392637,0.15136346,0.001125291,0.08667046,0.053719133,-0.078490704,0.09944664,-0.014141813,0.02334293,-0.29340258,0.12853491,-0.23065053,-0.0028407471,-0.14141177,0.2053683,-0.36677378,0.2251128,-0.08681127,0.12592462,0.079975784,0.3141826,-0.118134156,-0.10685664,-0.066343024,0.04307243,0.26657808,-0.14895308,0.06680877
Li,-0.07554852,0.0518957,-0.13173649,-0.3474419,-0.017575342,0.03775221,-0.1411788,-0.3055313,0.109192684,0.1853301,-0.11269209,0.035417225,-0.27982506,-0.15420337,0.0828052,0.06831053,0.25190848,-0.3090329,0.11033267,0.11276524,-0.022962581,0.0072408337,-0.11229579,0.029402211,-0.0012087524,-0.10108591,0.2236907,-0.10289579,0.03957895,0.07373381,0.11438456,0.06627578,-0.014765661,0.20711014,0.2004103,0.2662672,0.045481473,-0.049703017,-0.020231985,0.024031438,0.00055098627,0.13638854,0.16275254,-0.004812043,-0.10417643,0.036377348,0.05685081,-0.16404904,-0.12350276,0.008185098,-0.10453351,-0.23573571,0.28572372,-0.06032019,-0.09711304,0.13348576,0.22583388,0.22536634,0.1708357,0.07316018,0.11891198,0.02856696,-0.09433167,0.5743523
B,0.13338763,-0.051805362,0.045698225,0.093823105,0.1705845,-0.08118209,-0.15379152,-0.1890747,-0.11062692,-0.05479292,0.013653237,-0.20314905,0.23354594,-0.023651041,0.07672423,-0.036401276,-0.14630395,0.13682541,0.17833026,0.12671363,0.2183766,-0.053800665,-0.03773137,0.06689724,-0.28789636,0.049314715,-0.019420687,-0.14151984,-0.021571923,-0.07009956,-0.076420605,0.05010862,0.08912848,0.18563075,0.12598558,-0.14509895,0.37364224,-0.2079164,-0.32001176,-0.027043596,-0.026751965,0.10833759,-0.06944768,0.2716054,0.046060383,0.076632656,0.036991388,-0.10064197,0.13783878,0.00079170056,0.28346008,-0.3341484,-0.07681951,0.048485808,0.113147914,0.023414746,0.047750182,0.033276644,0.13181917,0.005465847,-0.34259936,0.110925615,0.21204084,0.0071594864
C,0.14743808,-0.26356387,-0.002652742,-0.08537011,-0.029970188,-0.27002347,0.128358,-0.098621525,-0.122582525,0.09384271,0.083817095,-0.16183235,0.0913858,-0.07945305,-0.22268957,0.18476802,-0.014435604,0.05635932,0.21014722,0.18626021,-0.20841189,-0.14269604,0.13023172,-0.009119138,-0.44509476,0.18053687,0.014868747,-0.45000347,0.06455645,-0.06339611,-0.048350297,0.09081683,-0.038702145,0.29104498,0.13284072,-0.27924696,0.3379581,0.003093116,-0.08098776,0.30260858,-0.05461265,0.063954756,-0.08729741,0.086710155,0.12244977,-0.09575224,0.07336998,-0.18454579,-0.36052874,0.4687331,-0.014702436,0.022619046,0.20936152,-0.081769146,-0.19352709,-0.3540545,-0.21337052,-0.033234667,0.19085547,-0.10664459,-0.14070751,-0.051382832,-0.16241169,0.35341305
N,0.045840446,-0.19385903,0.04560209,-0.02002402,0.018031176,-0.04307956,-0.13288517,-0.20814466,-0.19763233,-0.047002025,0.09456399,-0.03740685,-0.009512726,0.20825446,0.19313464,0.09488946,0.09918723,-0.0646061,0.17258644,-0.06309666,0.30043304,-0.047239155,-0.03956771,0.07984118,-0.43935254,-0.059649654,0.14346482,-0.36777464,0.24250996,-0.11943646,0.18152888,0.13986671,-0.014814436,0.17537455,0.21214758,-0.39028725,0.38930964,-0.27972025,-0.45201138,0.23861913,0.40292177,0.15282524,-0.13800386,-0.16618356,0.06396056,0.09568488,0.101184696,-0.3201846,-0.061414413,0.052616067,0.17664342,-0.1588557,-0.1487025,0.13860038,0.16169477,-0.018786907,-0.29140157,0.102182835,-0.18839878,-0.11791307,-0.20851488,0.0070154034,0.077048905,0.05250416
O,0.04986832,-0.09265742,0.07442617,0.15980025,-0.13929884,-0.19586174,-0.25551277,-0.18811482,-0.097499564,0.16229925,-0.41440374,-0.05704849,-0.22483875,0.0025437921,0.15753733,0.26190394,0.011627078,-0.16889454,0.27443892,-0.25802773,0.19660328,-0.09040381,-0.17436187,-0.050358877,-0.2906844,-0.13255143,0.04941024,-0.44583732,0.18803585,-0.15282218,-0.02694829,0.050225876,-0.22494434,0.317999,-0.10615392,-0.21176946,0.53099966,0.08183023,-0.02945789,-0.12032238,-0.010539609,0.057513848,0.113470316,-0.21683794,-0.20598623,0.20464751,0.12945187,-0.34983507,0.09399235,0.093734264,-0.19306163,-0.23130298,-0.07887016,0.046889357,0.19539931,-0.06367325,-0.18279818,-0.29796842,-0.13703394,-0.24068366,0.010571677,-0.3360752,-0.32858512,-0.0076969936
F,0.091155335,-0.15411422,0.12014113,0.28844815,-0.3135009,-0.49464756,-0.107485764,-0.21366325,-0.0022169799,0.11169803,0.003077615,-0.24364892,-0.16452841,0.021253131,0.1856589,0.11953527,0.0852587,-0.15802303,0.15540263,0.15786579,0.25073588,-0.4054995,-0.06757471,0.16903996,-0.3052273,-0.10568067,-0.094683334,-0.3445554,-0.08411895,-0.06955445,-0.007682545,0.019686662,-0.14061113,0.1606959,0.14847618,-0.2687172,0.16116646,0.06326465,-0.33993995,-0.005573269,0.05960959,-0.06153944,0.009645871,-0.17661813,0.055505283,-0.20528579,-0.046201453,-0.31968576,0.055429447,-0.18991184,0.025654033,-0.27598113,-0.20971864,0.20209011,-0.09561911,0.06954555,0.305128,-0.12461302,0.022118084,-0.46345946,-0.11645439,-0.08299667,-0.21042435,-0.028556459
Na,-0.11340338,0.17342068,-0.06515462,-0.3377969,0.120182425,-0.24261722,-0.0042793304,-0.24349162,0.23430866,0.23163891,-0.21639685,0.18451636,-0.15784411,-0.12388815,0.12631823,-0.102685705,0.0054086,-0.17324051,0.17642675,0.15029694,-0.15020931,0.15418516,-0.18854243,-0.12830724,-0.023041002,-0.053288527,0.18357752,-0.025165232,0.11931364,-0.03156077,-0.121862315,-0.15237978,-0.10320245,-0.013851559,0.06439416,0.10477999,0.15809917,0.20818855,0.15108418,-0.1532946,0.16342305,0.03905998,0.17090385,0.0013601594,-0.14946702,-0.050607525,0.050947923,-0.30024385,0.18203016,-0.23646028,-0.16766217,-0.28942707,0.19295922,0.04007121,-0.072722614,-0.061596457,0.28562582,0.21670984,-0.15695992,0.18453673,0.28153497,0.2147102,-0.09531746,0.3177619
Mg,0.056396704,-0.0063224146,0.3362412,-0.16891307,-0.25749746,-0.28701195,-0.06834103,-0.10331992,-0.041438326,0.1918951,0.041619357,-0.106464386,0.0032049306,0.111293554,0.17659816,0.17581646,0.1491694,-0.046221945,-0.19155405,-0.09740859,-0.21121152,-0.06822622,-0.29590887,0.07952534,-0.21840066,-0.20837918,0.0028956458,0.1317807,-0.008436386,0.19476832,-0.21507171,0.047851637,0.024787888,0.1966964,0.15437135,-0.04666818,0.22778818,0.30031627,-0.17622486,0.05520337,0.1177847,0.15131888,0.35119006,0.006348606,-0.10291876,-0.06713642,0.41105336,-0.15621808,0.1914957,0.101826765,0.051886745,-0.14307967,-0.115358375,-0.008357719,-0.053217467,-0.08411744,0.3200531,0.093842894,0.09498533,0.2713941,-0.073485926,0.005652096,0.15652855,0.097510636
Al,-0.017447751,0.086268626,-0.13841811,0.16062349,0.11376256,-0.14332545,0.020199686,-0.077853695,0.19755426,0.08696695,-0.26191646,-0.21354821,-0.108306974,0.070166394,0.030654805,0.05554588,0.19154489,-0.010865353,0.2103322,0.30245912,0.0057477755,-0.19158898,-0.15933174,0.15481046,-0.47132587,-0.11726632,-0.07128516,-0.16880287,-0.024914395,0.19134003,0.061141245,0.032466345,-0.091501646,0.115345515,0.18310802,-0.28813633,0.2718213,-0.047535643,-0.1367906,0.020090133,0.1476592,0.33150887,0.09139613,0.00065949187,-0.043340914,0.23455417,-0.07275246,-0.27742085,0.20586607,0.038473614,-0.20795389,0.01773762,-0.025558315,0.33766022,-0.25319448,0.19922704,0.25606698,0.15269485,0.0023220952,-0.046438385,-0.3091498,0.32916144,-0.030680632,0.30499333
