Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.334525,0.20991117,0.45402038,-0.5074837,-0.2307626,0.046126172,0.12704995,-0.019777207,-0.3231209,-0.09129965,0.29756063,-0.8217821,0.18019867,0.341867,0.4351904,0.054309852
Li,0.04866985,0.5208857,-0.05921439,-0.2044703,-0.15296286,-0.025981113,-0.13087898,0.13459624,-0.34992743,0.097079866,0.5380363,-0.5649146,-0.27564928,0.089361295,0.636487,-0.36057204
Be,-0.26509723,0.40350935,0.48784012,-0.03144311,0.28394052,-0.24725418,0.37475216,-0.38621092,-0.08123583,0.41450676,-0.23425041,-0.13608122,-0.046897523,0.22909233,0.16144465,-0.43991277
B,-0.009147865,-0.02351749,0.18089522,-0.16257372,0.19497168,-0.17067966,0.096183255,-0.039777026,-0.36020246,0.18759981,-0.1597231,-0.50363034,0.53478247,-0.35731623,-0.010183349,-0.3749766
C,0.07700915,-0.17969987,0.40695703,0.02400246,0.1125518,0.030971697,0.21354237,0.123603225,-0.3149894,0.29908848,0.3157782,-0.4172612,-0.07157967,-0.6877683,0.450823,-0.53524804
N,0.1732888,-0.2608966,0.28779763,0.07908328,-0.12696585,0.018481111,-0.23476267,-0.45762497,-0.3698442,0.3255131,-0.095399514,-0.25710383,0.19992328,-0.3637248,0.40750337,-0.20221679
O,0.6845315,-0.17691348,0.45193255,-0.20737082,0.14321637,-0.016954752,-0.07723366,0.01651719,-0.15884,0.10646033,0.023522083,-0.36203414,-0.031054221,-0.00306952,0.20991412,-0.17554733
F,0.5837175,0.1482774,0.5460976,-0.010138104,-0.3715355,0.10659009,-0.17984596,-0.11136004,-0.1803503,0.15959328,-0.029341295,-0.65201306,0.2735633,0.30495465,-0.093205005,-0.047648847
Na,0.20220265,0.57254887,-0.42055988,-0.27194977,-0.05412882,0.3099229,-0.40930837,-0.0074133407,-0.41019627,0.26777232,0.42925322,-0.12504643,-0.19879583,0.37294134,0.7530736,-0.09154658
Mg,0.043013718,0.2494359,0.13432561,0.055802315,-0.020100594,0.39829797,-0.05097906,-0.3307563,-0.15964101,-0.15024164,-0.035453573,-0.046877466,0.13411868,0.06273398,0.065897174,0.3254054
Al,0.26264444,0.10247703,-0.38482344,0.06271502,-0.042322174,-0.022782946,-0.17946388,-0.279496,-0.27381152,-0.051269922,-0.2876805,-0.596541,-0.09450608,-0.16499738,-0.14219537,-0.21299359
Si,0.27372515,-0.043792672,-0.10126248,0.109765306,0.06598623,0.3425963,-0.013288859,0.10705666,-0.40084252,0.3213197,-0.008626394,-0.4535212,-0.4561355,-0.6066397,-0.06577638,-0.13154738
P,0.40843862,-0.3977286,0.21281473,0.4774636,0.3262445,0.66065353,-0.17584993,0.046978533,-0.6230762,0.37541893,-0.17631072,-0.2074505,-0.2513127,-0.1542781,0.20968145,-0.4207415
S,0.4908987,-0.7715292,0.13147537,0.57295465,-0.039558984,0.1491924,-0.26569098,0.2017064,-0.19934642,0.34479564,-0.115539804,-0.26792872,-0.11229344,-0.03688013,0.20315832,-0.41373348
Cl,0.5945709,0.20982534,0.18633802,0.27436408,-0.47493273,-0.03663928,-0.22740701,-0.3800342,-0.25126764,0.763156,0.026178218,-0.28169346,0.4953892,0.46930686,-0.0735586,-0.39947018
K,-0.20889442,0.31983054,-0.11634073,-0.14004289,0.03629747,0.60270315,0.19130002,-0.4266884,0.10073264,0.18371451,0.29227442,-0.3151891,-0.39221844,0.5398254,0.30798143,-0.112468526
Ca,-0.44373664,0.60801184,-0.4119761,-0.07641563,0.5070624,-0.051924817,0.30638814,-0.31988177,-0.035535537,0.07876494,0.36591744,-0.20627755,-0.060140096,0.16783465,0.3595899,-0.24771729
Sc,0.17268549,0.33133173,-0.0669427,-0.024042817,0.5513968,0.4329863,-0.021974016,-0.32948032,0.039949372,-0.07735707,-0.10045628,0.022333585,0.08932225,-0.37425274,0.15044159,-0.1462157
Ti,0.17753643,0.17280658,-0.036805764,0.26387316,0.32501802,0.3458192,0.18998526,-0.25920713,0.106497936,-0.02507649,0.1581476,-0.09059907,0.119747825,-0.66133285,0.40864143,-0.20580801
V,0.67404926,0.24779111,-0.138779,-0.05543036,0.05502128,0.17509387,0.36649808,-0.46775964,0.006314397,-0.11534209,-0.12851138,-0.0892426,-0.30099547,-0.38637057,0.27837437,-0.20680937
Cr,0.68989974,-0.0026036054,-0.34204835,0.08215832,0.26114604,0.116102494,0.48842824,-0.3110549,-0.09694667,0.1137497,-0.23376907,-0.22219285,-0.34274393,-0.31932452,0.4794775,-0.40943125
Mn,0.42615828,0.030170172,-0.12546688,-0.15002754,-0.0869147,-0.0071892263,0.4542057,-0.4811229,0.02868215,0.070846565,-0.08985151,-0.11930879,-0.21591565,-0.1703674,0.2934438,-0.19087523
Fe,0.4174353,-0.01993379,-0.07246887,-0.16796914,0.16489843,-0.06016758,0.54114187,-0.3542792,0.30233663,0.11306661,-0.07008315,-0.21327823,-0.31218365,-0.27241507,0.22222595,-0.24989712
Co,0.62663096,0.034825712,-0.05950415,0.26409253,0.22663045,0.101479456,0.5543939,-0.6390285,0.10040885,-0.2242564,-0.18516444,-0.28966686,-0.5051556,-0.0022469573,0.35000733,-0.42746854
Ni,0.6568558,0.028162137,0.143527,-0.043796413,0.34141198,-0.20537388,0.6224141,-0.1518027,-0.115270875,-0.37769657,0.08480328,-0.20964116,-0.048088223,0.31617573,0.030088738,-0.20859614
Cu,0.47825226,0.117518395,-0.009859793,-0.13234122,0.23512033,-0.1392275,0.7614212,-0.15885924,-0.005752377,-0.10217012,-0.16716525,-0.44972318,-0.44479892,0.47632638,0.24883372,-0.464731
Zn,0.27753055,0.16288823,-0.108497515,-0.20180449,0.09989039,-0.17709437,0.22454646,-0.23955658,0.25174624,0.015733179,-0.10473746,-0.25912812,-0.6588861,0.04200058,-0.07975122,-0.10414609
Ga,0.22227146,0.22875726,-0.2597553,0.03195502,0.1637547,0.0215938,-0.16479056,-0.06834039,-0.17150688,-0.03172304,-0.16301818,-0.66177475,-0.4166117,-0.23964545,-0.2159228,-0.42001852
Ge,0.32613507,-0.012544788,0.017059907,0.042020857,0.3842308,0.27712193,0.17931546,0.2576707,-0.37283874,0.2150917,0.12844175,-0.5919269,-0.3926334,-0.54965526,-0.17323616,0.004911177
As,0.28247318,-0.14096561,-0.07070266,0.087978296,0.30351827,0.5125102,-0.14982727,0.16810365,-0.45673752,0.39846843,-0.16190994,-0.07988503,-0.4759015,-0.026319887,-0.027418286,-0.37864894
Se,0.36402598,-0.65864897,-0.100667834,0.030782966,0.05273523,0.046440028,-0.24902372,0.07533203,-0.09083331,0.3499936,-0.20235841,-0.20856734,-0.22298306,0.10631561,0.034341313,-0.14956318
Br,0.4115271,0.17603609,0.17803808,0.37258577,-0.03875836,0.08630764,-0.07987979,-0.33864754,-0.16772202,0.821323,0.046775244,-0.47182095,0.0428083,0.44962254,-0.23712015,-0.6165186
