Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.191803,-0.3071999,0.041684177,0.031729862,-0.10732283,0.123371854,-0.43592897,-0.24430221,-0.3809062,0.041176602,-0.093101345,0.31891325,0.26441422,-0.13556568,-0.05287184,0.011132607,-0.050436366,0.30381933,0.12898317,0.047761306,-0.053890172,-0.15615764,0.09675666,-0.26927754,0.16485995,0.2143015,-0.08432658,0.12427806,-0.22660422,-0.5938933,-0.03507883,-0.16994683,0.2114215,0.5738142,-0.4279148,-0.048244838,0.0009000078,-0.34661987,-0.5191318,0.4445046,-0.024974234,-0.086927816,-0.25182003,-0.10590999,-0.054769836,0.07784419,0.08141877,0.104757145,-0.03370849,-0.293149,0.035345063,0.0478788,0.0011684359,0.084518865,-0.29178557,-0.16771355,0.003156606,0.0022462197,0.12364052,0.2729014,-0.16592114,-0.2948933,-0.08675498,-0.33844647
Li,-0.0052588396,0.22225603,0.16713622,0.14384872,-0.09864591,-0.022660062,-0.24902672,0.027036801,-0.20241618,-0.05883067,0.01986517,0.14751306,0.19105315,-0.18991794,0.30632794,-0.124390915,-0.06767954,-0.016708259,-0.21451332,0.070280135,-0.06010883,-0.20929274,0.15658161,-0.07044598,-0.0022149552,-0.004259564,-0.42049176,0.013720766,-0.29194403,-0.10807994,-0.03240133,-0.099665835,-0.16203456,0.45533842,-0.1468523,0.36590466,0.19699919,-0.29825377,-0.25527075,0.33076188,0.056848563,-0.10537821,-0.28999352,-0.20390496,0.14347523,0.013825027,-0.058346733,-0.0076914057,-0.108609684,-0.10883631,-0.06687974,0.17096695,-0.08642086,-0.087652996,-0.1500755,-0.2156588,0.11779529,0.17607813,-0.17371848,-0.02208674,-0.034047753,0.15692598,-0.08290772,0.0024353191
Be,-0.3756262,-0.082239896,-0.22810967,0.067627504,-0.06482117,-0.16291395,-0.25162473,-0.108817205,-0.13965455,0.09920883,0.089983195,-0.008802086,-0.23171502,-0.17438929,0.4199132,-0.35988408,0.041705642,0.01908395,-0.117653355,-0.24853107,0.052159403,0.06877949,-0.027495258,-0.25868535,0.16687767,-0.06749866,-0.11817595,0.3354946,-0.29018724,-0.012330152,0.22228298,-0.015129961,0.22416882,0.14832284,0.14200523,-0.06130966,0.23757115,0.063258514,-0.38636482,0.18254583,0.019903429,0.23754045,-0.4352763,-0.2502204,0.1333037,-0.020865517,-0.17550354,0.21455222,0.09882375,-0.00241254,-0.1684756,-0.09709366,0.14375785,-0.048728704,0.14122151,-0.10114394,0.19361731,0.036930922,-0.17499506,-0.12067694,-0.13207586,-0.24305516,-0.09293848,-0.08468137
B,0.05254902,-0.015062392,-0.5240271,0.062445052,-0.14682576,0.1263765,-0.35950166,-0.17656302,0.010015063,-0.07900096,-0.07905541,-0.018640712,0.08714813,-0.009106588,0.0040102974,-0.17786902,-0.058831755,-0.016572881,0.25111544,0.032589342,0.2415169,-0.0050090477,-0.05037182,-0.16366425,0.23638166,-0.24294585,0.053060576,0.1813471,-0.2930984,0.12737808,-0.011737172,0.051576838,0.043395936,0.26621783,-0.0882045,0.08374496,0.2617625,-0.18922481,-0.34108874,0.117340595,-0.039804123,0.1780187,0.22087732,-0.15610804,0.1609362,-0.0061754975,-0.14298122,-0.005124867,0.14811006,0.22524877,-0.12801298,-0.14941643,0.14647909,-0.08177616,0.11113995,-0.24986377,0.42331058,-0.013459291,-0.062524974,0.29432768,-0.13587789,-0.12989342,0.28190058,-0.07907867
C,0.15376319,-0.21958664,-0.4210114,-0.019312052,-0.29033107,0.06083317,-0.102341406,0.0015676916,-0.11082129,-0.31562003,-0.2549832,0.0036101416,0.19469945,0.12486161,-0.21556345,-0.19137329,-0.2692994,-0.21374154,0.18827969,-0.16618842,0.22520961,0.073581554,-0.028637443,0.08978988,0.33092782,-0.08504012,0.32843113,-0.1631723,-0.040841565,0.031427145,-0.20408738,-0.088595524,-0.07233439,0.21598123,-0.32621953,0.123529404,0.32903424,-0.03392944,-0.03678204,0.011999715,-0.052772492,0.22677334,0.07948356,-0.21142195,0.28955585,0.0054545756,-0.10749625,0.19996637,-0.08913545,0.019983422,0.08273423,-0.05064845,-0.133261,-0.20031826,0.1688199,-0.24003093,0.31576988,-0.040872507,0.0028660968,-0.18048176,0.07321951,-0.107336424,-0.011460269,-0.14819059
N,0.21880028,-0.15478638,0.053889934,0.08407743,-0.23053019,0.15386353,0.13212258,0.06951602,-0.183335,-0.24417463,-0.1479094,-0.053249683,-0.029479012,-0.11343111,-0.10028186,-0.2137119,-0.07190944,0.2501596,-0.1493517,0.1776841,-0.012084652,-0.18577492,-0.0514934,-0.22090963,0.12453019,-0.34186628,0.053719983,-0.25578174,-0.24247453,-0.054280825,-0.07028239,-0.02054274,0.07440452,0.18894067,-0.12983985,0.06900817,0.24898204,-0.023681093,-0.17238139,0.26584622,-0.07687232,0.118182406,0.06018675,-0.2530537,0.021759652,-0.15086755,0.08892453,0.122196615,0.017297223,0.0051502762,-0.23075335,0.004481621,0.23472416,-0.07136659,-0.08033171,-0.009723648,0.069051474,-0.1540898,-0.050899267,-0.09362639,0.08288073,-0.22159347,-0.17433244,0.027107708
O,0.14048627,-0.060250252,-0.10181661,0.20258452,-0.051140904,0.014675349,-0.14623827,-0.09834959,-0.37219808,0.05169014,-0.089857295,0.12056808,0.0499776,-0.011126969,0.17076197,-0.082118794,0.03274816,0.08006804,0.029197592,0.049813285,-0.04931258,-0.13450566,0.010885935,-0.050358184,0.13888639,-0.017066639,-0.02086386,-0.086382754,-0.30869335,-0.09656078,0.22618294,0.1816647,0.021651711,0.054856848,-0.21609314,-0.04833887,0.0847341,-0.26359326,-0.33956093,0.16701233,-0.038845673,0.09563492,-0.0032301322,-0.06208052,-0.0409578,0.022677643,-0.025554158,-0.06565247,-0.26562965,0.105562985,0.041892976,0.14748663,0.20016333,0.079396695,0.1231928,-0.15628149,0.110909104,-0.12285066,-0.11339262,-0.01132033,0.14222457,-0.072626054,-0.13343482,-0.22176066
F,0.16620077,-0.23218882,-0.13777258,0.15872595,-0.10714312,0.007743202,-0.30724412,0.07052836,-0.32632148,0.08833321,-0.15836787,0.07759914,0.14168274,-0.2446879,0.26072723,-0.15491761,-0.05013666,0.19555901,0.042074237,-0.047382966,-0.06409733,0.07039993,0.018580023,-0.33584696,0.07855135,0.10955372,-0.033883497,-0.35879913,-0.40650523,-0.22510692,0.120492585,-0.11146514,-0.093266085,0.20588791,-0.042318873,-0.0343902,0.09265146,-0.27236855,-0.27107948,0.124991044,0.03411386,-0.13727355,-0.10845278,-0.11551601,-0.016124025,-0.0738771,-0.013756968,-0.15849492,-0.27370188,0.075332925,-0.06899789,0.009746455,0.04862147,0.06278613,-0.052204676,-0.19256401,0.014595944,-0.1739098,0.09666446,0.09602289,0.111224644,-0.0496023,-0.080039576,-0.1323085
Na,0.17975707,0.107454434,0.059258807,-0.3063712,0.0060711056,-0.0038183033,-0.15569356,-0.009248681,-0.18732569,0.04428599,-0.07210856,0.03166443,-0.15496913,-0.14292467,0.3184701,-0.08677527,-0.20756473,-0.068988085,-0.14303803,0.17251778,0.055303033,-0.3335146,0.080290295,-0.41338873,0.052545182,-0.2370919,-0.27347276,0.17444593,-0.3224878,-0.28353354,-0.21931326,0.011622041,-0.30003124,0.36126798,-0.3321521,0.14043592,-0.16835904,-0.39023,-0.29674235,0.14438595,-0.11732901,-0.29575154,-0.22300291,-0.34477156,0.12956268,0.02287531,0.34325802,-0.08616292,-0.2687522,-0.20669037,-0.036233425,0.25258476,-0.25558627,0.038237587,-0.45013025,-0.16562968,0.15174577,0.32127917,-0.28816974,-0.04378842,-0.059549496,0.16422278,-0.017219406,-0.19182548
Mg,0.17205647,-0.15211198,-0.06659949,-0.2017459,0.09303888,-0.15220271,-0.17185293,0.05488561,-0.37480965,0.028206535,-0.26699272,-0.10352292,-0.42006862,-0.048435245,0.243157,-0.14855663,-0.10024457,0.36994937,-0.12018582,-0.06191779,0.0854158,-0.24780199,-0.0015267059,-0.088196956,-0.17805839,-0.29369816,0.04219769,0.28187078,-0.2736393,-0.31331444,0.08135555,0.18444893,-0.032044545,0.11086598,0.013989229,-0.21646209,-0.043761075,-0.39682364,-0.26672053,0.030696843,0.04460422,-0.10177103,-0.14264216,-0.12503646,-0.12161461,0.13242735,0.021884732,0.25628123,-0.010611236,-0.053666826,0.23586644,-0.087372884,-0.11875113,0.11523299,-0.42973477,-0.2339247,0.060650285,0.13643783,-0.19925581,0.0052193627,-0.32276648,-0.23626539,-0.26110333,-0.32612574
