Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.066077046,-0.4044366,-0.063639864,0.019930415,0.25850332,0.074975505,-0.31231606,0.41392958,0.2615081,-0.025660172,-0.21981987,0.09022725,0.4321343,-0.39014006,0.037347876,0.29514912,0.2915901,0.76323974,0.5664874,-0.42052162,-0.05835264,0.07686504,-0.029399477,0.1494206,-0.18454319,0.024776775,-0.23506433,0.0032759309,-0.200726,-0.30976126,0.19294226,-0.31241015
Li,0.26463845,-0.42897403,-0.34855714,0.051195897,0.3506624,-0.09603222,-0.29175532,0.44932723,0.044595756,0.2854187,-0.1346167,0.03084467,0.107479036,-0.034380317,0.15127695,0.06526975,0.5816729,0.40948832,-0.0030141324,-0.03386715,0.12742123,0.17421475,0.0039413646,0.0045419,-0.039300323,-0.13470672,-0.043066904,-0.03442304,-0.0579604,0.10201215,0.2573732,-0.15618132
Be,0.10962645,-0.24300134,0.22950144,0.327583,0.18750685,-0.33143193,-0.3364497,-0.0980609,-0.11614084,0.4178995,-0.19329298,-0.45914263,-0.029997695,-0.20865974,0.16556993,-0.4043149,0.7524757,0.102282226,0.050624497,-0.38702404,-0.080794714,-0.06360375,-0.13256049,0.26499176,0.36849514,-0.1377921,0.17035566,0.21493374,-0.24875176,0.2691873,0.15457508,-0.052412692
B,0.05544071,-0.2585231,0.3433539,0.31793767,0.51352847,-0.093197115,-0.116447695,-0.02988594,-0.045244113,0.09894156,-0.060532577,-0.40978298,0.25259957,-0.036382616,0.08241961,-0.4193137,0.24375162,0.14575106,0.3788628,-0.36911076,0.009599283,0.039604537,-0.38574362,0.19461282,0.15991893,0.22014259,-0.13740945,-0.011101276,0.005330369,0.15710253,0.38476416,-0.2066226
C,0.013894565,-0.44306147,0.24370661,0.27618954,0.17766412,0.045047812,-0.17773,-0.00060039014,-0.003552273,0.46271282,0.2078903,-0.36974356,-0.058991697,0.06584462,-0.03784489,-0.4100412,0.11819015,-0.14306012,0.28988004,-0.15499754,-0.21865267,-0.13475513,-0.37802923,0.030657206,-0.013908096,0.060880397,0.037697233,-0.017032966,0.04644753,0.054969206,0.29373875,0.25901788
N,0.08273932,-0.39037564,0.227972,0.3079477,0.23316346,-0.02792588,-0.40129513,-0.04613263,0.3387007,0.26424265,-0.17077297,-0.23888049,-0.29228023,-0.19250073,0.08854348,-0.34289417,0.046863556,-0.10861968,0.26401022,-0.08215128,-0.007695347,-0.22526616,-0.26034242,-0.019233178,0.0011485592,-0.15004271,-0.36170632,0.18080483,0.10693563,0.24035662,-0.053626746,-0.13043477
O,-0.15833732,-0.024801187,0.08785439,0.2739464,0.17708886,-0.009143384,-0.27660754,0.18073572,0.14796984,0.16158347,0.12172144,-0.02103943,-0.10091545,0.07219262,0.099779524,-0.24725783,0.04791941,-0.060307868,0.1919362,-0.15472843,-0.09125962,0.01170662,-0.07502643,0.3391311,0.11721409,-0.023942087,-0.11050545,0.22925459,-0.018502079,-0.021828823,-0.05777259,-0.12551498
F,-0.23770452,-0.20250255,0.3228682,0.2192602,0.1224962,-0.16463406,-0.20420533,-0.047114722,0.3295151,0.08031032,-0.08538712,0.119098544,-0.04046,0.014710994,0.095498614,-0.03223652,0.14399263,0.16549438,0.4188834,-0.1341786,0.1818204,-0.027673021,-0.15227765,0.32155475,-0.3847811,-0.019391287,-0.082378164,0.06663826,0.053182065,-0.14248648,-0.17170078,0.012390789
Na,0.29861578,-0.2092765,-0.30671757,-0.076094925,-0.06908582,-0.019647995,-0.15481076,0.303268,-0.016330943,-0.16319692,0.047866315,0.17348191,0.119629174,0.07365411,0.2723577,0.5579495,0.30468956,0.38803032,0.079349175,0.114865795,0.18094188,0.26938188,0.079308726,0.111411214,-0.11919176,0.17779577,0.0057357065,-0.042250626,-0.21989438,-0.007441014,0.27972665,-0.14848995
Mg,0.06169603,-0.06281137,-0.2425101,0.11124456,0.046775147,-0.095725484,0.12465472,-0.099081285,0.25455314,-0.11602372,0.20381537,-0.3318815,0.30151737,-0.1451895,0.20356788,0.07441017,0.22216642,0.30997953,-0.30247074,-0.10234082,-0.07340578,0.3281897,-0.08529365,0.31057572,0.09768655,-0.08621487,0.28335434,0.13772829,-0.28119293,-0.1696887,-0.21212566,-0.37307224
