Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.2693538,0.34714127,-0.004744664,-0.0049514174,1.1218975,0.20647001,0.04511136,0.7679573
Li,0.24952367,0.37808746,-0.24393038,0.061535858,0.5887816,0.10429626,0.33698177,-0.15051389
Be,0.6860366,0.21807899,-0.68127364,-0.27362356,-0.11709142,0.6116391,-0.14089933,-0.16363358
B,0.84202725,0.2377034,-0.40586305,-0.6837456,0.15403938,0.5327644,-0.5194071,0.4300514
C,1.0474564,0.045407776,-0.50205487,-0.80793464,0.17454368,0.41549736,-0.47735953,0.33066297
N,0.14359269,-0.023421811,0.083704114,-0.22519305,-0.055972137,0.47244516,-0.6796037,0.5116509
O,0.30139935,-0.17011221,-0.20093514,-0.11204779,0.1538132,0.26542062,0.24964635,0.5973426
F,-0.31697023,-0.2871741,-0.5642347,0.26522917,-0.09503138,0.1517883,0.20387258,0.5822737
Na,0.3178928,0.32897237,-0.24289267,0.0009317994,0.4769953,-0.10746654,0.059570536,-0.44632155
Mg,0.57702184,-0.35541156,0.3811376,0.17754619,-0.15613796,0.22402307,-0.010043442,-0.023877338
Al,0.9369445,-0.1359989,-0.13390268,-0.0898267,-0.29510573,0.7903131,0.1790799,0.22627343
Si,1.1841228,-0.10093583,-0.23671527,-0.223499,-0.5212786,0.1823205,-0.09885355,0.26782936
P,0.77478504,-0.05970991,-0.36331987,0.36828777,-0.51907444,0.14679202,-0.47090054,0.6253731
S,0.5063222,-0.43989795,-0.34602696,0.3238351,-0.4071381,0.026732467,-0.005767241,0.532028
Cl,-0.21134157,0.13504462,-0.90112144,0.79195106,-0.13272247,-0.1771757,0.017571047,0.41837913
K,0.36387277,0.09334324,-0.07345785,0.41063067,0.89281005,0.0955331,-0.11026409,-0.3780477
Ca,0.7135409,0.07358179,0.50394297,0.40445596,0.021355428,0.06829101,-0.052165076,-0.40135443
Sc,0.72311103,-0.40445897,0.61316395,-0.011879742,-0.12619248,0.6860739,-0.22027403,-0.16341534
Ti,0.36047524,-0.08125499,0.26844424,0.12479575,0.23931697,0.6657136,-0.5105696,0.018625796
V,-0.101864174,-0.47085354,0.1636693,0.21909879,-0.17639242,0.72315615,-0.44509262,-0.16043757
Cr,-0.070220485,-0.36920917,0.46265972,0.10984199,-0.17594111,0.79035234,-0.34155807,-0.05061891
Mn,-0.080087915,-0.11751816,0.12849776,0.09555784,-0.46069014,0.83960325,-0.066812105,-0.18496983
Fe,-0.29321426,-0.30718976,0.10412007,-0.3295065,-0.3470146,0.9201085,-0.016880184,-0.123246565
Co,-0.24647398,0.04612964,0.1399474,-0.2011483,-0.67099416,1.0373777,-0.0032973439,-0.44937992
Ni,-0.31228918,0.12393984,-0.17505904,0.3130448,-0.34425986,0.8073472,0.21993183,-0.0928798
Cu,-0.06702104,-0.006863186,-0.41962302,-0.3033495,-0.45125377,0.7882207,0.11930139,-0.26533532
Zn,0.08371152,-0.06468381,-0.097482935,0.19801849,-0.3641919,0.6553752,0.037674293,-0.33214527
Ga,0.8821762,-0.26638117,-0.1675813,-0.21031323,-0.11873907,0.6139455,0.08835046,0.081460044
Ge,0.9530598,-0.1894717,-0.3160287,0.035424694,-0.15448469,-0.012393497,-0.11905868,0.040519893
As,0.8156017,-0.060146477,-0.31512797,0.40748546,-0.25771195,0.17492571,-0.48317248,0.39081246
Se,0.3244182,-0.70626354,-0.23740523,0.47828305,-0.069624335,-0.028584965,-0.10572423,0.21073492
Br,-0.18201621,-0.08692115,-1.1648712,0.8113401,-0.06543191,-0.17861181,-0.071252175,0.04560849
Rb,0.81976044,-0.05051737,-0.0865628,0.46462843,1.0294781,0.31762996,-0.03594187,-0.24715789
Sr,0.81519836,0.052415926,0.4342789,0.7195294,-0.07352914,0.0050975755,-0.032585755,-0.51829875
Y,1.0777858,-0.4850311,0.62875766,0.17270146,-0.19874883,0.8685614,-0.20027024,-0.16874295
Zr,0.79081255,-0.5311894,0.6632908,0.021931395,0.23454583,1.0152036,-0.61099046,0.15615614
Nb,0.46384406,-0.65095955,0.45860595,-0.082728595,-0.35501522,0.72836125,-0.5570073,0.2673148
Mo,0.34692317,-0.551679,0.7172912,0.10793701,-0.121670574,0.9156746,-0.38101432,0.5138098
Tc,0.22915909,-0.29656273,0.41478628,0.29487348,-0.19194032,0.97422826,0.032902047,0.43432474
Ru,-0.010569796,-0.4508953,0.12378307,-0.23018649,-0.5342947,1.1890696,0.3095122,0.33910167
Rh,-0.073501065,-0.3197114,0.3641261,0.14098166,-0.63295734,1.1859528,0.47963816,0.11633301
Pd,-0.050503984,-0.29471448,0.24045143,0.6246805,0.0960992,0.62999165,0.30488527,0.51157016
Ag,0.14513874,-0.24904646,0.032333642,0.17714162,-0.12422879,0.73830825,0.42074865,0.37807387
Cd,0.46090972,-0.20314313,0.1546673,0.22220325,-0.49442595,0.59852195,0.1077383,0.11769516
In,1.1116391,-0.6689866,0.06445469,-0.109374374,-0.23936528,0.55507416,-0.1628516,0.3021276
Sn,1.1660035,-0.68244547,-0.069864854,-0.028446913,-0.22363007,0.071260825,-0.31694376,0.21271406
Sb,1.114749,-0.36062163,-0.5891161,0.25571555,-0.51967263,0.27835646,-0.52880526,0.14271486
Te,0.696963,-0.5755053,-0.38683158,0.6756362,-0.07035949,-0.10224884,-0.063181564,0.14915399
I,0.06552167,-0.10633299,-0.604911,1.2655579,0.09328273,-0.21574658,0.16512315,0.67602634
Cs,1.1485667,0.0031435618,0.064094976,0.54412454,1.1825101,0.47144225,-0.25078958,0.06302735
Ba,0.84987015,-0.15277997,0.19185668,0.6388351,-0.16556336,-0.2157023,-0.0013790578,-0.58873546
La,0.8155931,-0.6016659,0.41667712,-0.058714703,-0.11678524,0.5157602,-0.35874134,-0.4309749
Ce,0.8155931,-0.6016659,0.41667712,-0.058714703,-0.11678524,0.5157602,-0.35874134,-0.4309749
Pr,0.7706884,-0.72181135,0.16793524,0.0007970482,-0.29123056,0.15981442,-0.32856703,-0.6259422
Nd,0.76227486,-0.69221336,0.26923054,-0.017732084,-0.25166374,0.44892606,-0.26099646,-0.5163803
Pm,0.82424194,-0.4358318,0.6145961,0.11500542,-0.22377571,0.518982,-0.2061101,-0.17363106
Sm,0.73497975,-0.56344455,0.34223363,0.066076815,-0.2828758,0.44439918,-0.3159331,-0.4637527
Eu,0.83162546,-0.3969862,0.74418765,0.073366135,0.007175751,0.4660138,-0.10901859,-0.062261924
Gd,0.73497975,-0.56344455,0.34223363,0.066076815,-0.2828758,0.44439918,-0.3159331,-0.4637527
Tb,0.9138526,-0.51646435,0.27116376,-0.082433805,-0.30978414,0.6219034,-0.15214391,-0.42752492
Dy,0.9211309,-0.7106357,0.4852209,0.01594527,0.042808488,0.6938926,-0.33570904,-0.2688508
Ho,0.8405175,-0.67241424,0.4107774,0.14073679,-0.12328206,0.6225316,-0.2929008,-0.3016286
Er,0.8405175,-0.67241424,0.4107774,0.14073679,-0.12328206,0.6225316,-0.2929008,-0.3016286
Tm,0.97598743,-0.72816235,0.5927531,-0.016109928,-0.44721675,0.8004591,-0.22685531,5.0619245e-05
Yb,0.84814477,-0.30661792,0.73005974,0.23817657,-0.04430511,0.32348818,-0.16233554,-0.013788566
Lu,0.99124634,-0.6862698,0.63163376,0.045268714,-0.59898174,0.51302415,-0.21379516,-0.05670716
Hf,0.875716,-0.3933502,0.46049803,-0.19453219,0.1764314,0.96796495,-0.61973727,0.40208298
Ta,0.5259719,-0.68891364,0.55554014,0.14224695,-0.10217124,0.7135588,-0.5877616,0.48550618
W,0.28424037,-0.683868,0.6172568,0.03703835,-0.14797187,1.1690089,-0.26681298,0.5740988
Re,0.37150562,-0.38003004,0.34341043,0.06277311,-0.31811118,1.1470952,-0.08819224,0.520999
Os,0.22140218,-0.41697457,0.007960528,-0.21070555,-0.5411838,1.3020183,0.22622068,0.6008017
Ir,0.26818782,-0.074646994,0.26977158,0.238847,-0.69227856,1.1635854,0.34541136,0.38003397
Pt,0.05424504,-0.3511413,0.15637073,0.6572714,0.02531664,0.92062443,0.33646977,0.7161893
Au,0.14354543,-0.6043028,-0.046093613,0.21919748,0.12785596,0.85656726,0.35558426,0.6280625
Hg,0.2983836,-0.5664382,0.21002546,0.20140249,-0.23931873,0.57789034,0.1909525,0.22003959
Tl,1.1746963,-0.8444054,0.08490224,-0.4143909,-0.10547328,0.8327457,-0.108502306,0.3781848
Pb,1.2369742,-0.8387544,-0.23464505,-0.39330253,0.19170511,0.28008682,-0.4935748,-0.017986506
Bi,1.0176506,-0.74091434,-0.31791198,-0.24090546,-0.16364217,0.5527748,-0.6428117,0.119441524
Ac,0.5256483,-0.6131384,0.012696505,0.023007363,-0.2903636,-0.18741268,-0.33185616,-0.96076214
Th,0.8739504,-0.69210166,0.46812612,0.117445774,-0.07931717,0.43169257,-0.39747745,-0.59792316
Pa,0.85827684,-0.7971143,0.7819682,0.14536732,-0.22792208,0.47508764,-0.41917676,-0.25332654
U,1.1149653,-0.48791346,0.61679596,-0.17025408,-0.52598715,0.5659615,-0.3530221,-0.21178155
Np,0.8739504,-0.69210166,0.46812612,0.117445774,-0.07931717,0.43169257,-0.39747745,-0.59792316
Pu,0.9354832,-0.5622046,0.67969203,0.13011673,-0.16863844,0.46330363,-0.3636989,-0.38694668
