Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.2047194,-0.07654552,0.29808795,-0.2996943,-0.005009476,0.014242597,0.10916384,-0.27369308,0.10095573,0.288184,-0.11865847,0.2591827,0.016099937,-0.09579166,-0.2648108,-0.16471218,0.061165154,-0.11183268,-0.25993717,0.034105044,0.13501512,-0.04085359,-0.13355662,-0.2833257,0.049305607,-0.33244702,-0.1182933,0.035476957,-0.23347548,0.077046156,-0.09361296,0.21785328,0.010835916,-0.061841283,-0.23337653,-0.042378932,0.08989331,0.025593057,0.016983181,0.40443042,0.056290343,-0.37042156,0.051821165,-0.26286578,0.08233281,0.07137414,-0.10306243,0.04585302,-0.31427303,-0.08484781,0.2781625,-0.12956104,-0.07526901,0.41615176,-0.09945844,0.2232013,-0.084752634,0.39589724,0.050429747,-0.40403754,-0.20710433,0.17129758,-0.16147293,-0.2636958
Li,0.057848018,0.025758699,-0.08822302,-0.41122305,0.0881775,0.03558872,-0.10317459,-0.25274467,0.038409077,0.029353544,-0.0065599047,0.35218298,0.16799682,-0.0888139,0.050815295,-0.02418797,-0.012081742,-0.112716466,-0.16770317,0.21180497,-0.27102008,-0.170622,-0.34334964,-0.392613,0.031073276,-0.2439265,0.059859212,-0.08420717,0.115412265,-0.12778199,-0.15295929,0.20238517,0.23440166,-0.3995528,-0.17682636,0.14099598,-0.079942435,0.02224221,-0.16151449,0.16934234,0.09251041,-0.3942428,0.30821452,-0.06529877,-0.26260418,-0.17425227,-0.32490265,0.07904218,0.07086192,0.008259267,0.15977891,-0.11100286,-0.06993523,0.300064,0.32159257,0.27178058,-0.16238819,0.16053987,-0.25343975,-0.3146618,-0.07172402,0.041040458,-0.22696306,-0.3174315
Be,0.34558448,0.12689352,-0.3566619,-0.21501175,-0.022038635,0.110166885,0.14831962,-0.090470515,-0.08130337,-0.04548709,0.13824356,0.117251344,-0.13792692,0.10635055,-0.26491132,0.43137008,0.48206633,0.27229726,-0.070514396,0.15787186,0.033819288,-0.08595161,-0.5932307,-0.30868003,0.24047485,-0.22728282,-0.14746504,-0.10898312,0.051488727,0.11564511,-0.24787344,-0.08572026,0.06191202,-0.05049082,-0.05642857,-0.06623617,0.039500654,-0.08065044,0.051827624,0.16058245,-0.03611934,0.043488443,0.10121062,-0.013675416,0.11995237,0.042367905,-0.2493673,0.15048352,0.13492325,-0.20117682,0.26353267,-0.2184971,0.14851214,-0.13952145,0.10101968,0.28956336,-0.1318276,0.022098508,-0.004786819,-0.33542663,0.08700485,-0.26233572,0.25130972,0.1191197
B,0.039875794,-0.34161058,0.19576119,-0.22883007,0.32096407,-0.071528725,-0.02474558,-0.061453126,-0.04818526,0.264925,0.18939827,0.014761601,0.034851246,-0.28199655,-0.050999064,-0.07047746,0.43079954,0.2640252,0.06351392,0.29456562,-0.14434302,-0.22140446,0.0014931113,-0.024979286,-0.017931242,-0.37999916,0.038780242,-0.1839325,0.014310002,0.089582205,-0.04670854,0.27193025,0.13588373,0.018712811,-0.028049186,0.10165821,-0.043811202,-0.19827421,-0.12839487,-0.12949926,0.022629494,-0.12936795,-0.10118746,-0.12854841,-0.13601096,0.30252707,-0.44589764,0.27636245,-0.10001391,0.1179916,0.10812053,0.016837064,-0.090413004,0.25654504,-0.22291069,0.16303942,-0.00294704,-0.014412288,0.2139226,-0.38505894,-0.21111998,0.036845483,0.04964543,0.011997767
C,0.040953938,0.21806616,-0.09173219,-0.07462858,-0.18417604,-0.2207202,-0.14845529,-0.12672266,-0.33697978,-0.036211863,0.019872874,0.14236666,-0.08977866,-0.17813396,-0.23798999,-0.2069925,0.51649255,-0.06976931,-0.0874785,0.27081686,-0.16205344,-0.21738176,-0.21449868,0.02181691,-0.1189197,-0.24122947,0.082382835,-0.12856683,-0.15038061,0.32082957,0.1991715,0.37273,-0.13203104,0.1266836,-0.24068333,0.23652564,-0.25224656,-0.2480303,-0.2903567,0.13537279,-0.12651065,-0.28875458,-0.2661863,-0.13393863,0.1081733,0.47481656,-0.23319697,0.11061442,0.017433438,0.22863303,0.13898179,0.050582062,0.019857757,-0.049277097,-0.022476435,0.13762414,-0.07456634,-0.0032061823,0.29408866,-0.19255328,-0.2818559,-0.023939207,0.05839917,0.017200246
N,0.14168315,-0.010185145,0.21115272,-0.40153885,0.100679874,-0.11096238,0.19310358,-0.49490282,-0.25723678,-0.009859726,0.11875194,0.0146186575,-0.22133929,-0.19489777,0.02340414,-0.24247128,0.19955026,-0.09278585,-0.11038695,0.13681689,-0.09533059,-0.08931534,0.46965623,-0.16299832,0.054769356,-0.14565411,-0.14792226,-0.006045302,-0.09231159,0.2035293,-0.16110706,0.24722278,-0.2918888,0.053998895,0.04581085,0.09344922,0.015650824,-0.16651693,-0.316154,0.10217836,-0.006313214,-0.20508797,-0.12770426,-0.16316801,0.024752,0.10988712,-0.1785728,0.12232502,-0.12961939,-0.01428017,0.115443125,0.004607003,0.07734325,0.19738472,0.13017175,-0.09566208,0.19725013,0.096814066,0.024539828,-0.109150745,-0.3795931,0.14532092,-0.01755895,-0.073557876
O,0.18676943,-0.12762836,0.0054012,-0.15495664,-0.0384129,-0.2652585,0.032049213,-0.2617478,0.11543719,-0.07640363,-0.18109529,0.16590321,-0.058319885,-0.25653017,-0.08611363,-0.06971796,0.18814902,-0.11053833,-0.08589138,0.24902959,-0.054733068,-0.16745988,0.1375186,-0.28988436,-0.14804019,-0.12366909,0.22818471,-0.103956304,-0.33249742,0.26422673,-0.21170181,0.16416916,0.045546148,0.040340163,-0.14066997,0.076909766,0.16293739,0.007954545,-0.09223299,0.12698606,-0.13798061,-0.07909444,-0.15480742,-0.044995923,-0.05119302,0.057955526,-0.21458858,0.0516655,0.12624183,-0.07081397,0.3193347,-0.019502606,-0.1954851,0.12884507,0.119938456,0.17281923,-0.069077894,-0.0063752793,-0.11430731,-0.14091466,-0.29789522,0.07894804,-0.10100563,-0.062219784
F,0.084039405,-0.09579104,0.032315936,-0.122221805,0.10444334,-0.26943478,-0.0561846,-0.36383858,0.10916654,0.095710374,0.0046827123,0.0686681,-0.1321259,-0.059941508,-0.13712771,-0.21028435,0.1737681,-0.25696477,-0.0566215,0.06045888,0.15554695,-0.15623568,-0.08234425,-0.1492509,0.07092711,-0.08652681,0.07577319,-0.30115908,-0.09425033,0.44921872,0.12360065,0.28116924,0.11663322,-0.18861365,-0.10334888,0.21770063,0.2831191,0.071708,-0.20217937,0.09744745,0.07902936,-0.030926421,-0.015069101,0.044257812,-0.16273029,0.31465667,-0.018365718,0.17674574,-0.20338468,0.020143151,0.3153375,0.031426378,-0.2250538,0.13096333,0.21220912,0.17019773,-0.08518346,0.10814887,0.081173286,-0.16106987,-0.094980024,0.26271456,-0.026451547,-0.13537136
Na,-0.2043154,-0.023794718,-0.044785473,-0.25132066,-0.023460906,-0.11753242,-0.051199313,-0.32989752,0.19560125,0.2441528,0.021999404,0.31358886,0.297901,-0.18696862,-0.030666407,0.104408085,-0.14383528,0.06347802,-0.18900722,0.040114086,-0.20808434,0.021484956,-0.122120336,-0.24885389,-0.13257404,-0.4836462,0.12053974,0.00857869,0.1715777,0.08560615,-0.2825463,-0.3246285,0.20924489,-0.26512662,-0.39151156,-0.097178206,-0.42951176,-0.026593536,-0.21387722,0.044311903,0.18635519,-0.21588263,0.0947958,-0.11662754,-0.3773429,-0.34190395,-0.051122636,0.38069245,-0.012561545,0.04393352,0.27837598,-0.2606071,-0.047896598,0.19972654,0.019264635,0.20650145,-0.10626726,0.07421021,0.007064335,-0.2582397,-0.21203917,-0.1840738,-0.19769767,-0.3003937
Mg,-0.11057182,0.054431252,0.04399397,-0.12423654,-0.15282121,-0.19341956,-0.0033414138,-0.17534804,0.104351036,0.19041364,-0.045743123,0.09059526,-0.15331745,0.2491064,-0.022062596,0.26709157,0.25532347,0.40231538,-0.21706061,0.05408815,-0.15640175,0.010528829,-0.15268297,-0.1765097,0.060110897,-0.1792799,0.3030709,-0.08418914,0.20525336,0.19461116,-0.118312016,-0.22116303,-0.0024300832,0.048298724,-0.30600104,-0.13563518,-0.2091272,-0.11771721,0.15878262,0.0023689643,0.23616098,0.23700625,-0.0059647597,0.14842589,-0.048788473,0.019769823,0.038227573,0.30756298,0.055590156,-0.11176896,0.35986754,-0.21687348,-0.2201881,-0.08751249,0.18727084,0.009681784,0.062700056,0.03684155,-0.026926436,0.17246932,-0.16286165,-0.11800002,0.05389485,0.098377086
