Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.13301201,-0.43955925,0.5664019,-0.18163276,-1.2882613,-0.6114761,-0.17311059,0.1577507
Li,-0.05699971,-0.54014814,0.2109279,0.21100613,-0.8500253,-0.66864306,-0.023833714,-0.23051348
Be,-0.28250393,0.01820197,0.07509093,0.10676029,-0.4120042,-0.5159613,0.6919262,-0.17855683
B,0.5548128,0.14887407,0.1935013,0.2740406,-0.4853615,-0.68465596,0.87052006,0.72135144
C,-0.010058769,-0.16979942,0.2858132,-0.19265302,-0.06232568,-0.51981986,0.5434797,0.73177797
N,0.11203883,0.33814654,0.3019941,-0.24916577,-0.24692878,-0.35558954,0.3792857,0.63605785
O,0.03809281,0.1875441,0.5554312,-0.26526,-0.51033795,-0.16521443,-0.14636679,0.6301034
F,-0.061972555,0.13532834,1.008462,0.12689143,-0.8194062,-0.21909991,-0.008953735,0.8381685
Na,-0.3525273,-0.51258373,0.09282537,0.29872364,-0.810876,-0.54424405,-0.28791833,-0.3399017
Mg,-0.5129745,-0.117314614,0.076075464,-0.09903318,-0.061252743,-0.037934102,0.16998611,-0.38000005
Al,0.11862748,0.119849764,-0.15462284,-0.31847882,-0.08761234,-0.5005614,0.6741824,0.30981535
Si,-0.3128422,0.13135827,-0.09211491,-0.50106037,0.09566731,-0.33363447,0.4928586,0.29441413
P,0.2133604,0.39961323,0.19501486,-0.6700193,0.052732356,-0.07215846,0.12187881,0.48230684
S,-0.2796264,0.5215524,0.5448786,-0.36193645,-0.11539952,-0.18640992,-0.5398832,0.45636514
Cl,-0.5662732,0.5754147,0.6331793,-0.20371135,-0.46928564,-0.6800955,0.16289262,0.6964553
K,0.45635727,-0.54666406,0.25315267,0.72630733,-0.54897463,-0.86212325,-0.07442047,-0.16317657
Ca,-0.30627054,-0.55673367,0.5136981,0.49255025,0.13296053,-0.29891673,-0.0805787,-0.9398199
Sc,0.069067165,0.120466016,-0.064276874,-0.11401212,0.30474868,-0.028637797,0.42336178,0.17346102
Ti,-0.15176904,-0.010844381,0.23965947,-0.20934805,0.6711273,-0.086643785,0.43038416,0.31469104
V,-0.14719532,-0.32668957,0.24462664,-0.19041198,0.69926095,0.106829725,0.51138616,0.43360442
Cr,-0.26711527,-0.3830982,0.18250209,-0.16314483,0.52381617,0.10687017,0.1603173,0.26998663
Mn,-0.2595471,-0.12143754,0.3154782,-0.1322706,0.31547913,-0.014666934,0.5806448,0.23234105
Fe,-0.53989697,-0.3623728,0.47237802,0.00084590167,0.63900334,-0.035290066,0.50005335,0.23180106
Co,-0.582564,-0.15184976,0.1993139,-0.36975375,0.39982808,-0.23203164,0.41111606,0.32274267
Ni,-0.27187404,-0.5719495,0.17088154,-0.5185136,0.28616858,-0.13557789,0.42700392,0.3243659
Cu,-0.18362744,-0.50799924,0.30961263,-0.35911617,0.22984275,0.109749146,0.27896556,-0.17624307
Zn,-0.08424092,-0.16420141,0.08568108,0.067137554,0.15915959,-0.30361363,0.56580955,-0.045161672
Ga,0.29376802,0.41023806,-0.19429325,-0.16459313,-0.26476374,-0.40536767,0.5528097,-0.068784915
Ge,0.17615111,0.095865995,-0.0766674,-0.4649667,0.13928425,-0.4093047,0.26080343,0.23437646
As,0.5648463,0.56378764,0.1505473,-0.33139467,0.1946007,-0.39876476,0.123752326,0.13541703
Se,0.08606322,0.6294718,0.4153738,-0.17258893,0.10421496,-0.4836713,-0.55137783,0.21472302
Br,-0.23586006,0.4957517,0.51389307,0.03764729,-0.09718905,-0.73635465,0.020339504,0.38890934
Rb,-0.053999696,-0.8286285,-0.044198886,0.53660387,-0.6473712,-0.58040905,-0.7825787,0.014324173
Sr,-0.15820907,-0.0022492716,0.062771246,0.6974751,0.11215378,-0.38822708,0.0084848255,-0.6573214
Y,0.08419211,-0.05398152,-0.3595773,0.12010586,0.49144962,0.03505098,0.17922129,0.2842002
Zr,-0.24941556,0.18921618,-0.33373916,-0.17972681,0.38013932,0.2683878,0.2301053,0.5570918
Nb,-0.37625965,0.07368359,-0.06342347,0.18306111,0.25283474,0.6009385,0.29268885,0.36067903
Mo,-0.08262476,-0.20842841,-0.18526061,0.12505536,0.39464608,0.5304976,-0.16459693,0.7711955
Tc,0.09362002,-0.05711151,-0.0017899722,-0.082319126,0.3264234,0.25182694,0.34752434,0.90307254
Ru,-0.25475088,-0.1830298,0.024584882,-0.12287636,0.54063255,0.21998075,0.3231792,0.77641916
Rh,-0.38868353,-0.048666395,0.04028351,-0.34068,0.74480283,-0.10119754,0.26243305,0.5839612
Pd,0.20131327,-0.1834477,-0.097317755,-0.23285466,0.31148583,-0.2600605,0.35701925,0.7780513
Ag,0.3019138,-0.39696646,0.03783583,-0.3540133,0.39664143,0.14083138,0.13797586,0.32791147
Cd,-0.17138107,0.21363352,-0.14191958,0.21705273,-0.11885104,-0.007685162,0.47979885,-0.059582584
In,0.049432077,0.4557741,-0.48171353,0.1873985,-0.16126692,-0.08959106,0.42248273,0.073372684
Sn,-0.03784771,0.14447622,-0.5011621,-0.28030866,0.06443486,-0.04053306,0.031699136,0.43966997
Sb,0.31330058,0.5416941,-0.3912621,-0.061936285,0.21145979,-0.17096405,-0.05772175,0.20709436
Te,0.2538987,0.64894444,-0.07369538,-0.0013822131,0.03356745,-0.5831477,-0.5791039,0.48259312
I,-0.42719898,0.17850222,0.7877356,0.18394513,-0.15144274,-0.97831446,-0.12940474,0.46253702
Cs,0.34682265,-0.8559028,-0.005815521,0.5872067,-0.28951403,-0.42439547,-0.7192685,0.25719625
Ba,-0.07261442,-0.12716784,-0.23479779,0.8076938,0.22269958,-0.64375657,-0.22757943,-0.35175
La,0.03716125,-0.06449654,-0.31691003,0.2675461,0.221311,0.33312973,-0.105504915,0.10504858
Ce,0.03716125,-0.06449654,-0.31691003,0.2675461,0.221311,0.33312973,-0.105504915,0.10504858
Pr,-0.04930697,-0.23743641,-0.5694894,0.4544082,0.28999493,0.10700736,-0.23901616,0.12468172
Nd,0.030180614,0.14537646,-0.34291023,0.27993932,0.28030208,0.17459327,-0.13751172,-0.0067340955
Pm,-0.005819303,-0.13467622,-0.27339548,0.27139258,0.37525302,0.15892145,0.04123909,0.094565935
Sm,0.010408769,0.023309015,-0.28695512,0.28223684,0.24961224,0.29208308,-0.064612046,-0.0059695765
Eu,-0.13736735,-0.42932636,-0.0277991,0.3590813,0.22912079,-0.034067877,-0.11785935,0.2093547
Gd,0.010408769,0.023309015,-0.28695512,0.28223684,0.24961224,0.29208308,-0.064612046,-0.0059695765
Tb,-0.033195503,-0.14295597,-0.420174,0.2351068,0.3354741,0.15948346,0.06225232,0.17806286
Dy,0.014515932,-0.09170843,-0.3976435,0.18193418,0.3612871,0.1616601,-0.014936291,0.38634259
Ho,-0.01223654,-0.0039028907,-0.3676886,0.19662496,0.38958833,0.12061346,0.025956579,0.2753244
Er,-0.01223654,-0.0039028907,-0.3676886,0.19662496,0.38958833,0.12061346,0.025956579,0.2753244
Tm,-0.091148525,0.027269863,-0.32713974,0.055071887,0.35103834,0.25628814,0.16569504,0.36349654
Yb,-0.16770448,-0.43240055,0.10927531,0.5264148,0.40746698,-0.0870629,-0.019082077,0.1462188
Lu,0.1583733,-0.056847192,-0.4825037,0.21010512,0.41104075,0.06879069,-0.080911025,0.36386263
Hf,-0.20790875,0.14204216,-0.14478774,0.047943678,0.5603937,0.22337595,0.112094976,0.700675
Ta,-0.116141334,0.11495399,0.15329511,0.21195072,0.6163422,0.52241117,0.25383633,0.71241915
W,-0.081628725,-0.1525727,-0.23632614,-0.09689182,0.67798585,0.31909227,-0.02081965,0.97004676
