Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.19183429,0.34946743,-0.115710475,0.074131295,-0.875313,-0.6088956,0.34802532,-0.05540715,0.2152187,-0.109121025,0.22916022,0.16673595,-0.7433394,0.71718,0.27320638,0.0025385395
Li,0.19485244,0.4814952,0.3301447,-0.31614155,-0.3838576,-0.31835574,0.59599626,-0.22504261,0.32727426,0.24372752,0.110376626,0.4111877,-0.7528369,0.5676931,-0.32056993,-0.34338486
Be,0.34396666,0.72988445,0.22482932,-0.32443744,0.3028254,-0.32487255,-0.21547076,-0.4278593,0.29353318,-0.26720023,-0.42922157,0.3659441,-0.41544175,-0.07266816,-0.13566472,-0.03611376
B,0.014980935,0.036793835,0.006005995,-0.5059683,0.21710122,-0.2757709,0.023049798,-0.12939075,0.04609333,-0.8166523,-0.093055755,0.24182208,-0.933153,-0.13505125,-0.22432283,0.12190661
C,0.28755605,-0.22977495,-0.17870766,-0.6868499,0.18850638,-0.3518581,0.014411446,-0.022955835,0.4102172,-0.8785516,-0.3911104,-0.21988158,-0.31829005,-0.18512237,-0.30026025,0.1589177
N,0.06410414,-0.06351858,-0.14625451,-0.12469163,-0.054330274,-0.15633352,0.13105126,0.18204863,0.35730562,-0.8872117,-0.05864053,-0.01976946,-0.052257046,-0.06928057,-0.30244634,0.111406334
O,-0.1955563,0.13659266,-0.27501333,-0.043971434,-0.10790955,-0.0680348,0.11969648,0.018999167,0.290737,-0.5653043,0.49912462,-0.39439386,-0.5818011,0.24578238,-0.3127548,0.2808806
F,-0.22999586,0.19707918,0.1947892,0.21742333,-0.21533616,-0.42306417,0.4239874,0.06980324,0.5638373,-0.43327284,0.41239136,-0.47985476,-0.28466314,0.7215784,-0.06248506,0.038345017
Na,0.13135064,0.079587005,-0.033581026,-0.2006966,-0.4415211,0.0801388,0.2824056,0.08052574,0.22973585,0.53068805,0.0749045,0.27336073,-0.7708512,0.48628622,-0.27252942,-0.38459438
Mg,0.009267479,0.40459797,-0.18628557,-0.3182188,-0.0034126062,-0.12736428,-0.29020238,-0.05119194,0.27506545,0.23202099,0.100301325,0.0202495,-0.18673791,0.10158305,-0.020064227,-0.110423096
Al,0.36198664,0.009003982,-0.62090003,-1.0058736,-0.048349522,-0.19352555,0.26323032,-0.23061611,0.25536644,-0.2758426,0.06082711,0.19455998,-0.5996519,0.15307364,-0.5695113,-0.029220216
Si,0.32619345,0.11176607,-0.23404032,-1.287478,0.109345555,-0.16734704,0.076592356,-0.27264315,0.37671432,-0.6042709,0.16624627,-0.227937,-0.4160766,0.2334077,-0.21477231,-0.14438152
P,-0.13608922,0.4454613,-0.015024677,-0.29680106,0.0592694,-0.21325596,0.3519156,-0.13426346,0.5077898,-1.0069363,-0.1299869,-0.23776637,-0.062091082,0.0022638813,-0.3470507,-0.061870597
S,-0.16597153,0.43436223,-0.18912831,-0.11374651,-0.16576731,0.01577526,0.4238253,-0.30831093,0.47003576,-0.7273316,0.20583221,-0.3233233,-0.36428455,0.25366062,-0.29754257,0.1860129
Cl,0.04583554,0.35914886,-0.3453236,-0.063618675,-0.24712797,-0.1939723,0.75833166,0.020974323,0.67806685,-0.4333176,0.08182527,-0.09344283,-0.35972002,0.6543389,-0.035924226,0.12364174
K,-0.32335222,0.31944567,0.42865756,-0.20465875,-0.4871788,-0.23788054,0.41592962,0.056375347,0.2782809,0.31711876,-0.4121455,0.2647711,-0.6406305,0.26650238,-0.20712838,0.3412382
Ca,0.1948123,0.6276972,-0.25196096,-0.25165528,-0.00919296,-0.03581223,-0.5178094,0.27450645,0.123508744,0.10610126,-0.47827393,0.16476314,-0.6215409,0.27986944,-0.16193709,0.1008915
Sc,0.3143105,0.40613893,-0.79086244,-0.4547415,0.22380282,0.10174641,0.15416963,0.10731132,-0.0045022517,0.28479266,0.30830443,0.03703263,-0.30523205,-0.34276572,-0.23184893,-0.14377517
Ti,0.4385079,0.54600793,-0.14077276,-0.81715333,0.06158188,-0.10734004,0.049240183,-0.30641007,0.16980518,0.058645323,0.21328023,-0.0068698376,-0.12268736,-0.2906352,-0.03469029,-0.018092208
V,0.84479797,0.3795353,-0.41798332,-0.6342803,-0.2994918,-0.0889604,-0.28028375,-0.5169345,0.35548246,-0.14492823,-0.022736374,0.05615379,-0.08394956,-0.13957489,0.07732301,0.17160648
Cr,0.8550866,0.09123366,-0.024729662,-0.61449,-0.18227856,0.15386799,-0.48051885,-0.32041907,0.095296524,0.009578735,0.34272185,-0.04328195,-0.12197074,0.27429017,0.01965893,0.23642293
Mn,0.55594003,0.093805306,-0.19326672,-0.5877077,-0.14717516,-0.018910538,-0.13940813,-0.47447163,0.2912772,-0.024967074,0.08127719,-0.14035057,-0.31957352,0.13595018,0.06925628,0.126392
Fe,0.5579382,0.20496082,-0.2715416,-0.4352144,-0.34878564,0.05422498,-0.74670583,-0.465752,0.26090586,-0.11206019,-0.105313614,-0.098423794,-0.4536205,-0.102286704,-0.038944177,0.2954979
Co,0.76243025,-0.0057629496,0.0648449,-0.5150665,0.006266078,0.002690081,-0.44755656,-0.3240599,0.16988882,-0.02936694,-0.10226427,-0.108488664,-0.19486329,-0.08031093,-0.046352275,0.15512902
Ni,0.3204,-0.11375489,-0.011896074,-0.66981924,0.11895807,-0.07407819,-0.18510848,-0.39491147,-0.1643165,-0.012975916,-0.05413126,-0.15660253,0.0036176294,0.24922219,0.07779475,0.1418441
Cu,0.72510654,0.13596052,-0.044389293,-0.876444,-0.019579083,-0.33704653,-0.40744144,-0.23600774,-0.100866295,-0.09133552,-0.32042825,0.028652366,-0.39064503,0.38441524,0.059014954,0.1264916
Zn,0.2864908,0.6370722,-0.563133,-0.61925524,-0.03918001,0.056659754,-0.14055805,-0.52367204,0.09350078,0.18289845,-0.3747091,-0.2638138,-0.31261188,-0.058810122,-0.3032862,-0.022474334
Ga,0.42710537,0.33792666,-0.44440696,-1.0671171,-0.008136997,-0.12620547,0.39186406,-0.14619231,0.22840947,-0.1305486,0.15935555,0.3538043,-0.6313448,0.26597586,-0.55605423,0.07156331
Ge,0.09872811,0.16730842,-0.08192446,-1.2685181,0.15975825,-0.12439619,0.098541796,-0.2249687,0.33027086,-0.5496365,0.08078544,-0.079791695,-0.34960246,0.34139708,-0.037933156,0.05209001
As,-0.032671645,0.623613,0.21768641,-0.6483111,0.14043243,-0.1645403,0.21920583,-0.27822763,0.55547166,-0.751583,0.05615397,-0.01586783,-0.09002864,0.15763761,-0.63552535,0.0392937
Se,-0.24184115,0.4195821,-0.08167162,-0.409993,-0.2827921,0.08093375,0.12684324,-0.27754718,0.6519359,-0.4852537,0.27961135,-0.28339428,-0.29244542,0.27836972,-0.52331877,0.30497992
Br,0.1435563,0.4039303,-0.20334932,0.03900148,-0.19278191,0.0802492,0.8055696,-0.047276024,0.773232,-0.23941764,-0.27249715,-0.0443514,-0.14013326,0.6641053,-0.10733674,0.22383258
