Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.1923105,0.02822626,-0.5226474,0.3662559,0.23522688,0.102647066,-0.1064792,-0.26378483,-0.7105556,-0.16405961,-0.12674129,-0.03373633,0.24697001,0.026638487,0.062191933,-0.048924655,-0.3908497,-0.35150543,-0.009336852,-0.14998794,0.46437752,-0.004309155,-0.4425877,-0.28219557,-0.0047249645,-0.688232,-0.8425311,-0.40131533,-0.69468594,0.35190815,0.03258036,0.5146113
Li,-0.42708424,-0.02999552,-0.48087338,0.04658308,0.10292106,-0.11576718,0.06774053,-0.2763549,-0.61534655,0.27967754,-0.25708032,-0.49192634,0.2817601,-0.024451068,-0.3286494,0.038172685,-0.40255177,-0.09339252,0.04263205,-0.046167314,0.35977548,-0.12239933,-0.3255244,0.12463383,0.009316832,-0.1009435,-0.47058672,-0.7250198,-0.15603584,0.13286363,0.17858012,-0.016488606
Be,-0.37227264,0.18780306,-0.07351022,-0.19817227,0.205905,-0.16006288,0.49177867,-0.22551776,-0.023828577,0.14798695,-0.046121914,0.017508969,-0.0595462,-0.036196783,0.18221049,-0.019951709,-0.49097246,-0.08407792,-0.1993824,0.35189974,-0.05692476,0.11473537,-0.4246616,0.07348041,-0.08338784,-0.22584906,-0.05728797,-0.28446436,0.249791,0.35202888,-0.18155396,0.24249698
B,0.0027446784,0.07417007,-0.22625594,-0.21498922,-0.1443447,0.0630243,0.35689437,0.047729924,-0.36110047,0.2755305,0.12641133,0.1903249,0.07896168,0.1592452,0.48190004,0.107868426,-0.21212834,-0.08478029,0.1505571,-0.17253026,-0.13847622,-0.16094726,-0.36157352,-0.15352625,-0.29611656,-0.41265845,-0.18063647,-0.6226994,0.05570941,-0.05654747,-0.14898746,0.075632066
C,0.066960976,-0.085116625,-0.10458056,-0.070415765,-0.25074682,0.02452806,0.38752916,0.19371752,-0.12200962,0.0020296872,0.036712922,0.077631935,0.07777999,0.431472,0.3320319,0.07458996,-0.599364,-0.34165707,0.30776012,-0.052386314,-0.02972792,-0.21499905,-0.5107091,-0.13141254,-0.1753243,0.21243647,-0.1604178,0.08368079,-0.105862275,0.17640989,-0.17198373,0.16475397
N,0.33004364,0.09437159,-0.3394932,0.42673177,-0.09839436,-0.19973946,0.07761304,0.23931451,-0.14411762,-0.05281327,0.061290864,0.32886985,-0.03861289,0.2789911,0.45709997,0.14425862,-0.5954081,-0.12845576,-0.3123555,-0.30430505,0.04664518,-0.05948112,-0.3337645,-0.10529802,-0.44430545,-0.23832414,-0.5329432,-0.37455022,-0.20232154,0.19322732,0.015311079,-0.17566001
O,-0.06938054,-0.19978945,-0.18175474,0.08100257,-0.09872664,-0.14914511,-0.009832498,0.0015584677,-0.3027172,-0.3154252,0.07229136,-0.016604148,-0.043727174,0.40538764,0.055050686,-0.19748801,-0.49330434,-0.2704513,-0.18331084,-0.28897598,-0.08315328,-0.15218252,-0.24995688,0.0757935,-0.2765544,-0.36933884,-0.67094517,-0.30112946,-0.32476318,-0.23205845,-0.19700262,-0.12718447
F,-0.016188167,-0.3538444,-0.31337696,0.14256334,0.12677884,-0.10063726,0.17239937,0.05279015,-0.4515977,-0.43077233,0.19536503,-0.015057237,-0.07645139,0.2639591,0.08958952,-0.41566813,-0.63544315,-0.2381591,0.023043402,-0.15635124,-0.12817495,-0.056565598,-0.17307603,0.23722582,-0.24672446,-0.3234016,-0.7735246,-0.40422285,-0.30998296,-0.07953842,-0.34258565,0.33002076
Na,0.031660873,-0.096541986,-0.01649826,0.2104446,0.10306866,-0.046079215,-0.14249504,-0.31223536,-0.68295634,0.13336429,-0.2970561,-0.49083528,0.3244018,-0.28073388,-0.45229697,-0.25610948,-0.23460925,-0.12327476,0.13067931,-0.07465693,0.20501404,0.19075891,-0.25910518,-0.059168175,0.16143024,-0.40347546,-0.30746007,-0.4704408,-0.14959896,-0.260335,0.39035764,0.29280934
Mg,0.18456317,0.15976807,0.28447247,0.15428177,0.3042103,-0.07959686,-0.206081,-0.21628718,-0.126621,-0.050322328,-0.14829192,-0.07849113,0.12578918,0.07649186,-0.18017788,-0.35685384,-0.41013408,-0.037479088,-0.19832525,0.16508159,-0.21658848,-0.057195462,-0.20647398,0.048317626,-0.26654577,-0.27259144,-0.33119717,-0.1449012,-0.11049377,0.070082605,0.2999368,0.2973188
