Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.2873524,0.073177956,-0.18164459,0.012088366,0.18693429,-0.005302906,-0.2414107,-0.046554513,-0.38964257,0.13688123,-0.23988828,0.31084892,0.04919765,-0.031822767,-0.36621675,-0.48198166,-0.09956149,-0.2879009,-0.19273132,0.10248579,0.12159481,-0.27725855,-0.35217196,0.1261056,0.110508256,0.09412603,-0.008280776,-0.14387013,-0.2441343,-0.047046132,-0.009638972,0.014990002,0.19138584,-0.04536077,0.09610809,8.974597e-05,-0.21019863,0.1017382,0.10855897,0.17622317,-0.12042144,-0.2326844,0.24975155,0.21772623,-0.2153023,0.17175905,-0.08317644,-0.25720006,0.06001499,0.12597224,0.102923445,-0.09717339,0.13888322,0.2666992,0.060616203,0.30849832,0.14370094,-0.44178706,-0.26079434,0.0053755045,-0.25141114,0.09052767,0.34303293,-0.064081594
Li,0.015563363,-0.22071159,-0.23620388,-0.1752092,0.02442617,-0.10169834,-0.12358862,-0.18347973,-0.047730874,0.14732513,-0.22232792,0.36676115,0.2683381,0.008499369,-0.28915957,-0.05225026,0.12494578,0.029818796,0.0074678063,0.11437382,-0.13984802,-0.24839815,0.012158332,0.21434495,-0.07386897,0.14963885,0.12084148,-0.038439766,-0.15786237,-0.26464564,0.20624259,0.0071317106,-0.12304807,-0.2179629,0.286506,-0.12431161,-0.05698681,0.0999949,-0.16914101,-0.10978031,-0.15615499,0.032325868,0.06957556,-0.03704319,-0.20447162,0.157547,0.4247038,0.208257,-0.27056602,0.060631413,0.031081535,-0.11698705,0.3857354,0.21516865,0.20063424,0.07135152,-0.016625166,-0.5565047,-0.26293108,0.11781293,-0.06159659,0.03639038,-0.08754207,-0.11421929
Be,-0.1066682,-0.107657164,-0.19938728,0.04880301,0.24985549,-0.042934448,-0.18220258,0.16386878,0.026820082,0.08277514,-0.0915758,0.22727464,0.060344316,-0.03542663,0.13376991,-0.032463767,-0.18169129,-0.05264438,-0.083625525,0.2867999,-0.057665996,-0.24254404,-0.011706399,0.20588812,0.09095563,-0.26947334,-0.04253172,0.07971883,-0.16725719,-0.04969898,0.21967475,-0.20363459,0.36622784,-0.6078756,0.027994,0.033857465,-0.06801687,-0.111074194,-0.28136995,-0.115915224,0.017789543,-0.048231836,0.08993822,0.02045353,-0.24671076,0.087956585,-0.05305802,0.111274645,-0.3960357,-0.049024235,0.16134238,0.13032305,0.4719086,0.060931265,0.09162101,-0.12830901,0.058498893,-0.31956762,0.04768353,-0.20753667,-0.1168783,-0.29679042,-0.023526654,0.086109266
B,0.21738411,0.10115322,-0.36632684,0.10170272,0.3191867,0.08610579,-0.009365786,-0.030878425,-0.15882108,0.33960903,-0.21096525,0.4032781,0.29979306,0.19717057,0.10884619,-0.3106084,-0.011390001,-0.24150917,-0.27315485,0.005474936,0.066429876,-0.378928,-0.22120173,0.19959137,0.06438832,-0.41624808,-0.02842766,-0.15553719,-0.24082372,0.026727308,0.104488246,-0.21590151,0.3172673,-0.48339862,-0.15013742,0.13122085,-0.13948028,-0.2964313,0.039581746,-0.2217478,-0.19269072,0.08845456,0.22267061,0.13391158,-0.05357977,0.07610815,-0.17374665,0.13306804,-0.5272158,0.013590884,0.058319986,0.057408344,0.21300301,0.17453612,0.08100295,0.06469621,-0.1575404,-0.08263888,-0.23266554,-0.21903409,-0.059949096,-0.50748,-0.15883169,0.14993377
C,-0.024869772,-0.05711545,-0.10241185,0.13740778,0.23623753,0.11142947,-0.034716215,0.094656624,-0.20123264,0.30661356,-0.06589252,0.5195034,0.37355247,0.11784978,0.16634342,-0.3492005,0.086102985,-0.36981824,-0.19901839,0.06698164,0.23941073,-0.33249763,0.12066795,0.041374676,0.0472463,-0.40215233,0.13572162,-0.20290564,-0.3564072,0.11315156,0.21405892,-0.14325841,0.23676796,-0.2809273,-0.20547456,-0.012983102,-0.20567085,-0.48721513,-0.14802825,-0.052733857,-0.0741618,-0.24009323,0.16198428,0.19561273,0.124267936,0.160765,-0.14105105,-0.055169757,-0.26594207,0.083060704,0.26582792,-0.34704876,0.11250444,0.24335976,0.14789647,0.1903881,-0.10151404,-0.254948,-0.33947718,-0.1356681,-0.08160806,-0.31020647,0.026426088,0.14786074
N,0.102606215,0.27522874,-0.21900491,0.074883565,0.26790822,0.07489368,-0.23304167,0.075184785,-0.19916096,0.25185555,0.018019438,0.5150534,0.30379283,8.331612e-06,0.15313618,-0.3544244,0.008541562,-0.5307048,-0.04864704,-0.005403295,0.3550164,-0.24121544,0.0941503,-0.14954847,-0.10759343,-0.008587554,0.18962906,-0.134219,-0.40971673,0.20339097,0.07804582,0.037380368,0.08359891,-0.10009499,-0.077046074,-0.2192005,-0.029330507,-0.41612837,-0.045509916,-0.030814122,0.23850948,-0.09981477,0.008393207,0.14140075,-0.19551766,0.1113506,-0.012036972,-0.02747478,-0.12527627,-0.042200793,0.35188612,-0.16979125,0.25992203,0.44383484,-0.13879037,0.3835627,0.066033915,-0.2713219,-0.33714467,-0.13607213,0.041633483,-0.09760546,0.048396885,-0.054358266
O,0.033230416,0.11645415,-0.28997582,-0.09523212,0.077781714,0.118927285,-0.2380417,-0.059330992,-0.087766364,0.3407967,-0.13062625,0.40726736,0.08521958,0.13976225,-0.18654439,-0.2767065,0.09794071,-0.1903663,-0.059406217,-0.15385208,-0.038395308,-0.2003604,-0.0020007137,-0.33081222,-0.15989469,-0.044893753,0.096707754,0.020258652,-0.43390694,0.1484732,-0.15674303,-0.15858302,0.14974159,-0.08754316,0.14106736,-0.28217688,-0.09345828,-0.4105273,0.031021003,0.13576831,-0.05890923,-0.120797336,-0.051619153,0.10158199,-0.26463556,0.246613,-0.014939003,-0.14769997,-0.23218814,-0.012238304,0.39019865,-0.19322479,0.1404917,0.37218088,0.17820439,0.29874814,0.032217775,-0.05247198,-0.11236464,0.031181365,-0.11770208,-0.05732773,-0.010931298,-0.07086763
F,0.042796694,0.07785551,-0.27617273,-0.12136414,0.22496003,0.014516756,-0.25491413,0.059537806,-0.05469165,0.27810058,-0.28829822,0.20353208,-0.023658074,0.19884412,-0.21139336,-0.10221855,0.054308675,0.0679233,0.036048464,-0.11212367,-0.16944504,-0.0020790882,-0.15430766,-0.18119216,-0.32657215,0.117985666,0.16681582,-0.15619178,-0.5591472,0.31704366,-0.08849237,-0.1293681,-0.1097766,-0.085562915,0.3481566,-0.27264088,-0.31772488,-0.06716601,0.13472179,0.027778596,-0.16857505,-0.07235888,0.08268381,-0.013522141,-0.40409204,0.28095284,-0.0027277991,-0.049464814,-0.3011243,-0.20456329,0.23395619,-0.19288813,0.36914802,0.73407656,0.29522753,0.24228512,-0.084605046,-0.110026404,0.013638996,0.10561904,-0.16885312,0.044550806,-0.31081116,-0.0808209
Na,-0.0268926,-0.46545357,-0.045000825,-0.047021218,-0.13875198,-0.09408173,-0.07744221,-0.1909019,-0.0745001,-0.10838012,-0.141714,0.3224695,0.032252856,-0.12359233,-0.08953551,0.013262324,0.21399596,0.03854934,0.031638518,0.13458948,-0.16816717,-0.115855604,-0.20926785,0.04122152,-0.12481529,0.113090724,0.079287685,0.10644725,-0.13230753,-0.051203154,0.3400697,-0.015630186,-0.08625142,-0.12443878,0.36143798,-0.18203895,0.06417242,0.08796883,-0.038390186,0.083334446,-0.20685963,-0.026811186,-0.0833828,0.12570527,-0.33425185,0.18422717,0.33843452,0.031980235,-0.19492209,0.067411885,-0.102883875,-0.016780276,0.35664502,0.21616805,-0.0044450555,0.16780232,0.003340546,-0.46270028,-0.23836905,0.05997333,-0.26313263,-0.14699869,-0.028919507,-0.0943567
Mg,0.08492759,-0.33979422,0.03888533,-0.18662992,-0.026740499,-0.017249182,-0.19524974,0.04461009,-0.059977625,-0.04029078,-0.23556122,0.21195376,-0.025992401,-0.07509788,-0.048706986,-0.06447299,-0.12366041,0.059291564,-0.07739638,0.15369397,-0.10931528,-0.08256264,0.019645529,-0.07569406,0.14082742,0.07290517,-0.08850517,0.13070756,-0.1039279,0.0135745965,-0.011274702,-0.13563758,-0.05066672,-0.35601622,0.056038216,-0.15577222,-0.025975257,0.021884263,-0.19003165,-0.04639238,-0.061311945,-0.075554684,0.033024497,-0.10201467,-0.26514062,0.19430637,0.08106783,-0.34078968,-0.17220926,-0.08891906,-0.04266944,0.08813855,0.20959014,0.21964328,-0.2832219,0.036216825,-0.054708265,-0.27334398,0.059420593,-0.146427,0.08708915,-0.2624285,-0.28612214,0.10529357
