Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.36997193,-0.25675872,0.6086744,-0.6756781,0.3412419,0.6524889,-0.40843663,0.6477288,0.26010472,0.6409633,0.010062754,-0.50974,-0.25916106,0.48987398,0.61796284,0.29641443
Li,0.07179493,0.10189546,-0.1562157,0.21992531,0.6278523,0.16814728,-0.23887438,0.2521897,0.19142792,0.68605673,0.13358858,0.089636385,-0.04273361,-0.050282393,0.27214906,0.041212093
Be,0.7260386,0.033759296,0.13081433,0.16406,0.14022827,-0.29854733,-0.2417188,0.16613935,-0.2532648,0.5975833,0.5041212,-0.32928118,0.20745689,0.39536613,-0.18382898,0.06882067
B,1.0064898,-0.0705328,0.26765534,-0.67231154,0.16254622,-0.78119963,-0.034146797,-0.11876346,0.21527646,0.5881537,0.36411455,-0.2657891,0.06583886,0.213421,0.04308573,0.36135986
C,0.9924973,-0.26057225,0.56449515,-0.6112621,-0.1848114,-0.16434816,-0.29467583,-0.1569617,0.23693737,0.5569482,0.06196353,-0.52547127,-0.26363415,0.06254758,-0.29578456,0.5177608
N,0.8475238,-0.15913913,0.3787286,-0.63019615,-0.22143148,0.4933889,0.01205913,0.24060495,-0.18747061,0.64074874,-0.21753591,-0.300362,-0.16097683,-0.23839423,-0.14764336,0.67464966
O,1.4010432,0.2733131,0.13507819,-0.23089606,0.24479409,0.58439124,0.09613163,0.18867506,-0.18018755,0.33697063,-0.255888,-0.19740808,-0.2407568,-0.26812103,0.2230522,0.45872334
F,1.6523358,0.68400353,0.032247998,0.16147032,0.14228491,0.6940413,0.18633449,0.27809346,0.36620933,0.77661145,-0.16677287,-0.05086795,-0.08384747,-0.14505738,0.24366936,0.7422141
Na,0.030987874,0.36953723,-0.031012006,0.1836204,0.5090419,0.07117714,-0.26417494,0.4267645,0.39382106,0.6320553,-0.005121868,0.2440834,-0.31991696,0.0025056563,0.19489402,-0.10896686
Mg,0.29799744,0.23839486,0.3065108,0.32538587,0.1612312,-0.091184534,0.021600492,0.38082707,0.07717675,0.8471178,0.25818378,0.2930826,0.050901175,0.060755845,-0.1382886,-0.12224834
Al,0.84473836,0.07282439,0.30521238,0.19403717,0.106085524,-0.6312306,0.075438626,0.4878475,0.16959932,0.64109236,0.11335799,0.28444743,0.22263257,0.1870148,0.21182746,0.03429346
Si,0.9612876,-0.011285275,0.42676732,0.08447516,0.091292694,-0.64748096,-0.19730622,0.5589574,-0.050976686,0.4522929,0.13042352,0.31020725,0.31364602,-0.24715543,0.053445585,0.33733335
P,1.2527666,-0.2210274,0.53630495,0.14009258,0.3034749,-0.6022704,-0.30954558,0.79361165,0.11548502,0.34542668,-0.22719121,0.0244779,0.4192562,-0.34710902,0.03141976,0.42318878
S,1.4622387,0.08647639,0.49175677,0.118457176,0.13913614,-0.24871719,-0.15227091,0.6687377,0.19774711,0.41157973,-0.78404784,0.108620375,0.38122022,-0.2532072,-0.2370671,0.38082972
Cl,1.6773559,0.7880801,0.19389361,-0.029059947,-0.1702335,0.24893007,-0.22501636,0.6330536,0.5557059,0.5322424,-0.59920514,0.28155383,0.32338035,0.0049573593,0.11978949,0.29920384
K,-0.014646798,0.52430683,0.18350556,0.088140175,0.3837512,0.045781843,-0.37772277,0.26072416,0.5335721,0.39039358,0.039121915,0.57374156,-0.5729645,0.0674433,0.11971727,-0.37185958
Ca,-0.18268275,0.09917208,0.05062811,0.3528803,-0.13315439,0.16667002,-0.49797016,-0.09644781,0.13259238,0.2567289,0.21809672,0.43923306,-0.101867676,-0.13974394,0.19055611,-0.1703564
Sc,0.1988039,-0.06368792,0.22036636,0.30146086,-0.3981099,-0.385302,0.4698564,0.15056688,0.18353689,0.36483517,0.24200448,0.38337347,-0.048167095,0.023757108,0.20579436,-0.13729088
Ti,0.37403077,-0.096490294,0.090075165,0.25679788,-0.2321119,-0.62176037,0.3022652,0.42093426,0.10229991,0.6946956,0.36907297,0.10172397,0.07788508,-0.2917109,0.18522066,-0.036713783
V,0.4041691,-0.12664607,-0.022947893,0.23822075,-0.28726482,-0.4565056,0.19403455,0.66023415,-0.017792739,0.68638265,0.515293,-0.18000513,-0.116388276,-0.05691914,-0.20205222,0.02818599
Cr,0.3423291,-0.020992965,0.020542514,-0.0025597066,-0.26624137,-0.37822828,-0.12340185,0.5247527,-0.03551238,0.3225457,0.6712089,-0.34837782,-0.23951237,0.13829511,-0.64725196,0.10234958
Mn,0.46313068,-0.12324244,0.047820464,-0.06707508,-0.01939034,-0.0880012,-0.014244549,0.5203014,0.05127465,0.36345592,0.54952043,-0.26141444,-0.21984832,0.062765084,-0.7264308,-0.07297881
Fe,0.58009934,-0.12682587,-0.022084653,-0.07946759,0.007830411,0.012535953,0.28066137,0.59324926,0.01311326,0.24235016,0.49772,-0.26893392,0.08946599,0.063853994,-0.6299702,0.044438805
Co,0.67589885,-0.1249091,-0.2763805,0.082451396,-0.107510924,0.23116207,0.17158943,0.655261,-0.011736125,0.40240496,0.44417727,-0.33413306,0.13628928,0.09890643,-0.37392664,0.17138012
Ni,0.62850654,-0.14816046,-0.46295783,0.071061336,0.10544714,0.18363345,0.19581348,0.7217197,0.04978931,0.3616217,0.34231797,-0.24172471,0.14472985,0.21297199,-0.1753664,0.47587255
Cu,0.40292943,0.17699476,-0.1843532,-0.10630105,-0.041180916,0.19343486,-0.07694324,0.5805232,-0.24533284,0.26361945,0.17267452,-0.056445356,-0.15371,0.6040645,-0.4465251,0.4018112
Zn,0.48083693,0.22617447,0.22594948,0.23278272,0.02917926,-0.054903723,-0.2377879,0.48221117,-0.14282045,0.7465702,0.15804079,0.31300578,0.004322037,0.3649475,-0.23510131,0.25356862
Ga,0.7587534,-0.043122858,0.28166094,0.02377475,0.17304246,-0.3594187,-0.025043547,0.4650489,0.027281702,0.40860438,0.037418112,0.56102294,0.10254601,0.06654355,0.1626115,0.09062545
Ge,0.8777987,-0.10808945,0.39571735,-0.08268068,0.17028914,-0.43121758,-0.27765048,0.70826554,0.027410664,0.33719105,0.20345876,0.41313052,0.0004618168,-0.27897975,-0.049275294,0.27820158
As,0.9928365,-0.17473498,0.49320948,0.04672333,0.2870931,-0.43767765,-0.39853397,0.87732035,0.009430133,0.25814018,0.05459457,0.26168883,0.14433676,-0.57498956,-0.12554367,0.38238657
Se,1.1658286,0.09017215,0.64399385,0.05119724,0.08966909,-0.0915382,-0.24707428,0.85714406,0.23205337,0.2476663,-0.43719524,0.3400718,-0.15634856,-0.32512024,-0.5309992,0.45303002
Br,1.3900766,0.7691427,0.27912506,-0.076338924,-0.17357776,0.19497009,-0.34826472,0.7935477,0.61067134,0.46641758,-0.5912156,0.5295824,0.032920912,0.02727827,-0.1617373,0.33438194
