Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.028108254,0.3198309,0.12916477,-0.0020111427,0.04484442,0.0859369,-0.06370352,0.16933593,-0.35366958,0.41069567,-0.007972553,-0.431964,-0.019748852,-0.15624061,-0.6281005,-0.22626017,-0.09876413,0.004913749,-0.36737156,-0.060869426,0.22387233,-0.20392475,0.32983518,-0.47186762,0.14053503,0.0008791648,0.31783772,0.2866019,-0.5374466,0.07350152,0.0838628,-0.009127781
Li,0.14843222,0.19492829,-0.04175812,-0.07249354,-0.18512566,0.34003487,-0.17220081,-0.054504048,-0.6619094,0.100600414,-0.19478445,-0.06373095,0.06170859,0.008479379,0.1408609,-0.18361112,0.015672684,-0.13295732,0.07540039,0.07343431,0.08141025,0.31845894,0.17868389,-0.08241447,0.2945373,-0.09797804,0.32282,-0.08169679,-0.08485349,-0.10567056,0.09911613,0.11042976
Be,-0.09858331,0.012476973,0.29265848,-0.12086168,-0.30541915,0.16136299,0.026259957,-0.40161607,-0.25455,0.37806308,-0.46322286,0.0440818,-0.2530275,0.011607498,0.024369359,-0.17769344,-0.06106986,-0.3897948,-0.040993635,0.22472058,-0.36618918,0.27883098,0.24033223,0.07872689,0.16644278,0.45637882,0.07275118,-0.110004395,-0.5280923,-0.3860444,0.10442749,0.15932384
B,0.017602332,0.010004595,0.551376,-0.31879285,-0.19734982,0.17787726,-0.14687583,-0.10754352,-0.3807333,0.49785763,-0.010698423,-0.29668882,-0.42006823,0.15383694,-0.25873694,0.08308938,-0.19104765,0.08471854,-0.15980023,0.029254537,-0.41636628,0.059163067,-0.085855424,0.20979683,-0.0050116032,0.23699905,0.12017736,0.21949731,-0.27454415,-0.04618963,0.118780255,-0.022135504
C,-0.121793784,-0.25187713,0.5897955,-0.19703571,-0.076554775,0.17303926,-0.3562332,-0.15313153,0.014651811,0.054742813,-0.21019045,-0.47173774,-0.26692158,-0.013944589,-0.2250166,0.11180669,-0.24272722,0.14486498,-0.100542255,-0.09164566,-0.3634788,0.036421318,-0.1698187,-0.017779466,0.15682521,0.14857775,0.62638915,0.4553909,-0.4012842,-0.11478917,0.16484976,0.26316476
N,-0.29372698,0.16440783,0.53109705,-0.20295122,-0.19608298,0.47676837,-0.4739686,-0.11814007,0.12830347,0.278521,0.06934614,-0.49096382,-0.16069889,-0.00010635704,-0.064751685,-0.024094122,0.049671486,-0.091559425,-0.23435342,0.3494592,-0.18755123,-0.24421592,0.008421883,-0.1677354,0.23406652,0.087505564,0.49743736,0.45898888,-0.02348567,0.026402276,0.113847226,0.28810808
O,-0.19004522,0.16203243,0.26374242,-0.05390313,-0.39451757,0.70771563,-0.18075335,-0.017780732,0.008744089,0.11448259,-0.14046314,-0.40965956,-0.06731072,0.33700395,-0.11912499,-0.05169739,-0.16525672,0.05205898,-0.23858961,0.38913298,0.12728626,-0.014424499,0.31649306,-0.2337892,0.26248962,0.11067812,0.79694384,0.456389,-0.0034774337,-0.036773607,0.31485617,-0.18855596
F,-0.21262799,0.29144216,0.34105492,0.37257624,-0.72978187,0.75802493,-0.0073383916,-0.0027221134,-0.2560973,0.07508647,0.072148144,-0.417555,0.33728218,0.8546601,-0.37596947,0.004556734,0.0935733,0.06524875,-0.17188689,0.23841272,0.31891692,-0.025391292,0.17705844,-0.2752552,0.18214846,0.12758811,0.3257311,0.23731257,0.10307879,0.13081041,0.2771625,-0.17458007
Na,0.12182726,0.32966313,-0.11058733,-0.0017170385,-0.16220516,0.42099345,-0.08794427,0.070112415,-0.4202846,-0.04525476,0.21030672,0.32352674,0.093246594,0.08453817,0.0009930357,-0.19615637,-0.042104226,0.036885664,0.003750734,-0.014810044,0.17686191,0.2880811,0.18262723,0.05974895,0.31449273,-0.10559277,0.34084648,0.09071513,-0.14095621,-0.12197946,-0.021555763,-0.0015453063
Mg,-0.12951681,0.4778667,-0.16506985,-0.18615994,-0.2953463,0.36657453,0.034890167,-0.47622713,-0.49789745,0.02638482,0.14913943,0.18741435,0.13075596,-0.0028068796,0.16475058,-0.21581794,0.0822051,-0.1522219,-0.21799257,0.33021936,-0.07212255,0.1677565,0.09916884,0.17553702,0.45881987,0.075613126,0.13879532,0.033743896,-0.27911484,-0.13378423,0.02200662,0.10570713
Al,0.13227661,0.19873118,0.1186112,-0.33866978,-0.34023345,0.22897965,-0.26671383,-0.30363342,-0.25735322,0.18575084,-0.08114162,0.11414764,0.22914547,0.43176362,0.17344706,0.13415685,-0.13521056,-0.02184243,-0.38932884,0.02083395,-0.23281708,0.1379651,-0.08462492,0.09216117,0.3145888,0.18026976,0.04934124,0.14795703,-0.31356227,-0.16759713,-0.214411,-0.2976849
Si,-0.24516077,0.15998395,0.056934126,-0.32360655,-0.21189165,0.43494093,-0.26510954,-0.32741126,-0.089575775,0.10437836,-0.25643802,-0.26252085,0.19091822,0.24392763,0.045532793,0.02428825,-0.16704795,-0.13090576,-0.44049403,0.11213265,-0.050289467,0.3529228,-0.24415812,0.02076311,0.1118383,0.05166779,0.050677605,0.16015571,-0.25270337,-0.31727642,-0.26949853,-0.02540452
P,-0.25098836,0.19037622,0.25227952,-0.35840705,-0.1009818,0.5645487,-0.21169561,-0.44578576,-0.1521888,0.09360004,0.0056858324,-0.33896127,0.1608786,0.3821955,0.0038024783,-0.08449179,-0.007723652,-0.0058207903,-0.5874207,0.055214357,-0.27870652,0.49310356,-0.19756594,-0.04511906,0.15363061,0.07397437,0.30970722,0.5801084,-0.25887427,0.00566525,-0.18615025,-0.18647778
S,-0.38614613,0.056814045,0.33766785,-0.38923195,-0.42169908,0.65238374,-0.0774438,-0.39045826,0.034242205,0.1450594,0.22563647,-0.3795628,0.31002155,0.63188463,-0.057593763,-0.029601732,-0.3103457,-0.043404907,-0.37733003,0.04361218,-0.0063998997,0.41230428,-0.052169226,0.08258564,0.47268075,0.0009075813,0.49723226,0.7454028,-0.1625937,0.033673286,0.06821561,-0.038824193
Cl,-0.18956384,0.402494,0.2268621,0.16146386,-0.7196832,0.72455955,0.06447402,-0.11967646,0.18915305,0.19221798,0.14467366,-0.24857712,0.61727434,0.7371358,-0.35960048,-0.17113616,-0.32716936,0.083021715,-0.22720876,0.060616832,0.12958792,0.12711449,0.20833835,0.028913531,0.29717726,0.41367322,0.5174003,0.51690537,0.009794271,-0.07948066,-0.04072618,0.009345297
K,0.010112282,0.3153326,-0.039078698,-0.061194956,-0.31753907,0.49771106,-0.06890085,0.102280244,-0.31375208,-0.19234812,0.32261658,0.15411687,0.0949547,-0.22840905,-0.11114924,0.0022407342,-0.33554864,0.025427239,0.01263614,-0.0412425,0.026532717,0.40114486,0.31193316,0.029140938,0.6330766,-0.3016461,0.2719,0.16989788,-0.29808867,-0.13712882,-0.21780957,-0.26823485
Ca,0.08189545,0.38535905,-0.018327445,0.04755073,-0.18689294,0.1562757,-0.02920411,-0.26172912,-0.28112653,-0.13638449,-0.08685458,0.33303148,0.026517082,-0.14827304,0.20768741,0.12540352,0.12408769,0.036646724,-0.3349532,0.032481786,-0.16304746,0.35718548,0.35289907,0.42999887,0.62821966,-0.4145321,0.2342926,0.10393572,-0.2626553,0.02384973,-0.1179789,0.14067838
Sc,-0.04396119,0.19438818,0.069303915,-0.5022806,-0.008416161,0.30371812,0.049550965,-0.28041205,-0.38455105,-0.47469473,0.34935296,0.2530505,-0.00088172033,-0.027164906,0.21043973,0.28203377,0.03622543,-0.017736407,-0.4179381,0.28525087,-0.13545623,0.23202245,0.37071824,0.22698969,0.3550013,0.08560632,0.22536962,0.1210793,-0.12965383,0.054109164,-0.173144,0.0730959
Ti,-0.1386343,0.06578482,0.03954506,-0.60924715,0.21946862,0.40188408,0.04059735,-0.51994604,-0.5141512,-0.1155517,-0.06915933,-0.17590556,0.078369185,-0.0025294423,0.4525563,0.32670334,0.00059152395,-0.030215362,-0.25464967,0.32188314,0.0464608,0.36546913,0.17999871,0.08143105,0.38381895,0.27285305,-0.12598844,0.16209945,-0.1775449,0.09152302,-0.12296264,-0.035611082
V,0.037175283,0.011536889,0.19046782,-0.5364342,0.24643978,0.43377042,0.20959654,-0.5694432,-0.4624126,-0.06130869,-0.16411886,0.01629991,0.051500876,0.2560008,0.44743204,0.29021052,0.15114865,-0.059673376,-0.08742074,0.31047663,0.021799963,-0.06516607,-0.08433314,-0.045476817,0.42952263,0.2438579,0.049924314,0.22731665,-0.36810154,-0.13279483,-0.07506419,-0.30211157
Cr,-0.014848925,0.0113416985,0.029758275,-0.2955342,0.2783508,0.25261447,0.10644531,-0.5996644,-0.44923273,0.38932306,-0.0022248179,-0.12916297,-0.10548194,0.30261698,0.26240373,0.15850691,-0.105155826,-0.22918591,-0.05867151,0.34336436,0.006963823,-0.15163314,0.093134105,0.17827848,0.45079798,0.14410932,0.28975648,0.1414266,-0.18825823,-0.28546876,-0.17950357,-0.18959925
Mn,-0.40822512,-0.055697143,0.14883074,-0.15524797,0.17869657,0.10588756,0.29433092,-0.32989553,-0.28226578,0.18811639,-0.15787928,-0.03453509,-0.026332501,0.22192678,-0.059966385,0.17421167,0.042051084,-0.23011056,-0.11736532,0.38430783,-0.2437694,-0.11249961,0.2572866,0.14242685,0.26700813,0.109807536,0.24830768,-0.09554079,-0.123534136,-0.2974919,-0.16039716,-0.07754944
Fe,-0.33736914,-0.019427493,0.4236169,-0.31623703,0.19237757,0.26727676,0.18936427,-0.24310812,-0.3377293,0.29959613,-0.17559265,-0.03982401,-0.3044698,0.48369923,0.07856499,0.2054962,-0.0031243265,-0.047627367,0.03684572,0.29207554,-0.043571904,0.001350794,0.27511406,-0.007785893,0.36973715,0.13818434,0.38125914,0.06750463,-0.14228052,-0.118855834,-0.34589785,-0.001553826
