Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.16981696,-0.13059577,-0.50496185,0.85723054,-1.3193938,0.16519773,-0.48981684,0.95596546
Li,-0.2213582,0.15328759,-0.67555845,0.28818992,-0.6601132,0.14224535,0.24120978,0.5086832
Be,0.45772487,0.021859095,-0.31544995,0.5317762,-0.24439166,0.13287684,0.12949789,-0.15017492
B,0.27320886,-0.25716233,-0.111667365,0.056564454,-0.3600278,-0.34497842,-0.09606479,-0.35944664
C,0.57995254,-0.57320863,-0.22457969,-0.20129283,-0.69643575,-0.22716069,-0.025212243,-0.04031974
N,0.6381574,-0.70278424,-0.67104554,-0.5515138,-0.3654077,-0.24327573,-0.16302739,0.13806874
O,1.1681194,-0.1834403,-0.8840591,-0.8065262,-0.1087601,-0.021441922,-0.34124857,0.38590893
F,1.2539858,0.053488657,-1.4604369,-0.46491924,0.23009436,0.27505055,-0.46747786,0.5446282
Na,-0.3790514,0.06768262,-0.8117274,0.27042174,-0.3623188,0.119427115,0.31201968,0.6836405
Mg,0.019028202,0.35831282,-0.3770761,0.07340367,-0.02042979,0.06285732,0.33726674,0.4094217
Al,0.1452818,0.18305838,-0.044500977,0.193681,0.17976435,-0.06468996,0.18544433,0.17392686
Si,0.7368264,-0.15324783,0.10180691,0.15372795,0.1165178,-0.19672015,0.3242371,0.37398764
P,1.0557535,-0.3613469,-0.19508734,0.17986959,0.3396353,-0.22511491,0.22931951,0.29037502
S,1.1618336,-0.5824573,-0.47000644,-0.04675414,0.40514582,-0.20365325,0.24581005,0.4861663
Cl,0.91441166,-0.43804604,-1.1069748,0.10306053,0.5904037,0.06684416,-0.18583234,0.5140227
K,-0.5990263,-0.049380705,-0.6560919,0.052951742,-0.19304483,0.062430732,0.50148904,1.0524428
Ca,-0.2806573,0.13708128,-0.32676375,0.1417224,-0.16822132,0.07220291,0.72318506,0.78135234
Sc,0.08156864,0.46965078,0.2022768,-0.050871957,-0.13958655,0.2140362,0.6128288,0.4831318
Ti,0.36040658,0.08836215,0.5717412,0.18252108,0.07501669,-0.14009231,0.66265565,-0.0052842796
V,0.24221586,0.036067367,0.47041294,0.28218976,0.034480974,0.32842994,0.31681943,-0.15080196
Cr,0.46279347,0.14505048,-0.21721354,0.57256573,-0.020204797,0.53128666,0.28946298,0.17830688
Mn,0.4101798,0.25082344,-0.47189942,0.42264327,0.16063167,0.5503024,0.18322426,-0.038962603
Fe,0.52791315,0.14831047,-0.46106175,0.5377864,0.20590211,0.6804577,0.009542301,-0.050198138
