Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.18790938,0.1739271,0.050710827,-0.15168974,-0.25577712,-1.2065146,-1.3983479,-0.9237243,-1.0052085,-1.1026442,-0.94418335,-0.59377277,-0.56419146,-0.38648525,-0.77546126,-1.3547314,-0.99066794,-1.3724654,-1.1516664,1.0471264,-2.3535585,-0.8230981,-0.14368184,-0.61631715,-0.40008408,-0.3437316,0.25605935,-1.7324321,-0.85241044,0.7345723,-1.4263595,-0.873731
Li,0.027687322,0.09046987,-0.12300855,-0.07373363,-0.5949788,-0.67271686,-1.6592636,-1.12379,-1.3235364,-1.1971124,-0.78161305,-0.81389475,0.4390107,-0.498523,-1.8934704,-1.5357411,-1.0713811,0.4805098,-1.0088315,0.46076497,-0.9805185,-0.6794751,0.06544315,-1.1038764,-0.98849463,-0.65338457,0.20625916,-1.7989805,-0.04481384,-0.5748724,0.020647228,0.2640086
Be,-0.39100498,-0.29247856,-0.13645904,-1.1259599,-1.865882,0.03345187,-2.3280604,0.4096035,-0.08735683,-1.7465829,-1.1946578,-0.41087884,-0.81706786,-0.26187932,-0.96522886,-0.5092782,-1.1181545,-0.6156893,-0.92076325,-0.025581546,-0.5885144,0.20502953,0.24756186,0.72384083,0.016225606,-1.7672532,-0.42815706,-0.36687714,0.683321,-0.043464303,-0.60984904,-0.42340392
B,0.5335499,0.12963015,-0.68408453,-0.8784319,-1.1868237,-0.69865394,-1.5526466,0.36315098,-0.811732,-1.647711,-0.8283774,0.40252462,-0.1847901,-0.43932593,0.36785683,-0.46165714,-0.46784905,-0.44261268,-0.52158034,-0.76459485,-2.5526695,-0.3612062,0.14885855,-0.3901188,0.26759169,-0.8018763,0.6996293,-0.6731185,0.7010343,-0.75912726,-0.20008424,-1.0700516
C,-0.69674796,-1.0216064,-0.5807729,0.25055796,-0.95609874,-0.07774484,-0.8715386,0.12999421,-0.53135526,-1.2410915,-0.6364127,0.74491346,-1.2267257,0.33018285,0.68414336,-1.7256036,-0.8720406,-0.84386075,-0.75583243,-0.23656014,-1.6608255,-1.408322,0.65854466,-1.2208242,0.065187246,-1.2372499,0.58206975,0.27376434,0.4403486,-0.5672116,-0.5395581,-0.7881366
N,0.10744221,-0.4461088,-1.309796,0.252362,-1.4713578,-0.97495806,0.49963254,-0.049778312,-0.83461684,-0.8938718,-0.63044316,0.20591298,-0.10358882,-0.7727144,-0.21587738,-1.968598,0.0066044927,-0.5274577,-0.8148868,-0.8745422,-1.3816574,-0.08466712,0.5181463,-1.1425548,-0.5579837,-0.25536385,0.57085085,-0.9504732,-0.6776239,-0.7720614,-1.8237119,0.32114175
O,-0.7570494,-0.64658934,-1.137772,-0.15222383,-1.231633,-1.0516067,-1.6095908,-0.74767077,-0.2308478,-0.61819136,-0.29262614,0.027687341,-0.6698571,-0.11938359,-0.7695897,-1.0139438,-0.118839085,-0.9987714,-0.8768678,-0.4014978,-1.3632576,-0.8369853,0.0550329,-0.9297638,-1.4029387,-0.39779562,0.43268633,-1.7948424,-0.9527092,-1.0129011,-1.3042948,-0.5055131
F,-0.70568854,-0.4741199,-1.3031741,0.13586105,-0.8206893,-0.89083046,-1.9422271,-0.37597436,0.25278726,-0.61471146,-0.32643747,-0.03485787,-0.7693186,0.53246355,-0.80762917,-0.5036483,-0.55179274,0.07846746,-0.5119231,-0.11074973,-1.3255993,-0.7390581,-0.33392793,-1.2582568,-1.1749737,-0.68796915,1.0294389,-2.1306207,-0.90634143,0.13389966,-1.531425,-0.29049927
Na,-0.16910206,-0.10497855,0.89156735,-0.6917411,-0.57074124,-0.78630954,-0.6960702,-0.40570396,-0.5326901,-1.7927328,-0.9980873,-0.8806503,-0.54797435,0.093013704,-1.5177597,-1.2651434,-0.28327376,0.5939615,-0.12213823,0.51037943,-1.5809228,-1.6054232,-0.058697626,-0.5267416,-1.0453906,-0.62476176,0.01520592,-2.327811,-0.00023970008,-0.68871176,0.18774569,0.77116394
Mg,-0.4251453,-0.52953553,0.06631616,-1.2867185,-1.055537,-0.15323728,-0.7629829,0.47206333,0.48537716,-1.5370861,-1.4443369,0.37945184,-0.801105,-1.0104163,-1.0895151,-0.37174854,-0.9493703,0.28867123,-1.6374652,0.33198723,-0.749481,-0.567713,0.31791335,0.23986086,-0.84447694,-0.39140594,-0.24831843,-2.45944,-0.79086375,-0.6471659,-0.590401,0.08376023
Al,0.78632957,-0.77972496,-0.827,-0.6433992,-1.0535643,-0.39866677,-1.0678278,-0.011471778,-0.6978931,-0.5485101,-1.4419417,0.32358536,-1.0237659,-0.76533854,-0.7930334,-0.14612511,-0.49804646,0.1466743,-1.0669347,-0.49227545,-1.0561345,-0.9387273,-0.24233256,-0.66244996,-0.7160249,0.073667645,0.61367095,-0.93535876,-0.8472638,-0.3272767,0.004296303,-0.8573643
Si,0.8176444,-0.059722215,-1.1058799,-0.9489279,-0.68792623,0.0032093227,-1.0205008,-0.8861172,-0.3784613,-0.5724539,-0.5151188,0.2600864,-1.4720591,-0.9045988,-1.0474224,-0.681435,-0.77047646,0.39392158,-1.1712666,-0.71155065,-1.3316855,-1.8140911,-0.11824821,-1.0112494,-0.42675948,-0.94089043,0.35187453,-0.803434,-0.9126724,-0.7101877,-0.44799426,-0.6686835
P,0.39254826,-0.011422336,-0.8622446,-0.8945819,-0.9061072,-0.30249128,-0.84862065,-0.2306975,0.25143898,-0.87217677,-0.9611018,0.26000726,-0.5874923,-0.56499934,-0.3360559,-0.98824954,-0.54858905,-0.27569166,-0.5660821,-0.34751174,-0.7505952,-1.7741164,-0.4439513,-1.6881578,-0.8386817,-0.5557863,-0.478771,-1.0202007,-0.735695,-0.43033737,-0.9524106,-1.1151303
S,-0.032727707,-0.7159326,-0.44026947,-0.64403164,0.45178163,-0.31436646,-0.1875715,0.06673792,0.900726,-0.4234823,-0.7250358,-0.60199916,-0.74304676,-0.09023154,-0.2571502,-1.1461533,-0.67013866,-0.8125577,-1.3406426,-1.299522,-0.32241067,-1.3911946,-0.2705741,-2.090525,-1.5881912,0.1194582,-0.16772929,-1.2818124,-0.5581321,-0.6513455,-0.5187055,-0.50372356
Cl,0.39288485,-1.2648375,-1.8581136,-0.9704064,-0.7871157,-0.082440734,-0.9574438,-0.0116402805,1.2121435,-0.60710245,-0.16817056,-0.94135904,-0.76815915,0.12810642,0.17760965,-1.1014634,0.4034859,-0.28463364,-0.4911648,-0.90935016,-1.8922403,-1.9567591,-0.06384529,-1.0342222,-0.5929984,-0.20324795,-0.41715178,-2.2468588,-0.7629407,0.16612652,-1.0726922,0.18110082
K,-0.15720071,-1.4242439,1.814759,0.5667382,-0.29879063,-0.15410534,-0.66140103,-0.8459909,-1.7896515,-0.79152703,0.07603811,-0.14907792,-0.83025634,-0.55154425,-0.28576592,-1.4064643,0.35203427,0.7046648,-0.7593273,0.34875908,-1.3214426,-1.1242031,-0.62298495,-0.9526732,-1.2312161,-1.1070784,-0.20317137,-1.6487641,-0.5607493,0.37345824,-1.2437422,0.13914266
Ca,0.1820593,-0.9705788,0.90009236,-0.44693413,-0.50966716,-0.090998776,-0.88163304,-0.5990583,0.26978284,-0.46303418,-0.9936053,-0.031258672,-0.3191493,-0.6490539,-0.68015116,-0.0021602511,-0.2046138,0.059797607,0.2136099,0.21051532,0.45179147,-1.6021496,0.9925042,-1.0334426,-0.5057593,-0.042657405,-0.20156434,-1.525411,0.48623183,-0.78114986,-1.1851591,0.21682772
Sc,-0.19923556,-0.943588,-0.36253384,-1.904425,-1.0336847,-1.9677584,-1.6391838,-0.05326298,0.21531844,-0.55988526,-0.6106921,-0.21908872,-0.7837794,-0.5242486,0.051036097,-0.6353047,-0.048191816,0.78809714,-1.3819557,-0.4186731,-0.77236664,-0.81946737,0.81350607,-0.20778027,-1.2526236,0.75940144,-0.262149,-1.1809365,-0.5509498,-0.4546065,-0.64231265,-0.76356447
Ti,0.19379753,-0.70004725,-1.9645077,-1.7694902,-0.43855655,-0.51765716,-0.9484197,-1.7514694,-0.09407179,-0.62875605,-1.2063825,-0.4701863,0.12874317,-1.1520536,0.07317776,-0.6931195,-0.75807446,0.48446524,-1.1736816,-1.182713,-0.8295837,-0.83441716,0.40982896,-0.56610155,-0.8857548,-0.6773181,0.15468654,-2.0100832,-0.47717425,-1.300673,-1.1182331,-1.1984754
V,-0.79464203,-1.1363552,-1.0416028,-1.4089614,-0.71558696,-0.38943493,0.05434841,-1.0003561,-0.019781211,0.73662686,-1.0950388,-0.065308064,-0.36199722,-0.83188266,-0.5347882,-0.50176644,-0.32523233,0.11356096,-0.9984416,-0.54913,-0.68714505,-1.7829316,-0.3031181,0.10931775,-0.9891039,-0.9094301,0.5375066,-1.0156691,0.2518306,-1.0038581,-1.4786481,-1.8999482
Cr,0.5376273,0.18927974,-1.2816163,-0.28780723,-0.6672524,-2.0867932,0.103217155,0.029172659,0.009755349,0.34055516,-1.4288876,0.48756954,-1.3117937,-0.32950014,-0.60568124,-0.44163117,0.14392301,0.62675,-1.6430312,-0.75313234,-0.3174913,-2.1186683,0.75607675,1.2186043,-0.72830415,-1.1339877,-0.16215175,-1.3213364,0.15971842,-1.2354041,-1.5739081,-1.4345675
Mn,0.51694006,-0.042531908,-0.3358461,-0.717916,-1.4368478,-0.64168906,0.47475368,-0.33322096,0.30705535,-0.3642563,0.13343875,-0.25432637,-0.7506489,-0.18276334,0.28211424,-0.6200464,-0.97011846,0.24571456,-0.22460648,-0.20224413,-0.70948774,-0.856695,0.055888087,1.5750664,-0.87505126,-0.41552305,0.4353414,-0.61666155,-0.7108841,-0.58603626,-0.7991986,-0.8058615
Fe,-0.16990001,0.8581284,-0.36945567,-1.0566931,-0.65926814,-0.7945861,-0.028827071,0.3726867,-0.19059423,0.006464839,-0.95953816,-0.15234983,-0.93636346,-0.7855851,-0.13702202,-1.627648,-0.5800798,0.568072,0.05427748,-0.920294,-0.4931603,-1.4846798,0.17885076,0.09324464,-1.0464203,-0.43335667,0.9305062,-1.1320939,-0.81861067,-1.4838139,-1.2780448,-2.142993
