Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-1.3229458,0.11208242,0.1440556,-1.9180033,0.070887476,0.4922031,-1.0014303,0.64282024,-0.16977122,-1.9249457,-0.31580245,-0.38331622,0.22315124,-2.421847,-1.6059929,-0.135129
Li,-0.77872443,-0.39711273,0.6816375,-1.6317694,1.5260972,0.039324325,0.32364482,0.6794604,-0.3402878,-0.94041777,-0.65696955,0.31227404,0.06789735,-2.2106607,-1.328487,-0.1616817
Be,-1.6527151,0.4800134,0.050021842,-2.3742778,0.5963024,-0.14822742,0.48626342,0.99659187,-1.1481415,-1.3650193,-0.30974793,0.73187625,0.2931726,-2.2368157,-0.8705429,-0.018586539
B,-0.12976316,1.5501777,-0.32754335,-1.6211897,0.4427636,0.22063562,-0.17818981,1.0636426,-1.3791732,-2.0262136,0.19615291,-0.18158317,0.97466266,-1.9747207,-0.020609409,-0.3587248
C,0.36166698,1.6969146,-0.25759068,-1.2528055,0.29858944,-1.1630425,-0.5511211,0.3464018,-0.7686819,-1.653853,0.20382465,0.7186861,1.3832042,-0.9959616,-0.12772262,0.53674585
N,0.025937483,0.33686754,-0.07402933,-1.3916953,0.17935184,-0.5985549,-0.11204289,0.49491206,-0.013832092,-1.5841702,-1.5915797,-0.70477057,2.0548778,-1.0928555,0.2382702,0.31202623
O,-0.40471512,-1.0954577,-0.2446076,-1.8484619,0.6588676,0.54187685,-0.8048367,0.57696044,-0.56628525,-1.1885772,-0.07315911,-0.62194115,1.3212758,-1.0493774,-0.21702233,0.54894876
F,-0.84479606,-0.7403691,0.0757474,-1.6013491,1.3873581,-0.010738734,-0.4994097,0.6976428,-0.71827996,-1.0184121,0.16570811,-1.0066419,1.4038291,-1.0293392,-1.155516,0.17193349
Na,-1.7189565,-1.4207114,0.5848551,-0.74999505,0.36477277,0.4820852,0.19034116,0.8474533,-0.4378882,-0.33584458,-0.6751465,0.029440314,0.6188593,-2.3320713,-0.66388893,-0.45596474
Mg,-1.7806021,-0.52057534,0.6228161,-0.77976465,0.15249756,0.39486262,1.2652012,0.52997285,-0.41039962,-1.3343652,-0.97290283,0.3084699,0.9919616,-1.5843059,-0.82306254,-0.26358938
Al,-0.40577412,0.7168388,-0.14969257,-0.85342896,1.327538,0.00607368,0.8392365,-0.29153425,-0.6137763,-2.1221242,0.49756682,0.97976655,0.6272302,-1.5624108,-0.566561,-0.35616314
Si,0.45327634,1.501092,0.6429675,0.07831228,1.5293665,0.87645775,0.74186325,0.36604723,-0.36262727,-1.7370605,-0.3783055,0.3265855,0.7976833,-0.5452747,-0.7354964,0.21291469
P,-0.062971756,0.8711322,-0.7534032,-0.078116864,0.39260092,-0.50412136,1.2587757,-0.15097779,-0.6362711,-1.5411054,-0.2840746,-0.41692668,1.2335593,-1.3824434,-0.6742283,0.557306
S,0.22621131,0.88565075,-0.44354558,-0.30769724,0.11784926,-0.12927674,0.7359649,-0.037630953,-0.31910214,-0.9991355,-0.26648897,-0.26899666,0.5284147,-0.09499508,-0.27629095,0.63439876
Cl,-0.26425126,-0.086940974,0.6255021,-0.58009404,-0.47908995,0.5224209,0.777003,1.2641368,1.145686,-0.5240292,0.7052999,-0.1250984,1.1402938,-0.830813,-0.42454726,0.64911777
K,-1.4518105,-0.79272294,0.15878078,-0.89430237,-0.06388497,-0.028057229,-0.3430287,-0.013626911,-1.2647158,0.256547,0.1831129,0.4436602,-0.37940717,-2.1327288,-0.6768143,-0.37045762
Ca,-0.5107508,-0.49167025,-0.049806714,-0.70270467,0.794829,-0.34598744,0.6239558,0.9003102,-0.48719573,0.6616701,-0.76159143,1.0886045,-0.050750136,-1.4321656,-0.22958934,-1.8503425
Sc,-0.043121815,-0.9775073,0.46406314,-0.40707842,-1.0693827,-0.28037527,0.7444316,-0.27033374,-0.7279955,-1.6422818,-0.93372697,0.4775156,1.2789872,-0.8490267,-0.3103155,-0.7082958
Ti,1.0933269,0.38658014,0.59824556,-0.3808227,0.30180654,1.039774,0.73991394,0.3309512,-0.40090168,-0.94994426,-1.276712,0.6343694,0.9100027,-0.25633526,-0.29479977,0.12649636
V,0.9425539,-0.5291096,-0.2890561,-0.64757216,0.51548743,0.7158015,1.874226,0.038480848,-1.1960831,-1.0788188,-0.7020679,0.57577515,1.36873,-0.83104324,-0.70505893,-0.2223928
Cr,0.3189826,-0.3060838,-0.9826307,-0.07942119,0.26072094,1.2606729,0.8276678,-0.8497255,-0.99061453,-0.5319742,-0.7147187,0.53014207,1.4500284,-0.9149513,-0.17623067,-1.0511537
Mn,0.78660357,-0.2802005,-0.8583728,-0.26166835,-0.6026307,1.3653197,0.301406,0.38712442,-0.96473014,0.32867935,-1.1162534,0.512798,0.9838425,-1.8527861,-0.986001,-0.3805605
Fe,0.46791336,0.08682278,-0.73388577,-0.06240323,-0.108514875,0.052244525,0.321694,0.21256089,-1.8069581,-1.0569003,-0.8984267,-0.081160456,1.9057168,-0.8005349,0.26475754,-1.1393685
Co,0.28924632,-0.36990476,-1.7311792,-0.03480667,-0.23833993,0.7618397,0.80707765,-0.03395372,-0.9812095,-0.72184753,-1.1771523,0.6538348,1.4725087,-1.1083622,-0.5573971,-0.31031954
