Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.23658364,-0.92834425,-0.9392321,-0.7105146,-1.2842984,0.09483987,-1.8095483,-0.7235058,-0.5285518,-1.1028687,-0.40438408,-1.1412563,-0.7733636,-0.22983685,-0.21007882,-0.20789161,-0.6065165,-1.2093649,-1.9681451,-0.5192616,-1.4588728,-0.46115404,-0.5829079,-0.020267397,-0.45726824,-0.59077555,-0.49155626,-0.032500878,-0.806782,-0.06468624,-1.3500621,-0.98004323,-0.41376865,-0.687683,0.68177813,-0.27557576,-0.41512322,-0.42707503,0.02812333,-1.4804728,-0.50453424,-0.560315,-0.7923256,-1.3349473,-1.600383,-1.3001881,-1.7275687,-0.5655676,-0.9675589,-1.0611987,0.16270056,-0.7695806,-0.38666052,-0.82877094,-0.78307676,0.3471583,-0.4969758,-0.8529154,-0.97736746,-0.48875263,-0.45890272,0.019690868,-0.25692457,-0.6425059
Li,0.35698858,-0.2802233,-0.71091056,-1.2630718,-0.93671966,-0.6807312,-1.1573176,-1.0660588,-0.33104882,-0.9589707,-0.70811146,-0.42933273,-0.94154966,-0.81742084,-0.57349825,-0.64061105,-1.4862537,-1.1542355,-1.5619447,-1.081201,-1.5093689,-0.66622955,0.0044623017,-0.2155835,-0.3462087,-0.58787245,-0.15423587,-0.28358054,-0.5236995,-0.8135147,-1.2480257,-0.06911078,0.17459838,-0.45968306,-0.15251619,-0.2715385,-1.0505383,-1.124826,0.21927544,-1.7388747,-0.7838849,-0.5225892,-1.0262365,-0.73837346,-1.2830371,-0.93705916,-1.3199569,-0.47050124,-0.4603458,-0.995841,-0.05114325,-1.2982168,-0.17652293,0.083398014,-0.27208805,-0.078543164,-0.075860284,-0.69768506,-0.5672289,-0.5058221,-0.3837574,-0.2231885,-0.8860512,-0.4201885
Be,-0.651205,-0.7264112,-0.07006484,-0.615044,-1.1680256,-0.5901071,-1.3027992,-1.0555809,-0.07537988,-0.3615793,-0.4812343,-0.37447557,-1.2353948,-0.3835904,-0.87977207,0.22510463,-1.4289776,-1.1247399,-1.2074095,-0.25464585,-0.13995673,-0.92335284,0.8038274,-0.095262595,-0.43826413,-1.0307531,-0.18831252,0.92984116,-1.030358,-0.53000754,-1.8600516,-1.0200717,-0.102219455,0.14117405,0.3301738,-0.7686575,-1.0528398,-0.9017792,0.3482987,-1.6897826,-0.75583434,-0.32567915,-1.0802312,-0.5237756,-0.014609039,-0.39381406,-1.2809585,-0.5014487,-0.744228,-0.6458737,-0.021386541,-1.2101313,-0.3567925,0.045770712,-0.48112598,-0.13007128,-1.1608452,-0.25003797,0.10981101,-0.8625368,-0.33855766,0.29786408,-0.5727389,-0.5854859
B,-0.1087898,-1.2832996,-0.056304008,-0.95643336,-0.7634421,-0.36250094,-1.676305,-0.6481426,-0.78783345,0.057163134,-0.08281702,-0.7891716,-0.49490106,0.07029865,-0.6335361,0.1433215,-1.1692474,-1.1222413,-0.78338945,0.47295693,-0.779719,-0.4112795,-0.50701356,-0.4379553,-0.1162796,-0.58208454,-0.64560366,-0.4507347,-0.38844758,-0.32924652,-2.0091257,-1.0045226,0.11837365,-0.97645736,-0.3107174,-0.92961603,-0.49349177,-0.061711706,0.7235879,-1.1976228,-0.2805007,-0.24088934,-1.1691788,-0.8511658,-0.9470644,-1.038499,-1.7623808,-0.5780357,-0.11105369,-1.0104706,-0.5517138,-1.2479812,-0.77633446,-0.13404554,-0.28568184,0.3257454,-0.4755273,-0.41551402,0.16889077,-1.1970749,-0.36492327,-0.10021123,-0.57071555,-0.31785148
C,-0.28798586,-0.8406852,-0.32212687,-0.52958286,-0.49473706,-0.3435291,-1.7194743,0.25585666,-0.6017755,-0.26409835,-0.631698,-0.8361629,-0.39832076,0.19741735,-0.4804303,0.071196705,-1.059674,-0.217565,-0.59612095,0.6275398,-0.48729125,-0.7350725,-0.16563499,-0.054230362,-0.42923677,-0.14804657,-0.82083,-0.39943498,-0.19863337,-0.69110084,-1.8640759,-0.5338354,-0.3669138,-0.6623255,-0.36988908,-0.14087643,-0.73992383,-1.1324763,0.6117192,-1.0331863,-0.45490828,-0.12815213,-0.39146012,-0.13782984,-0.6167493,-1.4255829,-1.5479102,-0.067134485,-0.27925926,-0.21108736,-0.3640443,-0.4439485,-0.06756059,-0.9806954,-0.47204012,0.36726493,0.21209568,-0.7108869,-0.6305225,-1.1195936,-0.46063602,-0.079586774,-0.2640682,-0.47848588
N,0.27428228,-0.8184762,-1.0163239,-0.8526345,-1.6500833,-0.39860484,-0.60482883,-0.709026,-0.35935277,-0.66363525,-0.5174156,-0.7693261,-0.6874726,-0.50093865,0.36469343,0.008167706,-0.9411882,-0.80822194,-1.0414889,0.23871534,-0.2965166,-0.08279005,-0.57199717,-0.35949722,-0.2061291,-0.20680493,0.02023708,-1.1152385,-0.53567564,-0.18623205,-0.6011802,-0.99283874,-0.33161396,-0.5543178,-0.1791128,-0.76599365,-0.50479925,-0.66716576,0.6156839,-0.7991319,-0.5468668,-0.21852335,-0.95198786,-0.5534183,-1.0953081,-1.1381562,-1.7325952,-0.5818364,0.7707247,0.005732119,-0.12563339,-0.37884587,-0.38983268,-0.44492757,-0.44273305,-0.19296268,-0.19333285,-1.0833858,-0.93841004,-0.9810684,-0.95106053,0.12565222,-0.33399102,-0.7378391
O,-0.12634614,-0.8903519,-1.0304114,-1.0009059,-1.5320717,-0.3219497,-1.1420877,-0.56855774,-0.9690709,-0.5955206,-0.30721188,-0.8009664,-0.74381244,0.04647523,-0.9508209,-0.65009946,-0.98725235,-0.67888343,-0.9080954,-0.2599125,-0.69943404,-0.8583807,-1.0536649,-0.20314044,-0.3230055,-0.4160216,-0.11109204,-0.69018984,-0.78197443,-0.8075267,-1.025105,-1.1197718,-0.08334124,-0.55737627,-0.34172237,-0.33615196,-0.7730139,-0.16958803,-0.060348976,-1.19924,-0.6959841,-0.23268573,-0.9036583,-0.2099504,-0.8720087,-1.292619,-1.088608,-0.70857203,-0.08484016,-0.34789503,-0.2691131,-0.59294736,-0.9776487,-0.46513224,-0.5869931,-0.1147726,-0.38256118,-1.0547804,-0.95517546,-0.89505684,-0.8358259,-0.27417082,-0.483454,-0.481151
F,-0.43206358,-0.6137849,-1.2877053,-0.8864678,-1.257229,-0.5505363,-0.90652233,-0.9396341,-0.907237,-0.41127843,-0.22582817,-0.98585117,-0.8667124,-0.21244591,-0.9530957,-0.4423884,-0.5476713,-0.69144225,-0.87779826,-0.2926663,-0.9012109,-0.89040077,-0.78989077,0.055558577,0.0828639,-0.64914,0.19600093,-0.6537384,-0.9025868,-0.94168925,-1.1225116,-1.4140561,-0.056052715,-0.81803715,-0.13717775,-0.25202322,-0.95327145,-0.4392718,0.16549747,-1.3606625,-0.52246463,-0.64388037,-0.93670964,-0.70451295,-1.0290285,-0.92998964,-0.9931917,-0.65142286,-0.36401397,-0.38703695,-0.27655908,-0.78957117,-0.98428756,-0.21081597,0.12399495,1.0526977,-0.2530298,-0.9726801,-0.96360195,-0.70311666,-0.8631085,-0.19894455,0.0367752,-0.45116642
Na,0.73933345,-1.2676526,-0.2787707,-1.1681244,-0.9502349,-0.17282811,-1.3485038,-1.1006956,-0.83258593,-0.859725,-0.48198682,-0.5241138,-0.40383387,-0.40007076,-0.7482165,-0.9614887,-1.0410892,-1.0703273,-1.465549,-1.4684502,-0.9463463,-0.80569935,-0.3535015,-0.27626967,-0.350546,-0.4836191,-0.13418502,-0.22171375,-0.3581217,-0.403127,-0.5538333,0.55145,-0.5718661,-0.29560748,-0.85041803,-0.119712874,-1.0811098,-0.77186394,0.36615157,-1.6433208,-0.28808367,-0.4156415,-1.7305782,-1.3689289,-1.4155622,-0.8138436,-0.7999536,-0.58098614,-0.07328252,-0.8498923,0.27018574,-1.1234905,0.3131162,-0.11636018,-0.10254074,0.5641465,-0.27168414,-0.90337497,-0.62072945,-0.5509288,-0.3066339,0.015006781,-0.30292886,-0.74589825
Mg,-0.16043396,-1.0557994,-0.047342032,-0.5924666,-1.3808086,-0.847384,-1.0613155,-0.75304043,0.22574082,-0.86405593,-0.7627572,-0.8446663,-0.5025366,-0.11224454,-0.4840628,0.008927949,-0.41522217,-0.84179235,-1.0205324,-0.5070041,-0.61733747,-1.3380027,-0.53314984,-0.28122193,0.15060733,-1.0825713,0.25095993,0.48952708,-1.1606439,-0.051165253,-0.8338733,-0.010425091,-0.4274388,0.18069068,-0.5774416,-0.5287957,-0.7155754,-0.95485044,0.32465303,-1.8059859,-0.09603965,-0.82686865,-1.156471,-1.0513312,-1.3979075,-0.8086524,-1.1517744,-0.3315253,0.17391525,-0.5749792,0.24448931,-0.84613967,-0.007856369,-0.45279542,-0.13378787,0.108244285,-0.6069493,-0.50891477,-0.48811424,-0.7291148,-1.1400514,0.13220963,-0.48703563,-0.37683782
