Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.94906884,1.0899986,-0.26713216,1.6384537,-0.11557977,-0.24079014,-1.6990273,-2.2114334
Li,-1.2965252,1.6294209,-1.644004,0.2599124,0.8369977,0.4790882,-1.0036414,-2.0289974
Be,-0.2773125,1.7337552,-1.2238573,1.4101878,0.20066427,-0.19476338,0.45029834,-2.7405612
B,-0.5245651,0.8127526,-0.88719046,1.2936348,-1.0734026,-0.4487136,0.474056,-0.55782187
C,0.3907772,0.8349197,-1.3918694,1.6110249,-0.26532963,-1.4346586,0.5592231,-1.3503804
N,-1.4312384,1.1462917,-1.275022,1.1288888,-0.10882141,-1.3424695,-0.21296133,0.9423115
O,-0.4114215,0.35724816,-0.3580169,1.4203933,0.30565047,-0.12818296,-1.2261977,0.30630025
F,-1.2198917,0.08876584,-0.11454338,2.0462804,0.63541883,0.44173443,-1.1948037,-0.41565868
Na,-1.3914075,0.70567477,-1.9888606,0.08940038,0.7184931,0.37715042,-0.41530183,-1.4978989
Mg,0.11014216,0.82239735,-3.096017,1.2879448,0.9594285,0.7401763,0.09249355,-0.8593389
Al,-0.12670577,1.3720657,-1.9958488,1.2846863,0.49096918,-0.553622,0.9302346,-1.3010769
Si,-0.5062129,0.49005613,-1.4380502,1.1726964,0.26151657,-0.6668047,0.96040833,-1.1298776
P,-1.5688938,-0.39737245,-0.9057859,1.6563447,-0.20554711,-0.16824894,1.3634843,-1.3725882
S,0.69900846,-1.2713715,-0.7361856,1.6023273,0.6297422,0.1909784,0.94176847,-0.44244328
Cl,-0.93402374,-1.2340714,-1.397892,1.437353,0.3555178,-1.2950338,-0.25180236,-0.5819588
K,-1.6216131,0.3632989,-1.6979347,-0.2493788,1.7605205,0.48228234,-0.26553917,-1.8249094
Ca,-1.0635511,0.79905176,-0.91404104,0.6178278,0.92946047,-0.3613329,1.0854464,-2.7201629
Sc,-0.50145286,-0.18269229,-2.1240213,1.6949599,0.9307297,1.0291872,1.1757782,-0.46310276
Ti,-0.57408506,-0.93640125,-0.95567524,-0.1476112,-0.04767184,0.50954914,0.8765377,-0.7710235
V,-1.2630979,0.20514107,-0.625934,-0.029531062,-0.06971498,-0.5844238,1.5456649,-0.39417565
Cr,-1.4758121,1.0492092,-0.8121685,0.19683039,-0.5204243,-1.4157205,1.9173996,-0.11878702
Mn,-0.6371468,0.36047634,-1.1606965,0.8870301,-0.74196005,-0.55896103,1.5268854,-0.7517892
Fe,-1.8737075,0.32171434,-0.31140664,0.50458145,-0.737506,-0.24928637,1.9240228,-1.5102922
Co,-1.2781594,0.4750001,-0.6608588,0.38198954,-0.9791936,-0.6808201,1.4458941,-0.18206939
Ni,-1.5479884,0.5845355,-0.67163146,0.87600744,-1.3202213,-1.1443636,1.290086,-0.45490995
Cu,-1.05221,-0.5150314,0.11151099,0.6508629,-1.1401067,0.2825256,0.990835,-1.053122
Zn,-0.18113582,0.74268126,-1.1814783,0.704167,0.7894426,0.6111079,0.4988454,-1.46117
Ga,0.5566032,0.6251764,-2.036788,0.6051215,0.9114174,-0.19420709,0.4941671,-1.2459186
Ge,-0.74457073,0.17485884,-1.6754674,0.8451967,0.11703898,-0.71576756,0.9066047,-1.1082003
As,-1.7126584,0.03220243,-1.1079335,0.7762419,0.251282,-1.0329796,1.1663234,-1.5489458
Se,0.10971409,-0.7723969,-0.9822515,1.0735669,0.9013607,-0.512156,1.1989758,0.11535403
Br,0.16060604,-2.0406177,-1.6299076,0.99462634,0.8630313,-0.84857,0.14918457,-0.9223827
Rb,-1.2909652,0.31190044,-1.9885019,-0.2810405,2.2555985,0.48489285,-0.25738132,-1.775907
Sr,-1.5707908,0.27044782,-2.303171,1.6385934,1.5460763,-0.085727826,0.6089637,-2.571234
Y,-0.40529492,-0.16044286,-3.0415041,1.9810402,1.3393961,1.7603453,1.394357,-0.38198128
Zr,-0.56248134,-1.2585468,-2.1025465,0.46170995,0.7214515,0.6349763,1.1140196,-1.127063
Nb,-0.61878544,-1.2031292,-0.99773085,-0.31945997,0.38672736,0.049180254,1.059209,-0.65860176
Mo,-1.4826592,-0.49363807,-0.9297698,-0.1922465,0.34153643,-0.809083,1.2836438,-0.93868816
Tc,-1.6847993,-0.9955524,-1.0867535,0.51617086,-0.18653958,-0.45432776,1.48072,-1.6679631
Ru,-1.4034708,-0.7087311,-1.1947083,0.11410129,-0.25330472,0.24805449,1.1762252,-2.059561
Rh,-0.6016519,0.2333929,-1.2517848,-0.1649341,0.094775036,-1.1049782,1.161048,-0.17932555
Pd,-1.2483923,-0.5514446,-1.4380193,1.0488323,-0.02122168,-0.16773207,0.9700072,-0.6338453
Ag,-0.6720359,-0.91229534,-0.52447754,0.55631995,-0.27533415,0.2947234,0.83616835,-0.9746525
Cd,0.39093238,-0.16286436,-1.6098859,0.5927435,1.2123456,1.1597242,0.3882202,-1.3340082
In,0.09162702,-0.059087165,-2.0664568,0.79095334,1.5309846,0.2273829,1.2148687,-0.77502716
Sn,-0.8760904,-0.66446984,-2.312571,1.0631795,0.46295694,-0.27939206,1.2587852,-0.7315717
Sb,-1.5770192,-0.52703005,-2.043847,0.82048064,0.41593358,-0.93296707,1.2934355,-1.1237001
Te,0.32230553,-1.0539612,-1.9759198,1.3973496,1.0084872,-0.22237138,1.3777299,0.27375826
I,0.92784035,-2.0573392,-2.0163352,0.6865963,1.1812443,-0.84755754,0.38519457,-0.4569362
Cs,-1.538609,0.5103932,-1.95303,-0.59790295,2.6519043,0.6211116,-0.42640263,-2.1805844
Ba,-1.3655777,-0.12662539,-2.975946,1.0668509,1.5462368,0.9415021,0.10368444,-2.7539518
La,-1.595254,-1.1532708,-2.271194,1.7000637,0.7319304,0.069700345,1.805104,-0.67200667
Ce,-1.595254,-1.1532708,-2.271194,1.7000637,0.7319304,0.069700345,1.805104,-0.67200667
Pr,-0.95569813,-1.0528996,-3.10287,1.2689056,0.93350345,1.023668,1.5410353,-0.44440952
Nd,-0.88966966,-0.79104155,-3.1278436,1.5224528,0.8819649,1.0521117,1.6764126,-0.17602429
Pm,-0.43693146,-0.8467372,-2.347932,1.1810296,0.44360137,1.3511957,1.3511403,-0.5033106
Sm,-0.6266929,-0.83736473,-2.519349,1.8603516,1.0049312,0.48671687,1.5933442,-0.18414608
Eu,-1.0153533,-1.6037246,-1.4910326,0.89745116,-0.26212785,1.5732613,1.5973715,-1.0309418
Gd,-0.6266929,-0.83736473,-2.519349,1.8603516,1.0049312,0.48671687,1.5933442,-0.18414608
Tb,-1.4856416,-1.0842918,-2.5090537,1.2633805,0.5220175,1.0518543,1.3586438,-0.15472308
Dy,-1.020353,-0.7923024,-3.1135607,1.6768799,1.0108973,1.4379432,1.6567671,-0.73697895
Ho,-0.05179177,-0.4763964,-3.3617158,1.8371677,1.2838982,1.8549597,1.4450073,-0.24911839
Er,-0.05179177,-0.4763964,-3.3617158,1.8371677,1.2838982,1.8549597,1.4450073,-0.24911839
Tm,-0.8557681,-0.7429141,-3.0180602,1.426505,1.0510222,1.6961173,1.6391329,-0.8389813
Yb,-1.34881,-1.4486595,-0.8835976,0.8653004,0.0115216095,1.5584759,1.9658924,-0.9366789
Lu,-0.82626987,-1.0338384,-2.6747575,1.394166,1.1712854,1.7166008,1.1411318,-0.57503664
Hf,-0.69441766,-2.342574,-1.3899598,-0.42155504,0.28204435,0.8575906,0.5331395,-1.5388651
Ta,-1.1873804,-1.3631403,-1.0598452,-0.08346498,0.3114378,0.39435542,1.0724912,-1.1920302
W,-1.3978816,-0.42050782,-0.8523901,-0.34982127,0.7461968,-0.77125543,1.4202685,-1.0170346
Re,-1.8612341,-1.2700818,-0.34532818,0.14793989,0.52530956,-0.34629798,1.610035,-2.0436347
Os,-1.7626369,-1.096789,-0.71626776,-0.08143824,-0.24250986,0.0016802996,0.9710161,-2.8939786
Ir,-1.0412794,-0.14557943,-0.9200614,-0.120152414,-0.17419703,-0.95409095,0.9646669,-0.9647101
Pt,-0.44590315,0.064550705,-1.6090848,0.42487782,0.41556334,-0.30748153,0.92487454,-0.74780214
Au,-0.4610277,-1.1119518,-0.65431464,0.15490767,0.23583286,0.67259336,0.61479104,-1.335428
Hg,0.9126265,-0.69437224,-1.9729418,0.92529494,1.0855896,1.5888554,0.39562976,-1.099125
Tl,-0.009259147,-0.7115968,-2.5149908,0.6825198,1.0559227,0.3154307,0.60513717,-1.2796052
Pb,-0.88365334,-1.1434526,-2.2740812,0.9774743,0.86103153,-0.4147508,1.0372134,-1.0995036
Bi,-1.7110457,-1.2307534,-2.1277418,0.7514152,0.7124966,-0.45142078,1.1395794,-1.1428396
Ac,-1.1118747,-2.4310722,-2.2931976,1.4860411,-0.51728356,0.6435276,2.483626,0.25102356
Th,0.09731503,-1.7016282,-2.6210208,1.4918437,-0.34426218,1.4046642,2.7633896,0.21163836
Pa,0.046028037,-1.8169822,-2.4238658,1.4535282,-0.23356655,1.7019325,2.8671064,0.13632861
U,0.29235372,-2.06875,-1.5514972,0.6934558,0.099170774,1.2536379,2.5267663,-0.3804503
Np,0.09731503,-1.7016282,-2.6210208,1.4918437,-0.34426218,1.4046642,2.7633896,0.21163836
Pu,0.39333585,-1.6152375,-2.3133988,1.0371454,-0.76624995,1.2478948,2.8462944,-0.6515025
